,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
243,2020-07-22,15500.0,15500.0,15500.0,15500.0,3874996280000,249999760,5235505,1000.0,15500.0,1399-05-01
242,2020-07-25,16270.0,16270.0,16270.0,15570.0,5023720440,308772,6616,15500.0,16270.0,1399-05-04
241,2020-07-26,16340.0,16340.0,16340.0,16340.0,53022956860,3244979,6771,15570.0,16340.0,1399-05-05
240,2020-07-27,17150.0,17150.0,17150.0,17150.0,55732972400,3249736,7371,16340.0,17150.0,1399-05-06
239,2020-07-28,18000.0,18000.0,18000.0,18000.0,58438260000,3246570,8228,17150.0,18000.0,1399-05-07
238,2020-07-29,18900.0,18900.0,18900.0,18900.0,61493266800,3253612,13587,18000.0,18900.0,1399-05-08
237,2020-08-01,19840.0,19840.0,19840.0,19840.0,65019132160,3277174,10472,18900.0,19840.0,1399-05-11
236,2020-08-02,20830.0,20830.0,20830.0,20830.0,55662467580,2672226,10918,19840.0,20830.0,1399-05-12
235,2020-08-03,21870.0,21870.0,21870.0,21870.0,58489346700,2674410,9682,20830.0,21870.0,1399-05-13
234,2020-08-04,22960.0,22960.0,22960.0,22960.0,61003434240,2656944,10920,21870.0,22960.0,1399-05-14
233,2020-08-05,24100.0,24100.0,24100.0,23700.0,41611469700,1726617,9010,22960.0,24100.0,1399-05-15
232,2020-08-11,24880.0,24880.0,24880.0,23860.0,7014916000,281950,6240,23700.0,24880.0,1399-05-21
231,2020-08-12,25050.0,25050.0,25050.0,25050.0,52971481500,2114630,4507,23860.0,25050.0,1399-05-22
230,2020-08-15,26300.0,26300.0,26300.0,26080.0,43316599700,1647019,5998,25050.0,26300.0,1399-05-25
229,2020-08-16,27380.0,27380.0,27380.0,27380.0,55316142560,2020312,4870,26080.0,27380.0,1399-05-26
228,2020-08-17,28740.0,28740.0,28740.0,28740.0,59456880900,2068785,11389,27380.0,28740.0,1399-05-27
227,2020-08-18,30170.0,30170.0,30170.0,30170.0,61352022480,2033544,20461,28740.0,30170.0,1399-05-28
226,2020-08-19,31670.0,31670.0,31670.0,31670.0,65358614130,2063739,28769,30170.0,31670.0,1399-05-29
225,2020-08-22,33250.0,33250.0,33250.0,33250.0,76829112500,2310650,32996,31670.0,33250.0,1399-06-01
224,2020-08-23,34910.0,34910.0,31590.0,31750.0,830618939280,26157184,47715,33250.0,31590.0,1399-06-02
223,2020-08-24,30170.0,30180.0,30170.0,30170.0,345623356800,11455862,52605,31750.0,30170.0,1399-06-03
222,2020-08-25,31670.0,31670.0,31330.0,31670.0,579667078070,18303352,92605,30170.0,31670.0,1399-06-04
221,2020-08-26,31800.0,33250.0,31670.0,32800.0,671294476510,20468456,55818,31670.0,33250.0,1399-06-05
220,2020-08-31,34440.0,34440.0,31400.0,33630.0,1786892161190,53139361,187871,32800.0,34430.0,1399-06-10
219,2020-09-01,33640.0,34790.0,32000.0,33520.0,992256944850,29599542,165210,33630.0,33400.0,1399-06-11
218,2020-09-02,32000.0,33300.0,31850.0,32080.0,140043211360,4365711,17942,33520.0,31850.0,1399-06-12
217,2020-09-05,31850.0,33000.0,30480.0,30900.0,513896727420,16632625,97483,32080.0,31330.0,1399-06-15
216,2020-09-06,31400.0,32000.0,29360.0,30460.0,250588646840,8226373,37705,30900.0,29360.0,1399-06-16
215,2020-09-07,28940.0,28940.0,28940.0,30110.0,10385813560,358874,673,30460.0,28940.0,1399-06-17
214,2020-09-08,28610.0,28610.0,28610.0,29910.0,5871029490,205209,423,30110.0,28610.0,1399-06-18
213,2020-09-09,28420.0,29690.0,28420.0,28660.0,813385479200,28385080,97440,29910.0,28450.0,1399-06-19
212,2020-09-12,28810.0,29900.0,27380.0,28510.0,543138425450,19052035,69894,28660.0,27690.0,1399-06-22
211,2020-09-13,27110.0,28000.0,27090.0,27170.0,63633640930,2342145,6140,28510.0,27090.0,1399-06-23
210,2020-09-14,25820.0,28000.0,25820.0,26340.0,709705078110,26941585,72139,27170.0,25890.0,1399-06-24
209,2020-09-15,26230.0,27650.0,26200.0,27390.0,519151223690,18955721,62110,26340.0,27650.0,1399-06-25
208,2020-09-16,28000.0,28490.0,26030.0,26930.0,334314398740,12415486,48290,27390.0,26030.0,1399-06-26
207,2020-09-19,25590.0,25590.0,25590.0,26230.0,24741870630,966857,907,26930.0,25590.0,1399-06-29
206,2020-09-20,24920.0,24920.0,24920.0,25910.0,11242633080,451149,643,26230.0,24920.0,1399-06-30
205,2020-09-21,24620.0,24620.0,24620.0,25780.0,4662240160,189368,324,25910.0,24620.0,1399-06-31
204,2020-09-22,24500.0,24500.0,24500.0,25520.0,9340674000,381252,606,25780.0,24500.0,1399-07-01
203,2020-09-23,24250.0,24250.0,24250.0,25010.0,17958822500,740570,1359,25520.0,24250.0,1399-07-02
202,2020-09-26,23760.0,23760.0,23760.0,24850.0,6198960240,260899,463,25010.0,23760.0,1399-07-05
201,2020-09-27,23610.0,23610.0,23610.0,24770.0,3138288420,132922,213,24850.0,23610.0,1399-07-06
200,2020-09-28,23540.0,23540.0,23540.0,24720.0,2038093200,86580,113,24770.0,23540.0,1399-07-07
199,2020-09-29,23490.0,23490.0,23490.0,24660.0,2328587190,99131,192,24720.0,23490.0,1399-07-08
198,2020-09-30,23430.0,23430.0,23430.0,24520.0,5347827210,228247,277,24660.0,23430.0,1399-07-09
197,2020-10-03,23300.0,23300.0,23300.0,23890.0,24347055400,1044938,1349,24520.0,23300.0,1399-07-12
196,2020-10-04,22700.0,22700.0,22700.0,23700.0,7363267100,324373,409,23890.0,22700.0,1399-07-13
195,2020-10-05,22520.0,22520.0,22520.0,23600.0,3964533400,176045,280,23700.0,22520.0,1399-07-14
194,2020-10-06,22420.0,24780.0,22420.0,23780.0,441608596710,18571629,133490,23600.0,24780.0,1399-07-15
193,2020-10-07,24770.0,24960.0,22700.0,24290.0,525536829680,21635592,112834,23780.0,24960.0,1399-07-16
192,2020-10-10,24300.0,25000.0,23080.0,23900.0,338423533550,14158216,73240,24290.0,24230.0,1399-07-19
191,2020-10-11,23950.0,25080.0,23010.0,24290.0,307561183870,12663673,62469,23900.0,23150.0,1399-07-20
190,2020-10-12,23080.0,23080.0,23080.0,23080.0,69982045080,3032151,11365,24290.0,23080.0,1399-07-21
189,2020-10-13,22100.0,23110.0,21930.0,22040.0,206428647460,9365900,40016,23080.0,21940.0,1399-07-22
188,2020-10-14,21800.0,21870.0,20940.0,21000.0,171664052190,8174804,35994,22040.0,20940.0,1399-07-23
187,2020-10-18,20020.0,20830.0,19950.0,20030.0,108837150790,5434089,27060,21000.0,19950.0,1399-07-27
186,2020-10-19,19030.0,19030.0,19030.0,19600.0,19406051830,1019761,4279,20030.0,19030.0,1399-07-28
185,2020-10-20,18620.0,20580.0,18620.0,19740.0,336523198560,17051533,52279,19600.0,20580.0,1399-07-29
184,2020-10-21,20720.0,20720.0,19000.0,20210.0,271603481920,13438821,34483,19740.0,19660.0,1399-07-30
183,2020-10-24,19200.0,19200.0,19200.0,19990.0,10261017600,534428,732,20210.0,19200.0,1399-08-03
182,2020-10-26,19000.0,19000.0,19000.0,19820.0,8268724000,435196,260,19990.0,19000.0,1399-08-05
181,2020-10-27,18830.0,19590.0,18830.0,18910.0,125575747550,6639716,24913,19820.0,19250.0,1399-08-06
180,2020-10-28,18500.0,19850.0,17970.0,19220.0,292441645480,15212188,46668,18910.0,19850.0,1399-08-07
179,2020-10-31,20000.0,20180.0,18260.0,19520.0,186860102450,9570876,30752,19220.0,19460.0,1399-08-10
178,2020-11-01,19480.0,19480.0,18550.0,18590.0,63080692720,3392987,5395,19520.0,18550.0,1399-08-11
177,2020-11-02,17720.0,18300.0,17670.0,17740.0,100762723810,5680979,15371,18590.0,17670.0,1399-08-12
176,2020-11-04,17250.0,18380.0,17110.0,17810.0,103997681060,5839857,23827,17740.0,18100.0,1399-08-14
175,2020-11-07,16930.0,17810.0,16920.0,17070.0,41732455620,2459397,4357,17810.0,16920.0,1399-08-17
174,2020-11-08,16220.0,16860.0,16220.0,16250.0,60441378090,3718859,10292,17070.0,16280.0,1399-08-18
173,2020-11-09,16200.0,17060.0,15810.0,16650.0,219028202880,13154949,30623,16250.0,17060.0,1399-08-19
172,2020-11-10,17190.0,17200.0,16480.0,16900.0,126619510460,7490961,22551,16650.0,17160.0,1399-08-20
171,2020-11-11,16910.0,17690.0,16610.0,17250.0,125060620680,7250594,19394,16900.0,17430.0,1399-08-21
170,2020-11-14,17730.0,18110.0,17390.0,18070.0,109829523050,6079501,19496,17250.0,18110.0,1399-08-24
169,2020-11-15,18780.0,18780.0,17170.0,17860.0,206064944000,11538551,20666,18070.0,17500.0,1399-08-25
168,2020-11-16,17200.0,18150.0,17000.0,17720.0,96919988100,5469915,20460,17860.0,17440.0,1399-08-26
167,2020-11-17,17200.0,18120.0,17200.0,17650.0,181689324750,10292723,25540,17720.0,17700.0,1399-08-27
166,2020-11-18,17860.0,18530.0,17650.0,18150.0,225367698570,12414721,32927,17650.0,18500.0,1399-08-28
165,2020-11-21,18700.0,18700.0,17250.0,17600.0,190515501090,10826051,23981,18150.0,17250.0,1399-09-01
164,2020-11-22,17020.0,17690.0,16760.0,17170.0,121513497700,7077047,19283,17600.0,17020.0,1399-09-02
163,2020-11-30,18020.0,18020.0,18020.0,18020.0,65176592060,3616903,14402,17170.0,18020.0,1399-09-10
162,2020-12-01,18720.0,18920.0,18020.0,18820.0,417077983700,22163910,43716,18020.0,18920.0,1399-09-11
161,2020-12-02,19050.0,19760.0,18850.0,19660.0,351642586080,17889652,38323,18820.0,19760.0,1399-09-12
160,2020-12-05,19900.0,20640.0,19760.0,20600.0,261491845470,12693871,23921,19660.0,20640.0,1399-09-15
