,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
835,2016-04-23,10000.0,10000.0,10000.0,10000.0,113000000,11300,3,10000.0,10000.0,1395-02-04
834,2016-04-24,10000.0,10000.0,10000.0,10000.0,30100000,3010,9,10000.0,10000.0,1395-02-05
833,2016-04-25,10000.0,10000.0,10000.0,10000.0,10000000,1000,4,10000.0,10000.0,1395-02-06
832,2016-04-26,10000.0,10000.0,10000.0,10000.0,30000000,3000,2,10000.0,10000.0,1395-02-07
831,2016-05-01,10000.0,10000.0,10000.0,10000.0,5047880000,504788,8,10000.0,10000.0,1395-02-12
830,2016-05-02,10000.0,10000.0,10000.0,10000.0,45065190000,4506519,52,10000.0,10000.0,1395-02-13
829,2016-06-01,10200.0,10280.0,10137.0,10154.0,1562634070,153891,8,10000.0,10280.0,1395-03-12
828,2016-06-07,10069.0,10069.0,10069.0,10069.0,30207000,3000,3,10154.0,10069.0,1395-03-18
827,2016-06-08,10080.0,10080.0,10031.0,10066.0,1691039,168,2,10069.0,10031.0,1395-03-19
826,2016-06-11,9993.0,9993.0,9991.0,9992.0,19984000,2000,2,10066.0,9991.0,1395-03-22
825,2016-06-12,10071.0,10085.0,10071.0,10085.0,480122765,47609,4,9992.0,10085.0,1395-03-23
824,2016-06-14,10035.0,10035.0,10035.0,10035.0,1103850,110,1,10085.0,10035.0,1395-03-25
823,2016-06-18,10221.0,10265.0,10221.0,10225.0,5623750,550,3,10035.0,10265.0,1395-03-29
822,2016-06-25,10420.0,10420.0,10420.0,10420.0,10420000,1000,1,10225.0,10420.0,1395-04-05
821,2016-06-28,10422.0,10422.0,10422.0,10422.0,5211000,500,1,10420.0,10422.0,1395-04-08
820,2016-07-02,10450.0,10450.0,10450.0,10450.0,522500000,50000,1,10422.0,10450.0,1395-04-12
819,2016-07-03,10350.0,10350.0,10350.0,10350.0,10350000,1000,1,10450.0,10350.0,1395-04-13
818,2016-07-09,10450.0,10450.0,10450.0,10450.0,522500000,50000,1,10350.0,10450.0,1395-04-19
