,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1243,2013-08-20,10000.0,10000.0,10000.0,10000.0,171200000000,17120000,522,10000.0,10000.0,1392-05-29
1242,2013-08-21,10000.0,10000.0,10000.0,10000.0,65240700000,6524070,637,10000.0,10000.0,1392-05-30
1241,2013-08-24,10000.0,10000.0,10000.0,10000.0,18385600000,1838560,441,10000.0,10000.0,1392-06-02
1240,2013-09-28,10370.0,10500.0,10300.0,10417.0,7565780960,726270,251,10000.0,10419.0,1392-07-06
1239,2013-09-29,10450.0,10450.0,10300.0,10390.0,7284643790,701140,146,10417.0,10420.0,1392-07-07
1238,2013-09-30,10420.0,10420.0,10311.0,10366.0,14188956600,1368840,144,10390.0,10331.0,1392-07-08
1237,2013-10-01,10400.0,10400.0,10340.0,10373.0,5753233800,554640,113,10366.0,10366.0,1392-07-09
1236,2013-10-02,10350.0,10400.0,10200.0,10324.0,4399903190,426170,110,10373.0,10353.0,1392-07-10
1235,2013-10-05,10400.0,10449.0,10310.0,10396.0,5868291390,564490,97,10324.0,10389.0,1392-07-13
1234,2013-10-06,10400.0,10500.0,10370.0,10425.0,4319579380,414330,89,10396.0,10370.0,1392-07-14
1233,2013-10-07,10400.0,10498.0,10312.0,10321.0,4477782020,433860,39,10425.0,10360.0,1392-07-15
1232,2013-10-08,10430.0,10430.0,10300.0,10380.0,932154120,89800,49,10321.0,10300.0,1392-07-16
1231,2013-10-09,10425.0,10600.0,10425.0,10514.0,2944487830,280050,102,10380.0,10501.0,1392-07-17
1230,2013-10-12,10600.0,10660.0,10450.0,10592.0,2676166660,252660,93,10514.0,10660.0,1392-07-20
1229,2013-10-13,10700.0,10750.0,10500.0,10637.0,1190870290,111960,63,10592.0,10500.0,1392-07-21
1228,2013-10-14,10680.0,10850.0,10500.0,10712.0,3633624380,339220,175,10637.0,10849.0,1392-07-22
1227,2013-10-15,10844.0,11500.0,10844.0,11016.0,972745740,88300,58,10712.0,11055.0,1392-07-23
