,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1647,2014-03-19,3000.0,3000.0,3000.0,3000.0,299173650000,99724550,33851,1000.0,3000.0,1392-12-28
1646,2014-03-25,3150.0,3150.0,3150.0,3150.0,184816800,58672,40,3000.0,3150.0,1393-01-05
1645,2014-03-26,3307.0,3307.0,3307.0,3307.0,220295805,66615,54,3150.0,3307.0,1393-01-06
1644,2014-03-29,3472.0,3472.0,3472.0,3472.0,459026176,132208,110,3307.0,3472.0,1393-01-09
1643,2014-03-30,3645.0,3645.0,3645.0,3645.0,439277175,120515,121,3472.0,3645.0,1393-01-10
1642,2014-03-31,3827.0,3827.0,3827.0,3827.0,1254490600,327800,155,3645.0,3827.0,1393-01-11
1641,2014-04-05,4018.0,4018.0,4018.0,4018.0,1467349492,365194,284,3827.0,4018.0,1393-01-16
1640,2014-04-06,4218.0,4218.0,4218.0,4218.0,8246291232,1955024,1130,4018.0,4218.0,1393-01-17
1639,2014-04-07,4428.0,4428.0,4428.0,4428.0,17130315780,3868635,2701,4218.0,4428.0,1393-01-18
1638,2014-04-08,4649.0,4649.0,4649.0,4649.0,4922919080,1058920,672,4428.0,4649.0,1393-01-19
1637,2014-04-09,4881.0,4881.0,4881.0,4881.0,14788937019,3029899,1366,4649.0,4881.0,1393-01-20
1636,2014-04-12,4900.0,5039.0,4637.0,4770.0,293187574911,61460435,28922,4881.0,4637.0,1393-01-23
1635,2014-04-13,4641.0,4650.0,4532.0,4549.0,111000850829,24400392,9342,4770.0,4640.0,1393-01-24
1634,2014-04-14,4532.0,4720.0,4322.0,4471.0,31936516146,7143093,3718,4549.0,4400.0,1393-01-25
1633,2014-04-15,4485.0,4694.0,4350.0,4607.0,39590666867,8593844,3308,4471.0,4579.0,1393-01-26
1632,2014-04-16,4690.0,4778.0,4500.0,4650.0,19750476612,4247105,1949,4607.0,4600.0,1393-01-27
1631,2014-04-19,4510.0,4510.0,4418.0,4442.0,2645215574,595465,299,4650.0,4418.0,1393-01-30
1630,2014-04-20,4460.0,4630.0,4360.0,4491.0,18247991024,4063545,1504,4442.0,4450.0,1393-01-31
1629,2014-04-21,4451.0,4631.0,4375.0,4524.0,23428863962,5178675,2222,4491.0,4595.0,1393-02-01
1628,2014-04-22,4630.0,4637.0,4362.0,4492.0,15431276948,3435637,1561,4524.0,4380.0,1393-02-02
1627,2014-04-23,4401.0,4544.0,4400.0,4462.0,13035533544,2921588,1392,4492.0,4470.0,1393-02-03
1626,2014-04-26,4534.0,4685.0,4440.0,4636.0,22701933567,4896875,1602,4462.0,4685.0,1393-02-06
1625,2014-04-27,4700.0,4700.0,4470.0,4538.0,17646244040,3888397,1354,4636.0,4471.0,1393-02-07
1624,2014-04-28,4425.0,4533.0,4412.0,4491.0,12077071376,2689182,990,4538.0,4470.0,1393-02-08
1623,2014-04-29,4425.0,4500.0,4267.0,4363.0,9565025438,2192336,854,4491.0,4268.0,1393-02-09
1622,2014-04-30,4300.0,4444.0,4175.0,4243.0,8778992199,2068842,889,4363.0,4202.0,1393-02-10
1621,2014-05-03,4203.0,4248.0,4077.0,4130.0,6717901796,1626567,798,4243.0,4101.0,1393-02-13
1620,2014-05-04,4070.0,4119.0,4001.0,4068.0,4221019729,1037604,568,4130.0,4099.0,1393-02-14
1619,2014-05-05,4085.0,4249.0,4082.0,4135.0,4611258600,1115292,568,4068.0,4115.0,1393-02-15
1618,2014-05-06,4180.0,4180.0,4020.0,4067.0,4144878235,1019263,518,4135.0,4025.0,1393-02-16
1617,2014-05-07,4050.0,4067.0,4002.0,4023.0,4043909633,1005295,462,4067.0,4030.0,1393-02-17
1616,2014-05-10,4017.0,4017.0,3854.0,3905.0,7174646106,1837266,693,4023.0,3913.0,1393-02-20
1615,2014-05-11,3860.0,3950.0,3780.0,3863.0,5812272020,1504659,551,3905.0,3920.0,1393-02-21
1614,2014-05-12,3943.0,4056.0,3870.0,3995.0,8374707933,2096192,816,3863.0,4007.0,1393-02-22
1613,2014-05-14,3950.0,3950.0,3796.0,3845.0,10652685380,2770251,767,3995.0,3891.0,1393-02-24
1612,2014-05-17,3750.0,3750.0,3654.0,3669.0,6715306261,1830472,608,3845.0,3655.0,1393-02-27
1611,2014-05-18,3736.0,3800.0,3700.0,3733.0,5158879439,1381889,444,3669.0,3730.0,1393-02-28
1610,2014-05-19,3700.0,3700.0,3580.0,3613.0,6031710020,1669229,598,3733.0,3630.0,1393-02-29
1609,2014-05-20,3680.0,3762.0,3653.0,3735.0,3346483623,895959,323,3613.0,3712.0,1393-02-30
1608,2014-06-02,3195.0,3737.0,3192.0,3495.0,43196266419,12358417,2696,3735.0,3736.0,1393-03-12
1607,2014-06-09,3647.0,3647.0,3431.0,3553.0,6255321780,1760588,660,3495.0,3450.0,1393-03-19
1606,2014-06-10,3440.0,3490.0,3376.0,3391.0,3067837158,904576,431,3553.0,3376.0,1393-03-20
1605,2014-06-11,3330.0,3331.0,3270.0,3299.0,2604164026,789429,322,3391.0,3300.0,1393-03-21
1604,2014-06-14,3255.0,3400.0,3135.0,3271.0,11001766529,3363474,802,3299.0,3400.0,1393-03-24
1603,2014-06-15,3376.0,3434.0,3302.0,3414.0,5440874459,1593541,482,3271.0,3434.0,1393-03-25
1602,2014-06-16,3565.0,3584.0,3500.0,3582.0,10608826460,2961649,428,3414.0,3584.0,1393-03-26
1601,2014-06-17,3670.0,3761.0,3670.0,3739.0,6101130965,1631677,406,3582.0,3761.0,1393-03-27
1600,2014-06-18,3801.0,3925.0,3681.0,3858.0,34977759904,9066622,1509,3739.0,3925.0,1393-03-28
1599,2014-06-21,3894.0,4050.0,3894.0,4031.0,10184212633,2526231,755,3858.0,4050.0,1393-03-31
1598,2014-06-22,4078.0,4197.0,3852.0,4014.0,11641071741,2899896,1010,4031.0,3881.0,1393-04-01
1597,2014-06-23,3879.0,3900.0,3814.0,3821.0,10197923964,2668572,537,4014.0,3814.0,1393-04-02
1596,2014-06-24,3799.0,4012.0,3655.0,3954.0,10380546462,2625573,728,3821.0,4012.0,1393-04-03
1595,2014-06-25,4010.0,4119.0,3812.0,3964.0,5083026424,1282393,547,3954.0,3850.0,1393-04-04
1594,2014-06-28,3890.0,3890.0,3766.0,3770.0,3404870917,903109,204,3964.0,3766.0,1393-04-07
1593,2014-06-29,3589.0,3755.0,3582.0,3630.0,9695929981,2670960,544,3770.0,3720.0,1393-04-08
1592,2014-06-30,3756.0,3811.0,3756.0,3807.0,8039027415,2111801,430,3630.0,3811.0,1393-04-09
1591,2014-07-01,3901.0,3997.0,3901.0,3993.0,3850244973,964271,188,3807.0,3997.0,1393-04-10
1590,2014-07-02,4135.0,4192.0,4101.0,4180.0,16842272808,4029278,1010,3993.0,4192.0,1393-04-11
1589,2014-07-05,4259.0,4360.0,4200.0,4310.0,17522958844,4066094,1195,4180.0,4260.0,1393-04-14
1588,2014-07-06,4223.0,4280.0,4095.0,4144.0,4488302875,1082994,312,4310.0,4095.0,1393-04-15
1587,2014-07-07,3990.0,4190.0,3937.0,4012.0,11702897722,2917223,693,4144.0,4000.0,1393-04-16
1586,2014-07-08,4000.0,4199.0,4000.0,4136.0,7532725387,1821085,572,4012.0,4111.0,1393-04-17
1585,2014-07-09,4150.0,4150.0,3930.0,3970.0,9962658204,2509597,698,4136.0,3930.0,1393-04-18
1584,2014-07-12,3971.0,3990.0,3815.0,3905.0,4027140089,1031338,326,3970.0,3917.0,1393-04-21
1583,2014-07-13,3987.0,4100.0,3900.0,4072.0,15283762116,3753198,957,3905.0,4100.0,1393-04-22
1582,2014-07-14,4165.0,4250.0,4025.0,4161.0,9301634644,2235274,648,4072.0,4100.0,1393-04-23
1581,2014-07-15,4165.0,4200.0,4012.0,4107.0,7771763488,1892384,644,4161.0,4020.0,1393-04-24
1580,2014-07-16,4125.0,4168.0,3950.0,4037.0,7498062268,1857217,570,4107.0,4000.0,1393-04-25
1579,2014-07-20,3920.0,4020.0,3890.0,3936.0,3891220080,988620,365,4037.0,3900.0,1393-04-29
1578,2014-07-21,3949.0,4080.0,3900.0,3982.0,2805255535,704572,338,3936.0,3970.0,1393-04-30
1577,2014-07-22,3999.0,4070.0,3972.0,4023.0,5208495942,1294579,435,3982.0,4000.0,1393-04-31
1576,2014-07-23,4020.0,4050.0,3900.0,3934.0,9990223615,2539400,572,4023.0,3960.0,1393-05-01
1575,2014-07-26,4000.0,4018.0,3886.0,3936.0,2061189243,523721,226,3934.0,3910.0,1393-05-04
1574,2014-07-27,3911.0,4030.0,3814.0,3993.0,5762158575,1443106,535,3936.0,4020.0,1393-05-05
1573,2014-07-28,4031.0,4129.0,3999.0,4065.0,17152040283,4219263,738,3993.0,4120.0,1393-05-06
1572,2014-08-02,4040.0,4067.0,3936.0,3995.0,1845502665,461988,221,4065.0,3960.0,1393-05-11
1571,2014-08-03,4000.0,4000.0,3902.0,3924.0,1274874519,324903,146,3995.0,3950.0,1393-05-12
1570,2014-08-04,3930.0,4021.0,3912.0,3968.0,1357580254,342121,156,3924.0,3920.0,1393-05-13
1569,2014-08-05,4000.0,4000.0,3870.0,3894.0,2163566562,555570,187,3968.0,3902.0,1393-05-14
1568,2014-08-06,3901.0,3915.0,3851.0,3879.0,1788462145,461109,188,3894.0,3872.0,1393-05-15
1567,2014-08-09,3850.0,3880.0,3800.0,3827.0,2242586658,586057,230,3879.0,3813.0,1393-05-18
1566,2014-08-10,3800.0,3880.0,3754.0,3804.0,1525421403,401038,244,3827.0,3780.0,1393-05-19
1565,2014-08-11,3878.0,3890.0,3790.0,3811.0,3782761354,992463,254,3804.0,3800.0,1393-05-20
1564,2014-08-12,3800.0,3820.0,3701.0,3733.0,3630293790,972580,392,3811.0,3710.0,1393-05-21
1563,2014-08-13,3710.0,3835.0,3710.0,3796.0,1559148622,410781,214,3733.0,3801.0,1393-05-22
1562,2014-08-16,3800.0,3800.0,3690.0,3725.0,2194456775,589139,209,3796.0,3710.0,1393-05-25
1561,2014-08-17,3750.0,3750.0,3651.0,3696.0,2660737601,719963,233,3725.0,3705.0,1393-05-26
1560,2014-08-18,3697.0,3880.0,3697.0,3852.0,4768542438,1237829,398,3696.0,3880.0,1393-05-27
1559,2014-08-19,3900.0,3980.0,3713.0,3874.0,3218010113,830596,329,3852.0,3852.0,1393-05-28
1558,2014-08-20,3774.0,3800.0,3758.0,3773.0,3019089143,800234,242,3874.0,3791.0,1393-05-29
1557,2014-08-23,3755.0,3853.0,3733.0,3803.0,4559200797,1198805,355,3773.0,3850.0,1393-06-01
1556,2014-08-24,3887.0,3889.0,3839.0,3863.0,4217469618,1091770,373,3803.0,3870.0,1393-06-02
1555,2014-08-25,3863.0,3949.0,3863.0,3904.0,2757120084,706156,223,3863.0,3920.0,1393-06-03
