,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2202,2011-07-27,8200.0,8200.0,8200.0,8200.0,16400000000,2000000,138,1000.0,8200.0,1390-05-05
2201,2011-07-30,8610.0,8610.0,8610.0,8610.0,43489110,5051,15,8200.0,8610.0,1390-05-08
2200,2011-07-31,9040.0,9040.0,9000.0,9039.0,10038932080,1110639,1612,8610.0,9040.0,1390-05-09
2199,2011-08-01,9290.0,9490.0,9230.0,9412.0,5688604527,604384,670,9039.0,9490.0,1390-05-10
2198,2011-08-02,9882.0,9882.0,9882.0,9882.0,967556502,97911,135,9412.0,9882.0,1390-05-11
2197,2011-08-03,10376.0,10376.0,10370.0,10376.0,7259526024,699649,334,9882.0,10376.0,1390-05-12
2196,2011-08-06,10894.0,10894.0,10894.0,10894.0,249472600,22900,18,10376.0,10894.0,1390-05-15
2195,2011-08-07,11438.0,11438.0,11438.0,11438.0,92407602,8079,6,10894.0,11438.0,1390-05-16
2194,2011-08-08,12009.0,12009.0,12009.0,12009.0,66049500,5500,10,11438.0,12009.0,1390-05-17
2193,2011-08-09,12609.0,12609.0,12000.0,12536.0,9703311519,774050,478,12009.0,12609.0,1390-05-18
2192,2011-08-10,13162.0,13162.0,13162.0,13162.0,1882468726,143023,109,12536.0,13162.0,1390-05-19
2191,2011-08-13,13820.0,13820.0,13201.0,13813.0,2416732666,174963,194,13162.0,13820.0,1390-05-22
2190,2011-08-14,14503.0,14503.0,14400.0,14502.0,3237900825,223275,264,13813.0,14503.0,1390-05-23
2189,2011-08-15,15227.0,15227.0,15227.0,15227.0,2239480571,147073,163,14502.0,15227.0,1390-05-24
2188,2011-08-16,15988.0,15988.0,15988.0,15988.0,2399990656,150112,148,15227.0,15988.0,1390-05-25
2187,2011-08-17,15999.0,16670.0,15189.0,15872.0,13234186776,833822,1155,15988.0,16000.0,1390-05-26
2186,2011-08-20,15266.0,15267.0,15079.0,15089.0,2470600624,163736,247,15872.0,15079.0,1390-05-29
2185,2011-08-21,14335.0,14335.0,14335.0,14335.0,3082025,215,3,15089.0,14335.0,1390-05-30
