,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
22,2019-04-09,8340.0,8340.0,8340.0,8340.0,13816369260,1656639,17,8522.0,8340.0,1398-01-20
21,2019-04-13,9770.0,9770.0,9770.0,9347.0,390809770,40001,2,9310.0,9770.0,1398-01-24
20,2019-09-14,14302.0,14970.0,14306.0,14273.0,224721672,15012,2,14258.0,14970.0,1398-06-23
19,2019-09-23,14170.0,14390.0,14170.0,14390.0,19911565440,1383716,15,13977.0,14390.0,1398-07-01
18,2019-09-30,14559.0,14559.0,14559.0,13866.0,7133910,490,1,13866.0,14559.0,1398-07-08
17,2019-12-02,14270.0,13783.0,13783.0,14133.0,5074239016,368152,7,14508.0,13783.0,1398-09-11
16,2019-12-04,15500.0,14617.0,14617.0,14953.0,5847881658,400074,7,15386.0,14617.0,1398-09-13
15,2019-12-10,15070.0,14802.0,14802.0,15348.0,2960400000,200000,4,15581.0,14802.0,1398-09-19
14,2019-12-16,18360.0,18360.0,18360.0,18049.0,7344000000,400000,16,17490.0,18360.0,1398-09-25
13,2019-12-17,19150.0,19150.0,19150.0,18973.0,9575000000,500000,5,18252.0,19150.0,1398-09-26
12,2020-01-19,23994.0,23994.0,23994.0,23994.0,27033224004,1126666,41,22865.0,23994.0,1398-10-29
11,2020-02-19,47885.0,47885.0,47885.0,45651.0,239425000,5000,1,45605.0,47885.0,1398-11-30
10,2020-06-08,83768.0,83768.0,83768.0,87822.0,4998771632,59674,2,88176.0,83768.0,1399-03-19
9,2020-06-15,79510.0,79510.0,79510.0,83530.0,2244408280,28228,1,83690.0,79510.0,1399-03-26
8,2020-07-26,67260.0,67260.0,67260.0,70790.0,33630000,500,1,70790.0,67260.0,1399-05-05
7,2020-08-11,70080.0,70080.0,70080.0,72410.0,4555200000,65000,1,72570.0,70080.0,1399-05-21
6,2021-01-23,40210.0,40210.0,40210.0,40210.0,763990,19,1,40210.0,40210.0,1399-11-04
5,2021-04-18,32620.0,32620.0,31970.0,32410.0,32295000000,1000000,10,32620.0,31970.0,1400-01-29
4,2021-04-19,31920.0,31920.0,31920.0,32520.0,3830400000,120000,3,32570.0,31920.0,1400-01-30
3,2021-05-01,31470.0,31470.0,31470.0,32050.0,19442889810,617823,7,32440.0,31470.0,1400-02-11
2,2021-05-16,29800.0,29800.0,29800.0,30810.0,10430000000,350000,7,31360.0,29800.0,1400-02-26
1,2021-05-23,29540.0,29540.0,29540.0,30930.0,2954000000,100000,1,31090.0,29540.0,1400-03-02
0,2021-05-25,29480.0,29480.0,29480.0,30870.0,2948000000,100000,1,31030.0,29480.0,1400-03-04
