,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1119,2016-12-03,10000.0,10000.0,10000.0,10000.0,335382230000,33538223,863,10000.0,10000.0,1395-09-13
1118,2016-12-04,10000.0,10000.0,10000.0,10000.0,302937270000,30293727,1042,10000.0,10000.0,1395-09-14
1117,2016-12-05,10000.0,10000.0,10000.0,10000.0,79428390000,7942839,295,10000.0,10000.0,1395-09-15
1116,2016-12-06,10000.0,10000.0,10000.0,10000.0,43464730000,4346473,120,10000.0,10000.0,1395-09-16
1115,2016-12-07,10000.0,10000.0,10000.0,10000.0,138782230000,13878223,355,10000.0,10000.0,1395-09-17
1114,2016-12-26,10000.0,10000.0,10000.0,10000.0,10002000000,1000200,39,10000.0,10000.0,1395-10-06
1113,2016-12-27,10132.0,10142.0,10132.0,10132.0,9925977842,979635,111,10000.0,10132.0,1395-10-07
1112,2016-12-28,10145.0,10148.0,10138.0,10138.0,71646713580,7067093,263,10132.0,10148.0,1395-10-08
1111,2016-12-31,10168.0,10168.0,10158.0,10160.0,1218944464,119977,34,10138.0,10167.0,1395-10-11
1110,2017-01-01,10164.0,10174.0,10164.0,10165.0,2657282572,261423,147,10160.0,10174.0,1395-10-12
1109,2017-01-02,10180.0,10180.0,10170.0,10175.0,5320170034,522879,27,10165.0,10180.0,1395-10-13
1108,2017-01-03,10180.0,10180.0,10177.0,10178.0,4412573118,433545,25,10175.0,10180.0,1395-10-14
1107,2017-01-04,10184.0,10192.0,10182.0,10183.0,36604871924,3594659,114,10178.0,10183.0,1395-10-15
1106,2017-01-07,10202.0,10203.0,10202.0,10203.0,11276769447,1105252,43,10183.0,10203.0,1395-10-18
1105,2017-01-08,10209.0,10210.0,10208.0,10208.0,22534590924,2207529,62,10203.0,10208.0,1395-10-19
1104,2017-01-09,10216.0,10225.0,10215.0,10215.0,24844631046,2432133,71,10208.0,10225.0,1395-10-20
1103,2017-01-11,10228.0,10237.0,10227.0,10227.0,18121151489,1771827,38,10215.0,10237.0,1395-10-22
