,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
539,2013-11-06,1000.0,1000.0,1000.0,1000.0,40000,40,1,1000.0,1000.0,1392-08-15
538,2013-12-04,1000.0,1000.0,1000.0,1000.0,3000000,3000,3,1000.0,1000.0,1392-09-13
537,2013-12-22,1000.0,1000.0,1000.0,1000.0,4821000,4821,5,1000.0,1000.0,1392-10-01
536,2014-01-26,1000.0,1000.0,1000.0,1000.0,840000,840,1,1000.0,1000.0,1392-11-06
535,2014-03-17,4300.0,4300.0,4300.0,4300.0,11094417100,2580097,1,1000.0,4300.0,1392-12-26
534,2014-03-25,700.0,700.0,700.0,700.0,91000,130,1,4300.0,700.0,1393-01-05
533,2014-05-03,700.0,700.0,700.0,700.0,497000,710,1,700.0,700.0,1393-02-13
532,2014-08-06,701.0,701.0,701.0,701.0,175718969,250669,24,700.0,701.0,1393-05-15
531,2014-08-13,701.0,701.0,701.0,701.0,107711454,153654,15,701.0,701.0,1393-05-22
530,2014-08-19,701.0,701.0,701.0,701.0,299327,427,1,701.0,701.0,1393-05-28
529,2014-08-31,702.0,801.0,702.0,702.0,73330974,104400,23,701.0,702.0,1393-06-09
528,2014-09-01,703.0,703.0,703.0,703.0,605283,861,1,702.0,703.0,1393-06-10
527,2014-09-20,800.0,800.0,800.0,800.0,7660800,9576,1,703.0,800.0,1393-06-29
526,2014-09-23,901.0,901.0,801.0,814.0,143074091,175791,18,800.0,801.0,1393-07-01
525,2014-09-24,814.0,1021.0,814.0,922.0,167425465,181603,22,814.0,1021.0,1393-07-02
524,2014-09-28,1250.0,1250.0,1250.0,1250.0,80625000,64500,2,922.0,1250.0,1393-07-06
523,2014-09-30,1400.0,1400.0,1400.0,1400.0,721931000,515665,45,1250.0,1400.0,1393-07-08
522,2014-10-04,1750.0,1750.0,1750.0,1750.0,137847500,78770,9,1400.0,1750.0,1393-07-12
521,2014-10-07,2200.0,2200.0,2200.0,2200.0,141900000,64500,1,1750.0,2200.0,1393-07-15
520,2014-10-08,2201.0,2201.0,2201.0,2201.0,190584590,86590,13,2200.0,2201.0,1393-07-16
519,2014-10-20,2221.0,2221.0,2221.0,2221.0,237647,107,1,2201.0,2221.0,1393-07-28
518,2014-10-22,2220.0,2220.0,2220.0,2220.0,754800,340,1,2221.0,2220.0,1393-07-30
517,2014-10-26,2000.0,2000.0,2000.0,2000.0,208000,104,1,2220.0,2000.0,1393-08-04
516,2014-10-29,2001.0,2001.0,2001.0,2001.0,2001,1,1,2000.0,2001.0,1393-08-07
515,2014-11-01,2010.0,2010.0,2010.0,2010.0,20694960,10296,1,2001.0,2010.0,1393-08-10
514,2014-11-02,2011.0,2021.0,2011.0,2013.0,25524619,12679,2,2010.0,2021.0,1393-08-11
513,2014-11-05,2021.0,2021.0,2021.0,2021.0,17885850,8850,1,2013.0,2021.0,1393-08-14
512,2014-11-19,2001.0,2001.0,2001.0,2001.0,23177583,11583,3,2021.0,2001.0,1393-08-28
511,2014-11-22,2001.0,2001.0,2001.0,2001.0,1099269360,549360,4,2001.0,2001.0,1393-09-01
510,2014-11-23,2001.0,2001.0,2001.0,2001.0,134721327,67327,4,2001.0,2001.0,1393-09-02
509,2014-11-25,2011.0,2011.0,2011.0,2011.0,705848934,350994,1,2001.0,2011.0,1393-09-04
508,2014-11-26,2051.0,2051.0,2051.0,2051.0,649527088,316688,18,2011.0,2051.0,1393-09-05
507,2014-11-29,2051.0,2051.0,2051.0,2051.0,43071000,21000,1,2051.0,2051.0,1393-09-08
506,2014-11-30,2052.0,2052.0,2052.0,2052.0,205200,100,1,2051.0,2052.0,1393-09-09
505,2014-12-01,2054.0,2054.0,2054.0,2054.0,179741432,87508,8,2052.0,2054.0,1393-09-10
504,2014-12-02,2100.0,2100.0,2100.0,2100.0,70492800,33568,4,2054.0,2100.0,1393-09-11
503,2014-12-03,2101.0,2101.0,2101.0,2101.0,468212052,222852,2,2100.0,2101.0,1393-09-12
502,2014-12-07,2101.0,2101.0,2101.0,2101.0,4202000,2000,2,2101.0,2101.0,1393-09-16
501,2014-12-08,2101.0,2101.0,2101.0,2101.0,541694527,257827,21,2101.0,2101.0,1393-09-17
500,2014-12-14,2102.0,2102.0,2102.0,2102.0,1158021228,550914,2,2101.0,2102.0,1393-09-23
499,2014-12-15,2101.0,2101.0,2101.0,2101.0,155410970,73970,19,2102.0,2101.0,1393-09-24
498,2014-12-16,2101.0,2101.0,2101.0,2101.0,245247629,116729,13,2101.0,2101.0,1393-09-25
497,2014-12-17,2101.0,2101.0,2101.0,2101.0,20516265,9765,1,2101.0,2101.0,1393-09-26
496,2014-12-27,2250.0,2250.0,2101.0,2102.0,239510999,113939,16,2101.0,2101.0,1393-10-06
495,2014-12-29,2101.0,2101.0,2101.0,2101.0,56575728,26928,3,2102.0,2101.0,1393-10-08
494,2014-12-31,2331.0,2331.0,2331.0,2331.0,125417124,53804,4,2101.0,2331.0,1393-10-10
493,2015-01-05,2351.0,2351.0,2351.0,2351.0,392471238,166938,16,2331.0,2351.0,1393-10-15
492,2015-01-06,2352.0,2352.0,2352.0,2352.0,1176000000,500000,2,2351.0,2352.0,1393-10-16
491,2015-01-07,2352.0,2352.0,2350.0,2352.0,65159768,27704,8,2352.0,2352.0,1393-10-17
490,2015-01-11,2352.0,2352.0,2352.0,2352.0,14422464,6132,1,2352.0,2352.0,1393-10-21
489,2015-01-14,2360.0,2360.0,2355.0,2360.0,231103230,97926,2,2352.0,2355.0,1393-10-24
488,2015-01-19,2400.0,2400.0,2400.0,2400.0,2016000,840,1,2360.0,2400.0,1393-10-29
487,2015-01-20,2401.0,2421.0,2401.0,2415.0,131161513,54313,3,2400.0,2421.0,1393-10-30
486,2015-01-21,2470.0,2470.0,2470.0,2470.0,2074800,840,1,2415.0,2470.0,1393-11-01
485,2015-01-26,2471.0,2471.0,2471.0,2471.0,140834645,56995,7,2470.0,2471.0,1393-11-06
484,2015-02-01,2472.0,2472.0,2472.0,2472.0,10283520,4160,9,2471.0,2472.0,1393-11-12
483,2015-02-02,2473.0,2473.0,2473.0,2473.0,3316293,1341,1,2472.0,2473.0,1393-11-13
482,2015-02-07,2474.0,2474.0,2474.0,2474.0,13631740,5510,2,2473.0,2474.0,1393-11-18
481,2015-02-15,2745.0,2745.0,2745.0,2745.0,963753030,351094,1,2474.0,2745.0,1393-11-26
480,2015-02-16,2746.0,2746.0,2746.0,2746.0,26919038,9803,1,2745.0,2746.0,1393-11-27
479,2015-03-04,2747.0,2747.0,2747.0,2747.0,77932390,28370,5,2746.0,2747.0,1393-12-13
478,2015-03-07,2750.0,2750.0,2750.0,2750.0,27500000,10000,1,2747.0,2750.0,1393-12-16
477,2015-03-08,2751.0,2751.0,2751.0,2751.0,109170684,39684,4,2750.0,2751.0,1393-12-17
476,2015-03-09,2751.0,2751.0,2751.0,2751.0,501405513,182263,18,2751.0,2751.0,1393-12-18
475,2015-03-15,2750.0,2750.0,2750.0,2750.0,2310000,840,1,2751.0,2750.0,1393-12-24
474,2015-03-16,2751.0,2751.0,2751.0,2751.0,19427562,7062,7,2750.0,2751.0,1393-12-25
473,2015-04-05,2750.0,2750.0,2750.0,2750.0,55000,20,1,2751.0,2750.0,1394-01-16
472,2015-04-11,2751.0,2751.0,2751.0,2751.0,38414964,13964,2,2750.0,2751.0,1394-01-22
471,2015-04-13,2752.0,2752.0,2752.0,2752.0,5504000,2000,2,2751.0,2752.0,1394-01-24
470,2015-05-03,2752.0,2752.0,2752.0,2752.0,57134272,20761,3,2752.0,2752.0,1394-02-13
469,2015-05-18,2753.0,2753.0,2753.0,2753.0,5932715,2155,1,2752.0,2753.0,1394-02-28
468,2015-06-06,2760.0,2760.0,2760.0,2760.0,2318400,840,1,2753.0,2760.0,1394-03-16
467,2015-08-15,2770.0,2770.0,2770.0,2770.0,2326800,840,1,2760.0,2770.0,1394-05-24
466,2015-08-17,2950.0,2950.0,2950.0,2950.0,146025000,49500,2,2770.0,2950.0,1394-05-26
465,2015-08-23,3250.0,3250.0,3250.0,3250.0,32500000,10000,1,2950.0,3250.0,1394-06-01
464,2015-08-24,3251.0,3400.0,3251.0,3390.0,41830840,12340,2,3250.0,3400.0,1394-06-02
463,2015-09-01,3390.0,3390.0,3390.0,3390.0,307500120,90708,12,3390.0,3390.0,1394-06-10
462,2015-09-02,4050.0,4050.0,4050.0,4050.0,40500000,10000,1,3390.0,4050.0,1394-06-11
461,2015-09-05,4051.0,4051.0,4051.0,4051.0,40510000,10000,1,4050.0,4051.0,1394-06-14
460,2015-10-03,4051.0,4051.0,4051.0,4051.0,38322460,9460,1,4051.0,4051.0,1394-07-11
459,2015-10-17,4200.0,4200.0,4200.0,4200.0,21000000,5000,1,4051.0,4200.0,1394-07-25
458,2015-10-20,4300.0,4300.0,4300.0,4300.0,457722100,106447,2,4200.0,4300.0,1394-07-28
