,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1247,2016-02-17,11500.0,11500.0,11500.0,11500.0,2294365402500,199510035,32443,1000.0,11500.0,1394-11-28
1246,2016-02-20,12075.0,12075.0,12075.0,12075.0,10926027525,904847,211,11500.0,12075.0,1394-12-01
1245,2016-02-21,12678.0,12678.0,12678.0,12678.0,12075604830,952485,294,12075.0,12678.0,1394-12-02
1244,2016-02-22,13311.0,13311.0,13311.0,13311.0,66187935864,4972424,582,12678.0,13311.0,1394-12-03
1243,2016-02-23,13976.0,13976.0,13976.0,13976.0,332836147936,23814836,1858,13311.0,13976.0,1394-12-04
1242,2016-02-24,14674.0,14674.0,14674.0,14674.0,265214589024,18073776,3796,13976.0,14674.0,1394-12-05
1241,2016-02-27,15407.0,15407.0,15407.0,15407.0,82190875515,5334645,2384,14674.0,15407.0,1394-12-08
1240,2016-02-28,16177.0,16177.0,15933.0,16147.0,2004161643562,124118147,43170,15407.0,16177.0,1394-12-09
1239,2016-02-29,16008.0,16200.0,15503.0,15744.0,283751069059,18022584,8778,16147.0,15550.0,1394-12-10
1238,2016-03-01,15552.0,15579.0,15102.0,15355.0,178399788438,11618400,5290,15744.0,15300.0,1394-12-11
1237,2016-03-02,15300.0,16100.0,15202.0,15798.0,225921088334,14300887,5629,15355.0,15880.0,1394-12-12
1236,2016-03-07,16150.0,16166.0,15744.0,15919.0,112930899142,7093910,1992,15798.0,15800.0,1394-12-17
1235,2016-03-08,15800.0,15800.0,15351.0,15543.0,84698359104,5449410,2305,15919.0,15380.0,1394-12-18
1234,2016-03-09,15450.0,15450.0,15280.0,15333.0,60957349561,3975534,1360,15543.0,15323.0,1394-12-19
1233,2016-03-12,15340.0,16000.0,15250.0,15640.0,56093911264,3586676,1469,15333.0,15526.0,1394-12-22
1232,2016-03-14,15789.0,16100.0,15550.0,15826.0,60229387241,3805763,2128,15640.0,15650.0,1394-12-24
1231,2016-03-15,15900.0,15949.0,15501.0,15724.0,47578645832,3025777,997,15826.0,15660.0,1394-12-25
1230,2016-03-16,15700.0,15700.0,15303.0,15459.0,53357159336,3451430,1048,15724.0,15499.0,1394-12-26
1229,2016-03-26,15499.0,15803.0,15422.0,15693.0,12492306812,796066,454,15459.0,15803.0,1395-01-07
1228,2016-03-27,15800.0,15800.0,15505.0,15640.0,37569013709,2402108,564,15693.0,15700.0,1395-01-08
1227,2016-03-28,15651.0,15670.0,15504.0,15589.0,10586530898,679112,383,15640.0,15621.0,1395-01-09
1226,2016-03-29,15526.0,15989.0,15526.0,15778.0,37563965369,2380817,850,15589.0,15930.0,1395-01-10
1225,2016-03-30,15985.0,16566.0,15777.0,16523.0,121423171227,7348572,1533,15778.0,16566.0,1395-01-11
