,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
198,2020-08-24,18330.0,18330.0,18330.0,18330.0,204906909090,11178773,167,22307.0,18330.0,1399-06-03
197,2020-08-25,19246.0,19246.0,17414.0,19035.0,233413122601,12262139,949,18330.0,19246.0,1399-06-04
196,2020-08-26,19986.0,19986.0,19986.0,19361.0,15346509918,767863,85,19035.0,19986.0,1399-06-05
195,2020-08-31,20329.0,20329.0,18450.0,19925.0,426991220912,21429581,2067,19361.0,20000.0,1399-06-10
194,2020-09-01,19900.0,20020.0,18929.0,19197.0,253386835975,13199255,787,19925.0,19925.0,1399-06-11
193,2020-09-02,19600.0,19870.0,18300.0,19070.0,187830119421,9849626,1257,19197.0,19000.0,1399-06-12
192,2020-09-05,19990.0,20023.0,19220.0,19942.0,159320604569,7989026,876,19070.0,20023.0,1399-06-15
191,2020-09-06,20939.0,20939.0,20024.0,20935.0,144388151502,6897123,662,19942.0,20939.0,1399-06-16
190,2020-09-07,21981.0,21981.0,20939.0,21740.0,427033153384,19642531,2844,20935.0,21981.0,1399-06-17
189,2020-09-08,21990.0,21990.0,20653.0,20882.0,319940640281,15321139,1975,21740.0,20653.0,1399-06-18
188,2020-09-09,21500.0,21926.0,20882.0,21730.0,146825929119,6756815,992,20882.0,21926.0,1399-06-19
187,2020-09-12,22816.0,22816.0,22816.0,22236.0,24469361440,1072465,160,21730.0,22816.0,1399-06-22
186,2020-09-13,23347.0,23347.0,22610.0,23330.0,332814700020,14265779,1583,22236.0,23347.0,1399-06-23
185,2020-09-14,24496.0,24496.0,23512.0,24483.0,184229268643,7524875,1185,23330.0,24496.0,1399-06-24
184,2020-09-15,25707.0,25707.0,25707.0,25283.0,38640397356,1503108,154,24483.0,25707.0,1399-06-25
183,2020-09-16,26547.0,26547.0,26547.0,26547.0,140196910401,5281083,307,25283.0,26547.0,1399-06-26
182,2020-09-19,27874.0,27874.0,27874.0,27874.0,53783579850,1929525,285,26547.0,27874.0,1399-06-29
181,2020-09-20,28400.0,29267.0,26481.0,28173.0,558032298250,19807473,3364,27874.0,26481.0,1399-06-30
180,2020-09-21,26765.0,26765.0,26765.0,27922.0,8970182690,335146,117,28173.0,26765.0,1399-06-31
179,2020-09-22,26526.0,29318.0,26526.0,27766.0,563557879239,20296848,3541,27922.0,29048.0,1399-07-01
178,2020-09-23,28900.0,29154.0,28060.0,28631.0,44042053958,1527486,398,27766.0,29154.0,1399-07-02
177,2020-09-28,27200.0,28631.0,27200.0,27239.0,503654641424,18490212,1494,28631.0,27205.0,1399-07-07
176,2020-09-29,25878.0,27980.0,25878.0,26148.0,235515875754,9007183,1650,27239.0,26300.0,1399-07-08
175,2020-09-30,25010.0,26980.0,24841.0,25264.0,137932956514,5459749,1035,26148.0,24842.0,1399-07-09
174,2020-10-03,26527.0,26527.0,26527.0,26527.0,52858655172,1992636,260,25264.0,26527.0,1399-07-12
173,2020-10-04,27853.0,27853.0,27853.0,27575.0,43559083876,1563892,308,26527.0,27853.0,1399-07-13
172,2020-10-05,28953.0,28953.0,28953.0,28561.0,40994436888,1415896,191,27575.0,28953.0,1399-07-14
171,2020-10-06,29989.0,29989.0,29989.0,28752.0,7951073537,265133,71,28561.0,29989.0,1399-07-15
170,2020-10-07,30189.0,30189.0,30189.0,30189.0,79046092686,2618374,292,28752.0,30189.0,1399-07-16
169,2020-10-10,31698.0,31698.0,31698.0,31698.0,56149361730,1771385,191,30189.0,31698.0,1399-07-19
168,2020-10-11,33282.0,33282.0,33282.0,33282.0,98394838236,2956398,229,31698.0,33282.0,1399-07-20
167,2020-10-12,34946.0,34946.0,34946.0,34705.0,49495417640,1416340,238,33282.0,34946.0,1399-07-21
166,2020-10-13,36440.0,36440.0,36440.0,36278.0,54713676120,1501473,208,34705.0,36440.0,1399-07-22
165,2020-10-14,38091.0,38091.0,38091.0,38091.0,73548121623,1930853,309,36278.0,38091.0,1399-07-23
164,2020-10-18,39995.0,39995.0,36187.0,38003.0,1159468049851,30509676,3304,38091.0,36187.0,1399-07-27
163,2020-10-19,37200.0,39903.0,37200.0,39329.0,528768092813,13444745,1575,38003.0,39903.0,1399-07-28
162,2020-10-20,41000.0,41200.0,37363.0,38975.0,764678387833,19619755,4707,39329.0,39350.0,1399-07-29
161,2020-10-21,39010.0,40300.0,39010.0,39494.0,36902114930,929346,168,38975.0,40280.0,1399-07-30
160,2020-10-27,37520.0,37520.0,37520.0,37520.0,67117389360,1788843,194,39494.0,37520.0,1399-08-06
159,2020-10-28,35644.0,37363.0,35644.0,35847.0,907662583983,25320587,2734,37520.0,36990.0,1399-08-07
158,2020-10-31,36000.0,36700.0,34055.0,34844.0,639519517008,18353871,3239,35847.0,35300.0,1399-08-10
157,2020-11-01,34250.0,35549.0,33142.0,34102.0,296088296512,8682462,1480,34844.0,33360.0,1399-08-11
156,2020-11-02,34102.0,35807.0,33501.0,35265.0,176525809109,5005743,1249,34102.0,35807.0,1399-08-12
155,2020-11-04,37028.0,37028.0,37028.0,37028.0,71995095576,1944342,287,35265.0,37028.0,1399-08-14
154,2020-11-07,38879.0,38879.0,37028.0,38672.0,624211999239,16141346,2844,37028.0,38879.0,1399-08-17
153,2020-11-08,39000.0,40000.0,36900.0,38668.0,370467994677,9580748,3639,38672.0,38680.0,1399-08-18
152,2020-11-09,40000.0,40500.0,38710.0,39777.0,262158366831,6590719,2762,38668.0,40373.0,1399-08-19
151,2020-11-10,39800.0,40000.0,37789.0,38838.0,257735339157,6636189,2577,39777.0,37800.0,1399-08-20
150,2020-11-11,40020.0,40020.0,36910.0,38814.0,647683774172,16686997,3079,38838.0,37600.0,1399-08-21
149,2020-11-14,37050.0,37900.0,36874.0,36955.0,99852660911,2701985,689,38814.0,36874.0,1399-08-24
