,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2025,2012-04-21,2120.0,2400.0,2115.0,2161.0,63202928597,29240809,5662,1000.0,2230.0,1391-02-02
2024,2012-04-22,2240.0,2240.0,2150.0,2194.0,46216443430,21068098,6478,2161.0,2237.0,1391-02-03
2023,2012-04-29,1960.0,2098.0,1960.0,2023.0,2092801064,1034341,280,1944.0,1970.0,1391-02-10
2022,2012-04-30,2000.0,2040.0,1980.0,2020.0,2545244989,1260202,367,2023.0,2018.0,1391-02-11
2021,2012-05-01,2020.0,2040.0,1990.0,2028.0,28267986881,13941790,414,2020.0,2000.0,1391-02-12
2020,2012-05-02,2000.0,2019.0,1935.0,1989.0,854802212,429730,116,2028.0,1944.0,1391-02-13
2019,2012-05-05,1987.0,1998.0,1912.0,1950.0,870144934,446134,123,1989.0,1912.0,1391-02-16
2018,2012-05-06,1940.0,1990.0,1891.0,1938.0,985145356,508432,172,1950.0,1974.0,1391-02-17
2017,2012-05-07,1938.0,1970.0,1864.0,1923.0,897454850,466790,123,1938.0,1970.0,1391-02-18
2016,2012-05-08,1900.0,1957.0,1890.0,1912.0,441942852,231144,91,1923.0,1953.0,1391-02-19
2015,2012-05-09,1900.0,1945.0,1887.0,1909.0,575061970,301193,116,1912.0,1906.0,1391-02-20
2014,2012-05-12,1945.0,1945.0,1900.0,1918.0,215024400,112100,47,1909.0,1900.0,1391-02-23
2013,2012-05-13,1915.0,1939.0,1890.0,1901.0,23434804220,12330082,335,1918.0,1925.0,1391-02-24
2012,2012-05-14,1901.0,1920.0,1900.0,1904.0,632559220,332189,85,1901.0,1900.0,1391-02-25
2011,2012-05-15,1904.0,1938.0,1901.0,1908.0,127780083,66971,21,1904.0,1904.0,1391-02-26
2010,2012-05-16,1937.0,1999.0,1900.0,1936.0,483123568,249550,88,1908.0,1928.0,1391-02-27
2009,2012-05-19,1902.0,1903.0,1900.0,1901.0,535268242,281555,49,1936.0,1903.0,1391-02-30
2008,2012-05-20,1901.0,1927.0,1900.0,1903.0,277225760,145654,46,1901.0,1927.0,1391-02-31
2007,2012-05-21,1900.0,1920.0,1900.0,1902.0,84358750,44350,11,1903.0,1901.0,1391-03-01
