,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
223,2020-09-02,18500.0,18500.0,18500.0,18500.0,7769994450000,419999700,5570980,1000.0,18500.0,1399-06-12
222,2020-09-05,19425.0,19425.0,19425.0,18814.0,17842251000,918520,12801,18500.0,19425.0,1399-06-15
221,2020-09-06,19754.0,19754.0,19754.0,19754.0,54856087594,2776961,12806,18814.0,19754.0,1399-06-16
220,2020-09-07,20741.0,20741.0,20741.0,20741.0,58506689843,2820823,16384,19754.0,20741.0,1399-06-17
219,2020-09-08,21778.0,21778.0,21778.0,21642.0,51144348098,2348441,24182,20741.0,21778.0,1399-06-18
218,2020-09-09,22724.0,22724.0,22724.0,22723.0,61364844008,2700442,21154,21642.0,22724.0,1399-06-19
217,2020-09-12,23859.0,23859.0,23859.0,23859.0,52805979468,2213252,13053,22723.0,23859.0,1399-06-22
216,2020-09-13,25051.0,25051.0,25051.0,24641.0,36143983616,1442816,16116,23859.0,25051.0,1399-06-23
215,2020-09-14,25873.0,25873.0,25873.0,25873.0,58629563396,2266052,18031,24641.0,25873.0,1399-06-24
214,2020-09-15,27166.0,27166.0,27166.0,27166.0,60614218998,2231253,22089,25873.0,27166.0,1399-06-25
213,2020-09-16,28524.0,28524.0,28524.0,28524.0,96833246676,3394799,45173,27166.0,28524.0,1399-06-26
212,2020-09-19,29950.0,29950.0,29583.0,29949.0,1180453042908,39415551,158165,28524.0,29950.0,1399-06-29
211,2020-09-23,30125.0,31444.0,28452.0,29894.0,1617310775975,54101490,232814,29949.0,28480.0,1399-07-02
210,2020-09-26,28400.0,28400.0,28400.0,28937.0,30428896000,1071440,1742,29894.0,28400.0,1399-07-05
209,2020-09-27,27491.0,27491.0,27491.0,28718.0,6951566697,252867,545,28937.0,27491.0,1399-07-06
208,2020-09-28,27283.0,27283.0,27283.0,28636.0,2595049828,95116,239,28718.0,27283.0,1399-07-07
207,2020-09-29,27205.0,27205.0,27205.0,28495.0,4473236535,164427,349,28636.0,27205.0,1399-07-08
206,2020-09-30,27071.0,27071.0,27071.0,28300.0,6205810182,229242,451,28495.0,27071.0,1399-07-09
205,2020-10-03,26885.0,26885.0,26885.0,26885.0,51701656295,1923067,1454,28300.0,26885.0,1399-07-12
204,2020-10-04,25541.0,25541.0,25541.0,25541.0,45193726778,1769458,1120,26885.0,25541.0,1399-07-13
203,2020-10-05,24264.0,24264.0,24264.0,25309.0,7799080464,321426,528,25541.0,24264.0,1399-07-14
202,2020-10-07,25999.0,26574.0,24044.0,26098.0,1230900364779,47164221,316161,25309.0,26574.0,1399-07-16
201,2020-10-10,26360.0,26370.0,24794.0,25145.0,794943359831,31614366,139979,26098.0,24795.0,1399-07-19
200,2020-10-11,25080.0,26402.0,23888.0,24930.0,757607196825,30389513,115014,25145.0,23888.0,1399-07-20
199,2020-10-12,23720.0,24800.0,23684.0,23759.0,297247853134,12510705,52962,24930.0,23684.0,1399-07-21
198,2020-10-13,23130.0,24300.0,22572.0,22816.0,507893348917,22260860,93097,23759.0,22573.0,1399-07-22
197,2020-10-14,22370.0,22950.0,21700.0,22059.0,308166767020,13970319,68972,22816.0,22020.0,1399-07-23
196,2020-10-18,21620.0,23000.0,21620.0,22297.0,373827236963,16765863,67177,22059.0,22609.0,1399-07-27
195,2020-10-19,22600.0,22600.0,21183.0,21466.0,157956821715,7358295,21165,22297.0,21183.0,1399-07-28
194,2020-10-20,20393.0,22539.0,20393.0,21806.0,607844298597,27874807,62351,21466.0,22539.0,1399-07-29
193,2020-10-21,22537.0,22890.0,21100.0,22004.0,334559070674,15204481,37680,21806.0,21380.0,1399-07-30
192,2020-10-24,21890.0,21890.0,20904.0,20983.0,65654830130,3129020,4642,22004.0,20904.0,1399-08-03
191,2020-10-26,19934.0,20599.0,19934.0,20022.0,361240259266,18042613,46859,20983.0,19934.0,1399-08-05
190,2020-10-27,20060.0,21023.0,19021.0,20257.0,496060894146,24488191,56410,20022.0,21023.0,1399-08-06
189,2020-10-28,21400.0,22282.0,21023.0,21941.0,442077510897,20148258,40993,20257.0,22282.0,1399-08-07
188,2020-10-31,24100.0,24135.0,23038.0,24034.0,1099428148474,45744841,41729,21941.0,24135.0,1399-08-10
187,2020-11-01,24500.0,25250.0,22000.0,23807.0,1682084777665,70656346,51912,24034.0,23050.0,1399-08-11
