,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
247,2020-07-29,24000.0,24000.0,24000.0,24000.0,5985600000000,249400000,5197129,1000.0,24000.0,1399-05-08
246,2020-08-01,25200.0,25200.0,25200.0,24176.0,7701523200,305616,6670,24000.0,25200.0,1399-05-11
245,2020-08-02,25384.0,25384.0,25384.0,24908.0,32034506464,1261996,6283,24176.0,25384.0,1399-05-12
244,2020-08-03,26153.0,26153.0,26153.0,25071.0,7140213601,273017,5655,24908.0,26153.0,1399-05-13
243,2020-08-04,26324.0,26324.0,26324.0,25312.0,10569375564,401511,9110,25071.0,26324.0,1399-05-14
242,2020-08-05,26577.0,26577.0,26577.0,25470.0,6911109657,260041,5699,25312.0,26577.0,1399-05-15
241,2020-08-09,26743.0,26743.0,26743.0,25716.0,10151161426,379582,8243,25470.0,26743.0,1399-05-19
240,2020-08-10,27001.0,27001.0,27001.0,25954.0,9830092064,364064,7989,25716.0,27001.0,1399-05-20
239,2020-08-11,27251.0,27251.0,27251.0,26165.0,8720865020,320020,7420,25954.0,27251.0,1399-05-21
238,2020-08-12,27473.0,27473.0,27473.0,26314.0,6155545434,224058,4822,26165.0,27473.0,1399-05-22
237,2020-08-15,27629.0,27629.0,27629.0,26531.0,8682468508,314252,6414,26314.0,27629.0,1399-05-25
236,2020-08-16,27857.0,27857.0,27857.0,26705.0,6948232225,249425,5435,26531.0,27857.0,1399-05-26
235,2020-08-17,28040.0,28040.0,28040.0,26923.0,8687857520,309838,6811,26705.0,28040.0,1399-05-27
234,2020-08-18,28269.0,28269.0,28269.0,27196.0,10891112823,385267,8060,26923.0,28269.0,1399-05-28
233,2020-08-19,28555.0,28555.0,28555.0,27397.0,8040459790,281578,6073,27196.0,28555.0,1399-05-29
232,2020-08-22,28766.0,28766.0,28766.0,27649.0,9652431300,335550,6326,27397.0,28766.0,1399-06-01
231,2020-08-23,29031.0,29031.0,29031.0,28020.0,14238021702,490442,10333,27649.0,29031.0,1399-06-02
230,2020-08-24,29421.0,29421.0,29421.0,28438.0,16003023372,543932,10994,28020.0,29421.0,1399-06-03
229,2020-08-25,29859.0,29859.0,29859.0,28802.0,13972668345,467955,10051,28438.0,29859.0,1399-06-04
228,2020-08-26,30242.0,30242.0,30242.0,29109.0,11751769022,388591,7172,28802.0,30242.0,1399-06-05
227,2020-08-31,30564.0,30564.0,30564.0,30392.0,46347952572,1516423,32465,29109.0,30564.0,1399-06-10
