,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
533,2019-04-29,2200.0,2200.0,2200.0,2200.0,4399989231000,1999995105,427528,1000.0,2200.0,1398-02-09
532,2019-04-30,2310.0,2310.0,2310.0,2252.0,4995132450,2162395,776,2200.0,2310.0,1398-02-10
531,2019-05-01,2364.0,2364.0,2364.0,2364.0,11846568996,5011239,1550,2252.0,2364.0,1398-02-11
530,2019-05-04,2482.0,2482.0,2482.0,2482.0,28504392490,11484445,3243,2364.0,2482.0,1398-02-14
529,2019-05-05,2606.0,2606.0,2606.0,2606.0,56385310562,21636727,5670,2482.0,2606.0,1398-02-15
528,2019-05-06,2606.0,2637.0,2476.0,2607.0,602288996202,231040139,52790,2606.0,2630.0,1398-02-16
527,2019-05-07,2630.0,2631.0,2477.0,2539.0,695046977697,273802211,64790,2607.0,2544.0,1398-02-17
526,2019-05-08,2547.0,2665.0,2540.0,2631.0,1056864602081,401627194,83540,2539.0,2665.0,1398-02-18
525,2019-05-11,2660.0,2720.0,2510.0,2616.0,683980426765,261449773,52302,2631.0,2565.0,1398-02-21
524,2019-05-12,2560.0,2575.0,2490.0,2515.0,409347580591,162748555,32855,2616.0,2555.0,1398-02-22
523,2019-05-13,2565.0,2640.0,2522.0,2603.0,379318315139,145711339,23628,2515.0,2640.0,1398-02-23
522,2019-05-14,2675.0,2700.0,2610.0,2660.0,329812928814,123974514,22267,2603.0,2630.0,1398-02-24
521,2019-05-15,2631.0,2635.0,2555.0,2593.0,226717892007,87431118,15713,2660.0,2592.0,1398-02-25
520,2019-05-18,2592.0,2634.0,2556.0,2577.0,250980615685,97395236,17824,2593.0,2558.0,1398-02-28
519,2019-05-19,2570.0,2570.0,2512.0,2529.0,195528798938,77327148,15586,2577.0,2525.0,1398-02-29
518,2019-05-20,2511.0,2595.0,2480.0,2524.0,180334512989,71446994,16186,2529.0,2560.0,1398-02-30
517,2019-05-21,2550.0,2591.0,2530.0,2547.0,119676301670,46984979,21531,2524.0,2543.0,1398-02-31
516,2019-05-22,2543.0,2544.0,2510.0,2521.0,109613025046,43487153,9589,2547.0,2526.0,1398-03-01
515,2019-05-25,2500.0,2520.0,2484.0,2504.0,111702122182,44601128,10096,2521.0,2502.0,1398-03-04
514,2019-05-26,2505.0,2550.0,2504.0,2515.0,147527893766,58668453,21151,2504.0,2509.0,1398-03-05
513,2019-05-28,2544.0,2626.0,2525.0,2588.0,287739404690,111187358,17207,2515.0,2607.0,1398-03-07
512,2019-05-29,2600.0,2624.0,2535.0,2557.0,127108204949,49700952,8888,2588.0,2540.0,1398-03-08
511,2019-06-01,2522.0,2537.0,2491.0,2514.0,142673254437,56758230,8881,2557.0,2518.0,1398-03-11
510,2019-06-02,2518.0,2555.0,2518.0,2540.0,114586802933,45106900,8016,2514.0,2545.0,1398-03-12
509,2019-06-03,2549.0,2599.0,2540.0,2553.0,115446775369,45218307,8307,2540.0,2543.0,1398-03-13
508,2019-06-08,2530.0,2558.0,2500.0,2530.0,113886345283,45012451,7400,2553.0,2537.0,1398-03-18
507,2019-06-09,2530.0,2625.0,2526.0,2597.0,215808959316,83088986,13472,2530.0,2623.0,1398-03-19
506,2019-06-10,2624.0,2720.0,2610.0,2661.0,335481130190,126060766,17212,2597.0,2716.0,1398-03-20
505,2019-06-11,2719.0,2794.0,2667.0,2767.0,434814334261,157148973,14266,2661.0,2794.0,1398-03-21
504,2019-06-12,2810.0,2870.0,2700.0,2777.0,308241575619,110979697,12572,2767.0,2720.0,1398-03-22
503,2019-06-15,2681.0,2754.0,2652.0,2691.0,184190355217,68434677,10558,2777.0,2676.0,1398-03-25
502,2019-06-16,2671.0,2745.0,2628.0,2682.0,221883428466,82726061,13775,2691.0,2650.0,1398-03-26
501,2019-06-17,2623.0,2698.0,2620.0,2644.0,242046908689,91538088,24439,2682.0,2653.0,1398-03-27
500,2019-06-18,2639.0,2679.0,2610.0,2643.0,124078667505,46942661,7222,2644.0,2654.0,1398-03-28
499,2019-06-19,2630.0,2685.0,2629.0,2656.0,115972807982,43659964,5971,2643.0,2679.0,1398-03-29
498,2019-06-22,2626.0,2683.0,2604.0,2646.0,99334251366,37538126,5353,2656.0,2665.0,1398-04-01
497,2019-06-23,2631.0,2725.0,2631.0,2704.0,99667665054,36855016,10738,2646.0,2711.0,1398-04-02
496,2019-06-24,2750.0,2839.0,2732.0,2813.0,143426190492,50978263,6506,2704.0,2839.0,1398-04-03
495,2019-06-25,2877.0,2888.0,2777.0,2835.0,169693822848,59849674,6865,2813.0,2861.0,1398-04-04
494,2019-06-26,2899.0,2948.0,2821.0,2889.0,191911414683,66417262,6974,2835.0,2867.0,1398-04-05
493,2019-06-30,2880.0,2899.0,2764.0,2815.0,126290901794,44862521,7221,2889.0,2770.0,1398-04-09
492,2019-07-01,2790.0,2798.0,2727.0,2748.0,99842349738,36333499,4846,2815.0,2783.0,1398-04-10
491,2019-07-02,2770.0,2805.0,2748.0,2773.0,106309463929,38342820,4788,2748.0,2780.0,1398-04-11
490,2019-07-03,2754.0,2800.0,2739.0,2757.0,100580199037,36486161,5817,2773.0,2740.0,1398-04-12
489,2019-07-06,2754.0,2770.0,2675.0,2702.0,84967779046,31441551,4636,2757.0,2689.0,1398-04-15
488,2019-07-07,2689.0,2749.0,2671.0,2709.0,59009708439,21783307,3699,2702.0,2714.0,1398-04-16
487,2019-07-08,2720.0,2840.0,2718.0,2793.0,118278398185,42352159,5405,2709.0,2799.0,1398-04-17
486,2019-07-09,2770.0,2810.0,2702.0,2756.0,101944057604,36986678,6582,2793.0,2742.0,1398-04-18
485,2019-07-10,2710.0,2779.0,2700.0,2719.0,117125033069,43069197,7443,2756.0,2741.0,1398-04-19
484,2019-07-13,2720.0,2800.0,2720.0,2754.0,151880000086,55151469,13211,2719.0,2787.0,1398-04-22
483,2019-07-14,2813.0,2886.0,2787.0,2829.0,139038659214,49153643,6568,2754.0,2820.0,1398-04-23
482,2019-07-15,2830.0,2840.0,2756.0,2787.0,67160943682,24098305,3629,2829.0,2760.0,1398-04-24
481,2019-07-16,2752.0,2768.0,2648.0,2660.0,160487281832,60326536,6169,2787.0,2658.0,1398-04-25
480,2019-07-17,2652.0,2738.0,2630.0,2672.0,74349520226,27822610,4042,2660.0,2655.0,1398-04-26
479,2019-07-20,2650.0,2680.0,2601.0,2644.0,53096285818,20080775,4073,2672.0,2638.0,1398-04-29
478,2019-07-21,2641.0,2743.0,2641.0,2709.0,71585098442,26426350,3774,2644.0,2708.0,1398-04-30
477,2019-07-22,2715.0,2778.0,2715.0,2748.0,85664570866,31174299,4128,2709.0,2737.0,1398-04-31
476,2019-07-23,2728.0,2728.0,2653.0,2691.0,56754447774,21087754,3019,2748.0,2720.0,1398-05-01
475,2019-07-24,2730.0,2730.0,2688.0,2706.0,37435861615,13835232,2297,2691.0,2691.0,1398-05-02
474,2019-07-27,2700.0,2710.0,2651.0,2670.0,48004909445,17977317,3127,2706.0,2680.0,1398-05-05
473,2019-07-28,2711.0,2796.0,2672.0,2727.0,108816793859,39905736,4654,2670.0,2778.0,1398-05-06
472,2019-07-29,2799.0,2843.0,2772.0,2811.0,140720792603,50061989,5951,2727.0,2780.0,1398-05-07
471,2019-07-30,2773.0,2850.0,2773.0,2822.0,105153070943,37262847,4439,2811.0,2816.0,1398-05-08
470,2019-07-31,2820.0,2863.0,2801.0,2839.0,103876437851,36586598,4263,2822.0,2854.0,1398-05-09
469,2019-08-03,2790.0,2859.0,2770.0,2802.0,76327821330,27239184,3328,2839.0,2786.0,1398-05-12
468,2019-08-04,2799.0,2853.0,2774.0,2802.0,73146162923,26100510,2978,2802.0,2794.0,1398-05-13
467,2019-08-05,2800.0,2819.0,2755.0,2784.0,97268810457,34939778,3484,2802.0,2798.0,1398-05-14
466,2019-08-06,2790.0,2798.0,2741.0,2772.0,78760732966,28409351,2924,2784.0,2783.0,1398-05-15
465,2019-08-07,2790.0,2794.0,2701.0,2747.0,51246775770,18654360,2731,2772.0,2731.0,1398-05-16
464,2019-08-10,2720.0,2800.0,2720.0,2752.0,59524331767,21632657,3732,2747.0,2737.0,1398-05-19
463,2019-08-11,2740.0,2740.0,2717.0,2726.0,66656027931,24455444,3168,2752.0,2732.0,1398-05-20
462,2019-08-13,2730.0,2732.0,2692.0,2703.0,97987543724,36254651,4334,2726.0,2722.0,1398-05-22
461,2019-08-14,2718.0,2793.0,2714.0,2753.0,88851941284,32272473,3656,2703.0,2778.0,1398-05-23
460,2019-08-17,2787.0,2787.0,2715.0,2723.0,46126173851,16936696,2857,2753.0,2718.0,1398-05-26
459,2019-08-18,2750.0,2798.0,2745.0,2776.0,147930655299,53281344,5592,2723.0,2764.0,1398-05-27
458,2019-08-19,2780.0,2851.0,2760.0,2810.0,197539333535,70305999,8226,2776.0,2840.0,1398-05-28
457,2019-08-25,2588.0,2588.0,2478.0,2532.0,110924781851,43807473,4961,2360.0,2540.0,1398-06-03
456,2019-08-26,2578.0,2598.0,2555.0,2580.0,121002783942,46895702,6441,2532.0,2589.0,1398-06-04
455,2019-08-27,2590.0,2615.0,2540.0,2587.0,116859559977,45170279,5042,2580.0,2571.0,1398-06-05
454,2019-08-28,2550.0,2610.0,2510.0,2572.0,55310323913,21501851,3074,2587.0,2600.0,1398-06-06
453,2019-08-31,2629.0,2671.0,2601.0,2641.0,103792661485,39307383,3950,2572.0,2632.0,1398-06-09
452,2019-09-01,2614.0,2769.0,2614.0,2704.0,103529822198,38281403,4444,2641.0,2722.0,1398-06-10
451,2019-09-02,2740.0,2740.0,2607.0,2670.0,56263613025,21071285,3057,2704.0,2680.0,1398-06-11
