,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
148,2014-09-16,2123.0,2123.0,2123.0,2123.0,1027532,484,1,1000.0,2123.0,1393-06-25
147,2014-11-01,3500.0,3500.0,3500.0,3500.0,1694000,484,1,2123.0,3500.0,1393-08-10
146,2014-12-09,5500.0,5500.0,5500.0,5500.0,6402000,1164,1,3500.0,5500.0,1393-09-18
145,2014-12-10,5600.0,5600.0,5600.0,5600.0,6518400,1164,1,5500.0,5600.0,1393-09-19
144,2014-12-16,6020.0,6020.0,6020.0,6020.0,1083600,180,1,5600.0,6020.0,1393-09-25
143,2015-01-04,8500.0,8500.0,8500.0,8500.0,12750000,1500,1,6020.0,8500.0,1393-10-14
142,2015-01-07,9000.0,9350.0,8650.0,8945.0,29770500,3328,5,8500.0,8650.0,1393-10-17
141,2015-01-10,9000.0,9000.0,9000.0,9000.0,31464000,3496,1,8945.0,9000.0,1393-10-20
140,2015-01-11,9000.0,9000.0,9000.0,9000.0,90000,10,1,9000.0,9000.0,1393-10-21
139,2015-01-12,6631.0,8000.0,6630.0,7603.0,2569790,338,3,9000.0,8000.0,1393-10-22
138,2015-01-28,5521.0,5521.0,5521.0,5521.0,55210,10,1,7603.0,5521.0,1393-11-08
137,2015-02-01,7990.0,7990.0,7990.0,7990.0,159800,20,1,5521.0,7990.0,1393-11-12
136,2015-02-08,7990.0,7990.0,7990.0,7990.0,2980270,373,1,7990.0,7990.0,1393-11-19
135,2015-02-24,6500.0,6500.0,6000.0,6123.0,24920000,4070,2,7990.0,6000.0,1393-12-05
134,2015-03-02,7000.0,7000.0,7000.0,7000.0,2982000,426,1,6123.0,7000.0,1393-12-11
133,2015-03-16,6000.0,6000.0,6000.0,6000.0,2052000,342,1,7000.0,6000.0,1393-12-25
132,2015-04-28,5521.0,5551.0,5521.0,5545.0,9382572,1692,3,6000.0,5551.0,1394-02-08
131,2015-05-26,5561.0,5561.0,5561.0,5561.0,5672220,1020,1,5545.0,5561.0,1394-03-05
130,2015-06-22,5565.0,5565.0,5565.0,5565.0,15159060,2724,1,5561.0,5565.0,1394-04-01
129,2015-11-07,5200.0,5200.0,5200.0,5200.0,21309600,4098,1,5365.0,5200.0,1394-08-16
128,2015-11-09,5200.0,5200.0,5200.0,5200.0,2600000,500,1,5200.0,5200.0,1394-08-18
127,2015-11-21,5250.0,5250.0,5250.0,5250.0,20097000,3828,2,5200.0,5250.0,1394-08-30
126,2015-11-24,5262.0,5262.0,5262.0,5262.0,2546808,484,1,5250.0,5262.0,1394-09-03
125,2016-02-13,5500.0,5500.0,5500.0,5500.0,2750000,500,1,5262.0,5500.0,1394-11-24
124,2016-03-06,5520.0,5520.0,5520.0,5520.0,2760000,500,1,5500.0,5520.0,1394-12-16
123,2016-06-26,5600.0,5600.0,5600.0,5600.0,82432000,14720,1,5520.0,5600.0,1395-04-06
122,2016-08-09,5550.0,5550.0,5550.0,5550.0,2686200,484,1,5550.0,5550.0,1395-05-19
121,2016-09-26,5550.0,5550.0,5550.0,5550.0,2686200,484,1,5550.0,5550.0,1395-07-05
120,2016-10-09,5560.0,5570.0,5560.0,5565.0,5386920,968,2,5550.0,5570.0,1395-07-18
119,2016-12-12,5571.0,5571.0,5571.0,5571.0,2696364,484,1,5565.0,5571.0,1395-09-22
118,2016-12-19,5576.0,5576.0,5576.0,5576.0,5576000,1000,1,5571.0,5576.0,1395-09-29
117,2017-01-08,5591.0,5591.0,5591.0,5591.0,5412088,968,2,5576.0,5591.0,1395-10-19
116,2017-02-12,5800.0,5800.0,5700.0,5765.0,26502900,4597,3,5591.0,5700.0,1395-11-24
115,2017-02-18,5800.0,5800.0,5800.0,5800.0,3804800,656,1,5765.0,5800.0,1395-11-30
114,2017-02-22,5800.0,5800.0,5800.0,5800.0,2807200,484,1,5800.0,5800.0,1395-12-04
113,2017-03-18,6380.0,6380.0,6380.0,6380.0,2558380,401,2,5800.0,6380.0,1395-12-28
112,2017-04-23,6380.0,6380.0,6380.0,6380.0,3266560,512,1,6380.0,6380.0,1396-02-03
111,2017-04-24,6420.0,6421.0,6420.0,6420.0,6099150,950,2,6380.0,6421.0,1396-02-04
110,2017-05-01,6452.0,6452.0,6452.0,6452.0,3122768,484,1,6420.0,6452.0,1396-02-11
109,2017-10-14,6973.0,6973.0,6973.0,4817.0,2426604,348,1,4649.0,6973.0,1396-07-22
108,2017-10-25,7225.0,7225.0,7225.0,5060.0,3496900,484,1,4817.0,7225.0,1396-08-03
107,2017-11-26,7590.0,7590.0,7590.0,5418.0,5161200,680,1,5060.0,7590.0,1396-09-05
106,2017-12-20,8127.0,8127.0,8127.0,5691.0,3933468,484,14,5418.0,8127.0,1396-09-29
105,2018-07-11,10001.0,10001.0,10001.0,5744.0,12401240,1240,5,5691.0,10001.0,1397-04-20
104,2018-07-16,11501.0,11501.0,11501.0,5754.0,2058679,179,4,5744.0,11501.0,1397-04-25
103,2018-07-18,12501.0,12501.0,12501.0,5811.0,10625850,850,3,5754.0,12501.0,1397-04-27
102,2018-07-21,12530.0,12530.0,12530.0,5837.0,4773930,381,3,5811.0,12530.0,1397-04-30
101,2018-07-23,13000.0,13000.0,13000.0,5838.0,260000,20,4,5837.0,13000.0,1397-05-01
