,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1306,2012-03-13,1200.0,1501.0,1200.0,1308.0,1522576560,1163867,737,1000.0,1240.0,1390-12-23
1305,2012-03-14,1243.0,1243.0,1243.0,1243.0,68986500,55500,23,1308.0,1243.0,1390-12-24
1304,2012-03-24,1181.0,1181.0,1181.0,1181.0,2952500,2500,1,1243.0,1181.0,1391-01-05
1303,2012-03-25,1122.0,1122.0,1122.0,1122.0,11220000,10000,4,1181.0,1122.0,1391-01-06
1302,2012-03-27,1066.0,1080.0,1066.0,1069.0,169381000,158500,107,1122.0,1080.0,1391-01-08
1301,2012-03-28,1122.0,1122.0,1122.0,1122.0,6844200,6100,3,1069.0,1122.0,1391-01-09
1300,2012-04-02,1178.0,1178.0,1178.0,1178.0,2945000,2500,1,1122.0,1178.0,1391-01-14
1299,2012-04-03,1236.0,1236.0,1236.0,1236.0,211152060,170835,75,1178.0,1236.0,1391-01-15
1298,2012-04-04,1297.0,1297.0,1297.0,1297.0,58222330,44890,19,1236.0,1297.0,1391-01-16
1297,2012-04-07,1361.0,1361.0,1237.0,1319.0,390465185,296000,134,1297.0,1243.0,1391-01-19
1296,2012-04-08,1255.0,1255.0,1254.0,1255.0,16685700,13300,7,1319.0,1254.0,1391-01-20
1295,2012-04-09,1193.0,1194.0,1193.0,1193.0,71339470,59790,32,1255.0,1194.0,1391-01-21
1294,2012-04-10,1251.0,1252.0,1170.0,1244.0,89543998,72000,41,1193.0,1252.0,1391-01-22
1293,2012-04-11,1306.0,1306.0,1305.0,1306.0,83583997,64000,28,1244.0,1306.0,1391-01-23
1292,2012-04-14,1371.0,1371.0,1261.0,1353.0,160381000,118500,58,1306.0,1371.0,1391-01-26
1291,2012-04-15,1420.0,1420.0,1419.0,1420.0,120680000,85000,34,1353.0,1419.0,1391-01-27
1290,2012-04-16,1491.0,1491.0,1491.0,1491.0,2982000,2000,2,1420.0,1491.0,1391-01-28
1289,2012-04-18,1420.0,1420.0,1417.0,1417.0,31890000,22500,10,1491.0,1417.0,1391-01-30
1288,2012-04-21,1416.0,1416.0,1416.0,1416.0,70800000,50000,62,1417.0,1416.0,1391-02-02
1287,2012-05-14,1346.0,1346.0,1346.0,1346.0,13460000,10000,7,1416.0,1346.0,1391-02-25
1286,2013-09-08,1850.0,2001.0,1845.0,1860.0,213845000,115000,15,1230.0,2001.0,1392-06-17
1285,2013-09-09,1953.0,1953.0,1953.0,1953.0,1953000,1000,1,1860.0,1953.0,1392-06-18
1284,2013-09-10,2050.0,2050.0,2050.0,2050.0,2117650,1033,1,1953.0,2050.0,1392-06-19
1283,2013-09-11,2152.0,2152.0,2152.0,2152.0,2173520,1010,3,2050.0,2152.0,1392-06-20
1282,2013-09-14,2259.0,2259.0,2259.0,2259.0,143446500,63500,7,2152.0,2259.0,1392-06-23
1281,2013-09-17,2371.0,2371.0,2371.0,2371.0,239471,101,2,2259.0,2371.0,1392-06-26
1280,2013-09-18,2489.0,2489.0,2489.0,2489.0,248900,100,1,2371.0,2489.0,1392-06-27
1279,2013-09-21,2613.0,2613.0,2613.0,2613.0,261300000,100000,13,2489.0,2613.0,1392-06-30
1278,2013-09-22,2743.0,2743.0,2700.0,2726.0,89960000,33000,9,2613.0,2700.0,1392-06-31
1277,2013-09-23,2593.0,2593.0,2593.0,2593.0,38895000,15000,2,2726.0,2593.0,1392-07-01
1276,2013-09-25,2700.0,2722.0,2700.0,2718.0,144046000,53000,8,2593.0,2722.0,1392-07-03
1275,2013-09-29,2700.0,2799.0,2700.0,2760.0,80035000,29000,7,2718.0,2799.0,1392-07-07
1274,2013-10-05,2700.0,2760.0,2651.0,2663.0,399706900,150100,55,2760.0,2651.0,1392-07-13
1273,2013-10-06,2550.0,2650.0,2530.0,2561.0,161866610,63210,24,2663.0,2650.0,1392-07-14
1272,2013-10-07,2650.0,2689.0,2650.0,2680.0,58440390,21810,6,2561.0,2689.0,1392-07-15
1271,2013-10-08,2814.0,2814.0,2750.0,2779.0,174256600,62700,9,2680.0,2750.0,1392-07-16
1270,2013-10-09,2798.0,2798.0,2641.0,2646.0,427952892,161712,27,2779.0,2641.0,1392-07-17
1269,2013-10-12,2515.0,2515.0,2515.0,2515.0,285168305,113387,12,2646.0,2515.0,1392-07-20
1268,2013-10-15,2640.0,2640.0,2640.0,2640.0,124898400,47310,11,2515.0,2640.0,1392-07-23
1267,2013-10-22,2748.0,2772.0,2748.0,2769.0,212094920,76610,36,2640.0,2772.0,1392-07-30
1266,2013-10-23,2907.0,2907.0,2907.0,2907.0,19912950,6850,1,2769.0,2907.0,1392-08-01
1265,2013-10-26,3052.0,3052.0,3052.0,3052.0,30520000,10000,1,2907.0,3052.0,1392-08-04
1264,2013-10-27,3204.0,3204.0,3203.0,3204.0,497331900,155225,36,3052.0,3204.0,1392-08-05
1263,2013-10-28,3204.0,3364.0,3204.0,3210.0,65485804,20401,7,3204.0,3220.0,1392-08-06
1262,2013-10-29,3357.0,3370.0,3357.0,3360.0,344754700,102600,38,3210.0,3370.0,1392-08-07
1261,2013-10-30,3204.0,3204.0,3200.0,3200.0,204467240,63896,31,3360.0,3200.0,1392-08-08
1260,2013-11-02,3100.0,3360.0,3100.0,3196.0,287652960,90000,48,3200.0,3360.0,1392-08-11
1259,2013-11-04,3340.0,3355.0,3340.0,3347.0,312942500,93500,26,3196.0,3355.0,1392-08-13
1258,2013-11-05,3514.0,3514.0,3514.0,3514.0,3514000,1000,1,3347.0,3514.0,1392-08-14
1257,2013-11-10,3689.0,3689.0,3689.0,3689.0,137507475,37275,12,3514.0,3689.0,1392-08-19
1256,2013-11-17,3873.0,3873.0,3873.0,3873.0,38730000,10000,5,3689.0,3873.0,1392-08-26
1255,2013-11-18,4066.0,4066.0,4066.0,4066.0,45173260,11110,5,3873.0,4066.0,1392-08-27
1254,2013-11-19,4269.0,4269.0,4269.0,4269.0,285382650,66850,12,4066.0,4269.0,1392-08-28
1253,2013-11-20,4269.0,4269.0,4269.0,4269.0,30314169,7101,1,4269.0,4269.0,1392-08-29
1252,2013-11-23,4478.0,4482.0,4478.0,4480.0,179200000,40000,5,4269.0,4482.0,1392-09-02
1251,2013-11-24,4256.0,4256.0,4256.0,4256.0,180739552,42467,9,4480.0,4256.0,1392-09-03
1250,2013-11-25,4200.0,4200.0,4044.0,4047.0,212852000,52600,16,4256.0,4044.0,1392-09-04
1249,2013-11-26,3850.0,3920.0,3850.0,3865.0,169731200,43912,9,4047.0,3920.0,1392-09-05
1248,2013-11-27,4058.0,4058.0,4058.0,4058.0,24145100,5950,4,3865.0,4058.0,1392-09-06
1247,2013-11-30,4260.0,4260.0,4260.0,4260.0,21300000,5000,1,4058.0,4260.0,1392-09-09
1246,2013-12-01,4473.0,4473.0,4473.0,4473.0,156555000,35000,6,4260.0,4473.0,1392-09-10
1245,2013-12-02,4696.0,4696.0,4690.0,4695.0,739642968,157533,35,4473.0,4696.0,1392-09-11
1244,2013-12-03,4929.0,4929.0,4928.0,4928.0,367678196,74607,15,4695.0,4928.0,1392-09-12
1243,2013-12-04,4685.0,4685.0,4682.0,4682.0,244639828,52247,14,4928.0,4682.0,1392-09-13
1242,2013-12-07,4448.0,4455.0,4448.0,4448.0,704139400,158300,23,4682.0,4448.0,1392-09-16
1241,2013-12-08,4448.0,4448.0,4226.0,4235.0,956820986,225922,37,4448.0,4237.0,1392-09-17
1240,2013-12-09,4235.0,4446.0,4040.0,4182.0,672696190,160842,33,4235.0,4041.0,1392-09-18
1239,2013-12-10,4391.0,4391.0,4391.0,4391.0,147142410,33510,12,4182.0,4391.0,1392-09-19
1238,2013-12-11,4610.0,4610.0,4610.0,4610.0,46100000,10000,3,4391.0,4610.0,1392-09-20
1237,2013-12-14,4750.0,4840.0,4750.0,4813.0,706310750,146746,21,4610.0,4840.0,1392-09-23
1236,2013-12-15,5053.0,5053.0,5053.0,5053.0,110589958,21886,5,4813.0,5053.0,1392-09-24
1235,2013-12-16,5305.0,5305.0,5305.0,5305.0,178248000,33600,4,5053.0,5305.0,1392-09-25
1234,2013-12-17,5570.0,5570.0,5570.0,5570.0,361576550,64915,12,5305.0,5570.0,1392-09-26
1233,2013-12-18,5848.0,5848.0,5848.0,5848.0,274259504,46898,11,5570.0,5848.0,1392-09-27
1232,2013-12-21,6130.0,6140.0,5556.0,6007.0,2021701444,336530,87,5848.0,5650.0,1392-09-30
1231,2013-12-22,5710.0,6000.0,5707.0,5827.0,1194519272,205000,45,6007.0,5999.0,1392-10-01
1230,2013-12-24,6118.0,6118.0,6118.0,6118.0,824216960,134720,27,5827.0,6118.0,1392-10-03
1229,2013-12-25,6423.0,6423.0,6420.0,6423.0,1072633000,167000,48,6118.0,6423.0,1392-10-04
1228,2013-12-28,6744.0,6744.0,6744.0,6744.0,51254400,7600,9,6423.0,6744.0,1392-10-07
1227,2013-12-29,7081.0,7081.0,7081.0,7081.0,247835000,35000,8,6744.0,7081.0,1392-10-08
1226,2013-12-30,7435.0,7435.0,7435.0,7435.0,318426180,42828,9,7081.0,7435.0,1392-10-09
1225,2014-01-01,7806.0,7806.0,7806.0,7806.0,499584000,64000,11,7435.0,7806.0,1392-10-11
1224,2014-01-04,8196.0,8196.0,8196.0,8196.0,627198900,76525,8,7806.0,8196.0,1392-10-14
1223,2014-01-05,8605.0,8605.0,8605.0,8605.0,7099125,825,1,8196.0,8605.0,1392-10-15
1222,2014-01-06,9035.0,9035.0,9035.0,9035.0,280536750,31050,9,8605.0,9035.0,1392-10-16
1221,2014-01-07,9486.0,9486.0,8584.0,8953.0,5632204336,629077,153,9035.0,8585.0,1392-10-17
1220,2014-01-08,8800.0,8800.0,8506.0,8567.0,537912785,62792,29,8953.0,8506.0,1392-10-18
1219,2014-01-11,8567.0,8800.0,8300.0,8535.0,949893500,111300,84,8567.0,8300.0,1392-10-21
1218,2014-01-12,8109.0,8109.0,8109.0,8109.0,38006883,4687,4,8535.0,8109.0,1392-10-22
1217,2014-01-13,8000.0,8000.0,7704.0,7885.0,305130400,38700,14,8109.0,7704.0,1392-10-23
1216,2014-01-14,7491.0,8100.0,7491.0,8025.0,88279150,11000,8,7885.0,8100.0,1392-10-24
1215,2014-01-15,7624.0,7624.0,7624.0,7624.0,45744000,6000,4,8025.0,7624.0,1392-10-25
1214,2014-01-18,7243.0,7243.0,7243.0,7243.0,5939260,820,1,7624.0,7243.0,1392-10-28
1213,2014-01-20,6881.0,6881.0,6881.0,6881.0,61240900,8900,5,7243.0,6881.0,1392-10-30
1212,2014-01-21,6540.0,6800.0,6537.0,6552.0,104637800,15970,6,6881.0,6800.0,1392-11-01
1211,2014-01-22,6225.0,6225.0,6225.0,6225.0,6225000,1000,1,6552.0,6225.0,1392-11-02
1210,2014-01-25,5914.0,6320.0,5914.0,5993.0,395540800,66000,13,6225.0,6210.0,1392-11-05
1209,2014-01-26,5694.0,5694.0,5694.0,5694.0,62634000,11000,6,5993.0,5694.0,1392-11-06
1208,2014-01-27,5410.0,5420.0,5410.0,5414.0,112606000,20800,5,5694.0,5420.0,1392-11-07
1207,2014-01-28,5684.0,5684.0,5684.0,5684.0,63439124,11161,6,5414.0,5684.0,1392-11-08
1206,2014-01-29,5968.0,5968.0,5968.0,5968.0,118417056,19842,5,5684.0,5968.0,1392-11-09
1205,2014-02-01,6266.0,6266.0,6266.0,6266.0,676728,108,3,5968.0,6266.0,1392-11-12
1204,2014-02-02,6579.0,6579.0,6570.0,6578.0,1073609379,163201,36,6266.0,6579.0,1392-11-13
1203,2014-02-03,6250.0,6250.0,6250.0,6250.0,113750000,18200,7,6578.0,6250.0,1392-11-14
1202,2014-02-04,5938.0,5940.0,5938.0,5938.0,148455670,25000,8,6250.0,5938.0,1392-11-15
1201,2014-02-05,5642.0,5642.0,5642.0,5642.0,56420000,10000,2,5938.0,5642.0,1392-11-16
1200,2014-02-09,5360.0,5360.0,5360.0,5360.0,172592000,32200,11,5642.0,5360.0,1392-11-20
1199,2014-02-10,5092.0,5092.0,5092.0,5092.0,229140000,45000,5,5360.0,5092.0,1392-11-21
1198,2014-02-12,4838.0,4838.0,4838.0,4838.0,24190000,5000,2,5092.0,4838.0,1392-11-23
1197,2014-02-15,5079.0,5079.0,5079.0,5079.0,14444676,2844,3,4838.0,5079.0,1392-11-26
1196,2014-02-16,5332.0,5332.0,5332.0,5332.0,37857200,7100,4,5079.0,5332.0,1392-11-27
1195,2014-02-17,5598.0,5598.0,5598.0,5598.0,588769650,105175,23,5332.0,5598.0,1392-11-28
1194,2014-02-18,5320.0,5580.0,5319.0,5472.0,353034966,64514,26,5598.0,5472.0,1392-11-29
1193,2014-02-23,5250.0,5700.0,5199.0,5222.0,184350000,35300,6,5472.0,5199.0,1392-12-04
1192,2014-02-24,5050.0,5050.0,5000.0,5025.0,100500000,20000,3,5222.0,5000.0,1392-12-05
1191,2014-02-25,5025.0,5025.0,4774.0,4911.0,27145675,5527,3,5025.0,4774.0,1392-12-06
1190,2014-02-26,4666.0,4666.0,4666.0,4666.0,122109220,26170,6,4911.0,4666.0,1392-12-07
1189,2014-03-01,4600.0,4600.0,4435.0,4527.0,81480000,18000,2,4666.0,4435.0,1392-12-10
1188,2014-03-02,4753.0,4753.0,4753.0,4753.0,54659500,11500,3,4527.0,4753.0,1392-12-11
1187,2014-03-03,4531.0,4547.0,4517.0,4532.0,431883236,95299,42,4753.0,4517.0,1392-12-12
1186,2014-03-04,4700.0,4758.0,4540.0,4631.0,128328920,27708,11,4532.0,4600.0,1392-12-13
1185,2014-03-05,4500.0,4600.0,4400.0,4432.0,307124436,69292,21,4631.0,4433.0,1392-12-14
1184,2014-03-08,4653.0,4653.0,4250.0,4322.0,267983000,62000,31,4432.0,4250.0,1392-12-17
1183,2014-03-09,4121.0,4300.0,4120.0,4187.0,431266442,103000,25,4322.0,4150.0,1392-12-18
1182,2014-03-10,4115.0,4116.0,4114.0,4115.0,69132200,16800,8,4187.0,4116.0,1392-12-19
1181,2014-03-11,4001.0,4320.0,4001.0,4095.0,738153150,180250,37,4115.0,4320.0,1392-12-20
1180,2014-03-12,4299.0,4299.0,4299.0,4299.0,8598000,2000,1,4095.0,4299.0,1392-12-21
