,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
218,2020-09-09,1750.0,1750.0,1750.0,1750.0,7416565467500,4238037410,5180466,1000.0,1750.0,1399-06-19
217,2020-09-12,1830.0,1830.0,1830.0,1830.0,74340468810,40623207,9911,1750.0,1830.0,1399-06-22
216,2020-09-13,1920.0,1920.0,1920.0,1920.0,138093196800,71923540,8946,1830.0,1920.0,1399-06-23
215,2020-09-14,2010.0,2010.0,2010.0,2010.0,112979579460,56208746,8575,1920.0,2010.0,1399-06-24
214,2020-09-15,2110.0,2110.0,2110.0,2110.0,69972301080,33162228,12402,2010.0,2110.0,1399-06-25
213,2020-09-16,2210.0,2210.0,2210.0,2210.0,63859293680,28895608,22605,2110.0,2210.0,1399-06-26
212,2020-09-19,2320.0,2320.0,2320.0,2320.0,54195153600,23359980,30540,2210.0,2320.0,1399-06-29
211,2020-09-20,2430.0,2430.0,2430.0,2430.0,117377607060,48303542,63976,2320.0,2430.0,1399-06-30
210,2020-09-21,2550.0,2550.0,2550.0,2550.0,58310844900,22866998,18439,2430.0,2550.0,1399-06-31
209,2020-09-22,2670.0,2670.0,2670.0,2630.0,38037439440,14246232,13810,2550.0,2670.0,1399-07-01
208,2020-09-26,2760.0,2760.0,2680.0,2760.0,1598547513150,579245045,150253,2630.0,2760.0,1399-07-05
207,2020-09-27,2700.0,2700.0,2630.0,2660.0,434995834220,163480803,27986,2760.0,2630.0,1399-07-06
206,2020-09-28,2530.0,2530.0,2530.0,2570.0,34207537980,13520766,2028,2660.0,2530.0,1399-07-07
205,2020-09-29,2450.0,2450.0,2450.0,2490.0,31751710900,12959882,2218,2570.0,2450.0,1399-07-08
204,2020-09-30,2370.0,2370.0,2370.0,2370.0,53533799370,22588101,3171,2490.0,2370.0,1399-07-09
203,2020-10-03,2260.0,2480.0,2260.0,2400.0,1402410197590,585543660,240519,2370.0,2480.0,1399-07-12
202,2020-10-04,2490.0,2520.0,2280.0,2470.0,1799768897700,729360150,174743,2400.0,2520.0,1399-07-13
201,2020-10-05,2440.0,2590.0,2360.0,2530.0,1071422734260,423012590,134778,2470.0,2590.0,1399-07-14
200,2020-10-06,2650.0,2650.0,2650.0,2650.0,92296115950,34828723,26962,2530.0,2650.0,1399-07-15
199,2020-10-07,2780.0,2780.0,2650.0,2780.0,832944223100,299943176,48128,2650.0,2780.0,1399-07-16
198,2020-10-10,2780.0,2910.0,2650.0,2860.0,790251170940,276406447,61737,2780.0,2910.0,1399-07-19
197,2020-10-11,3000.0,3000.0,2880.0,2990.0,466536090100,155867869,41641,2860.0,3000.0,1399-07-20
