,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
369,2019-09-02,3790.0,3790.0,3790.0,3790.0,33475705600,8832640,436,2257.0,3790.0,1398-06-11
368,2019-09-04,3700.0,3700.0,3677.0,3699.0,32189180062,8702158,620,3790.0,3677.0,1398-06-13
367,2019-09-16,3552.0,3552.0,3552.0,3552.0,4907208768,1381534,41,3699.0,3552.0,1398-06-25
366,2019-09-17,3481.0,3481.0,3481.0,3481.0,1897294683,545043,53,3552.0,3481.0,1398-06-26
365,2019-09-18,3481.0,3481.0,3481.0,3481.0,146640606,42126,11,3481.0,3481.0,1398-06-27
364,2019-09-21,3481.0,3481.0,3481.0,3481.0,3540918453,1017213,78,3481.0,3481.0,1398-06-30
363,2019-09-22,3481.0,3481.0,3481.0,3481.0,559034676,160596,18,3481.0,3481.0,1398-06-31
362,2019-09-23,3481.0,3481.0,3342.0,3432.0,956951889,278810,35,3481.0,3342.0,1398-07-01
361,2019-09-24,3276.0,3341.0,3276.0,3278.0,24036822768,7332036,727,3432.0,3329.0,1398-07-02
360,2019-09-25,3343.0,3343.0,3277.0,3341.0,47062813729,14088227,1554,3278.0,3343.0,1398-07-03
359,2019-09-28,3405.0,3407.0,3360.0,3407.0,25266920071,7417230,678,3341.0,3407.0,1398-07-06
358,2019-09-29,3475.0,3475.0,3428.0,3472.0,34693484767,9993103,883,3407.0,3475.0,1398-07-07
357,2019-09-30,3541.0,3541.0,3499.0,3541.0,15771716916,4454593,392,3472.0,3541.0,1398-07-08
356,2019-10-01,3611.0,3611.0,3471.0,3601.0,53561597849,14872894,994,3541.0,3474.0,1398-07-09
355,2019-10-02,3529.0,3650.0,3529.0,3587.0,22397595018,6244465,553,3601.0,3617.0,1398-07-10
354,2019-10-05,3658.0,3658.0,3621.0,3658.0,23908462551,6536437,472,3587.0,3658.0,1398-07-13
353,2019-10-06,3593.0,3687.0,3585.0,3597.0,9657953112,2685029,325,3658.0,3631.0,1398-07-14
352,2019-10-07,3668.0,3668.0,3633.0,3668.0,49101894586,13386577,963,3597.0,3668.0,1398-07-15
351,2019-10-08,3741.0,3741.0,3595.0,3703.0,28640368977,7733788,708,3668.0,3698.0,1398-07-16
350,2019-10-09,3632.0,3776.0,3630.0,3698.0,6852465269,1853062,315,3703.0,3749.0,1398-07-17
349,2019-10-12,3768.0,3768.0,3659.0,3705.0,8707616017,2349952,335,3698.0,3718.0,1398-07-20
348,2019-10-13,3680.0,3729.0,3631.0,3653.0,7870176465,2154686,302,3705.0,3631.0,1398-07-21
347,2019-10-14,3582.0,3585.0,3580.0,3581.0,1211049382,338184,44,3653.0,3580.0,1398-07-22
346,2019-10-15,3510.0,3510.0,3510.0,3510.0,303818580,86558,70,3581.0,3510.0,1398-07-23
345,2019-10-16,3440.0,3440.0,3440.0,3440.0,239950320,69753,15,3510.0,3440.0,1398-07-24
344,2019-10-20,3303.0,3303.0,3303.0,3303.0,335925009,101703,22,3440.0,3303.0,1398-07-28
343,2019-10-21,3237.0,3237.0,3237.0,3237.0,71281977,22021,32,3303.0,3237.0,1398-07-29
342,2019-10-22,3175.0,3300.0,3173.0,3192.0,9386368535,2940529,290,3237.0,3173.0,1398-07-30
341,2019-10-23,3129.0,3191.0,3129.0,3130.0,14003129901,4473141,296,3192.0,3129.0,1398-08-01
340,2019-10-26,3005.0,3067.0,3005.0,3018.0,5294926479,1754342,207,3130.0,3041.0,1398-08-04
339,2019-10-28,3001.0,3078.0,3001.0,3070.0,1315530340,428464,81,3018.0,3078.0,1398-08-06
338,2019-10-30,3129.0,3131.0,3079.0,3131.0,4745168008,1515629,128,3070.0,3131.0,1398-08-08
337,2019-11-02,3193.0,3193.0,3069.0,3083.0,9686311209,3142093,364,3131.0,3070.0,1398-08-11
336,2019-11-03,3032.0,3126.0,3022.0,3079.0,2577739135,837183,210,3083.0,3090.0,1398-08-12
335,2019-11-04,3025.0,3109.0,3018.0,3027.0,3798848347,1255062,200,3079.0,3018.0,1398-08-13
334,2019-11-05,3020.0,3087.0,2980.0,3066.0,3715555560,1211663,227,3027.0,3087.0,1398-08-14
333,2019-11-09,3127.0,3127.0,3111.0,3124.0,3304207018,1057589,196,3066.0,3126.0,1398-08-18
332,2019-11-10,3156.0,3185.0,3066.0,3138.0,2804047795,893525,238,3124.0,3072.0,1398-08-19
331,2019-11-11,3180.0,3196.0,3100.0,3142.0,1114927319,354871,108,3138.0,3149.0,1398-08-20
330,2019-11-12,3167.0,3195.0,3080.0,3126.0,2576472985,824107,240,3142.0,3111.0,1398-08-21
