,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
668,2017-12-27,960.0,960.0,960.0,960.0,48000000,50000,1,640.0,960.0,1396-10-06
667,2017-12-31,1056.0,1056.0,1056.0,1056.0,21120000,20000,1,960.0,1056.0,1396-10-10
666,2018-01-08,1161.0,1161.0,1161.0,1161.0,34830000,30000,2,1056.0,1161.0,1396-10-18
665,2018-01-13,1277.0,1277.0,1277.0,1277.0,51080000,40000,2,1161.0,1277.0,1396-10-23
664,2018-01-21,1404.0,1404.0,1404.0,1404.0,141804000,101000,5,1277.0,1404.0,1396-11-01
663,2018-01-30,1544.0,0.0,0.0,1544.0,154400000,100000,4,1404.0,1544.0,1396-11-10
662,2018-01-31,1544.0,1544.0,1544.0,1544.0,231600000,150000,7,1404.0,1544.0,1396-11-11
661,2018-02-03,1698.0,1698.0,1698.0,1698.0,260894304,153648,10,1544.0,1698.0,1396-11-14
660,2018-02-04,1867.0,1867.0,1867.0,1867.0,485420000,260000,14,1698.0,1867.0,1396-11-15
659,2018-02-05,2053.0,2053.0,2053.0,2053.0,472190000,230000,8,1867.0,2053.0,1396-11-16
658,2018-02-14,2258.0,2258.0,2258.0,2258.0,916409300,405850,12,2053.0,2258.0,1396-11-25
657,2018-03-13,2483.0,2483.0,2483.0,2483.0,293438457,118179,10,2258.0,2483.0,1396-12-22
656,2018-04-08,2731.0,2731.0,2731.0,2731.0,448493013,164223,11,2483.0,2731.0,1397-01-19
655,2018-04-09,3004.0,3004.0,3004.0,3004.0,2258223956,751739,79,2731.0,3004.0,1397-01-20
654,2018-04-10,3304.0,3304.0,2704.0,2854.0,2775849956,972643,97,3004.0,2704.0,1397-01-21
653,2018-04-11,2850.0,2850.0,2569.0,2573.0,80899743,31447,10,2854.0,2569.0,1397-01-22
652,2018-04-18,2450.0,2450.0,2450.0,2569.0,9310000,3800,3,2573.0,2450.0,1397-01-29
651,2018-04-23,2199.0,2199.0,2199.0,2513.0,43980000,20000,2,2569.0,2199.0,1397-02-03
650,2018-04-28,2000.0,2020.0,2000.0,2003.0,659927000,329458,73,2513.0,2020.0,1397-02-08
649,2018-04-30,2050.0,2050.0,2050.0,2050.0,192700000,94000,12,2003.0,2050.0,1397-02-10
648,2018-05-05,2100.0,2100.0,2089.0,2100.0,381704000,181790,26,2050.0,2089.0,1397-02-15
647,2018-05-07,2101.0,2153.0,2101.0,2102.0,192734132,91680,21,2100.0,2153.0,1397-02-17
646,2018-05-09,2200.0,2200.0,2200.0,2200.0,21982400,9992,10,2102.0,2200.0,1397-02-19
645,2018-05-12,2300.0,2400.0,2300.0,2355.0,91263900,38760,18,2200.0,2400.0,1397-02-22
644,2018-05-14,2450.0,2503.0,2450.0,2488.0,24081211,9679,7,2355.0,2503.0,1397-02-24
643,2018-05-16,2550.0,2550.0,2550.0,2550.0,124309950,48749,46,2488.0,2550.0,1397-02-26
642,2018-05-19,2570.0,2570.0,2570.0,2570.0,277778450,108085,45,2550.0,2570.0,1397-02-29
641,2018-05-21,2620.0,2620.0,2620.0,2620.0,112322020,42871,25,2570.0,2620.0,1397-02-31
640,2018-05-23,2590.0,2590.0,2440.0,2449.0,90815320,37078,10,2620.0,2440.0,1397-03-02
639,2018-05-26,2100.0,2140.0,2100.0,2103.0,549868100,261461,41,2449.0,2140.0,1397-03-05
638,2018-05-28,2122.0,2122.0,2122.0,2122.0,36683014,17287,4,2103.0,2122.0,1397-03-07
637,2018-05-30,2124.0,2124.0,2124.0,2124.0,21240000,10000,1,2122.0,2124.0,1397-03-09
636,2018-06-02,2124.0,2200.0,2124.0,2133.0,122761828,57547,23,2124.0,2200.0,1397-03-12
635,2018-06-09,2133.0,2133.0,2110.0,2116.0,40529905,19156,11,2133.0,2110.0,1397-03-19
634,2018-06-11,2116.0,2116.0,2116.0,2116.0,37101944,17534,6,2116.0,2116.0,1397-03-21
633,2018-06-13,2116.0,2116.0,2116.0,2116.0,48490256,22916,11,2116.0,2116.0,1397-03-23
632,2018-06-18,2116.0,2116.0,2116.0,2116.0,71944000,34000,8,2116.0,2116.0,1397-03-28
631,2018-06-20,2116.0,2116.0,2000.0,2019.0,24232000,12000,4,2116.0,2000.0,1397-03-30
630,2018-06-25,1850.0,1850.0,1850.0,1850.0,225350350,121811,35,2019.0,1850.0,1397-04-04
629,2018-06-27,1850.0,1850.0,1850.0,1850.0,15725000,8500,3,1850.0,1850.0,1397-04-06
628,2018-06-30,1850.0,1850.0,1850.0,1850.0,18614700,10062,3,1850.0,1850.0,1397-04-09
627,2018-07-02,1850.0,1850.0,1850.0,1850.0,52847100,28566,12,1850.0,1850.0,1397-04-11
626,2018-07-04,1850.0,1850.0,1850.0,1850.0,7146550,3863,3,1850.0,1850.0,1397-04-13
625,2018-07-11,1850.0,1850.0,1850.0,1850.0,224103450,121137,14,1850.0,1850.0,1397-04-20
624,2018-07-14,1850.0,1850.0,1850.0,1850.0,43482400,23504,6,1850.0,1850.0,1397-04-23
623,2018-07-16,1850.0,1850.0,1850.0,1850.0,721500,390,1,1850.0,1850.0,1397-04-25
622,2018-07-23,1850.0,1850.0,1850.0,1850.0,7400000,4000,3,1850.0,1850.0,1397-05-01
621,2018-07-25,1510.0,1511.0,1510.0,1510.0,360871105,238987,27,1850.0,1511.0,1397-05-03
620,2018-07-30,1511.0,1511.0,1511.0,1511.0,25702110,17010,3,1510.0,1511.0,1397-05-08
619,2018-08-01,1510.0,1510.0,1510.0,1510.0,10570000,7000,2,1511.0,1510.0,1397-05-10
618,2018-08-06,1510.0,1510.0,1510.0,1510.0,15100000,10000,3,1510.0,1510.0,1397-05-15
617,2018-08-08,1501.0,1501.0,1500.0,1500.0,56963088,37963,8,1510.0,1500.0,1397-05-17
616,2018-08-18,1499.0,1499.0,1499.0,1499.0,7495000,5000,1,1500.0,1499.0,1397-05-27
615,2018-08-20,1499.0,1499.0,1499.0,1499.0,1049300,700,1,1499.0,1499.0,1397-05-29
614,2018-08-25,1800.0,1800.0,1800.0,1800.0,114633000,63685,9,1499.0,1800.0,1397-06-03
613,2018-08-27,2500.0,2500.0,2500.0,2500.0,548000000,219200,34,1800.0,2500.0,1397-06-05
