,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1642,2014-06-25,2179.0,2179.0,2092.0,2171.0,5315838337,2448493,177,1000.0,2092.0,1393-04-04
1641,2014-06-28,2085.0,2085.0,2085.0,2111.0,700539150,335990,81,2171.0,2085.0,1393-04-07
1640,2014-06-29,2027.0,2027.0,2027.0,2111.0,5055338,2494,4,2111.0,2027.0,1393-04-08
1639,2014-06-30,2027.0,2027.0,2027.0,2111.0,1013500,500,1,2111.0,2027.0,1393-04-09
1638,2014-07-01,2027.0,2094.0,2027.0,2044.0,9986006331,4885067,1643,2111.0,2046.0,1393-04-10
1637,2014-07-02,2040.0,2125.0,2017.0,2105.0,7249649752,3443951,1458,2044.0,2125.0,1393-04-11
1636,2014-07-05,2125.0,2189.0,2125.0,2182.0,4662524796,2136811,334,2105.0,2189.0,1393-04-14
1635,2014-07-06,2190.0,2190.0,2095.0,2096.0,5832302540,2782593,286,2182.0,2095.0,1393-04-15
1634,2014-07-07,2013.0,2070.0,2013.0,2018.0,6485637824,3214400,388,2096.0,2030.0,1393-04-16
1633,2014-07-08,2045.0,2098.0,2043.0,2086.0,3791248365,1817527,225,2018.0,2098.0,1393-04-17
1632,2014-07-09,2133.0,2133.0,2003.0,2029.0,5363040100,2643732,478,2086.0,2003.0,1393-04-18
1631,2014-07-12,1953.0,2030.0,1948.0,1973.0,4952186773,2509818,326,2029.0,1948.0,1393-04-21
1630,2014-07-13,1966.0,1989.0,1895.0,1915.0,4401187320,2298053,299,1973.0,1920.0,1393-04-22
1629,2014-07-14,1910.0,1970.0,1865.0,1909.0,7650282766,4006815,331,1915.0,1890.0,1393-04-23
1628,2014-07-15,1862.0,1922.0,1834.0,1878.0,4582595084,2439568,278,1909.0,1851.0,1393-04-24
1627,2014-07-16,1840.0,1910.0,1834.0,1878.0,2684869215,1429941,364,1878.0,1890.0,1393-04-25
1626,2014-07-20,1889.0,1889.0,1810.0,1856.0,1658030283,893158,214,1878.0,1847.0,1393-04-29
1625,2014-07-21,1823.0,1930.0,1823.0,1922.0,1410603422,733964,120,1856.0,1930.0,1393-04-30
1624,2014-07-22,1998.0,1998.0,1941.0,1997.0,16025559682,8023356,587,1922.0,1998.0,1393-04-31
1623,2014-07-23,2038.0,2038.0,1929.0,1982.0,8700688309,4389799,630,1997.0,1935.0,1393-05-01
1622,2014-07-26,1950.0,1960.0,1903.0,1908.0,2668540334,1398354,210,1982.0,1920.0,1393-05-04
1621,2014-07-27,1902.0,1944.0,1900.0,1913.0,1707472094,892776,163,1908.0,1930.0,1393-05-05
1620,2014-07-28,1963.0,1964.0,1905.0,1926.0,2250647262,1168547,180,1913.0,1920.0,1393-05-06
1619,2014-08-02,1950.0,1950.0,1849.0,1858.0,3595036720,1935322,231,1926.0,1860.0,1393-05-11
1618,2014-08-03,1860.0,1910.0,1813.0,1841.0,2124333751,1153655,251,1858.0,1840.0,1393-05-12
1617,2014-08-04,1880.0,1880.0,1841.0,1854.0,1058046802,570732,97,1841.0,1870.0,1393-05-13
1616,2014-08-05,1822.0,1889.0,1820.0,1855.0,955695815,515186,109,1854.0,1831.0,1393-05-14
1615,2014-08-06,1812.0,1859.0,1812.0,1832.0,707035917,387053,97,1855.0,1859.0,1393-05-15
1614,2014-08-09,1835.0,1880.0,1835.0,1846.0,2749594473,1489837,180,1832.0,1853.0,1393-05-18
1613,2014-08-10,1835.0,1850.0,1811.0,1819.0,988145212,543115,95,1846.0,1813.0,1393-05-19
1612,2014-08-11,1815.0,1891.0,1815.0,1885.0,3737315653,1982427,305,1819.0,1890.0,1393-05-20
