,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1367,2015-08-09,7458.0,7470.0,7340.0,7453.0,10543677494,1414721,114,1000.0,7398.0,1394-05-18
1366,2015-08-10,7460.0,7478.0,7250.0,7420.0,4531556292,613872,86,7453.0,7460.0,1394-05-19
1365,2015-08-12,7448.0,7448.0,7200.0,7406.0,1388057788,189644,46,7420.0,7202.0,1394-05-21
1364,2015-08-15,7400.0,7469.0,7300.0,7413.0,2791638219,375738,80,7406.0,7380.0,1394-05-24
1363,2015-08-16,7389.0,7420.0,7301.0,7403.0,4759285874,643821,103,7413.0,7400.0,1394-05-25
1362,2015-08-17,7425.0,7479.0,7308.0,7407.0,2736966301,368919,84,7403.0,7449.0,1394-05-26
1361,2015-08-18,7312.0,7480.0,7312.0,7404.0,1909589489,258322,50,7407.0,7380.0,1394-05-27
1360,2015-08-19,7396.0,7470.0,7306.0,7409.0,2935621432,395561,52,7404.0,7459.0,1394-05-28
1359,2015-08-22,7400.0,7400.0,7326.0,7409.0,163638200,22158,18,7409.0,7326.0,1394-05-31
1358,2015-08-23,7440.0,7440.0,7200.0,7407.0,171323010,23497,26,7409.0,7200.0,1394-06-01
1357,2015-08-24,7170.0,7279.0,7170.0,7397.0,463543267,64481,30,7407.0,7180.0,1394-06-02
1356,2015-08-25,7151.0,7200.0,7050.0,7381.0,549864095,77252,70,7397.0,7060.0,1394-06-03
1355,2015-08-26,7071.0,7700.0,7012.0,7424.0,10687613376,1439575,190,7381.0,7700.0,1394-06-04
1354,2015-08-29,7690.0,7690.0,7430.0,7425.0,262833017,35205,21,7424.0,7450.0,1394-06-07
1353,2015-08-30,7483.0,7515.0,7203.0,7439.0,3162210948,423342,52,7425.0,7379.0,1394-06-08
1352,2015-08-31,7500.0,7500.0,7100.0,7317.0,4899084995,680631,145,7439.0,7298.0,1394-06-09
1351,2015-09-01,7350.0,7400.0,7260.0,7339.0,3228129550,437120,46,7317.0,7319.0,1394-06-10
1350,2015-09-02,7403.0,7403.0,7200.0,7340.0,299673500,40700,19,7339.0,7399.0,1394-06-11
1349,2015-09-05,7398.0,7399.0,7190.0,7329.0,922220056,127736,38,7340.0,7220.0,1394-06-14
1348,2015-09-06,7203.0,7299.0,7190.0,7323.0,466517063,64800,34,7329.0,7250.0,1394-06-15
1347,2015-09-07,7171.0,7400.0,7140.0,7335.0,2064929957,279697,55,7323.0,7275.0,1394-06-16
1346,2015-09-08,7370.0,7380.0,7251.0,7338.0,1629440308,221542,56,7335.0,7300.0,1394-06-17
1345,2015-09-09,7370.0,7370.0,7226.0,7335.0,481078568,66070,49,7338.0,7310.0,1394-06-18
1344,2015-09-12,7300.0,7400.0,7191.0,7353.0,3717166908,503500,67,7335.0,7400.0,1394-06-21
1343,2015-09-13,7185.0,7720.0,7181.0,7524.0,121229939299,16112861,147,7353.0,7360.0,1394-06-22
1342,2015-09-14,7300.0,7300.0,7202.0,7520.0,160805334,22140,21,7524.0,7300.0,1394-06-23
1341,2015-09-15,7497.0,7497.0,7144.0,7488.0,921000439,128313,55,7520.0,7348.0,1394-06-24
1340,2015-09-16,7337.0,7337.0,7114.0,7436.0,1422952884,199436,52,7488.0,7114.0,1394-06-25
1339,2015-09-19,7110.0,7599.0,7110.0,7428.0,1435580071,194500,49,7436.0,7450.0,1394-06-28
1338,2015-09-20,7150.0,7150.0,7120.0,7420.0,241066702,33818,18,7428.0,7126.0,1394-06-29
1337,2015-09-21,7150.0,7150.0,7060.0,7410.0,280184837,39509,34,7420.0,7105.0,1394-06-30
1336,2015-09-22,7179.0,7187.0,7077.0,7403.0,300388723,41878,25,7410.0,7187.0,1394-06-31
1335,2015-09-23,7173.0,7173.0,7061.0,7377.0,825684886,116184,81,7403.0,7100.0,1394-07-01
1334,2015-09-26,7100.0,7240.0,7009.0,7326.0,1369445859,194967,55,7377.0,7024.0,1394-07-04
1333,2015-09-27,7026.0,7150.0,7026.0,7325.0,57715647,8123,11,7326.0,7150.0,1394-07-05
1332,2015-09-28,7199.0,7199.0,7040.0,7320.0,204417616,28893,22,7325.0,7040.0,1394-07-06
1331,2015-09-29,7032.0,7070.0,7000.0,7302.0,573965748,81724,44,7320.0,7000.0,1394-07-07
1330,2015-09-30,7021.0,7092.0,6961.0,7290.0,378065660,54014,38,7302.0,6962.0,1394-07-08
1329,2015-10-03,6929.0,7370.0,6926.0,7255.0,3605354853,501203,107,7290.0,7192.0,1394-07-11
1328,2015-10-04,6991.0,7300.0,6893.0,7243.0,24324230456,3358409,122,7255.0,6951.0,1394-07-12
1327,2015-10-05,7270.0,7270.0,6940.0,7236.0,484175160,68086,26,7243.0,7139.0,1394-07-13
1326,2015-10-06,7232.0,7233.0,7030.0,7232.0,214037282,30293,23,7236.0,7033.0,1394-07-14
1325,2015-10-07,7100.0,7100.0,7062.0,7226.0,333426394,47185,24,7232.0,7069.0,1394-07-15
1324,2015-10-10,7133.0,7160.0,7020.0,7224.0,99990448,14202,16,7226.0,7041.0,1394-07-18
1323,2015-10-11,7050.0,7110.0,7048.0,7164.0,4906252794,690571,34,7224.0,7060.0,1394-07-19
1322,2015-10-12,7109.0,7109.0,7023.0,7161.0,280300913,39768,29,7164.0,7050.0,1394-07-20
1321,2015-10-13,7063.0,7069.0,7040.0,7157.0,384971674,54527,29,7161.0,7053.0,1394-07-21
1320,2015-10-14,7120.0,7219.0,7050.0,7159.0,947852260,131992,51,7157.0,7199.0,1394-07-22
1319,2015-10-17,7233.0,7325.0,7151.0,7180.0,1755323952,241143,94,7159.0,7323.0,1394-07-25
1318,2015-10-18,7300.0,7539.0,7300.0,7457.0,9258126818,1235541,151,7180.0,7311.0,1394-07-26
1317,2015-10-19,7390.0,7400.0,7240.0,7451.0,405243030,55493,14,7457.0,7300.0,1394-07-27
1316,2015-10-20,7170.0,7200.0,7079.0,7412.0,1216474518,170558,46,7451.0,7200.0,1394-07-28
1315,2015-10-21,7200.0,7293.0,7113.0,7411.0,73654672,10150,9,7412.0,7280.0,1394-07-29
1314,2015-10-25,7347.0,7430.0,7100.0,7404.0,649405476,88817,39,7411.0,7248.0,1394-08-03
1313,2015-10-26,7376.0,7422.0,7201.0,7402.0,670055554,90879,30,7404.0,7203.0,1394-08-04
1312,2015-10-27,7135.0,7391.0,7132.0,7394.0,494022546,68138,39,7402.0,7205.0,1394-08-05
1311,2015-10-28,7271.0,7490.0,7250.0,7394.0,1670277078,225920,63,7394.0,7400.0,1394-08-06
1310,2015-10-31,7390.0,7450.0,7274.0,7395.0,1249896284,168833,35,7394.0,7372.0,1394-08-09
1309,2015-11-01,7421.0,7550.0,7270.0,7409.0,2743878790,368506,165,7395.0,7500.0,1394-08-10
1308,2015-11-02,7220.0,7599.0,7210.0,7457.0,18448602368,2473879,200,7409.0,7401.0,1394-08-11
1307,2015-11-03,7550.0,7600.0,7464.0,7506.0,24987074426,3328816,120,7457.0,7501.0,1394-08-12
1306,2015-11-04,7461.0,7630.0,7461.0,7598.0,16975850811,2234143,179,7506.0,7600.0,1394-08-13
1305,2015-11-07,7600.0,7700.0,7580.0,7603.0,2006113201,263228,102,7598.0,7600.0,1394-08-16
1304,2015-11-08,7590.0,7750.0,7590.0,7674.0,5693784477,736545,83,7603.0,7750.0,1394-08-17
1303,2015-11-09,7749.0,7749.0,7603.0,7672.0,684740015,89500,32,7674.0,7640.0,1394-08-18
1302,2015-11-10,7600.0,7770.0,7600.0,7710.0,5634587352,727956,106,7672.0,7770.0,1394-08-19
1301,2015-11-11,7710.0,7750.0,7710.0,7717.0,2274133906,293845,53,7710.0,7750.0,1394-08-20
1300,2015-11-14,7774.0,7774.0,7695.0,7720.0,4782544555,619174,30,7717.0,7701.0,1394-08-23
