,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
580,2018-08-18,495.0,495.0,495.0,495.0,2393997210,4836358,181,505.0,495.0,1397-05-27
579,2018-08-20,450.0,453.0,450.0,450.0,17766485730,39462466,2195,495.0,453.0,1397-05-29
578,2018-08-25,481.0,539.0,481.0,514.0,6693746824,13026046,564,450.0,539.0,1397-06-03
577,2018-08-27,570.0,570.0,534.0,563.0,20830767480,36977388,1771,514.0,534.0,1397-06-05
576,2018-08-29,555.0,555.0,539.0,551.0,6958594285,12638055,579,563.0,539.0,1397-06-07
575,2018-09-01,514.0,520.0,514.0,515.0,17785272178,34547665,1847,551.0,520.0,1397-06-10
574,2018-09-03,533.0,533.0,531.0,533.0,18507251214,34732204,1731,515.0,531.0,1397-06-12
573,2018-09-05,549.0,568.0,549.0,552.0,24808655767,44927176,2230,533.0,568.0,1397-06-14
572,2018-09-08,575.0,620.0,575.0,595.0,22078982310,37119495,1475,552.0,620.0,1397-06-17
571,2018-09-10,658.0,672.0,658.0,662.0,36702083936,55466229,2583,595.0,672.0,1397-06-19
570,2018-09-12,750.0,870.0,750.0,802.0,25230509550,31463357,1293,662.0,870.0,1397-06-21
569,2018-09-15,1040.0,1040.0,930.0,1008.0,72228404000,71645078,3502,802.0,930.0,1397-06-24
568,2018-09-17,920.0,939.0,920.0,923.0,103230426217,111806308,5170,1008.0,939.0,1397-06-26
567,2018-09-22,1040.0,1040.0,1040.0,1040.0,103476730240,99496856,4725,923.0,1040.0,1397-06-31
566,2018-09-24,970.0,979.0,970.0,971.0,92421025153,95206348,5154,1040.0,979.0,1397-07-02
565,2018-09-26,980.0,980.0,900.0,957.0,35056635440,36627032,1915,971.0,900.0,1397-07-04
564,2018-09-29,950.0,1000.0,950.0,970.0,59503921850,61339305,2739,957.0,1000.0,1397-07-07
563,2018-10-01,1150.0,1150.0,1048.0,1118.0,87620843030,78398591,3431,970.0,1048.0,1397-07-09
562,2018-10-03,920.0,950.0,920.0,925.0,72785250010,78711461,3845,1118.0,950.0,1397-07-11
561,2018-10-06,1030.0,1030.0,920.0,1007.0,59964362160,59555169,2711,925.0,920.0,1397-07-14
560,2018-10-08,810.0,830.0,810.0,811.0,61458359310,75755235,4076,1007.0,830.0,1397-07-16
559,2018-10-10,866.0,866.0,811.0,829.0,22859655022,27565547,945,811.0,811.0,1397-07-18
558,2018-10-13,830.0,830.0,720.0,765.0,11156958270,14575954,677,829.0,720.0,1397-07-21
557,2018-10-15,800.0,860.0,800.0,831.0,22250770440,26770770,1077,765.0,860.0,1397-07-23
556,2018-10-17,775.0,830.0,775.0,800.0,22759195875,28432276,1164,831.0,830.0,1397-07-25
555,2018-10-20,897.0,897.0,888.0,896.0,61394601723,68504551,3408,800.0,888.0,1397-07-28
554,2018-10-22,845.0,845.0,810.0,827.0,11398181565,13782751,557,896.0,810.0,1397-07-30
553,2018-10-24,740.0,740.0,722.0,735.0,19487310890,26496178,1319,827.0,722.0,1397-08-02
552,2018-10-27,736.0,740.0,736.0,737.0,16914739804,22966276,1223,735.0,740.0,1397-08-05
551,2018-10-29,810.0,820.0,810.0,811.0,40448782920,49853878,2474,737.0,820.0,1397-08-07
550,2018-10-31,810.0,820.0,810.0,812.0,18710239630,23030597,1125,811.0,820.0,1397-08-09
549,2018-11-03,810.0,810.0,780.0,807.0,19018424910,23561396,1218,812.0,780.0,1397-08-12
548,2018-11-05,783.0,820.0,783.0,803.0,13142947304,16359920,779,807.0,820.0,1397-08-14
547,2018-11-10,821.0,821.0,800.0,818.0,26861290197,32818947,1811,803.0,800.0,1397-08-19
546,2018-11-12,814.0,825.0,814.0,818.0,26982386079,32982678,1624,818.0,825.0,1397-08-21
545,2018-11-14,810.0,810.0,810.0,810.0,17896377330,22094293,1251,818.0,810.0,1397-08-23
544,2018-11-17,781.0,781.0,770.0,780.0,17268164595,22136272,1304,810.0,770.0,1397-08-26
543,2018-11-19,770.0,770.0,770.0,770.0,20018039580,25997454,1357,780.0,770.0,1397-08-28
542,2018-11-21,770.0,790.0,770.0,773.0,10299419520,13325428,763,770.0,790.0,1397-08-30
541,2018-11-24,820.0,820.0,810.0,816.0,12406177500,15199085,701,773.0,810.0,1397-09-03
540,2018-11-26,809.0,809.0,780.0,793.0,3435093964,4330222,198,816.0,780.0,1397-09-05
539,2018-11-28,774.0,774.0,766.0,771.0,5473460332,7100270,418,793.0,766.0,1397-09-07
538,2018-12-01,760.0,760.0,735.0,744.0,4119386535,5533256,340,771.0,735.0,1397-09-10
537,2018-12-03,759.0,759.0,726.0,747.0,11155868625,14925149,781,744.0,726.0,1397-09-12
536,2018-12-05,750.0,780.0,750.0,768.0,11486737140,14947457,737,747.0,780.0,1397-09-14
535,2018-12-08,815.0,820.0,815.0,816.0,24744111865,30312995,1820,768.0,820.0,1397-09-17
534,2018-12-10,790.0,790.0,779.0,789.0,24180340629,30630097,1666,816.0,779.0,1397-09-19
533,2018-12-12,790.0,790.0,778.0,789.0,7817963904,9912972,591,789.0,778.0,1397-09-21
532,2018-12-15,778.0,778.0,760.0,766.0,4474018670,5839046,307,789.0,760.0,1397-09-24
531,2018-12-17,780.0,780.0,745.0,773.0,16029402585,20738060,979,766.0,745.0,1397-09-26
530,2018-12-19,749.0,749.0,749.0,749.0,13713523390,18309110,1116,773.0,749.0,1397-09-28
529,2018-12-22,740.0,740.0,740.0,740.0,11972807060,16179469,952,749.0,740.0,1397-10-01
528,2018-12-24,760.0,760.0,736.0,745.0,6303031568,8461991,318,740.0,736.0,1397-10-03
527,2018-12-26,739.0,760.0,739.0,747.0,11314699315,15150988,819,745.0,760.0,1397-10-05
526,2018-12-29,768.0,768.0,738.0,754.0,5547433032,7357229,370,747.0,738.0,1397-10-08
525,2018-12-31,750.0,750.0,750.0,750.0,10804419000,14405892,780,754.0,750.0,1397-10-10
524,2019-01-02,770.0,790.0,770.0,775.0,31586443610,40778969,2050,750.0,790.0,1397-10-12
523,2019-01-05,799.0,800.0,799.0,799.0,29270323369,36624083,1955,775.0,800.0,1397-10-15
522,2019-01-07,814.0,824.0,814.0,816.0,33860173760,41476205,2224,799.0,824.0,1397-10-17
521,2019-01-14,820.0,820.0,771.0,795.0,8608862621,10826622,475,816.0,771.0,1397-10-24
520,2019-01-16,777.0,777.0,771.0,776.0,18606137862,23971198,1400,795.0,771.0,1397-10-26
519,2019-01-19,781.0,799.0,781.0,783.0,14641026475,18690775,1031,776.0,799.0,1397-10-29
518,2019-01-21,809.0,809.0,785.0,801.0,13814698528,17254304,758,783.0,785.0,1397-11-01
517,2019-01-23,828.0,832.0,828.0,828.0,45346700056,54742972,2970,801.0,832.0,1397-11-03
516,2019-01-26,877.0,877.0,840.0,864.0,16350226820,18932294,986,828.0,840.0,1397-11-06
515,2019-01-29,860.0,941.0,820.0,905.0,55522162192,61319201,4721,864.0,901.0,1397-11-09
514,2019-01-30,912.0,945.0,886.0,914.0,51559668028,56405777,3688,905.0,892.0,1397-11-10
513,2019-02-02,908.0,908.0,833.0,867.0,25669338843,29598936,2215,914.0,845.0,1397-11-13
512,2019-02-03,866.0,912.0,820.0,867.0,48619962658,56050270,4210,867.0,895.0,1397-11-14
511,2019-02-04,895.0,920.0,880.0,894.0,23542252582,26322504,1871,867.0,880.0,1397-11-15
510,2019-02-05,895.0,895.0,860.0,872.0,13539902740,15527947,1115,894.0,866.0,1397-11-16
509,2019-02-06,881.0,900.0,838.0,864.0,29005372645,33558108,2519,872.0,882.0,1397-11-17
508,2019-02-10,882.0,896.0,849.0,872.0,21057952368,24138223,1659,864.0,852.0,1397-11-21
507,2019-02-12,853.0,868.0,828.0,837.0,13490161090,16115280,1298,872.0,828.0,1397-11-23
506,2019-02-13,827.0,840.0,796.0,807.0,19602248928,24299627,1809,837.0,804.0,1397-11-24
505,2019-02-16,810.0,829.0,785.0,802.0,18244475788,22736018,1828,807.0,790.0,1397-11-27
504,2019-02-17,790.0,790.0,751.0,763.0,15081183349,19755940,1634,802.0,758.0,1397-11-28
503,2019-02-18,770.0,791.0,763.0,780.0,9202500881,11792494,905,763.0,770.0,1397-11-29
502,2019-02-19,780.0,816.0,772.0,800.0,10350438803,12942483,1088,780.0,799.0,1397-11-30
501,2019-02-20,799.0,809.0,770.0,788.0,9150937752,11615445,900,800.0,781.0,1397-12-01
500,2019-02-23,775.0,833.0,770.0,797.0,15136955937,18988962,1413,788.0,821.0,1397-12-04
499,2019-02-24,810.0,839.0,796.0,815.0,13538033333,16612408,1374,797.0,797.0,1397-12-05
498,2019-02-25,799.0,824.0,780.0,797.0,15056883604,18893223,1364,815.0,780.0,1397-12-06
497,2019-02-26,779.0,780.0,761.0,770.0,12925624518,16793534,1246,797.0,761.0,1397-12-07
496,2019-02-27,787.0,787.0,761.0,767.0,8957775421,11675152,956,770.0,767.0,1397-12-08
495,2019-03-02,780.0,780.0,752.0,761.0,9636126141,12655070,903,767.0,752.0,1397-12-11
494,2019-03-03,754.0,775.0,744.0,755.0,14789137992,19600851,1426,761.0,746.0,1397-12-12
493,2019-03-04,761.0,769.0,744.0,755.0,12058698567,15979527,1047,755.0,749.0,1397-12-13
492,2019-03-05,759.0,759.0,730.0,739.0,9544552369,12921949,1036,755.0,735.0,1397-12-14
491,2019-03-06,735.0,748.0,735.0,740.0,8898682743,12018310,827,739.0,740.0,1397-12-15
490,2019-03-09,750.0,770.0,727.0,746.0,12063514485,16170369,1222,740.0,747.0,1397-12-18
