,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3640,2004-03-06,1520.0,1541.0,1500.0,1515.0,8959355595,5912600,1686,1520.0,1515.0,1382-12-16
3639,2004-03-07,1590.0,1590.0,1528.0,1528.0,15915280,10010,4,1515.0,1528.0,1382-12-17
3638,2004-03-08,1604.0,1604.0,1555.0,1555.0,32095550,20010,6,1528.0,1555.0,1382-12-18
3637,2004-03-09,1632.0,1632.0,1583.0,1583.0,32655830,20010,18,1555.0,1583.0,1382-12-19
3636,2004-03-10,1662.0,1662.0,1590.0,1633.0,1457614242,892155,322,1583.0,1633.0,1382-12-20
3635,2004-03-13,1601.0,1620.0,1553.0,1596.0,319091194,199886,103,1633.0,1596.0,1382-12-23
3634,2004-03-14,1550.0,1583.0,1520.0,1548.0,414760318,267814,92,1596.0,1548.0,1382-12-24
3633,2004-03-15,1548.0,1579.0,1500.0,1548.0,89870553,58042,42,1548.0,1548.0,1382-12-25
3632,2004-03-16,1550.0,1590.0,1549.0,1557.0,121357806,77925,37,1548.0,1557.0,1382-12-26
3631,2004-03-17,1560.0,1634.0,1550.0,1607.0,90329320,56185,31,1557.0,1607.0,1382-12-27
3630,2004-03-27,1687.0,1687.0,1636.0,1636.0,34272582,20316,14,1607.0,1636.0,1383-01-08
3629,2004-03-28,1650.0,1717.0,1650.0,1706.0,83866686,48923,20,1636.0,1706.0,1383-01-09
3628,2004-03-29,1740.0,1750.0,1706.0,1732.0,131176330,75730,40,1706.0,1732.0,1383-01-10
3627,2004-03-30,1745.0,1818.0,1743.0,1768.0,151600343,85722,66,1732.0,1768.0,1383-01-11
3626,2004-04-03,1800.0,1856.0,1800.0,1827.0,96553050,52163,31,1768.0,1827.0,1383-01-15
3625,2004-04-04,1918.0,1918.0,1853.0,1865.0,63191770,33050,25,1827.0,1865.0,1383-01-16
3624,2004-04-05,1958.0,1958.0,1945.0,1945.0,122911362,62774,24,1865.0,1945.0,1383-01-17
3623,2004-04-06,2042.0,2042.0,2042.0,2042.0,167033558,81799,43,1945.0,2042.0,1383-01-18
3622,2004-04-07,2144.0,2144.0,2100.0,2137.0,622400324,291197,115,2042.0,2137.0,1383-01-19
3621,2004-04-10,2243.0,2243.0,2190.0,2190.0,82624861,36837,25,2137.0,2190.0,1383-01-22
3620,2004-04-12,2299.0,2299.0,2214.0,2214.0,36806140,16010,9,2190.0,2214.0,1383-01-24
3619,2004-04-13,2324.0,2324.0,2324.0,2324.0,694241548,298727,147,2214.0,2324.0,1383-01-25
3618,2004-04-14,2324.0,2439.0,2324.0,2342.0,651473538,278144,131,2324.0,2342.0,1383-01-26
3617,2004-04-17,2342.0,2399.0,2328.0,2341.0,187738670,80164,68,2342.0,2341.0,1383-01-29
3616,2004-04-18,2318.0,2318.0,2240.0,2291.0,186355978,81334,42,2341.0,2291.0,1383-01-30
3615,2004-04-21,2177.0,2246.0,2177.0,2246.0,61638091,28313,27,2291.0,2246.0,1383-02-02
3614,2004-04-24,2134.0,2215.0,2134.0,2215.0,42375648,19857,19,2246.0,2215.0,1383-02-05
3613,2004-04-25,2105.0,2149.0,2105.0,2149.0,91224825,43337,26,2215.0,2149.0,1383-02-06
3612,2004-04-26,2042.0,2141.0,2042.0,2141.0,10974698,5374,7,2149.0,2141.0,1383-02-07
3611,2004-04-27,2034.0,2133.0,2034.0,2133.0,9741816,4789,7,2141.0,2133.0,1383-02-08
