,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
673,2018-07-07,700.0,700.0,700.0,700.0,9501104200,13573006,772,838.0,700.0,1397-04-16
672,2018-07-11,700.0,700.0,660.0,675.0,5008680880,7424612,317,700.0,660.0,1397-04-20
671,2018-07-14,649.0,694.0,649.0,657.0,14261046773,21705332,1194,675.0,694.0,1397-04-23
670,2018-07-16,690.0,690.0,664.0,688.0,14690923362,21368397,1170,657.0,664.0,1397-04-25
669,2018-07-18,670.0,670.0,615.0,640.0,4285152325,6706136,314,688.0,615.0,1397-04-27
668,2018-07-21,630.0,651.0,630.0,638.0,7250297397,11366805,583,640.0,651.0,1397-04-30
667,2018-07-23,630.0,630.0,588.0,600.0,3803114784,6342747,377,638.0,588.0,1397-05-01
666,2018-07-25,555.0,555.0,555.0,555.0,13633997910,24565762,1308,600.0,555.0,1397-05-03
665,2018-07-28,560.0,560.0,498.0,515.0,9077224436,17639581,683,555.0,498.0,1397-05-06
664,2018-07-30,520.0,520.0,490.0,504.0,7136139810,14152845,560,515.0,490.0,1397-05-08
663,2018-08-01,540.0,540.0,500.0,518.0,10044914460,19379947,757,504.0,500.0,1397-05-10
662,2018-08-04,501.0,501.0,500.0,501.0,13738430219,27425783,1490,518.0,500.0,1397-05-13
661,2018-08-06,500.0,500.0,460.0,493.0,12152902820,24671885,1182,501.0,460.0,1397-05-15
660,2018-08-08,520.0,520.0,501.0,518.0,11941551938,23033593,1144,493.0,501.0,1397-05-17
659,2018-08-11,521.0,522.0,521.0,521.0,10912018299,20932888,880,518.0,522.0,1397-05-20
658,2018-08-13,550.0,550.0,519.0,544.0,13941336925,25643204,1273,521.0,519.0,1397-05-22
657,2018-08-15,522.0,522.0,522.0,522.0,8084737044,15488002,814,544.0,522.0,1397-05-24
656,2018-08-18,522.0,522.0,522.0,522.0,4378864338,8388629,442,522.0,522.0,1397-05-27
655,2018-08-20,540.0,540.0,530.0,538.0,5678829840,10562205,492,522.0,530.0,1397-05-29
654,2018-08-25,670.0,704.0,670.0,678.0,21160184872,31218458,1450,538.0,704.0,1397-06-03
653,2018-08-27,810.0,810.0,750.0,796.0,20166997740,25343504,1143,678.0,750.0,1397-06-05
652,2018-08-29,717.0,717.0,717.0,717.0,3319284102,4629406,134,796.0,717.0,1397-06-07
651,2018-09-01,717.0,719.0,672.0,690.0,16528497621,23949166,1507,717.0,682.0,1397-06-10
650,2018-09-02,695.0,759.0,695.0,737.0,27114313635,36799677,2328,690.0,759.0,1397-06-11
649,2018-09-03,770.0,809.0,750.0,779.0,22778322742,29226773,2033,737.0,776.0,1397-06-12
648,2018-09-10,856.0,941.0,856.0,899.0,22469675995,24990845,1628,779.0,880.0,1397-06-19
647,2018-09-11,895.0,988.0,840.0,940.0,48505864433,51617925,3430,899.0,988.0,1397-06-20
646,2018-09-12,1025.0,1034.0,1010.0,1030.0,9495147950,9214547,588,940.0,1034.0,1397-06-21
645,2018-09-15,1133.0,1133.0,1110.0,1133.0,38485994638,33973727,1812,1030.0,1133.0,1397-06-24
