,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
557,2018-08-18,1150.0,1150.0,1150.0,1150.0,39758840750,34572905,790,1000.0,1150.0,1397-05-27
556,2018-08-20,1170.0,1170.0,1152.0,1152.0,26507072358,22999787,550,1150.0,1152.0,1397-05-29
555,2018-08-25,1160.0,1160.0,1154.0,1154.0,9901627720,8577362,255,1152.0,1154.0,1397-06-03
554,2018-08-27,1190.0,1190.0,1155.0,1157.0,8756179250,7567640,215,1154.0,1155.0,1397-06-05
553,2018-08-29,1154.0,1154.0,1150.0,1153.0,15307277172,13278520,425,1157.0,1150.0,1397-06-07
552,2018-09-01,1150.0,1154.0,1150.0,1150.0,6190937880,5383026,269,1153.0,1154.0,1397-06-10
551,2018-09-03,1154.0,1154.0,1150.0,1150.0,19042098558,16552877,463,1150.0,1150.0,1397-06-12
550,2018-09-05,1154.0,1154.0,1150.0,1152.0,5645446676,4898884,191,1150.0,1150.0,1397-06-14
549,2018-09-08,1180.0,1200.0,1180.0,1184.0,3681776780,3109808,167,1152.0,1200.0,1397-06-17
548,2018-09-10,1301.0,1301.0,1301.0,1301.0,9815324246,7544446,339,1184.0,1301.0,1397-06-19
547,2018-09-12,1370.0,1370.0,1370.0,1370.0,34121603600,24906280,1076,1301.0,1370.0,1397-06-21
546,2018-09-15,1395.0,1500.0,1395.0,1403.0,258799413015,184485173,8985,1370.0,1500.0,1397-06-24
545,2018-09-17,1500.0,1500.0,1500.0,1500.0,318603727500,212402485,7571,1403.0,1500.0,1397-06-26
544,2018-09-22,1500.0,1500.0,1500.0,1500.0,205464511500,136976341,4790,1500.0,1500.0,1397-06-31
543,2018-09-24,1500.0,1500.0,1500.0,1500.0,175764880500,117176587,4075,1500.0,1500.0,1397-07-02
542,2018-09-26,1575.0,1575.0,1575.0,1575.0,264650163750,168031850,4032,1500.0,1575.0,1397-07-04
541,2018-09-29,1902.0,2310.0,1902.0,2009.0,120799372536,60116936,2587,1575.0,2310.0,1397-07-07
540,2018-10-01,2500.0,2550.0,2500.0,2507.0,434156378850,173188420,7359,2009.0,2550.0,1397-07-09
539,2018-10-03,2068.0,2533.0,2068.0,2301.0,91860761568,39918696,1495,2507.0,2533.0,1397-07-11
538,2018-10-06,2888.0,2888.0,2305.0,2734.0,137775587625,50399062,2840,2301.0,2305.0,1397-07-14
537,2018-10-08,2300.0,2300.0,2297.0,2299.0,78879059743,34317572,1668,2734.0,2297.0,1397-07-16
536,2018-10-10,2280.0,2280.0,1920.0,2060.0,83647391280,40602092,1333,2299.0,1920.0,1397-07-18
535,2018-10-13,1920.0,1920.0,1570.0,1728.0,72665475540,42057057,1379,2060.0,1570.0,1397-07-21
534,2018-10-15,1860.0,2000.0,1860.0,1924.0,133793413320,69528130,2747,1728.0,2000.0,1397-07-23
533,2018-10-17,1880.0,1899.0,1880.0,1886.0,144696307632,76733276,3452,1924.0,1899.0,1397-07-25
532,2018-10-20,2100.0,2100.0,2080.0,2094.0,109736225880,52403529,2657,1886.0,2080.0,1397-07-28
531,2018-10-22,1950.0,1950.0,1862.0,1907.0,63424910958,33250577,1519,2094.0,1862.0,1397-07-30
530,2018-10-24,1709.0,1709.0,1660.0,1697.0,57863394273,34101808,1754,1907.0,1660.0,1397-08-02
529,2018-10-27,1735.0,1735.0,1669.0,1723.0,48716880552,28267914,1537,1697.0,1669.0,1397-08-05
528,2018-10-29,1910.0,1910.0,1910.0,1910.0,95550601630,50026493,2690,1723.0,1910.0,1397-08-07
527,2018-10-31,1880.0,1880.0,1860.0,1877.0,52959871880,28221739,1613,1910.0,1860.0,1397-08-09
526,2018-11-03,1830.0,1830.0,1704.0,1748.0,26191158390,14983329,661,1877.0,1704.0,1397-08-12
525,2018-11-05,1731.0,1849.0,1731.0,1822.0,32156261111,17644793,686,1748.0,1849.0,1397-08-14
524,2018-11-10,1865.0,1865.0,1790.0,1840.0,44336218885,24092984,1166,1822.0,1790.0,1397-08-19
523,2018-11-12,1800.0,1811.0,1800.0,1803.0,81182850667,45032728,2309,1840.0,1811.0,1397-08-21
522,2018-11-14,1740.0,1770.0,1740.0,1748.0,31256794500,17876940,1069,1803.0,1770.0,1397-08-23
521,2018-11-17,1790.0,1790.0,1750.0,1780.0,44170646780,24820798,1424,1748.0,1750.0,1397-08-26
520,2018-11-19,1735.0,1735.0,1720.0,1733.0,42747397990,24667261,1531,1780.0,1720.0,1397-08-28
519,2018-11-21,1760.0,1799.0,1760.0,1772.0,30874269225,17421291,1121,1733.0,1799.0,1397-08-30
518,2018-11-24,1850.0,1850.0,1810.0,1834.0,29685722020,16185290,778,1772.0,1810.0,1397-09-03
517,2018-11-26,1780.0,1780.0,1738.0,1750.0,12885970106,7363679,309,1834.0,1738.0,1397-09-05
516,2018-11-28,1699.0,1699.0,1670.0,1683.0,14995773477,8911400,537,1750.0,1670.0,1397-09-07
515,2018-12-01,1650.0,1650.0,1620.0,1637.0,14360388390,8773903,474,1683.0,1620.0,1397-09-10
514,2018-12-03,1680.0,1680.0,1630.0,1653.0,11213095190,6781858,430,1637.0,1630.0,1397-09-12
513,2018-12-05,1650.0,1729.0,1650.0,1684.0,19235383079,11420128,616,1653.0,1729.0,1397-09-14
512,2018-12-08,1779.0,1779.0,1779.0,1779.0,54096609423,30408437,1588,1684.0,1779.0,1397-09-17
511,2018-12-10,1651.0,1651.0,1650.0,1651.0,36199909756,21928981,1304,1779.0,1650.0,1397-09-19
510,2018-12-12,1671.0,1671.0,1620.0,1644.0,10410673773,6333421,412,1651.0,1620.0,1397-09-21
509,2018-12-15,1601.0,1601.0,1580.0,1597.0,29880073642,18708827,1218,1644.0,1580.0,1397-09-24
508,2018-12-17,1645.0,1645.0,1570.0,1608.0,14267685490,8874592,461,1597.0,1570.0,1397-09-26
507,2018-12-19,1540.0,1560.0,1540.0,1544.0,25667824620,16624400,1160,1608.0,1560.0,1397-09-28
506,2018-12-22,1560.0,1560.0,1520.0,1553.0,14228969000,9163013,620,1544.0,1520.0,1397-10-01
505,2018-12-24,1550.0,1550.0,1480.0,1504.0,11990719530,7970454,510,1553.0,1480.0,1397-10-03
504,2018-12-26,1450.0,1546.0,1450.0,1472.0,44833484374,30456463,1721,1504.0,1546.0,1397-10-05
503,2018-12-29,1548.0,1548.0,1480.0,1520.0,14029671624,9230650,554,1472.0,1480.0,1397-10-08
502,2018-12-31,1501.0,1501.0,1501.0,1501.0,15910879186,10600186,566,1520.0,1501.0,1397-10-10
501,2019-01-02,1506.0,1506.0,1449.0,1499.0,41300548614,27554081,1788,1501.0,1449.0,1397-10-12
500,2019-01-05,1459.0,1459.0,1458.0,1459.0,36329132948,24902643,1582,1499.0,1458.0,1397-10-15
499,2019-01-07,1471.0,1479.0,1471.0,1473.0,21633603289,14689271,852,1459.0,1479.0,1397-10-17
498,2019-01-09,1499.0,1499.0,1486.0,1495.0,15960560493,10672745,617,1473.0,1486.0,1397-10-19
497,2019-01-12,1510.0,1510.0,1510.0,1510.0,26797512470,17746697,1200,1495.0,1510.0,1397-10-22
496,2019-01-14,1483.0,1483.0,1430.0,1438.0,15196226011,10564358,545,1510.0,1430.0,1397-10-24
495,2019-01-16,1420.0,1421.0,1420.0,1420.0,30987350867,21819742,1330,1438.0,1421.0,1397-10-26
494,2019-01-19,1408.0,1440.0,1408.0,1419.0,30976785568,21825276,1174,1420.0,1440.0,1397-10-29
493,2019-01-21,1400.0,1400.0,1370.0,1391.0,19559268580,14061557,658,1419.0,1370.0,1397-11-01
492,2019-01-23,1440.0,1457.0,1440.0,1444.0,20068447636,13899840,831,1391.0,1457.0,1397-11-03
491,2019-01-26,1465.0,1465.0,1400.0,1421.0,5502457040,3871874,256,1444.0,1400.0,1397-11-06
490,2019-01-28,1362.0,1364.0,1362.0,1363.0,19762184126,14502112,804,1421.0,1364.0,1397-11-08
489,2019-01-30,1385.0,1385.0,1385.0,1385.0,41239009330,29775458,1598,1363.0,1385.0,1397-11-10
488,2019-02-02,1399.0,1399.0,1341.0,1367.0,8943809863,6542063,349,1385.0,1341.0,1397-11-13
487,2019-02-04,1340.0,1340.0,1320.0,1335.0,20366823800,15259493,818,1367.0,1320.0,1397-11-15
486,2019-02-06,1335.0,1335.0,1335.0,1335.0,18440350995,13812997,672,1335.0,1335.0,1397-11-17
485,2019-02-13,1287.0,1295.0,1287.0,1289.0,21799794330,16913094,923,1335.0,1295.0,1397-11-24
484,2019-02-16,1326.0,1326.0,1326.0,1326.0,38985657048,29400948,1455,1289.0,1326.0,1397-11-27
483,2019-02-18,1330.0,1330.0,1330.0,1330.0,16738858640,12585608,751,1326.0,1330.0,1397-11-29
