,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2497,2005-03-05,5000.0,5000.0,5000.0,5000.0,1895925000,379185,197,0.0,5000.0,1383-12-15
2496,2005-03-06,5150.0,5150.0,5100.0,5101.0,252410460,49473,12,5000.0,5101.0,1383-12-16
2495,2005-03-07,5200.0,5200.0,5147.0,5147.0,19489070,3748,5,5101.0,5147.0,1383-12-17
2494,2005-03-08,5200.0,5200.0,5162.0,5162.0,12037620,2315,3,5147.0,5162.0,1383-12-18
2493,2005-03-09,4904.0,5087.0,4904.0,5087.0,11433054,2331,3,5162.0,5087.0,1383-12-19
2492,2005-03-14,4833.0,5063.0,4833.0,5063.0,3675380,760,5,5087.0,5063.0,1383-12-24
2491,2005-03-15,4810.0,5061.0,4810.0,5061.0,291110,60,2,5063.0,5061.0,1383-12-25
2490,2005-03-16,4808.0,5059.0,4808.0,5059.0,290990,60,2,5061.0,5059.0,1383-12-26
2489,2005-03-28,4807.0,5100.0,4807.0,4877.0,107583025,22058,24,5059.0,4877.0,1384-01-08
2488,2005-03-29,5060.0,5099.0,4930.0,4930.0,10667670,2100,4,4877.0,4930.0,1384-01-09
2487,2005-03-30,5100.0,5100.0,5020.0,5052.0,44954221,8897,9,4930.0,5052.0,1384-01-10
2486,2005-04-04,5000.0,5003.0,5000.0,5001.0,45387010,9075,14,5052.0,5001.0,1384-01-15
2485,2005-04-06,4751.0,4995.0,4751.0,4995.0,905130,190,2,5001.0,4995.0,1384-01-17
2484,2005-04-10,4999.0,4999.0,4841.0,4953.0,116298754,23476,14,4995.0,4953.0,1384-01-21
2483,2005-04-11,4840.0,4908.0,4840.0,4908.0,15583198,3218,8,4953.0,4908.0,1384-01-22
2482,2005-04-12,4888.0,4889.0,4663.0,4764.0,34662721,7297,5,4908.0,4764.0,1384-01-23
2481,2005-04-13,4900.0,5002.0,4850.0,4946.0,64599600,13059,15,4764.0,4946.0,1384-01-24
2480,2005-04-16,5009.0,5193.0,5009.0,5150.0,186294680,36170,50,4946.0,5150.0,1384-01-27
2479,2005-04-17,5151.0,5159.0,5002.0,5137.0,67927664,13222,19,5150.0,5137.0,1384-01-28
2478,2005-04-18,5050.0,5050.0,5000.0,5031.0,35967150,7165,5,5137.0,5031.0,1384-01-29
2477,2005-04-19,5156.0,5156.0,5046.0,5046.0,5005376,971,2,5031.0,5046.0,1384-01-30
2476,2005-04-20,5000.0,5000.0,4900.0,4950.0,99049500,20010,9,5046.0,4950.0,1384-01-31
2475,2005-04-23,4951.0,4954.0,4950.0,4950.0,19712921,3981,4,4950.0,4950.0,1384-02-03
2474,2005-04-24,5000.0,5000.0,4953.0,4953.0,3024530,605,2,4950.0,4953.0,1384-02-04
2473,2005-04-27,4949.0,4951.0,4949.0,4951.0,13711310,2770,5,4953.0,4951.0,1384-02-07
2472,2005-05-01,4705.0,4944.0,4705.0,4944.0,1037490,220,2,4951.0,4944.0,1384-02-11
2471,2005-05-02,4935.0,4943.0,4935.0,4943.0,3035105,615,2,4944.0,4943.0,1384-02-12
2470,2005-05-03,4887.0,4925.0,4870.0,4925.0,9856295,2022,4,4943.0,4925.0,1384-02-13
2469,2005-05-04,4850.0,4850.0,4699.0,4782.0,33340760,7000,6,4925.0,4782.0,1384-02-14
2468,2005-05-07,4699.0,4703.0,4670.0,4703.0,29599035,6320,10,4782.0,4703.0,1384-02-17
2467,2005-05-09,4710.0,4710.0,4703.0,4703.0,1411425,300,2,4703.0,4703.0,1384-02-19
2466,2005-05-10,4703.0,4716.0,4703.0,4705.0,32991850,7010,6,4703.0,4705.0,1384-02-20
2465,2005-05-11,4800.0,4877.0,4728.0,4728.0,7829130,1624,7,4705.0,4728.0,1384-02-21
2464,2005-05-14,4937.0,4964.0,4768.0,4768.0,7345955,1485,4,4728.0,4768.0,1384-02-24
2463,2005-05-15,4964.0,4964.0,4849.0,4849.0,22877076,4660,8,4768.0,4849.0,1384-02-25
2462,2005-05-17,5000.0,5091.0,5000.0,5063.0,38281611,7539,7,4849.0,5063.0,1384-02-27
2461,2005-05-18,5190.0,5190.0,5189.0,5189.0,102580574,19766,12,5063.0,5189.0,1384-02-28
2460,2005-07-05,6800.0,6800.0,6800.0,6800.0,68000000,10000,2,5189.0,6800.0,1384-04-14
2459,2005-07-09,6460.0,6800.0,6460.0,6800.0,1896180,293,2,6800.0,6800.0,1384-04-18
2458,2005-07-11,6460.0,6800.0,6460.0,6800.0,1230800,190,2,6800.0,6800.0,1384-04-20
2457,2005-08-07,5000.0,5000.0,5000.0,5000.0,64300000,12860,4,6800.0,5000.0,1384-05-16
2456,2005-08-10,4750.0,4934.0,4750.0,4934.0,9976840,2100,2,5000.0,4934.0,1384-05-19
2455,2005-08-16,4688.0,4934.0,4688.0,4934.0,283740,60,2,4934.0,4934.0,1384-05-25
2454,2005-11-02,4688.0,4921.0,4688.0,4921.0,1924410,410,2,4934.0,4921.0,1384-08-11
2453,2005-11-05,4675.0,4687.0,4675.0,4687.0,35576870,7610,4,4921.0,4687.0,1384-08-14
2452,2005-11-07,4453.0,4628.0,4453.0,4628.0,8952280,2010,4,4687.0,4628.0,1384-08-16
2451,2005-11-08,4397.0,4454.0,4397.0,4454.0,26426540,6010,3,4628.0,4454.0,1384-08-17
2450,2005-11-15,4232.0,4422.0,4232.0,4422.0,4796756,1133,3,4454.0,4422.0,1384-08-24
2449,2005-12-04,4232.0,4232.0,4201.0,4226.0,93023260,22010,16,4422.0,4226.0,1384-09-13
2448,2005-12-06,4015.0,4132.0,4015.0,4132.0,14314645,3565,5,4226.0,4132.0,1384-09-15
2447,2005-12-10,3926.0,3926.0,3926.0,3926.0,35334000,9000,16,4132.0,3926.0,1384-09-19
2446,2005-12-11,3730.0,3735.0,3730.0,3732.0,67962618,18210,16,3926.0,3732.0,1384-09-20
2445,2005-12-12,3917.0,3918.0,3912.0,3914.0,51757087,13221,12,3732.0,3914.0,1384-09-21
2444,2005-12-13,3900.0,4109.0,3900.0,4069.0,110933791,27260,41,3914.0,4069.0,1384-09-22
