,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3588,2001-04-07,3648.0,3650.0,3648.0,3650.0,36498916,10000,4,3648.0,3650.0,1380-01-18
3587,2001-04-10,3648.0,3650.0,3470.0,3650.0,387298238,110430,40,3650.0,3650.0,1380-01-21
3586,2001-04-11,3650.0,3650.0,3650.0,3650.0,375950,103,1,3650.0,3650.0,1380-01-22
3585,2001-04-14,3808.0,3808.0,3808.0,3808.0,7684544,2018,2,3650.0,3808.0,1380-01-25
3584,2001-04-15,3832.0,3980.0,3832.0,3980.0,62119176,15629,12,3808.0,3980.0,1380-01-26
3583,2001-04-16,4001.0,4140.0,4001.0,4140.0,27141543,6591,9,3980.0,4140.0,1380-01-27
3582,2001-04-17,4140.0,4190.0,4140.0,4189.0,66950864,15996,18,4140.0,4189.0,1380-01-28
3581,2001-04-18,4171.0,4171.0,4010.0,4010.0,21718400,5400,3,4189.0,4010.0,1380-01-29
3580,2001-04-21,4010.0,4158.0,4001.0,4158.0,24982192,6075,10,4010.0,4158.0,1380-02-01
3579,2001-04-22,4158.0,4158.0,4157.0,4158.0,83159000,20000,12,4158.0,4158.0,1380-02-02
3578,2001-04-23,4150.0,4250.0,4150.0,4250.0,435156552,103729,45,4158.0,4250.0,1380-02-03
3577,2001-04-24,4250.0,4300.0,4250.0,4300.0,9880500,2306,4,4250.0,4300.0,1380-02-04
3576,2001-04-25,4300.0,4300.0,4300.0,4300.0,12470000,2900,2,4300.0,4300.0,1380-02-05
3575,2001-04-28,4300.0,4300.0,4300.0,4300.0,22630900,5263,4,4300.0,4300.0,1380-02-08
3574,2001-04-29,4300.0,4300.0,4200.0,4200.0,23469100,5477,7,4300.0,4200.0,1380-02-09
3573,2001-04-30,4150.0,4150.0,4147.0,4147.0,10498000,2530,5,4200.0,4147.0,1380-02-10
3572,2001-05-01,4147.0,4147.0,4147.0,4147.0,2036177,491,3,4147.0,4147.0,1380-02-11
3571,2001-05-02,4100.0,4100.0,4099.0,4099.0,8928832,2178,3,4147.0,4099.0,1380-02-12
3570,2001-05-05,4130.0,4130.0,4130.0,4130.0,5220320,1264,1,4099.0,4130.0,1380-02-15
3569,2001-05-06,4117.0,4130.0,4117.0,4125.0,81718068,19812,8,4130.0,4125.0,1380-02-16
3568,2001-05-07,4125.0,4125.0,4110.0,4110.0,20578875,5007,2,4125.0,4110.0,1380-02-17
3567,2001-05-08,4078.0,4100.0,4078.0,4090.0,84923356,20752,21,4110.0,4090.0,1380-02-18
3566,2001-05-09,4086.0,4096.0,4084.0,4086.0,48935773,11973,11,4090.0,4086.0,1380-02-19
3565,2001-05-12,4086.0,4086.0,4086.0,4086.0,82757844,20254,12,4086.0,4086.0,1380-02-22
3564,2001-05-13,4096.0,4099.0,4050.0,4099.0,32297480,7893,12,4086.0,4099.0,1380-02-23
3563,2001-05-15,4098.0,4099.0,4098.0,4099.0,9556868,2332,3,4099.0,4099.0,1380-02-25
3562,2001-05-16,4089.0,4089.0,4089.0,4089.0,46467396,11364,6,4099.0,4089.0,1380-02-26
3561,2001-05-19,4087.0,4130.0,4070.0,4130.0,159335910,38827,35,4089.0,4130.0,1380-02-29
3560,2001-05-20,4140.0,4200.0,4140.0,4200.0,60504920,14487,11,4130.0,4200.0,1380-02-30
3559,2001-05-21,4201.0,4202.0,4200.0,4200.0,50403000,12000,14,4200.0,4200.0,1380-02-31
3558,2001-05-23,4200.0,4200.0,4200.0,4200.0,1260000,300,1,4200.0,4200.0,1380-03-02
3557,2001-05-26,4250.0,4270.0,4245.0,4270.0,21260000,5000,4,4200.0,4270.0,1380-03-05
3556,2001-05-27,4350.0,4350.0,4270.0,4350.0,31913620,7406,7,4270.0,4350.0,1380-03-06
3555,2001-05-28,4372.0,4386.0,4372.0,4385.0,33617132,7666,7,4350.0,4385.0,1380-03-07
3554,2001-05-29,4417.0,4443.0,4416.0,4443.0,28724740,6493,10,4385.0,4443.0,1380-03-08
3553,2001-05-30,4440.0,4443.0,4440.0,4443.0,56032698,12612,15,4443.0,4443.0,1380-03-09
3552,2001-06-02,4443.0,4530.0,4443.0,4530.0,64634110,14379,14,4443.0,4530.0,1380-03-12
3551,2001-06-03,4540.0,4570.0,4540.0,4570.0,48482840,10646,10,4530.0,4570.0,1380-03-13
3550,2001-06-06,4580.0,4590.0,4570.0,4580.0,45567500,9950,10,4570.0,4580.0,1380-03-16
3549,2001-06-09,4580.0,4580.0,4580.0,4580.0,31629480,6906,8,4580.0,4580.0,1380-03-19
3548,2001-06-11,4580.0,4580.0,4570.0,4570.0,45710000,10000,6,4580.0,4570.0,1380-03-21
3547,2001-06-12,4560.0,4560.0,4470.0,4470.0,58007700,12900,10,4570.0,4470.0,1380-03-22
3546,2001-06-13,4448.0,4448.0,4320.0,4320.0,34566700,7907,7,4470.0,4320.0,1380-03-23
3545,2001-06-16,4320.0,4320.0,4320.0,4320.0,993600,230,1,4320.0,4320.0,1380-03-26
3544,2001-06-17,4300.0,4308.0,4300.0,4305.0,23310829,5416,17,4320.0,4305.0,1380-03-27
3543,2001-07-10,4100.0,4100.0,4100.0,4100.0,34575300,8433,1,4305.0,4100.0,1380-04-19
3542,2001-07-11,4000.0,4000.0,4000.0,4000.0,4200000,1050,6,4100.0,4000.0,1380-04-20
3541,2001-07-17,3850.0,3850.0,3850.0,3850.0,54500600,14156,13,4000.0,3850.0,1380-04-26
3540,2001-07-18,3850.0,3998.0,3850.0,3998.0,22443550,5663,8,3850.0,3998.0,1380-04-27
3539,2001-07-21,4100.0,4100.0,4100.0,4100.0,16605000,4050,4,3998.0,4100.0,1380-04-30
3538,2001-07-22,4099.0,4100.0,4099.0,4100.0,16808484,4100,5,4100.0,4100.0,1380-04-31
3537,2001-07-23,4000.0,4051.0,4000.0,4050.0,98435400,24500,16,4100.0,4050.0,1380-05-01
3536,2001-07-24,4050.0,4050.0,4048.0,4048.0,18681424,4613,4,4050.0,4048.0,1380-05-02
3535,2001-07-29,3850.0,3850.0,3850.0,3850.0,10525900,2734,8,4048.0,3850.0,1380-05-07
3534,2001-07-30,4025.0,4042.0,4025.0,4042.0,48758200,12100,10,3850.0,4042.0,1380-05-08
3533,2001-07-31,4042.0,4042.0,4042.0,4042.0,2021000,500,1,4042.0,4042.0,1380-05-09
3532,2001-08-01,4041.0,4042.0,4039.0,4039.0,26873300,6650,6,4042.0,4039.0,1380-05-10
3531,2001-08-04,4040.0,4040.0,4000.0,4039.0,50332000,12468,7,4039.0,4039.0,1380-05-13
3530,2001-08-05,4039.0,4040.0,4039.0,4040.0,11941390,2956,6,4039.0,4040.0,1380-05-14
3529,2001-08-06,4039.0,4039.0,4002.0,4002.0,10570264,2632,2,4040.0,4002.0,1380-05-15
3528,2001-08-07,4002.0,4002.0,4002.0,4002.0,85514736,21368,6,4002.0,4002.0,1380-05-16
