,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
646,2018-10-15,3300.0,3300.0,3300.0,3300.0,115499425800,34999826,201795,1000.0,3300.0,1397-07-23
645,2018-10-16,3465.0,3465.0,3465.0,3465.0,210561120,60768,375,3300.0,3465.0,1397-07-24
644,2018-10-17,3638.0,3638.0,3638.0,3638.0,258981944,71188,477,3465.0,3638.0,1397-07-25
643,2018-10-20,3819.0,3819.0,3819.0,3819.0,9841402602,2576958,994,3638.0,3819.0,1397-07-28
642,2018-10-21,4009.0,4009.0,4009.0,4009.0,32757346568,8170952,2594,3819.0,4009.0,1397-07-29
641,2018-10-22,4209.0,4209.0,4209.0,4209.0,777924216,184824,965,4009.0,4209.0,1397-07-30
640,2018-10-23,4419.0,4419.0,4419.0,4419.0,92842920441,21009939,7010,4209.0,4419.0,1397-08-01
639,2018-10-24,4639.0,4639.0,4639.0,4639.0,104729470208,22575872,22812,4419.0,4639.0,1397-08-02
638,2018-10-27,4650.0,4790.0,4408.0,4564.0,196851836344,43135988,77475,4639.0,4408.0,1397-08-05
637,2018-10-28,4336.0,4336.0,4336.0,4336.0,2083855584,480594,360,4564.0,4336.0,1397-08-06
636,2018-10-29,4120.0,4488.0,4120.0,4267.0,104150714303,24409042,37744,4336.0,4120.0,1397-08-07
635,2018-10-31,4439.0,4480.0,4300.0,4416.0,47046073417,10653174,13057,4267.0,4480.0,1397-08-09
634,2018-11-03,4490.0,4636.0,4417.0,4614.0,47542430926,10304668,7949,4416.0,4636.0,1397-08-12
633,2018-11-04,4740.0,4844.0,4550.0,4816.0,93675519642,19451524,11940,4614.0,4844.0,1397-08-13
632,2018-11-05,4870.0,5020.0,4861.0,4926.0,57508735835,11674031,9596,4816.0,4985.0,1397-08-14
631,2018-11-06,4999.0,4999.0,4750.0,4852.0,45639551852,9406132,14203,4926.0,4830.0,1397-08-15
630,2018-11-10,4860.0,4860.0,4610.0,4629.0,30225528949,6529712,4465,4852.0,4610.0,1397-08-19
629,2018-11-11,4425.0,4600.0,4398.0,4430.0,28662121485,6469444,5117,4629.0,4488.0,1397-08-20
628,2018-11-12,4490.0,4651.0,4488.0,4608.0,18534507941,4022505,3817,4430.0,4651.0,1397-08-21
627,2018-11-13,4750.0,4800.0,4620.0,4690.0,22721953403,4844446,4299,4608.0,4640.0,1397-08-22
626,2018-11-14,4640.0,4897.0,4520.0,4750.0,34789973861,7324276,4736,4690.0,4799.0,1397-08-23
625,2018-11-17,4750.0,4837.0,4553.0,4669.0,16201560778,3469821,4806,4750.0,4650.0,1397-08-26
624,2018-11-18,4714.0,4714.0,4436.0,4472.0,23295957500,5209157,2900,4669.0,4599.0,1397-08-27
623,2018-11-19,4472.0,4590.0,4450.0,4500.0,9254112625,2056575,2556,4472.0,4503.0,1397-08-28
622,2018-11-20,4360.0,4455.0,4300.0,4349.0,12596127874,2896326,2875,4500.0,4405.0,1397-08-29
621,2018-11-21,4301.0,4445.0,4301.0,4365.0,6444427550,1476333,2415,4349.0,4371.0,1397-08-30
620,2018-11-24,4439.0,4439.0,4147.0,4206.0,12078827060,2871918,2821,4365.0,4174.0,1397-09-03
619,2018-11-26,4150.0,4150.0,3996.0,4004.0,6193138843,1546629,1303,4206.0,3996.0,1397-09-05
618,2018-11-27,3870.0,4111.0,3870.0,3993.0,13472870468,3373838,3738,4004.0,3999.0,1397-09-06
617,2018-11-28,4000.0,4018.0,3794.0,3816.0,17767592909,4655910,2610,3993.0,3845.0,1397-09-07
616,2018-12-01,3800.0,3800.0,3626.0,3633.0,13026174907,3585225,2122,3816.0,3626.0,1397-09-10
615,2018-12-02,3650.0,3780.0,3630.0,3719.0,7476813553,2010323,1630,3633.0,3767.0,1397-09-11
614,2018-12-03,3810.0,3850.0,3760.0,3795.0,4832471499,1273364,1159,3719.0,3785.0,1397-09-12
613,2018-12-04,3799.0,3799.0,3606.0,3631.0,13941869823,3839573,1909,3795.0,3659.0,1397-09-13
612,2018-12-05,3690.0,3812.0,3590.0,3760.0,14752161948,3923912,2107,3631.0,3812.0,1397-09-14
611,2018-12-08,3900.0,3948.0,3800.0,3910.0,9648728814,2467467,1504,3760.0,3948.0,1397-09-17
610,2018-12-09,4040.0,4063.0,3820.0,3948.0,9340393955,2365956,1479,3910.0,3870.0,1397-09-18
609,2018-12-10,3814.0,3868.0,3760.0,3798.0,7621651529,2006539,1235,3948.0,3815.0,1397-09-19
608,2018-12-12,3700.0,3780.0,3700.0,3734.0,5327985280,1427067,1390,3798.0,3735.0,1397-09-21
607,2018-12-15,3726.0,3743.0,3650.0,3678.0,6624927343,1801171,1126,3734.0,3695.0,1397-09-24
606,2018-12-16,3692.0,3800.0,3675.0,3739.0,5317259841,1421919,920,3678.0,3741.0,1397-09-25
605,2018-12-17,3790.0,3790.0,3615.0,3664.0,5899295631,1610192,1047,3739.0,3630.0,1397-09-26
604,2018-12-18,3630.0,3695.0,3622.0,3651.0,3530101570,966963,749,3664.0,3649.0,1397-09-27
603,2018-12-19,3645.0,3660.0,3516.0,3553.0,4548990904,1280204,882,3651.0,3551.0,1397-09-28
602,2018-12-22,3500.0,3600.0,3400.0,3489.0,3828423118,1097329,775,3553.0,3472.0,1397-10-01
601,2018-12-23,3441.0,3663.0,3441.0,3615.0,5475907825,1514574,1054,3489.0,3580.0,1397-10-02
600,2018-12-24,3632.0,3698.0,3554.0,3590.0,2955727762,823314,634,3615.0,3600.0,1397-10-03
599,2018-12-25,3600.0,3615.0,3500.0,3531.0,4222531076,1195932,611,3590.0,3530.0,1397-10-04
598,2018-12-26,3502.0,3600.0,3502.0,3540.0,7470890253,2110620,767,3531.0,3571.0,1397-10-05
597,2018-12-29,3570.0,3639.0,3530.0,3570.0,4576478084,1282083,545,3540.0,3583.0,1397-10-08
596,2018-12-30,3600.0,3700.0,3501.0,3643.0,10048955667,2758380,1315,3570.0,3641.0,1397-10-09
595,2018-12-31,3645.0,3750.0,3645.0,3709.0,7609543903,2051651,1031,3643.0,3721.0,1397-10-10
594,2019-01-01,3729.0,3748.0,3649.0,3674.0,5417217888,1474301,649,3709.0,3664.0,1397-10-11
