,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2820,2001-03-27,7700.0,7700.0,7700.0,7700.0,2887500,375,1,7700.0,7700.0,1380-01-07
2819,2001-04-14,7700.0,7700.0,7700.0,7700.0,962500,125,1,7700.0,7700.0,1380-01-25
2818,2001-04-17,7700.0,7700.0,7700.0,7700.0,3657500,475,1,7700.0,7700.0,1380-01-28
2817,2001-04-23,7702.0,7702.0,7701.0,7701.0,4721099,613,4,7700.0,7701.0,1380-02-03
2816,2001-04-29,7800.0,7800.0,7800.0,7800.0,8775000,1125,4,7701.0,7800.0,1380-02-09
2815,2001-04-30,7824.0,7824.0,7824.0,7824.0,15648000,2000,2,7800.0,7824.0,1380-02-10
2814,2001-05-02,7850.0,7850.0,7850.0,7850.0,2943750,375,1,7824.0,7850.0,1380-02-12
2813,2001-05-06,7870.0,7870.0,7870.0,7870.0,4029440,512,1,7850.0,7870.0,1380-02-16
2812,2001-05-07,7880.0,7880.0,7880.0,7880.0,2955000,375,1,7870.0,7880.0,1380-02-17
2811,2001-05-20,8274.0,8274.0,8274.0,8274.0,62998236,7614,11,7880.0,8274.0,1380-02-30
2810,2001-05-21,8687.0,8687.0,8687.0,8687.0,8687000,1000,2,8274.0,8687.0,1380-02-31
2809,2001-05-23,9121.0,9121.0,9119.0,9120.0,42081066,4614,6,8687.0,9120.0,1380-03-02
2808,2001-05-28,9130.0,9130.0,9120.0,9120.0,23596720,2586,6,9120.0,9120.0,1380-03-07
2807,2001-05-29,9120.0,9120.0,9120.0,9120.0,6876480,754,2,9120.0,9120.0,1380-03-08
2806,2001-05-30,9119.0,9120.0,9119.0,9120.0,24587220,2696,3,9120.0,9120.0,1380-03-09
2805,2001-06-03,9119.0,9119.0,9119.0,9119.0,6383300,700,1,9120.0,9119.0,1380-03-13
2804,2001-06-25,7012.0,7012.0,7012.0,7012.0,7012000,1000,1,9119.0,7012.0,1380-04-04
2803,2001-09-01,7362.0,7362.0,7362.0,7362.0,19509300,2650,5,7012.0,7362.0,1380-06-10
2802,2001-09-03,7730.0,7730.0,7730.0,7730.0,5797500,750,1,7362.0,7730.0,1380-06-12
2801,2001-09-04,8116.0,8116.0,8116.0,8116.0,4058000,500,1,7730.0,8116.0,1380-06-13
2800,2001-09-05,8521.0,8521.0,8521.0,8521.0,8521000,1000,3,8116.0,8521.0,1380-06-14
2799,2001-09-09,8947.0,8947.0,8947.0,8947.0,8947000,1000,7,8521.0,8947.0,1380-06-18
2798,2001-09-10,9394.0,9394.0,9394.0,9394.0,9394000,1000,1,8947.0,9394.0,1380-06-19
2797,2001-09-11,9863.0,9863.0,9863.0,9863.0,9863000,1000,7,9394.0,9863.0,1380-06-20
2796,2001-09-12,10109.0,10109.0,9836.0,9836.0,65275891,6557,8,9863.0,9836.0,1380-06-21
2795,2001-09-15,9591.0,9591.0,9591.0,9591.0,9591000,1000,1,9836.0,9591.0,1380-06-24
2794,2001-09-19,9112.0,9341.0,9112.0,9341.0,93333390,10170,15,9591.0,9341.0,1380-06-28
2793,2001-09-23,9400.0,9400.0,9400.0,9400.0,7050000,750,1,9341.0,9400.0,1380-07-01
2792,2001-09-24,9403.0,9403.0,9403.0,9403.0,2820900,300,1,9400.0,9403.0,1380-07-02
2791,2001-09-29,9403.0,9403.0,9403.0,9403.0,18806000,2000,1,9403.0,9403.0,1380-07-07
2790,2001-10-06,9379.0,9403.0,9379.0,9403.0,38527700,4100,6,9403.0,9403.0,1380-07-14
2789,2001-10-08,9403.0,9403.0,9403.0,9403.0,10155240,1080,2,9403.0,9403.0,1380-07-16
2788,2001-10-09,9402.0,9402.0,9402.0,9402.0,470100,50,1,9403.0,9402.0,1380-07-17
2787,2001-10-16,9398.0,9500.0,9398.0,9500.0,46833375,4975,7,9402.0,9500.0,1380-07-24
2786,2001-10-21,9501.0,9501.0,9500.0,9500.0,8075700,850,3,9500.0,9500.0,1380-07-29
2785,2001-10-22,9500.0,9500.0,9500.0,9500.0,10925000,1150,4,9500.0,9500.0,1380-07-30
2784,2001-10-23,9500.0,9500.0,9500.0,9500.0,6906500,727,2,9500.0,9500.0,1380-08-01
2783,2001-10-24,9500.0,9500.0,9500.0,9500.0,21375000,2250,3,9500.0,9500.0,1380-08-02
2782,2001-10-30,9499.0,9500.0,9499.0,9500.0,39662000,4175,8,9500.0,9500.0,1380-08-08
2781,2001-10-31,9500.0,9500.0,9500.0,9500.0,24937500,2625,5,9500.0,9500.0,1380-08-09
2780,2001-11-12,9701.0,9702.0,9701.0,9701.0,11495985,1185,3,9500.0,9701.0,1380-08-21
2779,2001-11-13,9695.0,9695.0,9695.0,9695.0,10906875,1125,1,9701.0,9695.0,1380-08-22
2778,2001-11-20,9585.0,9585.0,9585.0,9585.0,14377500,1500,1,9695.0,9585.0,1380-08-29
2777,2001-11-24,9438.0,9438.0,9438.0,9438.0,9438000,1000,1,9585.0,9438.0,1380-09-03
2776,2001-11-26,9389.0,9389.0,9389.0,9389.0,1896578,202,2,9438.0,9389.0,1380-09-05
2775,2001-11-27,9102.0,9102.0,9101.0,9101.0,29123400,3200,8,9389.0,9101.0,1380-09-06
2774,2001-11-28,9101.0,9101.0,9101.0,9101.0,6962265,765,2,9101.0,9101.0,1380-09-07
2773,2001-12-01,9102.0,9102.0,9101.0,9101.0,11467560,1260,2,9101.0,9101.0,1380-09-10
2772,2001-12-03,9300.0,9389.0,9104.0,9389.0,27375522,2938,6,9101.0,9389.0,1380-09-12
2771,2001-12-04,9389.0,9389.0,9389.0,9389.0,12449814,1326,3,9389.0,9389.0,1380-09-13
2770,2001-12-18,9368.0,9368.0,9368.0,9368.0,9274320,990,1,9389.0,9368.0,1380-09-27
2769,2001-12-25,9180.0,9200.0,9180.0,9200.0,37005500,4025,7,9368.0,9200.0,1380-10-04
2768,2001-12-26,9200.0,9200.0,9200.0,9200.0,3680000,400,2,9200.0,9200.0,1380-10-05
2767,2001-12-29,9197.0,9198.0,9197.0,9198.0,35383659,3847,8,9200.0,9198.0,1380-10-08
2766,2001-12-31,9205.0,9207.0,9205.0,9206.0,63751150,6925,6,9198.0,9206.0,1380-10-10
2765,2002-01-02,9205.0,9205.0,9205.0,9205.0,5495385,597,2,9206.0,9205.0,1380-10-12
2764,2002-01-07,9300.0,9300.0,9300.0,9300.0,17437500,1875,2,9205.0,9300.0,1380-10-17
2763,2002-01-08,9300.0,9300.0,9300.0,9300.0,15131100,1627,2,9300.0,9300.0,1380-10-18
2762,2002-01-16,9208.0,9210.0,9100.0,9100.0,64663400,7034,8,9300.0,9100.0,1380-10-26
2761,2002-01-22,9100.0,9100.0,9100.0,9100.0,10237500,1125,1,9100.0,9100.0,1380-11-02
2760,2002-01-30,8645.0,8645.0,8645.0,8645.0,8212750,950,1,9100.0,8645.0,1380-11-10
2759,2002-02-05,8645.0,8645.0,8645.0,8645.0,3241875,375,1,8645.0,8645.0,1380-11-16
2758,2002-02-10,8644.0,8644.0,8644.0,8644.0,21610000,2500,3,8645.0,8644.0,1380-11-21
2757,2002-02-12,8644.0,8644.0,8644.0,8644.0,994060,115,1,8644.0,8644.0,1380-11-23
2756,2002-02-19,8640.0,8642.0,8500.0,8500.0,42925202,5000,7,8644.0,8500.0,1380-11-30
2755,2002-02-20,8500.0,8500.0,8500.0,8500.0,46223000,5438,6,8500.0,8500.0,1380-12-01
2754,2002-02-27,8500.0,8500.0,8500.0,8500.0,4250000,500,1,8500.0,8500.0,1380-12-08
2753,2002-03-04,8500.0,8500.0,8500.0,8500.0,824500,97,1,8500.0,8500.0,1380-12-13
2752,2002-03-13,8498.0,8500.0,8498.0,8500.0,16999388,2000,5,8500.0,8500.0,1380-12-22
2751,2002-04-06,8500.0,8500.0,8498.0,8498.0,16412638,1931,2,8500.0,8498.0,1381-01-17
2750,2002-04-08,8500.0,8500.0,8500.0,8500.0,9562500,1125,1,8498.0,8500.0,1381-01-19
2749,2002-04-17,8500.0,8500.0,8500.0,8500.0,8474500,997,1,8500.0,8500.0,1381-01-28
2748,2002-04-22,8512.0,8527.0,8506.0,8527.0,19571627,2299,4,8500.0,8527.0,1381-02-02
2747,2002-04-28,8953.0,8953.0,8953.0,8953.0,10072125,1125,1,8527.0,8953.0,1381-02-08
2746,2002-04-30,9176.0,9176.0,9176.0,9176.0,10323000,1125,2,8953.0,9176.0,1381-02-10
2745,2002-05-08,9405.0,9405.0,9405.0,9405.0,13411530,1426,3,9176.0,9405.0,1381-02-18
2744,2002-05-14,9409.0,9409.0,9408.0,9408.0,9408627,1000,3,9405.0,9408.0,1381-02-24
2743,2002-05-15,9410.0,9410.0,9408.0,9408.0,24698200,2625,4,9408.0,9408.0,1381-02-25
2742,2002-05-18,9408.0,9408.0,9408.0,9408.0,959616,102,1,9408.0,9408.0,1381-02-28
2741,2002-05-25,9407.0,9408.0,9407.0,9408.0,28222378,3000,3,9408.0,9408.0,1381-03-04
2740,2002-05-27,8940.0,8940.0,8940.0,8940.0,8940000,1000,2,9408.0,8940.0,1381-03-06
2739,2002-05-29,8940.0,8940.0,8940.0,8940.0,8940000,1000,1,8940.0,8940.0,1381-03-08
2738,2002-06-10,8940.0,8940.0,8940.0,8940.0,1788000,200,2,8940.0,8940.0,1381-03-20
2737,2002-06-12,8500.0,8500.0,8493.0,8493.0,33798916,3978,5,8940.0,8493.0,1381-03-22
2736,2002-06-22,8479.0,8480.0,8479.0,8480.0,22258500,2625,2,8493.0,8480.0,1381-04-01
2735,2002-07-27,7500.0,7500.0,7500.0,7500.0,22500000,3000,1,8480.0,7500.0,1381-05-05
2734,2002-08-10,7390.0,7390.0,7390.0,7390.0,8313750,1125,1,7500.0,7390.0,1381-05-19
2733,2002-08-18,7021.0,7021.0,7021.0,7021.0,6915685,985,2,7390.0,7021.0,1381-05-27
2732,2002-08-21,6670.0,6670.0,6670.0,6670.0,26680000,4000,6,7021.0,6670.0,1381-05-30
2731,2002-12-23,6340.0,6340.0,6340.0,6340.0,6340000,1000,1,6670.0,6340.0,1381-10-02
2730,2003-03-15,6023.0,6023.0,6023.0,6023.0,3011500,500,1,6340.0,6023.0,1381-12-24
2729,2003-04-06,5994.0,6023.0,5994.0,6023.0,47860813,7977,5,6023.0,6023.0,1382-01-17
2728,2003-04-07,6023.0,6023.0,6023.0,6023.0,21351535,3545,2,6023.0,6023.0,1382-01-18
2727,2003-04-08,6023.0,6023.0,6023.0,6023.0,5745942,954,3,6023.0,6023.0,1382-01-19
2726,2003-04-09,6023.0,6023.0,6023.0,6023.0,277058,46,1,6023.0,6023.0,1382-01-20
2725,2003-04-12,6023.0,6023.0,6023.0,6023.0,27717846,4602,5,6023.0,6023.0,1382-01-23
2724,2003-04-13,6023.0,6023.0,6023.0,6023.0,891404,148,1,6023.0,6023.0,1382-01-24
2723,2003-04-14,5722.0,5722.0,5722.0,5722.0,17166000,3000,1,6023.0,5722.0,1382-01-25
2722,2003-04-15,5722.0,5722.0,5722.0,5722.0,2597788,454,1,5722.0,5722.0,1382-01-26
2721,2003-05-05,6008.0,6008.0,6008.0,6008.0,24032000,4000,1,5722.0,6008.0,1382-02-15
2720,2003-05-14,6308.0,6308.0,6308.0,6308.0,11758112,1864,2,6008.0,6308.0,1382-02-24
2719,2003-05-17,6338.0,6623.0,6338.0,6623.0,91582000,14000,5,6308.0,6623.0,1382-02-27
2718,2003-05-20,6954.0,6954.0,6954.0,6954.0,34770000,5000,1,6623.0,6954.0,1382-02-30
2717,2003-05-21,7301.0,7301.0,7301.0,7301.0,29204000,4000,3,6954.0,7301.0,1382-02-31
2716,2003-05-25,7666.0,7666.0,7666.0,7666.0,30664000,4000,3,7301.0,7666.0,1382-03-04
2715,2003-05-26,8049.0,8049.0,8049.0,8049.0,40245000,5000,5,7666.0,8049.0,1382-03-05
2714,2003-05-27,8451.0,8451.0,8451.0,8451.0,59157000,7000,7,8049.0,8451.0,1382-03-06
2713,2003-05-28,8873.0,8873.0,8873.0,8873.0,35492000,4000,1,8451.0,8873.0,1382-03-07
2712,2003-05-31,9316.0,9316.0,9316.0,9316.0,37264000,4000,2,8873.0,9316.0,1382-03-10
2711,2003-06-01,9781.0,9781.0,9781.0,9781.0,39124000,4000,1,9316.0,9781.0,1382-03-11
2710,2003-06-02,10270.0,10270.0,10265.0,10270.0,243576995,23718,19,9781.0,10270.0,1382-03-12
2709,2003-06-03,10269.0,10783.0,10269.0,10783.0,73271300,7000,6,10270.0,10783.0,1382-03-13
2708,2003-06-08,10578.0,10578.0,10578.0,10578.0,3966750,375,1,10783.0,10578.0,1382-03-18
2707,2003-06-15,10569.0,10578.0,10569.0,10578.0,524943702,49636,21,10578.0,10578.0,1382-03-25
2706,2003-08-16,10500.0,10500.0,10500.0,10500.0,1470000,140,1,10578.0,10500.0,1382-05-25
2705,2003-09-08,10369.0,10500.0,10369.0,10500.0,1141900,110,2,10500.0,10500.0,1382-06-17
2704,2003-09-14,10300.0,10500.0,10300.0,10500.0,2082600,202,2,10500.0,10500.0,1382-06-23
2703,2003-12-03,9975.0,10352.0,9975.0,10352.0,14966270,1500,5,10500.0,10352.0,1382-09-12
2702,2003-12-09,9975.0,10260.0,9975.0,10260.0,13000275,1303,3,10352.0,10260.0,1382-09-18
2701,2003-12-24,9747.0,9747.0,9747.0,9747.0,58482000,6000,1,10260.0,9747.0,1382-10-03
2700,2003-12-30,9260.0,9260.0,9260.0,9260.0,60190000,6500,1,9747.0,9260.0,1382-10-09
2699,2004-01-03,8797.0,8797.0,8797.0,8797.0,57180500,6500,1,9260.0,8797.0,1382-10-13
2698,2004-01-04,8358.0,8358.0,8358.0,8358.0,50983800,6100,1,8797.0,8358.0,1382-10-14
2697,2004-01-05,7941.0,7941.0,7941.0,7941.0,49631250,6250,1,8358.0,7941.0,1382-10-15
2696,2004-01-06,7544.0,7544.0,7544.0,7544.0,46169280,6120,1,7941.0,7544.0,1382-10-16
2695,2004-01-07,7167.0,7167.0,7167.0,7167.0,43718700,6100,1,7544.0,7167.0,1382-10-17
2694,2004-01-10,6809.0,6809.0,6809.0,6809.0,42215800,6200,1,7167.0,6809.0,1382-10-20
2693,2004-01-11,6469.0,6469.0,6469.0,6469.0,39784350,6150,1,6809.0,6469.0,1382-10-21
2692,2004-01-12,6147.0,6147.0,6147.0,6147.0,38418750,6250,1,6469.0,6147.0,1382-10-22
2691,2004-01-13,6150.0,6150.0,6147.0,6147.0,2667008970,433660,3,6147.0,6147.0,1382-10-23
2690,2004-01-14,6155.0,6155.0,6147.0,6147.0,2669177220,433660,3,6147.0,6147.0,1382-10-24
2689,2004-01-17,6155.0,6155.0,6147.0,6147.0,2669177220,433660,3,6147.0,6147.0,1382-10-27
2688,2004-01-18,6155.0,6155.0,6147.0,6147.0,2669177220,433660,3,6147.0,6147.0,1382-10-28
2687,2004-01-21,6270.0,6270.0,6149.0,6149.0,2719046990,433660,3,6147.0,6149.0,1382-11-01
2686,2004-01-24,6270.0,6270.0,6151.0,6151.0,2161205110,344690,3,6149.0,6151.0,1382-11-04
2685,2004-01-27,6180.0,6180.0,6152.0,6152.0,5353177520,866210,5,6151.0,6152.0,1382-11-07
2684,2004-01-31,6190.0,6190.0,6153.0,6153.0,5361839530,866210,5,6152.0,6153.0,1382-11-11
2683,2004-02-01,6190.0,6190.0,6190.0,6190.0,5477561950,884905,9,6153.0,6190.0,1382-11-12
2682,2004-02-03,6200.0,6200.0,6190.0,6190.0,2685281900,433110,3,6190.0,6190.0,1382-11-14
2681,2004-02-04,6220.0,6220.0,6190.0,6190.0,2693943900,433110,3,6190.0,6190.0,1382-11-15
2680,2004-02-24,6350.0,6350.0,6193.0,6193.0,2731196930,430110,3,6190.0,6193.0,1382-12-05
2679,2004-02-29,6502.0,6502.0,6502.0,6502.0,2840236150,436825,5,6193.0,6502.0,1382-12-10
2678,2004-03-03,6520.0,6520.0,6502.0,6502.0,2823877020,433110,3,6502.0,6502.0,1382-12-13
2677,2004-03-06,6530.0,6530.0,6502.0,6502.0,2828208020,433110,3,6502.0,6502.0,1382-12-16
2676,2004-03-07,6535.0,6535.0,6502.0,6502.0,2830373520,433110,3,6502.0,6502.0,1382-12-17
2675,2004-03-08,6540.0,6540.0,6540.0,6540.0,48310980,7387,1,6502.0,6540.0,1382-12-18
2674,2004-03-09,6531.0,6538.0,6531.0,6538.0,5048533,773,2,6540.0,6538.0,1382-12-19
2673,2004-03-13,6535.0,6537.0,6535.0,6537.0,261420,40,2,6538.0,6537.0,1382-12-23
2672,2004-03-14,6534.0,6535.0,6531.0,6535.0,7414525,1135,3,6537.0,6535.0,1382-12-24
2671,2004-03-29,6521.0,6524.0,6500.0,6524.0,12193840,1874,3,6535.0,6524.0,1383-01-10
2670,2004-03-30,6500.0,6523.0,6500.0,6523.0,1313230,202,2,6524.0,6523.0,1383-01-11
2669,2004-04-17,6523.0,6523.0,6523.0,6523.0,991496,152,1,6523.0,6523.0,1383-01-29
2668,2004-04-24,6523.0,6523.0,6523.0,6523.0,978450,150,3,6523.0,6523.0,1383-02-05
2667,2004-04-28,6525.0,6525.0,6523.0,6523.0,1043980,160,4,6523.0,6523.0,1383-02-09
2666,2004-08-10,3400.0,3400.0,3400.0,3400.0,1700000,500,1,6523.0,3400.0,1383-05-20
2665,2004-08-18,3230.0,3370.0,3230.0,3370.0,8461700,2610,3,3400.0,3370.0,1383-05-28
2664,2004-09-06,3370.0,3370.0,3370.0,3370.0,680740,202,2,3370.0,3370.0,1383-06-16
2663,2004-09-07,3370.0,3370.0,3370.0,3370.0,680740,202,1,3370.0,3370.0,1383-06-17
2662,2004-09-14,3400.0,3400.0,3372.0,3372.0,3773720,1110,2,3370.0,3372.0,1383-06-24
2661,2004-10-31,3540.0,3540.0,3381.0,3381.0,2894130,818,2,3372.0,3381.0,1383-08-10
2660,2004-11-09,3540.0,3540.0,3384.0,3384.0,6952660,2043,3,3381.0,3384.0,1383-08-19
2659,2004-11-10,3384.0,3384.0,3384.0,3384.0,6768000,2000,1,3384.0,3384.0,1383-08-20
2658,2004-11-20,3384.0,3384.0,3384.0,3384.0,734328,217,1,3384.0,3384.0,1383-08-30
2657,2004-12-04,3553.0,3553.0,3396.0,3396.0,3778822,1064,2,3384.0,3396.0,1383-09-14
2656,2004-12-07,3565.0,3565.0,3565.0,3565.0,178250000,50000,8,3396.0,3565.0,1383-09-17
2655,2004-12-12,3743.0,3743.0,3743.0,3743.0,56145000,15000,3,3565.0,3743.0,1383-09-22
2654,2004-12-14,3930.0,3930.0,3930.0,3930.0,58950000,15000,10,3743.0,3930.0,1383-09-24
2653,2004-12-20,4126.0,4126.0,4047.0,4047.0,35111470,8510,6,3930.0,4047.0,1383-09-30
2652,2004-12-21,4249.0,4249.0,4249.0,4249.0,390249405,91845,68,4047.0,4249.0,1383-10-01
2651,2004-12-22,4461.0,4461.0,4461.0,4461.0,66915000,15000,3,4249.0,4461.0,1383-10-02
2650,2004-12-26,4684.0,4684.0,4461.0,4461.0,372490,80,2,4461.0,4461.0,1383-10-06
2649,2004-12-27,4684.0,4684.0,4464.0,4464.0,981440,210,2,4461.0,4464.0,1383-10-07
2648,2004-12-28,4687.0,4687.0,4687.0,4687.0,70305000,15000,3,4464.0,4687.0,1383-10-08
2647,2004-12-29,4921.0,4921.0,4803.0,4803.0,34760764,7064,6,4687.0,4803.0,1383-10-09
2646,2005-01-01,5043.0,5043.0,5040.0,5042.0,291242207,57754,31,4803.0,5042.0,1383-10-12
2645,2005-01-02,5108.0,5294.0,5105.0,5268.0,227772758,43231,22,5042.0,5268.0,1383-10-13
2644,2005-01-03,5290.0,5400.0,5290.0,5370.0,189521242,35290,19,5268.0,5370.0,1383-10-14
2643,2005-01-04,5370.0,5370.0,5123.0,5315.0,242105870,45543,25,5370.0,5315.0,1383-10-15
2642,2005-01-05,5174.0,5257.0,5101.0,5257.0,28677412,5548,8,5315.0,5257.0,1383-10-16
2641,2005-01-08,5134.0,5170.0,5134.0,5170.0,51406920,10010,5,5257.0,5170.0,1383-10-19
2640,2005-01-09,5118.0,5169.0,5118.0,5169.0,1039464,203,2,5170.0,5169.0,1383-10-20
2639,2005-01-10,5045.0,5125.0,5000.0,5125.0,21453750,4270,4,5169.0,5125.0,1383-10-21
2638,2005-01-11,4900.0,5109.0,4900.0,5109.0,4951090,1010,3,5125.0,5109.0,1383-10-22
2637,2005-01-15,4854.0,5072.0,4854.0,5072.0,9972296,2054,3,5109.0,5072.0,1383-10-26
2636,2005-01-23,4819.0,5072.0,4819.0,5072.0,532620,110,2,5072.0,5072.0,1383-11-04
2635,2005-02-23,4819.0,5036.0,4819.0,5036.0,9688360,2010,2,5072.0,5036.0,1383-12-05
2634,2005-03-12,4785.0,5032.0,4785.0,5032.0,1055170,220,2,5036.0,5032.0,1383-12-22
2633,2005-03-14,4781.0,5005.0,4781.0,5005.0,7221550,1510,4,5032.0,5005.0,1383-12-24
2632,2005-04-10,4755.0,4854.0,4755.0,4854.0,40699035,8559,3,5005.0,4854.0,1384-01-21
2631,2005-04-13,4612.0,4758.0,4612.0,4758.0,25902452,5616,5,4854.0,4758.0,1384-01-24
2630,2005-04-18,4612.0,4612.0,4612.0,4612.0,152196000,33000,11,4758.0,4612.0,1384-01-29
2629,2005-04-19,4610.0,4611.0,4610.0,4611.0,9072490,1968,3,4612.0,4611.0,1384-01-30
2628,2005-04-20,4500.0,4609.0,4500.0,4609.0,986590,219,2,4611.0,4609.0,1384-01-31
2627,2005-04-23,4500.0,4564.0,4499.0,4564.0,25993373,5777,4,4609.0,4564.0,1384-02-03
2626,2005-04-25,4450.0,4538.0,4450.0,4538.0,17406280,3892,5,4564.0,4538.0,1384-02-05
