,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2045,2004-02-25,12000.0,12000.0,12000.0,12000.0,2181924000,181827,95,12000.0,12000.0,1382-12-06
2044,2004-02-28,12000.0,12000.0,12000.0,12000.0,146076000,12173,4,12000.0,12000.0,1382-12-09
2043,2004-02-29,12000.0,12000.0,12000.0,12000.0,899340000,74945,23,12000.0,12000.0,1382-12-10
2042,2004-03-06,12000.0,12000.0,12000.0,12000.0,72000000,6000,4,12000.0,12000.0,1382-12-16
2041,2004-03-09,12000.0,12000.0,12000.0,12000.0,59172000,4931,5,12000.0,12000.0,1382-12-19
2040,2004-03-13,12000.0,12000.0,12000.0,12000.0,1200000,100,1,12000.0,12000.0,1382-12-23
2039,2004-03-15,11400.0,11884.0,11400.0,11884.0,34318840,3010,5,12000.0,11884.0,1382-12-25
2038,2004-04-10,11890.0,12000.0,11890.0,11931.0,7388154310,615710,8,11884.0,11931.0,1383-01-22
2037,2004-04-13,11930.0,11930.0,11930.0,11930.0,23669120,1984,1,11931.0,11930.0,1383-01-25
2036,2004-04-26,11909.0,12000.0,11909.0,11977.0,2710073033,225927,14,11930.0,11977.0,1383-02-07
2035,2004-05-08,11379.0,11948.0,11379.0,11948.0,11498480,1010,2,11977.0,11948.0,1383-02-19
2034,2004-05-09,11910.0,11999.0,11910.0,11927.0,298314270,25010,4,11948.0,11927.0,1383-02-20
2033,2004-05-18,11999.0,12030.0,11934.0,11934.0,24133340,2010,4,11927.0,11934.0,1383-02-29
2032,2004-05-19,12000.0,12000.0,11940.0,11940.0,24119400,2010,2,11934.0,11940.0,1383-02-30
2031,2004-06-01,11940.0,12048.0,11940.0,11986.0,120491860,10010,3,11940.0,11986.0,1383-03-12
2030,2004-06-05,11986.0,11986.0,11986.0,11986.0,599300,50,1,11986.0,11986.0,1383-03-16
2029,2004-06-06,11986.0,12048.0,11986.0,11998.0,69242740,5755,4,11986.0,11998.0,1383-03-17
2028,2004-06-07,12020.0,12049.0,12014.0,12014.0,100039840,8310,5,11998.0,12014.0,1383-03-18
2027,2004-06-09,12014.0,12014.0,12014.0,12014.0,24028000,2000,1,12014.0,12014.0,1383-03-20
2026,2004-06-12,12014.0,12014.0,12014.0,12014.0,11413300,950,2,12014.0,12014.0,1383-03-23
2025,2004-06-13,12014.0,12014.0,12014.0,12014.0,69152584,5756,2,12014.0,12014.0,1383-03-24
2024,2004-06-14,12014.0,12014.0,12014.0,12014.0,60070000,5000,1,12014.0,12014.0,1383-03-25
2023,2004-06-16,12050.0,12050.0,12021.0,12021.0,49525210,4110,5,12014.0,12021.0,1383-03-27
2022,2004-06-19,12050.0,12050.0,12022.0,12022.0,12170220,1010,2,12021.0,12022.0,1383-03-30
2021,2004-06-21,12050.0,12050.0,12022.0,12049.0,3298793990,273760,8,12022.0,12049.0,1383-04-01
