,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1212,2016-03-09,12948.0,13595.0,12903.0,12973.0,2664445722,205387,87,1000.0,13595.0,1394-12-19
1211,2016-03-12,13621.0,13621.0,13600.0,13220.0,630865104,46342,45,12973.0,13621.0,1394-12-22
1210,2016-03-14,13880.0,13880.0,12560.0,13155.0,373094073,28815,33,13220.0,12801.0,1394-12-24
1209,2016-03-15,13400.0,13400.0,12660.0,13085.0,245022046,19261,23,13155.0,12675.0,1394-12-25
1208,2016-03-16,12480.0,13390.0,12480.0,13052.0,155028437,12152,19,13085.0,12660.0,1394-12-26
1207,2016-03-26,13000.0,13000.0,12652.0,13045.0,27567900,2174,6,13052.0,12652.0,1395-01-07
1206,2016-03-27,12700.0,12700.0,12700.0,13042.0,13017500,1025,2,13045.0,12700.0,1395-01-08
1205,2016-03-28,12421.0,12500.0,12421.0,12974.0,164157830,13210,16,13042.0,12427.0,1395-01-09
1204,2016-03-29,13000.0,13000.0,12512.0,12939.0,135826100,10792,13,12974.0,12600.0,1395-01-10
1203,2016-03-30,12511.0,12700.0,12500.0,12864.0,296202216,23588,25,12939.0,12530.0,1395-01-11
1202,2016-04-02,12613.0,12999.0,12613.0,12857.0,72827498,5731,6,12864.0,12700.0,1395-01-14
1201,2016-04-03,12600.0,13499.0,12600.0,13489.0,20785512056,1540876,25,12857.0,13489.0,1395-01-15
1200,2016-04-04,14090.0,14090.0,12954.0,13488.0,236112324,17515,22,13489.0,13000.0,1395-01-16
1199,2016-04-05,13201.0,13598.0,13200.0,13442.0,254586312,19283,12,13488.0,13201.0,1395-01-17
1198,2016-04-06,13002.0,13003.0,13000.0,13436.0,20997440,1615,7,13442.0,13002.0,1395-01-18
1197,2016-04-09,13437.0,13437.0,13437.0,13436.0,2687400,200,1,13436.0,13437.0,1395-01-21
1196,2016-04-10,13400.0,13400.0,13400.0,13436.0,1340000,100,2,13436.0,13400.0,1395-01-22
1195,2016-04-11,12803.0,13000.0,12803.0,13431.0,12894256,1002,5,13436.0,13000.0,1395-01-23
1194,2016-04-12,13299.0,13299.0,13299.0,13429.0,25454286,1914,1,13431.0,13299.0,1395-01-24
1193,2016-04-13,13185.0,13185.0,13140.0,13428.0,7111465,541,4,13429.0,13145.0,1395-01-25
1192,2016-04-16,12803.0,13000.0,12757.0,13298.0,307482857,24060,15,13428.0,12757.0,1395-01-28
1191,2016-04-17,12634.0,12980.0,12634.0,13233.0,160923750,12685,19,13298.0,12980.0,1395-01-29
1190,2016-04-18,12998.0,12999.0,12573.0,13116.0,428482281,33438,23,13233.0,12790.0,1395-01-30
1189,2016-04-19,12464.0,12872.0,12464.0,13079.0,106397825,8447,20,13116.0,12839.0,1395-01-31
1188,2016-04-20,12427.0,12511.0,12426.0,13057.0,56126654,4493,7,13079.0,12511.0,1395-02-01
1187,2016-04-23,12997.0,12997.0,12849.0,13050.0,100809661,7787,4,13057.0,12900.0,1395-02-04
1186,2016-04-24,12990.0,12998.0,12710.0,13045.0,33648638,2620,6,13050.0,12710.0,1395-02-05
1185,2016-04-25,12948.0,12948.0,12402.0,13040.0,21741717,1714,12,13045.0,12800.0,1395-02-06
1184,2016-04-26,12870.0,13500.0,12500.0,13311.0,2680971543,201416,35,13040.0,13100.0,1395-02-07
1183,2016-04-27,12800.0,13000.0,12712.0,13277.0,120711470,9372,19,13311.0,13000.0,1395-02-08
1182,2016-04-30,12621.0,13199.0,12614.0,13108.0,391256252,31000,21,13277.0,12615.0,1395-02-11
1181,2016-05-01,13200.0,13200.0,12454.0,13075.0,77863757,6242,12,13108.0,12454.0,1395-02-12
1180,2016-05-02,12720.0,12990.0,12424.0,13036.0,108048193,8623,23,13075.0,12950.0,1395-02-13
1179,2016-05-09,11750.0,11850.0,11020.0,11291.0,19758000,1700,5,11286.0,11020.0,1395-02-20
1178,2016-05-10,11480.0,11480.0,11200.0,11298.0,597706600,52858,11,11291.0,11300.0,1395-02-21
1177,2016-05-11,11350.0,11350.0,11000.0,11287.0,99255600,8900,12,11298.0,11150.0,1395-02-22
1176,2016-05-14,11000.0,11300.0,11000.0,11199.0,701329643,63073,23,11287.0,11100.0,1395-02-25
1175,2016-05-15,11200.0,11300.0,10801.0,11282.0,11889054188,1053839,33,11199.0,10801.0,1395-02-26
1174,2016-05-16,11196.0,11300.0,10814.0,11294.0,11316757991,1002000,11,11282.0,10814.0,1395-02-27
1173,2016-05-17,11250.0,11369.0,11250.0,11294.0,51332205,4545,5,11294.0,11269.0,1395-02-28
1172,2016-05-18,11000.0,11100.0,11000.0,11285.0,46812972,4236,6,11294.0,11100.0,1395-02-29
1171,2016-05-21,11100.0,11150.0,11100.0,11281.0,27114650,2441,5,11285.0,11150.0,1395-03-01
1170,2016-05-23,10911.0,11000.0,10910.0,11240.0,145154865,13299,11,11281.0,10911.0,1395-03-03
1169,2016-05-25,11002.0,11011.0,11002.0,11234.0,35766779,3250,4,11240.0,11010.0,1395-03-05
