,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2594,2003-08-03,1502.0,1502.0,1500.0,1500.0,435280000,290000,25,1502.0,1500.0,1382-05-12
2593,2003-08-04,1556.0,1556.0,1500.0,1500.0,1009794225,669553,249,1500.0,1500.0,1382-05-13
2592,2003-08-05,1500.0,1500.0,1500.0,1500.0,158170500,105447,19,1500.0,1500.0,1382-05-14
2591,2003-08-06,1500.0,1500.0,1500.0,1500.0,697500000,465000,58,1500.0,1500.0,1382-05-15
2590,2003-08-09,1500.0,1500.0,1500.0,1500.0,330000000,220000,34,1500.0,1500.0,1382-05-18
2589,2003-08-11,1500.0,1500.0,1500.0,1500.0,19852500,13235,4,1500.0,1500.0,1382-05-20
2588,2003-08-20,1575.0,1575.0,1575.0,1575.0,236250000,150000,43,1500.0,1575.0,1382-05-29
2587,2003-08-24,1653.0,1653.0,1653.0,1653.0,16530000,10000,2,1575.0,1653.0,1382-06-02
2586,2003-08-26,1735.0,1735.0,1735.0,1735.0,86750000,50000,25,1653.0,1735.0,1382-06-04
2585,2003-08-27,1821.0,1821.0,1821.0,1821.0,91050000,50000,10,1735.0,1821.0,1382-06-05
2584,2003-08-30,1912.0,1912.0,1821.0,1821.0,3823909,2000,2,1821.0,1821.0,1382-06-08
2583,2003-09-01,1912.0,1912.0,1912.0,1912.0,47587768,24889,14,1821.0,1912.0,1382-06-10
2582,2003-09-02,2007.0,2007.0,2007.0,2007.0,84294000,42000,16,1912.0,2007.0,1382-06-11
2581,2003-09-03,2107.0,2107.0,2107.0,2107.0,27441568,13024,6,2007.0,2107.0,1382-06-12
2580,2003-09-06,2212.0,2212.0,2212.0,2212.0,55300000,25000,9,2107.0,2212.0,1382-06-15
2579,2003-09-07,2322.0,2322.0,2322.0,2322.0,372899268,160594,74,2212.0,2322.0,1382-06-16
2578,2003-09-08,2320.0,2438.0,2218.0,2313.0,173304202,74914,36,2322.0,2313.0,1382-06-17
2577,2003-09-09,2428.0,2428.0,2428.0,2428.0,26088860,10745,5,2313.0,2428.0,1382-06-18
2576,2003-09-13,2549.0,2549.0,2548.0,2549.0,241431927,94723,44,2428.0,2549.0,1382-06-22
2575,2003-09-14,2549.0,2676.0,2549.0,2640.0,267334420,101265,46,2549.0,2640.0,1382-06-23
2574,2003-09-15,2676.0,2750.0,2676.0,2711.0,131974700,48683,21,2640.0,2711.0,1382-06-24
2573,2003-09-16,2800.0,2820.0,2757.0,2811.0,82183610,29229,10,2711.0,2811.0,1382-06-25
2572,2003-09-17,2820.0,2950.0,2820.0,2940.0,90322350,30720,16,2811.0,2940.0,1382-06-26
2571,2003-09-20,3000.0,3078.0,3000.0,3068.0,167570680,54610,20,2940.0,3068.0,1382-06-29
2570,2003-09-21,3221.0,3221.0,3213.0,3213.0,64452130,20010,9,3068.0,3213.0,1382-06-30
2569,2003-09-22,3373.0,3373.0,3312.0,3312.0,43882120,13010,3,3213.0,3312.0,1382-06-31
2568,2003-09-23,3477.0,3477.0,3477.0,3477.0,121695000,35000,11,3312.0,3477.0,1382-07-01
2567,2003-09-27,3650.0,3650.0,3641.0,3641.0,73036410,20010,11,3477.0,3641.0,1382-07-05
