,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
509,2019-05-26,5700.0,5700.0,5700.0,5700.0,227998181700,39999681,378216,1000.0,5700.0,1398-03-05
508,2019-05-28,5985.0,5985.0,5985.0,5985.0,596824200,99720,999,5700.0,5985.0,1398-03-07
507,2019-05-29,6284.0,6284.0,6284.0,6284.0,1104940856,175834,1737,5985.0,6284.0,1398-03-08
506,2019-06-01,6598.0,6598.0,6598.0,6598.0,16649175466,2523367,24279,6284.0,6598.0,1398-03-11
505,2019-06-09,0.0,0.0,0.0,5898.0,32652459190,2347409,14379,5898.0,13910.0,1398-03-19
504,2019-06-11,6192.0,6192.0,6192.0,6192.0,1498228704,241962,2374,5898.0,6192.0,1398-03-21
503,2019-06-12,6501.0,6501.0,6501.0,6501.0,1421482656,218656,2143,6192.0,6501.0,1398-03-22
502,2019-06-15,6826.0,6826.0,6826.0,6826.0,1447924294,212119,2088,6501.0,6826.0,1398-03-25
501,2019-06-16,7167.0,7167.0,7167.0,7167.0,1822933617,254351,2504,6826.0,7167.0,1398-03-26
500,2019-06-17,7525.0,7525.0,7525.0,7525.0,3427012925,455417,4526,7167.0,7525.0,1398-03-27
499,2019-06-18,7901.0,7901.0,7901.0,7901.0,1206751334,152734,1499,7525.0,7901.0,1398-03-28
498,2019-06-19,8296.0,8296.0,8296.0,8296.0,1651476424,199069,1792,7901.0,8296.0,1398-03-29
497,2019-06-22,8710.0,8710.0,8710.0,8710.0,1616497610,185591,1843,8296.0,8710.0,1398-04-01
496,2019-06-23,9145.0,9145.0,9145.0,9145.0,2448692635,267763,2866,8710.0,9145.0,1398-04-02
495,2019-06-24,9602.0,9602.0,9602.0,9602.0,1301608712,135556,1397,9145.0,9602.0,1398-04-03
494,2019-06-25,10082.0,10082.0,10082.0,10082.0,2366769664,234752,2312,9602.0,10082.0,1398-04-04
493,2019-07-01,10586.0,11115.0,10586.0,11077.0,34221526478,3089389,9960,10082.0,11115.0,1398-04-10
492,2019-07-02,11630.0,11630.0,11630.0,11630.0,28887919820,2483914,4769,11077.0,11630.0,1398-04-11
