,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
412,2019-10-14,10000.0,10000.0,10000.0,10000.0,989999900000,98999990,1474,10000.0,10000.0,1398-07-22
411,2019-12-01,10244.0,10355.0,10244.0,10263.0,139730778,13615,33,10000.0,10298.0,1398-09-10
410,2019-12-02,10260.0,10500.0,10245.0,10249.0,18115105519,1767514,68,10263.0,10248.0,1398-09-11
409,2019-12-03,10260.0,10260.0,10240.0,10258.0,186493360,18180,13,10249.0,10240.0,1398-09-12
408,2019-12-04,10250.0,10266.0,10250.0,10253.0,90522330,8829,12,10258.0,10250.0,1398-09-13
407,2019-12-07,10270.0,10279.0,10270.0,10278.0,5162958306,502331,74,10253.0,10278.0,1398-09-16
406,2019-12-08,10280.0,10290.0,10280.0,10284.0,86551761,8416,26,10278.0,10288.0,1398-09-17
405,2019-12-09,10290.0,10290.0,10290.0,10290.0,12090750,1175,14,10284.0,10290.0,1398-09-18
404,2019-12-10,10298.0,10298.0,10298.0,10298.0,36053298,3501,12,10290.0,10298.0,1398-09-19
403,2019-12-11,10303.0,10303.0,10303.0,10303.0,11405421,1107,4,10298.0,10303.0,1398-09-20
402,2019-12-14,10330.0,10330.0,10330.0,10330.0,101636870,9839,3,10303.0,10330.0,1398-09-23
401,2019-12-15,10337.0,10337.0,10337.0,10337.0,21001744922,2031706,42,10330.0,10337.0,1398-09-24
400,2019-12-16,10338.0,10345.0,10335.0,10339.0,104464007567,10103879,141,10337.0,10345.0,1398-09-25
399,2019-12-17,10340.0,10340.0,10335.0,10340.0,103627370,10022,7,10339.0,10335.0,1398-09-26
398,2019-12-18,10360.0,10360.0,10340.0,10358.0,15491805258,1495652,28,10340.0,10360.0,1398-09-27
397,2019-12-21,10370.0,10380.0,10370.0,10374.0,38673210,3728,9,10358.0,10370.0,1398-09-30
396,2019-12-22,10000.0,10008.0,10000.0,10003.0,533797495,53366,18,10374.0,10002.0,1398-10-01
395,2019-12-23,10015.0,10015.0,10010.0,10015.0,45846925,4578,7,10003.0,10015.0,1398-10-02
394,2019-12-24,10018.0,10018.0,10010.0,10010.0,10893518903,1088256,53,10015.0,10010.0,1398-10-03
393,2019-12-25,10011.0,10022.0,10011.0,10012.0,475257053,47468,15,10010.0,10022.0,1398-10-04
392,2019-12-28,10033.0,10048.0,10030.0,10035.0,1250730174,124632,25,10012.0,10031.0,1398-10-07
391,2019-12-29,10054.0,10059.0,10046.0,10048.0,6015064051,598652,20,10035.0,10046.0,1398-10-08
390,2019-12-30,10048.0,10055.0,10048.0,10055.0,2083233380,207185,8,10048.0,10055.0,1398-10-09
389,2019-12-31,10066.0,10150.0,10056.0,10066.0,17791982145,1767550,40,10055.0,10060.0,1398-10-10
388,2020-01-01,0.0,10080.0,10070.0,10074.0,30126333000,2990600,67,10066.0,10070.0,1398-10-11
387,2020-01-04,10066.0,10066.0,10066.0,10066.0,10066,1,1,10074.0,10066.0,1398-10-14
386,2020-01-05,10060.0,10060.0,10060.0,10060.0,40240,4,2,10066.0,10060.0,1398-10-15
385,2020-01-07,10080.0,10082.0,10080.0,10080.0,110882000,11000,2,10060.0,10082.0,1398-10-17
384,2020-01-08,10068.0,10129.0,10061.0,10085.0,1616569430,160298,22,10080.0,10129.0,1398-10-18
383,2020-01-11,10095.0,10096.0,10081.0,10086.0,530750240,52624,12,10085.0,10081.0,1398-10-21
382,2020-01-12,10119.0,10119.0,10112.0,10113.0,1434071764,141802,21,10086.0,10112.0,1398-10-22
381,2020-01-13,10150.0,10147.0,10140.0,10142.0,30447294,3002,3,10113.0,10147.0,1398-10-23
380,2020-01-14,10172.0,10172.0,10160.0,10168.0,40023024,3936,5,10142.0,10171.0,1398-10-24
