,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2874,2002-07-30,18001.0,18100.0,18000.0,18040.0,8069872400,448000,469,18001.0,18040.0,1381-05-08
2873,2002-07-31,18491.0,18491.0,18491.0,18491.0,961532000,52000,42,18040.0,18491.0,1381-05-09
2872,2002-08-03,18953.0,18953.0,18953.0,18953.0,441453276,23292,23,18491.0,18953.0,1381-05-12
2871,2002-08-04,19426.0,19426.0,19426.0,19426.0,19426000,1000,4,18953.0,19426.0,1381-05-13
2870,2002-08-05,18941.0,19429.0,18941.0,19426.0,1934113288,101277,127,19426.0,19426.0,1381-05-14
2869,2002-08-06,19190.0,19426.0,19100.0,19203.0,770765452,40161,68,19426.0,19203.0,1381-05-15
2868,2002-08-07,19189.0,19189.0,18723.0,18723.0,391140768,20787,26,19203.0,18723.0,1381-05-16
2867,2002-08-10,18598.0,18723.0,18593.0,18720.0,535462165,28643,39,18723.0,18720.0,1381-05-19
2866,2002-08-11,18690.0,18710.0,18690.0,18710.0,69217000,3700,6,18720.0,18710.0,1381-05-20
2865,2002-08-13,18670.0,18684.0,18650.0,18667.0,201748002,10813,14,18710.0,18667.0,1381-05-22
2864,2002-08-14,18598.0,18649.0,18400.0,18400.0,242785704,13091,23,18667.0,18400.0,1381-05-23
2863,2002-08-17,18399.0,18399.0,18394.0,18394.0,27593500,1500,3,18400.0,18394.0,1381-05-26
2862,2002-08-18,18000.0,18004.0,18000.0,18004.0,226574374,12586,24,18394.0,18004.0,1381-05-27
2861,2002-08-19,18010.0,18018.0,18010.0,18018.0,157996584,8769,17,18004.0,18018.0,1381-05-28
2860,2002-08-20,18250.0,18374.0,18250.0,18340.0,342676970,18700,36,18018.0,18340.0,1381-05-29
2859,2002-08-21,18340.0,18350.0,18101.0,18101.0,150240865,8227,22,18340.0,18101.0,1381-05-30
2858,2002-08-28,18101.0,18102.0,18000.0,18100.0,326318792,18029,29,18101.0,18100.0,1381-06-06
2857,2002-08-31,18100.0,18100.0,17999.0,18000.0,371881100,20650,23,18100.0,18000.0,1381-06-09
2856,2002-09-01,17700.0,18000.0,17700.0,18000.0,536300665,30200,31,18000.0,18000.0,1381-06-10
2855,2002-09-03,17900.0,18000.0,17900.0,18000.0,326875473,18190,18,18000.0,18000.0,1381-06-12
2854,2002-09-08,17759.0,18000.0,17500.0,18000.0,196520741,11010,18,18000.0,18000.0,1381-06-17
2853,2002-09-11,17400.0,17400.0,17400.0,17400.0,12180000,700,1,18000.0,17400.0,1381-06-20
2852,2002-09-14,17400.0,17400.0,17299.0,17400.0,132871103,7643,10,17400.0,17400.0,1381-06-23
2851,2002-09-15,17000.0,17000.0,17000.0,17000.0,68000000,4000,11,17400.0,17000.0,1381-06-24
2850,2002-09-17,16150.0,16988.0,16150.0,16988.0,27873100,1674,4,17000.0,16988.0,1381-06-26
2849,2002-09-25,16776.0,17000.0,16776.0,17000.0,705181431,41586,49,16988.0,17000.0,1381-07-03
2848,2002-10-06,16996.0,17000.0,16996.0,17000.0,55890028,3288,7,17000.0,17000.0,1381-07-14
2847,2002-10-13,17000.0,17100.0,16150.0,17100.0,433773861,25635,32,17000.0,17100.0,1381-07-21
2846,2002-10-14,17099.0,17200.0,17099.0,17200.0,100650638,5863,5,17100.0,17200.0,1381-07-22
2845,2002-10-16,17497.0,17498.0,17497.0,17498.0,17497548,1000,2,17200.0,17498.0,1381-07-24
2844,2002-10-19,17497.0,17497.0,17497.0,17497.0,34994000,2000,4,17498.0,17497.0,1381-07-27
2843,2002-10-21,17493.0,17499.0,17493.0,17499.0,206065927,11777,13,17497.0,17499.0,1381-07-29
2842,2002-10-29,17477.0,17480.0,17477.0,17480.0,34955900,2000,3,17499.0,17480.0,1381-08-07
2841,2002-11-02,17480.0,17480.0,17480.0,17480.0,52684720,3014,3,17480.0,17480.0,1381-08-11
2840,2002-11-04,17499.0,17499.0,17499.0,17499.0,17499000,1000,1,17480.0,17499.0,1381-08-13
2839,2002-11-05,17499.0,17499.0,17499.0,17499.0,28208388,1612,2,17499.0,17499.0,1381-08-14
2838,2002-11-16,17000.0,17460.0,17000.0,17000.0,88622000,5186,9,17499.0,17000.0,1381-08-25
2837,2002-11-17,17000.0,17000.0,16999.0,17000.0,94587900,5564,9,17000.0,17000.0,1381-08-26
2836,2002-11-18,17000.0,17000.0,17000.0,17000.0,2890000,170,1,17000.0,17000.0,1381-08-27
2835,2002-11-19,16999.0,17000.0,16999.0,17000.0,33999872,2000,5,17000.0,17000.0,1381-08-28
2834,2002-11-20,16500.0,16500.0,16500.0,16500.0,16500000,1000,1,17000.0,16500.0,1381-08-29
2833,2002-11-23,16500.0,16500.0,16500.0,16500.0,2392500,145,2,16500.0,16500.0,1381-09-02
2832,2002-11-24,16512.0,16512.0,16511.0,16511.0,36241655,2195,8,16500.0,16511.0,1381-09-03
2831,2002-11-30,16512.0,16512.0,16511.0,16511.0,59987463,3633,5,16511.0,16511.0,1381-09-09
2830,2002-12-04,16998.0,17000.0,16998.0,17000.0,134885215,7935,7,16511.0,17000.0,1381-09-13
2829,2002-12-07,17000.0,17000.0,17000.0,17000.0,3400000,200,1,17000.0,17000.0,1381-09-16
2828,2002-12-09,16997.0,17000.0,16997.0,17000.0,72504405,4265,3,17000.0,17000.0,1381-09-18
2827,2002-12-11,17000.0,17000.0,17000.0,17000.0,15300000,900,3,17000.0,17000.0,1381-09-20
2826,2002-12-15,17440.0,17450.0,17440.0,17450.0,53563950,3071,5,17000.0,17450.0,1381-09-24
2825,2002-12-16,17460.0,17460.0,17460.0,17460.0,43650000,2500,3,17450.0,17460.0,1381-09-25
2824,2002-12-21,17460.0,17460.0,17460.0,17460.0,82411200,4720,2,17460.0,17460.0,1381-09-30
2823,2002-12-22,17460.0,17460.0,17000.0,17000.0,55888800,3280,2,17460.0,17000.0,1381-10-01
2822,2002-12-28,17000.0,17850.0,17000.0,17850.0,27659000,1602,3,17000.0,17850.0,1381-10-07
2821,2002-12-29,17850.0,17850.0,17850.0,17850.0,1785000,100,1,17850.0,17850.0,1381-10-08
2820,2003-01-05,17822.0,17850.0,17822.0,17850.0,69305090,3886,11,17850.0,17850.0,1381-10-15
2819,2003-01-06,17850.0,17850.0,17850.0,17850.0,8925000,500,1,17850.0,17850.0,1381-10-16
2818,2003-01-07,18649.0,18649.0,18649.0,18649.0,30770850,1650,2,17850.0,18649.0,1381-10-17
2817,2003-01-13,18632.0,18632.0,18632.0,18632.0,788934776,42343,5,18649.0,18632.0,1381-10-23
2816,2003-01-15,18400.0,18400.0,18400.0,18400.0,10009600,544,3,18632.0,18400.0,1381-10-25
2815,2003-01-18,18200.0,18200.0,18160.0,18160.0,57635155,3171,5,18400.0,18160.0,1381-10-28
