,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
252,2020-07-15,25000.0,25000.0,25000.0,25000.0,649999550000,25999982,4454161,1000.0,25000.0,1399-04-25
251,2020-07-18,26250.0,26250.0,26250.0,25078.0,3289177500,125302,22278,25000.0,26250.0,1399-04-28
250,2020-07-19,26331.0,26331.0,26331.0,25625.0,22988911494,873074,18838,25078.0,26331.0,1399-04-29
249,2020-07-20,26906.0,26906.0,26906.0,25683.0,2416051176,89796,15773,25625.0,26906.0,1399-04-30
248,2020-07-21,26967.0,26967.0,26967.0,25745.0,2604499827,96581,16897,25683.0,26967.0,1399-04-31
247,2020-07-22,27032.0,27032.0,27032.0,25786.0,1708557560,63205,11018,25745.0,27032.0,1399-05-01
246,2020-07-25,27075.0,27075.0,27075.0,25838.0,2126010225,78523,13754,25786.0,27075.0,1399-05-04
245,2020-07-26,27129.0,27129.0,27129.0,25890.0,2117662611,78059,13586,25838.0,27129.0,1399-05-05
244,2020-07-27,27184.0,27184.0,27184.0,25958.0,2781004752,102303,17799,25890.0,27184.0,1399-05-06
243,2020-07-28,27255.0,27255.0,27255.0,26029.0,2879027415,105633,18351,25958.0,27255.0,1399-05-07
242,2020-07-29,27330.0,27330.0,27330.0,26063.0,1394950530,51041,8527,26029.0,27330.0,1399-05-08
241,2020-08-01,27366.0,27366.0,27366.0,26111.0,1949307546,71231,12387,26063.0,27366.0,1399-05-11
240,2020-08-02,27416.0,27416.0,27416.0,26157.0,1850442920,67495,11496,26111.0,27416.0,1399-05-12
239,2020-08-03,27464.0,27464.0,27464.0,26200.0,1727677848,62907,10877,26157.0,27464.0,1399-05-13
238,2020-08-04,27510.0,27510.0,27510.0,26269.0,2763572070,100457,17414,26200.0,27510.0,1399-05-14
237,2020-08-05,27582.0,27582.0,27582.0,26305.0,1451254512,52616,9101,26269.0,27582.0,1399-05-15
236,2020-08-09,27620.0,27620.0,27620.0,26347.0,1684129500,60975,10307,26305.0,27620.0,1399-05-19
235,2020-08-10,27664.0,27664.0,27664.0,26387.0,1577373616,57019,9864,26347.0,27664.0,1399-05-20
234,2020-08-11,27706.0,27706.0,27706.0,26419.0,1264280192,45632,7915,26387.0,27706.0,1399-05-21
233,2020-08-12,27739.0,27739.0,27739.0,26441.0,860657953,31027,5380,26419.0,27739.0,1399-05-22
232,2020-08-15,27763.0,27763.0,27763.0,26466.0,983504275,35425,6132,26441.0,27763.0,1399-05-25
231,2020-08-16,27789.0,27789.0,27789.0,26489.0,915619761,32949,5112,26466.0,27789.0,1399-05-26
230,2020-08-17,27813.0,27813.0,27813.0,26524.0,1393959747,50119,8553,26489.0,27813.0,1399-05-27
229,2020-08-18,27850.0,27850.0,27850.0,26565.0,1634265850,58681,9538,26524.0,27850.0,1399-05-28
228,2020-08-19,27893.0,27893.0,27893.0,26591.0,1048916265,37605,6463,26565.0,27893.0,1399-05-29
227,2020-08-22,27920.0,27920.0,27920.0,26628.0,1472556640,52742,5790,26591.0,27920.0,1399-06-01
226,2020-08-23,27959.0,27959.0,27959.0,26660.0,1270289206,45434,7705,26628.0,27959.0,1399-06-02
225,2020-08-24,27993.0,27993.0,27993.0,26695.0,1380278844,49308,8409,26660.0,27993.0,1399-06-03
224,2020-08-25,28029.0,28029.0,28029.0,26737.0,1676358432,59808,10286,26695.0,28029.0,1399-06-04
223,2020-08-26,28073.0,28073.0,28073.0,26774.0,1453030407,51759,8823,26737.0,28073.0,1399-06-05
222,2020-08-31,28112.0,28112.0,28112.0,26915.0,5513831456,196138,33651,26774.0,28112.0,1399-06-10
221,2020-09-01,28260.0,28260.0,28260.0,27094.0,7022666520,248502,30763,26915.0,28260.0,1399-06-11
220,2020-09-02,28448.0,28448.0,28448.0,27171.0,3037392960,106770,18403,27094.0,28448.0,1399-06-12
219,2020-09-05,28529.0,28529.0,28529.0,27331.0,6193503255,217095,23954,27171.0,28529.0,1399-06-15
218,2020-09-06,28697.0,28697.0,28697.0,27519.0,7262636760,253080,23604,27331.0,28697.0,1399-06-16
217,2020-09-07,28894.0,28894.0,28894.0,27696.0,6850333990,237085,29344,27519.0,28894.0,1399-06-17
216,2020-09-08,29080.0,29080.0,29080.0,27827.0,5053493320,173779,28448,27696.0,29080.0,1399-06-18
215,2020-09-09,29218.0,29218.0,29218.0,27954.0,4906929356,167942,28360,27827.0,29218.0,1399-06-19
214,2020-09-12,29351.0,29351.0,29351.0,28041.0,3280590621,111771,18861,27954.0,29351.0,1399-06-22
213,2020-09-13,29443.0,29443.0,29443.0,28119.0,2929136855,99485,17098,28041.0,29443.0,1399-06-23
212,2020-09-14,29524.0,29524.0,29524.0,28213.0,3531218020,119605,20357,28119.0,29524.0,1399-06-24
211,2020-09-15,29623.0,29623.0,29623.0,28331.0,4441406013,149931,22381,28213.0,29623.0,1399-06-25
210,2020-09-16,29747.0,29747.0,29747.0,28539.0,7833247763,263329,35149,28331.0,29747.0,1399-06-26
209,2020-09-19,29965.0,29965.0,29965.0,28827.0,10587563415,353331,60011,28539.0,29965.0,1399-06-29
208,2020-09-20,30268.0,30268.0,30268.0,29132.0,11229760948,371011,62162,28827.0,30268.0,1399-06-30
207,2020-09-21,30588.0,30588.0,30588.0,29323.0,7036555284,230043,15996,29132.0,30588.0,1399-06-31
206,2020-09-22,30789.0,30789.0,30789.0,29456.0,4892033421,158889,17076,29323.0,30789.0,1399-07-01
205,2020-09-23,30928.0,30928.0,30928.0,29563.0,3955969552,127909,21282,29456.0,30928.0,1399-07-02
204,2020-09-26,31041.0,31041.0,31041.0,29681.0,4183333488,134768,23099,29563.0,31041.0,1399-07-05
203,2020-09-27,31165.0,31165.0,31165.0,29916.0,8339348855,267587,21483,29681.0,31165.0,1399-07-06
202,2020-09-28,31411.0,31411.0,31411.0,30041.0,4448205943,141613,24271,29916.0,31411.0,1399-07-07
201,2020-09-29,31543.0,31543.0,31543.0,30180.0,4946573260,156820,26899,30041.0,31543.0,1399-07-08
200,2020-09-30,31689.0,31689.0,31689.0,30292.0,3978553950,125550,21437,30180.0,31689.0,1399-07-09
199,2020-10-03,31806.0,31806.0,31806.0,30450.0,5482241190,172365,28605,30292.0,31806.0,1399-07-12
198,2020-10-04,31972.0,31972.0,31972.0,30578.0,4450598316,139203,23649,30450.0,31972.0,1399-07-13
197,2020-10-05,32106.0,32106.0,32106.0,30712.0,4640858088,144548,24612,30578.0,32106.0,1399-07-14
196,2020-10-07,32247.0,32247.0,32247.0,30923.0,7330517028,227324,38983,30712.0,32247.0,1399-07-16
195,2020-10-10,32469.0,32469.0,32469.0,31082.0,5396769897,166213,28458,30923.0,32469.0,1399-07-19
194,2020-10-11,32636.0,32636.0,32636.0,31327.0,8314804264,254774,32573,31082.0,32636.0,1399-07-20
