,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
69,2016-12-24,300000.0,300000.0,300000.0,300000.0,105000000000,350000,107,300000.0,300000.0,1395-10-04
68,2017-02-27,312000.0,312000.0,312000.0,312000.0,3120000000,10000,1,300000.0,312000.0,1395-12-09
67,2017-02-28,300000.0,315000.0,300000.0,311379.0,5190690000,16670,10,312000.0,306000.0,1395-12-10
66,2017-03-06,311998.0,312000.0,311998.0,312000.0,2233918600,7160,7,311379.0,312000.0,1395-12-16
65,2017-03-07,311999.0,311999.0,311999.0,311999.0,124799600,400,1,312000.0,311999.0,1395-12-17
64,2017-03-13,311982.0,311982.0,311982.0,311982.0,2264989320,7260,2,311999.0,311982.0,1395-12-23
63,2017-03-14,311982.0,311982.0,311982.0,311982.0,93594600,300,1,311982.0,311982.0,1395-12-24
62,2017-04-05,315000.0,315000.0,315000.0,315000.0,630000000,2000,1,311982.0,315000.0,1396-01-16
61,2017-04-15,300001.0,300001.0,300000.0,300000.0,150000050,500,2,315000.0,300000.0,1396-01-26
60,2017-04-16,305000.0,305000.0,305000.0,305000.0,15250000,50,1,300000.0,305000.0,1396-01-27
59,2017-04-30,305000.0,320239.0,305000.0,319477.0,958431150,3000,4,305000.0,320239.0,1396-02-10
58,2017-05-17,320240.0,320240.0,320240.0,320240.0,1056792000,3300,1,319477.0,320240.0,1396-02-27
57,2017-06-10,305000.0,305000.0,305000.0,305000.0,15250000,50,1,320240.0,305000.0,1396-03-20
56,2017-07-09,305000.0,305000.0,305000.0,305000.0,30500000,100,1,305000.0,305000.0,1396-04-18
55,2017-07-11,305000.0,305000.0,305000.0,305000.0,15250000,50,1,305000.0,305000.0,1396-04-20
54,2017-07-12,320250.0,320250.0,320250.0,320250.0,32025000,100,1,305000.0,320250.0,1396-04-21
53,2017-09-05,342995.0,345000.0,342995.0,344938.0,11165645000,32370,4,320250.0,345000.0,1396-06-14
52,2017-09-06,327692.0,327692.0,327692.0,327692.0,49153800,150,2,344938.0,327692.0,1396-06-15
51,2017-09-10,344076.0,344076.0,344076.0,344076.0,11309778120,32870,4,327692.0,344076.0,1396-06-19
50,2017-09-13,350000.0,350000.0,350000.0,350000.0,175000000,500,1,344076.0,350000.0,1396-06-22
49,2017-09-16,355250.0,355250.0,355250.0,355250.0,17762500,50,1,350000.0,355250.0,1396-06-25
48,2017-09-17,350000.0,350000.0,350000.0,350000.0,210000000,600,4,355250.0,350000.0,1396-06-26
47,2017-09-18,350000.0,350000.0,350000.0,350000.0,385000000,1100,5,350000.0,350000.0,1396-06-27
46,2017-10-02,350000.0,350000.0,350000.0,350000.0,24500000,70,1,350000.0,350000.0,1396-07-10
45,2017-10-09,350000.0,350000.0,350000.0,350000.0,318500000,910,3,350000.0,350000.0,1396-07-17
44,2017-10-24,349000.0,350000.0,349000.0,349909.0,192450000,550,2,350000.0,350000.0,1396-08-02
43,2017-11-01,350000.0,350000.0,350000.0,350000.0,70000000,200,1,349909.0,350000.0,1396-08-10
42,2017-12-05,350000.0,350000.0,350000.0,350000.0,42000000,120,2,350000.0,350000.0,1396-09-14
41,2018-01-23,349990.0,358000.0,349990.0,350226.0,1190767000,3400,2,350000.0,358000.0,1396-11-03
