,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2229,2011-07-11,12500.0,12500.0,12500.0,12500.0,1496375000000,119710000,1188,1000.0,12500.0,1390-04-20
2228,2011-07-12,12610.0,12940.0,12511.0,12690.0,43688685207,3442782,2143,12500.0,12513.0,1390-04-21
2227,2011-07-13,12515.0,12685.0,12501.0,12529.0,85081819837,6791040,2282,12690.0,12502.0,1390-04-22
2226,2011-07-19,12629.0,12629.0,12500.0,12501.0,20990483955,1679151,361,12529.0,12501.0,1390-04-28
2225,2011-07-20,12501.0,12515.0,12500.0,12500.0,27262745866,2181008,479,12501.0,12500.0,1390-04-29
2224,2011-07-23,12500.0,12505.0,12500.0,12500.0,14081970003,1126554,294,12500.0,12503.0,1390-05-01
2223,2011-07-24,12501.0,12645.0,12500.0,12542.0,6994327991,557673,255,12500.0,12530.0,1390-05-02
2222,2011-07-25,12601.0,12889.0,12601.0,12781.0,35365057587,2767051,461,12542.0,12630.0,1390-05-03
2221,2011-07-26,12600.0,12600.0,12501.0,12523.0,1719567548,137318,57,12781.0,12512.0,1390-05-04
2220,2011-07-27,12580.0,12580.0,12500.0,12501.0,5683158547,454612,161,12523.0,12500.0,1390-05-05
2219,2011-07-30,12580.0,12580.0,12500.0,12500.0,5660945840,452872,138,12501.0,12500.0,1390-05-08
2218,2011-07-31,12502.0,12540.0,12500.0,12501.0,5446487363,435686,135,12500.0,12501.0,1390-05-09
2217,2011-08-01,12540.0,12540.0,12500.0,12501.0,9441774560,755282,93,12501.0,12500.0,1390-05-10
2216,2011-08-02,12550.0,12550.0,12500.0,12501.0,6224737400,497950,77,12501.0,12500.0,1390-05-11
2215,2011-08-03,12500.0,12509.0,12500.0,12501.0,8822794085,705759,109,12501.0,12501.0,1390-05-12
2214,2011-08-06,12500.0,12501.0,12300.0,12497.0,30148426180,2412373,357,12501.0,12500.0,1390-05-15
2213,2011-08-07,12500.0,12501.0,12500.0,12500.0,22855512700,1828441,352,12497.0,12500.0,1390-05-16
2212,2011-08-08,12500.0,12533.0,12500.0,12500.0,16198819300,1295899,227,12500.0,12500.0,1390-05-17
2211,2011-08-09,12500.0,12500.0,12102.0,12487.0,52026784282,4166476,147,12500.0,12490.0,1390-05-18
2210,2011-08-10,12489.0,12498.0,12300.0,12431.0,4129187108,332161,50,12487.0,12350.0,1390-05-19
2209,2011-08-13,12444.0,12444.0,12010.0,12426.0,5279443320,424856,58,12431.0,12430.0,1390-05-22
2208,2011-08-14,12020.0,12350.0,11805.0,12297.0,2389545672,194327,92,12426.0,12350.0,1390-05-23
2207,2011-08-15,12300.0,12345.0,12300.0,12300.0,2309904000,187795,40,12297.0,12300.0,1390-05-24
2206,2011-08-16,12300.0,12350.0,12299.0,12345.0,2900898700,234990,74,12300.0,12350.0,1390-05-25
2205,2011-08-17,12350.0,12400.0,12350.0,12367.0,2642989020,213720,53,12345.0,12400.0,1390-05-26
2204,2011-08-20,12300.0,12300.0,12300.0,12300.0,5009999100,407317,48,12367.0,12300.0,1390-05-29
2203,2011-08-21,12300.0,12350.0,12300.0,12312.0,2765021363,224587,21,12300.0,12300.0,1390-05-30
2202,2011-08-23,12350.0,12351.0,12350.0,12350.0,487642339,39485,23,12312.0,12350.0,1390-06-01
2201,2011-08-24,12350.0,12436.0,12350.0,12350.0,1912332000,154844,40,12350.0,12350.0,1390-06-02
2200,2011-08-27,12350.0,12350.0,12350.0,12350.0,2314612300,187418,36,12350.0,12350.0,1390-06-05
2199,2011-08-28,12350.0,12350.0,12350.0,12350.0,3707531750,300205,47,12350.0,12350.0,1390-06-06
2198,2011-08-29,12350.0,12351.0,12350.0,12350.0,1770174980,143334,30,12350.0,12350.0,1390-06-07
2197,2011-08-30,12350.0,12400.0,12350.0,12361.0,456796505,36955,25,12350.0,12350.0,1390-06-08
2196,2011-09-03,12350.0,12400.0,12350.0,12358.0,1118704906,90524,22,12361.0,12350.0,1390-06-12
2195,2011-09-04,12350.0,12400.0,12350.0,12359.0,2360570078,191000,34,12358.0,12358.0,1390-06-13
2194,2011-09-05,12359.0,12400.0,12359.0,12362.0,3095854457,250431,31,12359.0,12400.0,1390-06-14
2193,2011-09-06,12362.0,12400.0,12362.0,12368.0,5101990076,412514,42,12362.0,12362.0,1390-06-15
2192,2011-09-07,12368.0,12400.0,12368.0,12378.0,669551820,54090,29,12368.0,12400.0,1390-06-16
2191,2011-09-10,12379.0,12439.0,12378.0,12378.0,3798614888,306878,38,12378.0,12378.0,1390-06-19
2190,2011-09-11,12400.0,12500.0,12378.0,12424.0,1402021479,112851,30,12378.0,12378.0,1390-06-20
2189,2011-09-12,12500.0,12500.0,12424.0,12427.0,615866640,49560,16,12424.0,12424.0,1390-06-21
2188,2011-09-13,12427.0,12500.0,12427.0,12446.0,1061420538,85280,25,12427.0,12427.0,1390-06-22
2187,2011-09-14,12022.0,12500.0,12022.0,12454.0,475253818,38162,23,12446.0,12447.0,1390-06-23
2186,2011-09-17,12454.0,12600.0,12454.0,12503.0,1657098652,132531,37,12454.0,12600.0,1390-06-26
2185,2011-09-18,12600.0,12984.0,12600.0,12759.0,3010689081,235966,90,12503.0,12655.0,1390-06-27
