,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
600,2019-01-13,1950.0,1950.0,1950.0,1950.0,201825000000,103500000,306990,1000.0,1950.0,1397-10-23
599,2019-01-14,2047.0,2047.0,2047.0,2047.0,183443952,89616,293,1950.0,2047.0,1397-10-24
598,2019-01-15,2149.0,2149.0,2149.0,2149.0,203456575,94675,310,2047.0,2149.0,1397-10-25
597,2019-01-16,2256.0,2256.0,2256.0,2256.0,303822288,134673,449,2149.0,2256.0,1397-10-26
596,2019-01-19,2368.0,2368.0,2368.0,2368.0,497940672,210279,705,2256.0,2368.0,1397-10-29
595,2019-01-20,2486.0,2486.0,2486.0,2486.0,473404008,190428,585,2368.0,2486.0,1397-10-30
594,2019-01-22,2610.0,2740.0,2610.0,2712.0,3653275450,1347019,4150,2486.0,2740.0,1397-11-02
593,2019-01-23,2847.0,2847.0,2847.0,2847.0,11156772354,3918782,12144,2712.0,2847.0,1397-11-03
592,2019-01-26,2989.0,2989.0,2989.0,2989.0,20362762763,6812567,20316,2847.0,2989.0,1397-11-06
591,2019-01-27,3138.0,3138.0,3081.0,3137.0,150360958420,47930465,111100,2989.0,3138.0,1397-11-07
590,2019-01-28,3180.0,3210.0,3011.0,3094.0,104061165186,33633662,70790,3137.0,3027.0,1397-11-08
589,2019-01-29,2985.0,3090.0,2943.0,2996.0,57748276942,19278011,24252,3094.0,2956.0,1397-11-09
588,2019-01-30,2915.0,2956.0,2847.0,2869.0,38905098458,13559078,11312,2996.0,2847.0,1397-11-10
587,2019-02-02,2853.0,3012.0,2770.0,2962.0,51351106334,17334291,12609,2869.0,3012.0,1397-11-13
586,2019-02-03,2989.0,3100.0,2989.0,3048.0,38778505672,12724517,7342,2962.0,3073.0,1397-11-14
585,2019-02-04,3039.0,3120.0,2950.0,3014.0,19918240610,6609121,4927,3048.0,2955.0,1397-11-15
584,2019-02-05,2952.0,3028.0,2889.0,2976.0,16408138587,5514152,3736,3014.0,2978.0,1397-11-16
583,2019-02-06,2965.0,3030.0,2930.0,2965.0,14585258029,4919234,2868,2976.0,2967.0,1397-11-17
582,2019-02-10,2950.0,3067.0,2950.0,3017.0,11324847748,3753190,3911,2965.0,3012.0,1397-11-21
581,2019-02-12,3010.0,3167.0,3010.0,3115.0,32185213261,10332341,5338,3017.0,3167.0,1397-11-23
580,2019-02-13,3200.0,3248.0,3090.0,3162.0,31960893400,10108283,7031,3115.0,3120.0,1397-11-24
579,2019-02-16,3055.0,3176.0,3047.0,3094.0,13828602774,4469544,4793,3162.0,3050.0,1397-11-27
578,2019-02-17,3060.0,3139.0,2999.0,3062.0,16869836044,5508768,3209,3094.0,3090.0,1397-11-28
577,2019-02-23,3148.0,3196.0,3000.0,3133.0,13673841749,4364181,1853,3062.0,3122.0,1397-12-04
576,2019-02-24,3130.0,3150.0,3052.0,3082.0,12538472935,4068602,2422,3133.0,3070.0,1397-12-05
575,2019-02-25,3071.0,3080.0,3024.0,3048.0,10351234814,3396228,2041,3082.0,3050.0,1397-12-06
574,2019-02-26,3002.0,3040.0,3001.0,3016.0,8293666788,2750094,1405,3048.0,3015.0,1397-12-07
573,2019-02-27,3011.0,3127.0,3010.0,3083.0,9694494699,3144766,1635,3016.0,3075.0,1397-12-08
572,2019-03-02,3070.0,3076.0,3022.0,3049.0,7404781660,2428540,1401,3083.0,3050.0,1397-12-11
571,2019-03-03,3049.0,3135.0,3022.0,3096.0,16475013319,5321068,1901,3049.0,3127.0,1397-12-12
570,2019-03-04,3139.0,3190.0,3110.0,3153.0,16357328911,5188452,1939,3096.0,3116.0,1397-12-13
569,2019-03-05,3125.0,3310.0,3125.0,3278.0,23209420016,7080163,1843,3153.0,3310.0,1397-12-14
568,2019-03-06,3400.0,3441.0,3326.0,3411.0,72848178008,21354288,3368,3278.0,3337.0,1397-12-15
567,2019-03-09,3320.0,3519.0,3244.0,3387.0,55475024428,16381155,3346,3411.0,3360.0,1397-12-18
566,2019-03-10,3365.0,3489.0,3365.0,3424.0,22928785719,6695812,1793,3387.0,3380.0,1397-12-19
565,2019-03-11,3440.0,3595.0,3401.0,3548.0,44709444085,12602211,2629,3424.0,3520.0,1397-12-20
564,2019-03-12,3513.0,3698.0,3510.0,3632.0,28276006930,7784246,2634,3548.0,3640.0,1397-12-21
563,2019-03-13,3684.0,3720.0,3470.0,3557.0,24976669655,7020869,3239,3632.0,3590.0,1397-12-22
562,2019-03-16,3550.0,3650.0,3451.0,3566.0,22567843543,6328330,2404,3557.0,3590.0,1397-12-25
561,2019-03-17,3589.0,3629.0,3523.0,3578.0,10624149706,2969320,1619,3566.0,3588.0,1397-12-26
560,2019-03-18,3501.0,3756.0,3501.0,3701.0,19411982018,5244869,3599,3578.0,3720.0,1397-12-27
559,2019-03-19,3748.0,3886.0,3710.0,3828.0,22771523545,5948912,1510,3701.0,3886.0,1397-12-28
558,2019-03-25,3960.0,4019.0,3832.0,3999.0,12339074737,3085347,588,3828.0,4019.0,1398-01-05
557,2019-03-26,4198.0,4198.0,4198.0,4198.0,8474074404,2018598,276,3999.0,4198.0,1398-01-06
556,2019-03-27,4407.0,4407.0,4100.0,4323.0,52441577227,12131947,2488,4198.0,4407.0,1398-01-07
555,2019-03-30,4500.0,4539.0,4413.0,4524.0,8710940122,1925361,448,4323.0,4539.0,1398-01-10
554,2019-03-31,4750.0,4750.0,4570.0,4728.0,66794623760,14128223,2665,4524.0,4750.0,1398-01-11
553,2019-04-06,4870.0,4964.0,4730.0,4902.0,11941764396,2436191,791,4728.0,4964.0,1398-01-17
552,2019-04-07,5147.0,5147.0,5147.0,5147.0,360176766,69978,25,4902.0,5147.0,1398-01-18
551,2019-04-09,5404.0,5674.0,5203.0,5410.0,76890987104,14212207,2892,5147.0,5548.0,1398-01-20
550,2019-04-10,5680.0,5680.0,5610.0,5680.0,25890880247,4558596,885,5410.0,5680.0,1398-01-21
549,2019-04-13,5935.0,5964.0,5740.0,5910.0,74423945524,12593803,3192,5680.0,5870.0,1398-01-24
548,2019-04-14,5805.0,5890.0,5615.0,5651.0,85788270805,15180916,3338,5910.0,5615.0,1398-01-25
