,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2440,2005-01-25,5000.0,5000.0,5000.0,5000.0,2437870000,487574,186,0.0,5000.0,1383-11-06
2439,2005-01-26,5010.0,5010.0,5000.0,5001.0,12500899980,2500010,101,5000.0,5001.0,1383-11-07
2438,2005-01-30,5002.0,5002.0,5001.0,5001.0,1839615542,367776,17,5001.0,5001.0,1383-11-11
2437,2005-02-01,4751.0,4969.0,4751.0,4930.0,314779101,65747,73,5001.0,4930.0,1383-11-13
2436,2005-02-02,4960.0,4967.0,4934.0,4934.0,123671761,24917,37,4930.0,4934.0,1383-11-14
2435,2005-02-05,4935.0,5048.0,4935.0,4938.0,117012829,23528,21,4934.0,4938.0,1383-11-17
2434,2005-02-06,5000.0,5100.0,4956.0,4956.0,120783264,23729,26,4938.0,4956.0,1383-11-18
2433,2005-02-07,5000.0,5010.0,4959.0,4959.0,70118235,14010,10,4956.0,4959.0,1383-11-19
2432,2005-02-08,5149.0,5206.0,4996.0,4996.0,172263922,33210,29,4959.0,4996.0,1383-11-20
2431,2005-02-09,5245.0,5245.0,5182.0,5182.0,2342342940,446586,63,4996.0,5182.0,1383-11-21
2430,2005-02-12,5430.0,5440.0,5217.0,5217.0,5584757130,1027732,26,5182.0,5217.0,1383-11-24
2429,2005-02-13,5432.0,5477.0,5325.0,5325.0,479957933,87843,51,5217.0,5325.0,1383-11-25
2428,2005-02-14,5590.0,5591.0,5365.0,5365.0,169285496,30289,26,5325.0,5365.0,1383-11-26
2427,2005-02-15,5633.0,5633.0,5572.0,5572.0,879675408,156228,74,5365.0,5572.0,1383-11-27
2426,2005-02-16,5591.0,5850.0,5590.0,5631.0,261634668,44818,34,5572.0,5631.0,1383-11-28
2425,2005-02-23,5601.0,5630.0,5601.0,5630.0,13463993,2403,6,5631.0,5630.0,1383-12-05
2424,2005-02-26,5804.0,5911.0,5637.0,5637.0,43764919,7520,11,5630.0,5637.0,1383-12-08
2423,2005-02-27,5918.0,5918.0,5648.0,5648.0,48726112,8234,8,5637.0,5648.0,1383-12-09
2422,2005-02-28,5930.0,5930.0,5652.0,5652.0,20811520,3510,4,5648.0,5652.0,1383-12-10
2421,2005-03-01,5934.0,5934.0,5734.0,5734.0,346009540,58310,50,5652.0,5734.0,1383-12-11
2420,2005-03-02,6020.0,6020.0,5812.0,5812.0,330116660,54837,49,5734.0,5812.0,1383-12-12
2419,2005-03-05,6100.0,6102.0,5937.0,5937.0,529270094,86742,60,5812.0,5937.0,1383-12-15
2418,2005-03-06,6100.0,6233.0,5812.0,6030.0,72784764520,12518618,13,5937.0,6030.0,1383-12-16
2417,2005-03-07,6331.0,6331.0,6030.0,6119.0,71458787419,11847571,67,6030.0,6119.0,1383-12-17
2416,2005-03-08,6330.0,6332.0,6169.0,6169.0,309100589,48874,47,6119.0,6169.0,1383-12-18
2415,2005-03-09,6298.0,6300.0,6206.0,6206.0,366784199,58233,44,6169.0,6206.0,1383-12-19
2414,2005-03-12,6420.0,6450.0,6250.0,6250.0,276519301,43120,54,6206.0,6250.0,1383-12-22
2413,2005-03-13,6400.0,6562.0,6325.0,6325.0,371257325,56989,37,6250.0,6325.0,1383-12-23
2412,2005-03-14,6600.0,6641.0,6382.0,6382.0,242241120,36483,38,6325.0,6382.0,1383-12-24
2411,2005-03-15,6382.0,6701.0,6382.0,6448.0,298677097,44718,39,6382.0,6448.0,1383-12-25
2410,2005-03-16,6600.0,6770.0,6508.0,6508.0,256410380,37900,39,6448.0,6508.0,1383-12-26
2409,2005-03-26,6770.0,6770.0,6512.0,6512.0,21119820,3120,3,6508.0,6512.0,1384-01-06
2408,2005-03-27,6837.0,6837.0,6530.0,6530.0,77979752,11406,15,6512.0,6530.0,1384-01-07
2407,2005-03-30,6856.0,6856.0,6530.0,6530.0,3918372,572,5,6530.0,6530.0,1384-01-10
2406,2005-04-03,6856.0,6856.0,6535.0,6535.0,21661750,3160,11,6530.0,6535.0,1384-01-14
2405,2005-04-04,6861.0,6861.0,6576.0,6576.0,173223678,25248,31,6535.0,6576.0,1384-01-15
2404,2005-04-05,6904.0,6904.0,6578.0,6578.0,11298588,1637,4,6576.0,6578.0,1384-01-16
2403,2005-04-06,6906.0,6906.0,6581.0,6581.0,16108448,2333,6,6578.0,6581.0,1384-01-17
2402,2005-04-10,6910.0,6910.0,6652.0,6652.0,298778910,43239,47,6581.0,6652.0,1384-01-21
2401,2005-04-11,6908.0,6984.0,6668.0,6668.0,85784239,12410,15,6652.0,6668.0,1384-01-22
2400,2005-04-12,6861.0,6864.0,6678.0,6678.0,85458175,12506,24,6668.0,6678.0,1384-01-23
2399,2005-04-13,6710.0,6718.0,6680.0,6680.0,119145718,17767,29,6678.0,6680.0,1384-01-24
2398,2005-04-16,6936.0,6937.0,6699.0,6699.0,114218503,16503,22,6680.0,6699.0,1384-01-27
2397,2005-04-27,6680.0,6698.0,6680.0,6692.0,13571486,2028,8,6699.0,6692.0,1384-02-07
2396,2005-04-30,6692.0,6880.0,6692.0,6692.0,48771904,7280,6,6692.0,6692.0,1384-02-10
2395,2005-05-01,6845.0,6845.0,6600.0,6696.0,86804852,12842,11,6692.0,6696.0,1384-02-11
2394,2005-05-02,6580.0,6690.0,6362.0,6649.0,214831914,33470,28,6696.0,6649.0,1384-02-12
2393,2005-05-03,6650.0,6650.0,6649.0,6649.0,198414304,29841,16,6649.0,6649.0,1384-02-13
2392,2005-05-04,6649.0,6649.0,6649.0,6649.0,6941556,1044,2,6649.0,6649.0,1384-02-14
2391,2005-05-07,6638.0,6802.0,6638.0,6655.0,290041698,43431,27,6649.0,6655.0,1384-02-17
