,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1449,2004-02-25,32000.0,33000.0,30000.0,31673.0,14379985673,454000,262,32000.0,31673.0,1382-12-06
1448,2004-02-28,33000.0,33250.0,16856.0,32711.0,3973518602,177403,474,31673.0,32711.0,1382-12-09
1447,2004-03-03,32763.0,32763.0,32723.0,32723.0,327957230,10010,4,32711.0,32723.0,1382-12-13
1446,2004-03-06,32821.0,32830.0,31087.0,32503.0,18807291580,575413,76,32723.0,32503.0,1382-12-16
1445,2004-03-07,33000.0,33000.0,32532.0,32532.0,92341598,2803,15,32503.0,32532.0,1382-12-17
1444,2004-03-08,33005.0,33200.0,32656.0,32656.0,314919722,9520,15,32532.0,32656.0,1382-12-18
1443,2004-03-09,33002.0,33002.0,32682.0,32682.0,107281920,3251,13,32656.0,32682.0,1382-12-19
1442,2004-03-10,33150.0,33500.0,32737.0,32737.0,148657370,4477,15,32682.0,32737.0,1382-12-20
1441,2004-03-13,32808.0,33300.0,32803.0,33271.0,2989654142,89856,41,32737.0,33271.0,1382-12-23
1440,2004-03-14,32895.0,33299.0,32895.0,33220.0,320699171,9702,24,33271.0,33220.0,1382-12-24
1439,2004-03-15,33219.0,33219.0,32000.0,33168.0,157346124,4801,10,33220.0,33168.0,1382-12-25
1438,2004-03-16,33168.0,33168.0,33168.0,33168.0,3283632,99,1,33168.0,33168.0,1382-12-26
1437,2004-03-17,32502.0,33115.0,32502.0,33115.0,124447738,3818,6,33168.0,33115.0,1382-12-27
1436,2004-03-28,32550.0,33106.0,32550.0,33106.0,21228160,652,3,33115.0,33106.0,1383-01-09
1435,2004-03-30,32449.0,33099.0,32442.0,33099.0,14151814,436,4,33106.0,33099.0,1383-01-11
1434,2004-04-03,31452.0,33000.0,31452.0,32982.0,674144750,20565,17,33099.0,32982.0,1383-01-15
1433,2004-04-04,33000.0,33000.0,32982.0,32982.0,207792000,6300,7,32982.0,32982.0,1383-01-16
1432,2004-04-05,32900.0,32981.0,32900.0,32978.0,516545288,15667,16,32982.0,32978.0,1383-01-17
1431,2004-04-06,33000.0,33000.0,32978.0,32978.0,161358807,4892,11,32978.0,32978.0,1383-01-18
1430,2004-04-07,32979.0,33000.0,32978.0,32978.0,393937190,11945,10,32978.0,32978.0,1383-01-19
1429,2004-04-10,32978.0,32978.0,32970.0,32977.0,164723100,4995,11,32978.0,32977.0,1383-01-22
1428,2004-04-12,32978.0,32978.0,32977.0,32977.0,209667916,6358,9,32977.0,32977.0,1383-01-24
1427,2004-04-13,32977.0,32977.0,32977.0,32977.0,76506640,2320,3,32977.0,32977.0,1383-01-25
1426,2004-04-14,33120.0,33151.0,32993.0,32993.0,196969815,5945,8,32977.0,32993.0,1383-01-26
