,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
328,2020-03-11,23500.0,23500.0,23500.0,23500.0,1374745723000,58499818,1611941,1000.0,23500.0,1398-12-21
327,2020-03-14,24675.0,24675.0,24675.0,23594.0,4186977375,169685,4926,23500.0,24675.0,1398-12-24
326,2020-03-15,24773.0,24773.0,24773.0,24773.0,72655195774,2932838,5167,23594.0,24773.0,1398-12-25
325,2020-03-16,26011.0,26011.0,26011.0,24897.0,5551943906,213446,6132,24773.0,26011.0,1398-12-26
324,2020-03-17,26141.0,26141.0,26141.0,25017.0,5359035705,205005,5892,24897.0,26141.0,1398-12-27
323,2020-03-18,26267.0,26267.0,26267.0,25160.0,6408149854,243962,6960,25017.0,26267.0,1398-12-28
322,2020-03-24,26418.0,26418.0,26418.0,25305.0,6035060010,228445,6476,25160.0,26418.0,1399-01-05
321,2020-03-25,26570.0,26570.0,26570.0,25502.0,8233538170,309881,8675,25305.0,26570.0,1399-01-06
320,2020-03-28,26777.0,26777.0,26777.0,25800.0,12273318281,458353,11535,25502.0,26777.0,1399-01-09
319,2020-03-29,27090.0,27090.0,27090.0,26119.0,13153441140,485546,12756,25800.0,27090.0,1399-01-10
318,2020-03-30,27424.0,27424.0,27424.0,26408.0,11901906304,433996,11371,26119.0,27424.0,1399-01-11
317,2020-04-04,27728.0,27728.0,27728.0,26742.0,13267404352,478484,13408,26408.0,27728.0,1399-01-16
316,2020-04-05,28079.0,28079.0,28079.0,27126.0,15276043002,544038,14871,26742.0,28079.0,1399-01-17
315,2020-04-06,28482.0,28482.0,28482.0,27728.0,23934592362,840341,22694,27126.0,28482.0,1399-01-18
314,2020-04-07,29114.0,29114.0,29114.0,28462.0,29174178638,1002067,27977,27728.0,29114.0,1399-01-19
313,2020-04-08,29885.0,29885.0,29885.0,29207.0,29618784420,991092,26051,28462.0,29885.0,1399-01-20
312,2020-04-11,30667.0,30667.0,30667.0,29566.0,12893510812,420436,11229,29207.0,30667.0,1399-01-23
311,2020-04-12,31044.0,31044.0,31044.0,29953.0,13909481508,448057,9673,29566.0,31044.0,1399-01-24
310,2020-04-13,31450.0,31450.0,31450.0,30703.0,26981080800,857904,18653,29953.0,31450.0,1399-01-25
309,2020-04-14,32238.0,32238.0,32238.0,32238.0,70400828592,2183784,60053,30703.0,32238.0,1399-01-26
308,2020-04-15,33849.0,33849.0,33849.0,33286.0,37680706800,1113200,31117,32238.0,33849.0,1399-01-27
307,2020-04-18,34950.0,34950.0,34950.0,33787.0,15819313650,452627,12887,33286.0,34950.0,1399-01-30
306,2020-04-19,35476.0,35476.0,35476.0,34284.0,15695256444,442419,12372,33787.0,35476.0,1399-01-31
305,2020-04-20,35998.0,35998.0,35998.0,34832.0,17281271876,480062,13545,34284.0,35998.0,1399-02-01
304,2020-04-21,36573.0,36573.0,36573.0,35288.0,14395132800,393600,11039,34832.0,36573.0,1399-02-02
303,2020-04-22,37052.0,37052.0,37052.0,35826.0,16969000856,457978,10242,35288.0,37052.0,1399-02-03
302,2020-04-25,37617.0,37617.0,37617.0,36319.0,14444965617,384001,10476,35826.0,37617.0,1399-02-06
301,2020-04-26,38134.0,38134.0,38134.0,37057.0,21635629972,567358,12975,36319.0,38134.0,1399-02-07
300,2020-04-27,38909.0,38909.0,38909.0,37789.0,21467885114,551746,14105,37057.0,38909.0,1399-02-08
299,2020-04-28,39678.0,39678.0,39678.0,38571.0,22936383714,578063,14674,37789.0,39678.0,1399-02-09
298,2020-04-29,40499.0,40499.0,40499.0,39181.0,17882859937,441563,12047,38571.0,40499.0,1399-02-10
297,2020-05-02,41140.0,41140.0,41140.0,40181.0,26787817320,651138,7807,39181.0,41140.0,1399-02-13
296,2020-05-03,42190.0,42190.0,42190.0,41088.0,24315826790,576341,7822,40181.0,42190.0,1399-02-14
295,2020-05-04,43142.0,43142.0,43142.0,41947.0,23023763708,533674,9554,41088.0,43142.0,1399-02-15
294,2020-05-05,44044.0,44044.0,44044.0,43884.0,51914486624,1178696,15609,41947.0,44044.0,1399-02-16
293,2020-05-16,43663.0,43663.0,43663.0,42747.0,29378911528,672856,13180,41584.0,43663.0,1399-02-27
292,2020-05-17,44884.0,44884.0,44884.0,44182.0,36242169292,807463,21666,42747.0,44884.0,1399-02-28
291,2020-05-18,46391.0,46391.0,46391.0,45216.0,26118179391,563001,14599,44182.0,46391.0,1399-02-29
290,2020-05-19,47476.0,47476.0,47476.0,46663.0,36558419040,770040,18433,45216.0,47476.0,1399-02-30
289,2020-05-20,48996.0,48996.0,48996.0,48378.0,43314129864,884034,25778,46663.0,48996.0,1399-02-31
288,2020-05-23,50796.0,50796.0,50796.0,50176.0,39045564504,768674,18946,48378.0,50796.0,1399-03-03
287,2020-05-26,52684.0,52684.0,47668.0,51115.0,1372794034784,26856921,161826,50176.0,50000.0,1399-03-06
286,2020-05-27,52200.0,53670.0,52000.0,53031.0,206679433201,3897301,39646,51115.0,53670.0,1399-03-07
285,2020-05-30,55682.0,55682.0,55682.0,55030.0,39597252024,711132,8528,53031.0,55682.0,1399-03-10
284,2020-05-31,57781.0,57781.0,55682.0,57626.0,396014745200,6872117,15781,55030.0,57781.0,1399-03-11
283,2020-06-01,58175.0,60507.0,57800.0,59662.0,295031956217,4945093,18387,57626.0,60507.0,1399-03-12
282,2020-06-02,62645.0,62645.0,62645.0,61363.0,33688413715,537767,7273,59662.0,62645.0,1399-03-13
281,2020-06-06,64432.0,64432.0,64432.0,62755.0,23797959200,369350,5789,61364.0,64432.0,1399-03-17
280,2020-06-07,65892.0,65892.0,65892.0,64239.0,25391943444,385357,3636,62755.0,65892.0,1399-03-18
279,2020-06-10,67450.0,67450.0,67450.0,65730.0,25525778000,378440,4752,64239.0,67450.0,1399-03-21
278,2020-06-13,69016.0,69016.0,69016.0,67498.0,28247351592,409287,6690,65730.0,69016.0,1399-03-24
277,2020-06-14,70872.0,70872.0,70872.0,69340.0,29432928984,415297,5656,67498.0,70872.0,1399-03-25
276,2020-06-15,72807.0,72807.0,72807.0,70942.0,25590714009,351487,5913,69340.0,72807.0,1399-03-26
275,2020-06-16,74489.0,74489.0,74489.0,74489.0,65907941689,884801,5325,70942.0,74489.0,1399-03-27
274,2020-06-20,78213.0,78213.0,76000.0,78154.0,303792333924,3887082,9772,74489.0,78213.0,1399-03-31
