,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1261,2016-03-08,2112.0,2112.0,1980.0,1981.0,19781627000,9985350,8845,1000.0,1980.0,1394-12-18
1260,2016-03-09,2080.0,2080.0,2080.0,2080.0,61669920,29649,48,1981.0,2080.0,1394-12-19
1259,2016-03-12,2184.0,2184.0,2184.0,2184.0,142298520,65155,186,2080.0,2184.0,1394-12-22
1258,2016-03-14,2293.0,2293.0,2293.0,2293.0,823138847,358979,898,2184.0,2293.0,1394-12-24
1257,2016-03-15,2407.0,2407.0,2407.0,2407.0,329376287,136841,361,2293.0,2407.0,1394-12-25
1256,2016-03-16,2527.0,2527.0,2527.0,2527.0,585485684,231692,564,2407.0,2527.0,1394-12-26
1255,2016-03-26,2653.0,2653.0,2653.0,2653.0,196192003,73951,193,2527.0,2653.0,1395-01-07
1254,2016-03-27,2785.0,2785.0,2785.0,2785.0,5631359120,2022032,3814,2653.0,2785.0,1395-01-08
1253,2016-03-28,2924.0,2924.0,2924.0,2924.0,2175920916,744159,1444,2785.0,2924.0,1395-01-09
1252,2016-03-29,3070.0,3070.0,3070.0,3070.0,6890661050,2244515,3118,2924.0,3070.0,1395-01-10
1251,2016-03-30,3131.0,3223.0,3101.0,3162.0,7024117899,2221249,2687,3070.0,3223.0,1395-01-11
1250,2016-04-02,3320.0,3320.0,3320.0,3320.0,282455640,85077,240,3162.0,3320.0,1395-01-14
1249,2016-04-03,3486.0,3486.0,3486.0,3486.0,132771282,38087,110,3320.0,3486.0,1395-01-15
1248,2016-04-04,3660.0,3660.0,3660.0,3660.0,6535552200,1785670,618,3486.0,3660.0,1395-01-16
1247,2016-04-05,3750.0,3843.0,3664.0,3804.0,23148666198,6084657,4516,3660.0,3843.0,1395-01-17
1246,2016-04-06,3994.0,3994.0,3843.0,3989.0,15675739966,3930039,1672,3804.0,3994.0,1395-01-18
1245,2016-04-09,4000.0,4188.0,3930.0,4095.0,16841648426,4112463,2260,3989.0,4070.0,1395-01-21
1244,2016-04-10,4070.0,4070.0,3891.0,3900.0,11435697853,2932141,1236,4095.0,3891.0,1395-01-22
1243,2016-04-11,3751.0,3950.0,3706.0,3809.0,3469853204,910900,785,3900.0,3810.0,1395-01-23
1242,2016-04-12,3800.0,3850.0,3619.0,3731.0,3342033962,895784,568,3809.0,3650.0,1395-01-24
1241,2016-04-13,3621.0,3659.0,3545.0,3560.0,3370535098,946848,471,3731.0,3580.0,1395-01-25
1240,2016-04-16,3430.0,3450.0,3382.0,3395.0,1393077155,410375,215,3560.0,3382.0,1395-01-28
1239,2016-04-17,3226.0,3348.0,3226.0,3276.0,3042326809,928750,369,3395.0,3300.0,1395-01-29
1238,2016-04-18,3380.0,3436.0,3307.0,3368.0,1837494828,545621,296,3276.0,3310.0,1395-01-30
1237,2016-04-19,3368.0,3368.0,3210.0,3246.0,1289364117,397230,224,3368.0,3250.0,1395-01-31
1236,2016-04-20,3246.0,3360.0,3226.0,3309.0,246751833,74569,83,3246.0,3279.0,1395-02-01
1235,2016-04-23,3200.0,3474.0,3199.0,3415.0,2672183960,782468,351,3309.0,3415.0,1395-02-04
1234,2016-04-24,3545.0,3570.0,3400.0,3510.0,1157654329,329800,170,3415.0,3474.0,1395-02-05
1233,2016-04-25,3404.0,3520.0,3404.0,3472.0,1688805476,486437,270,3510.0,3500.0,1395-02-06
1232,2016-04-26,3414.0,3498.0,3361.0,3412.0,1445560814,423612,193,3472.0,3380.0,1395-02-07
1231,2016-04-27,3335.0,3437.0,3255.0,3332.0,2178584987,653876,247,3412.0,3386.0,1395-02-08
1230,2016-04-30,3301.0,3498.0,3288.0,3414.0,3055264646,894982,337,3332.0,3498.0,1395-02-11
