,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3091,2003-02-25,22011.0,22011.0,22000.0,22000.0,45966173000,2088865,277,0.0,22000.0,1381-12-06
3090,2003-02-26,22100.0,22101.0,22000.0,22100.0,3329160040,151265,27,22000.0,22100.0,1381-12-07
3089,2003-03-01,22220.0,22221.0,22220.0,22220.0,696221955,31333,14,22100.0,22220.0,1381-12-10
3088,2003-03-02,22342.0,22342.0,22340.0,22340.0,277374210,12416,10,22220.0,22340.0,1381-12-11
3087,2003-03-03,22342.0,22374.0,22200.0,22370.0,2364777945,106440,30,22340.0,22370.0,1381-12-12
3086,2003-03-04,22370.0,22370.0,22368.0,22368.0,89341782,3994,12,22370.0,22368.0,1381-12-13
3085,2003-03-05,22339.0,22369.0,22338.0,22368.0,677558684,30306,25,22368.0,22368.0,1381-12-14
3084,2003-03-08,22358.0,22358.0,22350.0,22350.0,102838800,4600,3,22368.0,22350.0,1381-12-17
3083,2003-03-10,21233.0,21677.0,21233.0,21233.0,172369492,8000,3,22350.0,21233.0,1381-12-19
3082,2003-03-12,20594.0,21549.0,20594.0,21549.0,557624340,26890,10,21233.0,21549.0,1381-12-21
3081,2003-03-15,20472.0,21546.0,20472.0,21544.0,157951250,7600,9,21549.0,21544.0,1381-12-24
3080,2003-03-16,21537.0,22340.0,21497.0,22340.0,1710964296,78887,50,21544.0,22340.0,1381-12-25
3079,2003-03-18,22333.0,22340.0,22000.0,22000.0,36877201,1666,5,22340.0,22000.0,1381-12-27
3078,2003-03-19,21999.0,22000.0,21999.0,22000.0,447240000,20330,3,22000.0,22000.0,1381-12-28
3077,2003-03-30,21988.0,21990.0,21988.0,21990.0,481336330,21889,8,22000.0,21990.0,1382-01-10
3076,2003-03-31,22000.0,22000.0,22000.0,22000.0,11924000000,542000,17,21990.0,22000.0,1382-01-11
3075,2003-04-05,23100.0,23100.0,22200.0,22200.0,17992853530,809890,36,22000.0,22200.0,1382-01-16
3074,2003-04-06,22210.0,22402.0,22207.0,22400.0,15913325312,710418,77,22200.0,22400.0,1382-01-17
3073,2003-04-07,22600.0,22671.0,22600.0,22610.0,18456684050,816390,86,22400.0,22610.0,1382-01-18
3072,2003-04-08,22843.0,22854.0,22837.0,22848.0,35646739954,1560404,194,22610.0,22848.0,1382-01-19
3071,2003-04-09,23195.0,23990.0,23101.0,23990.0,32632847973,1405470,300,22848.0,23990.0,1382-01-20
3070,2003-04-12,25189.0,25189.0,25189.0,25189.0,1007560000,40000,31,23990.0,25189.0,1382-01-23
3069,2003-04-13,26448.0,26448.0,26448.0,26448.0,840596784,31783,38,25189.0,26448.0,1382-01-24
3068,2003-04-14,27770.0,27770.0,27770.0,27770.0,24013274400,864720,311,26448.0,27770.0,1382-01-25
3067,2003-04-15,27764.0,29158.0,27764.0,29150.0,42119766116,1515930,219,27770.0,29150.0,1382-01-26
3066,2003-05-12,30003.0,33970.0,27101.0,30800.0,5884875918,191782,212,29150.0,30800.0,1382-02-22
3065,2003-05-13,30900.0,32300.0,30805.0,32299.0,46950719143,1519585,357,30800.0,32299.0,1382-02-23
3064,2003-05-14,33696.0,33913.0,32500.0,32500.0,2950737004,89512,85,32299.0,32500.0,1382-02-24
3063,2003-05-17,32500.0,33274.0,32500.0,33267.0,47655948820,1433235,121,32500.0,33267.0,1382-02-27
3062,2003-05-18,33266.0,33980.0,33266.0,33933.0,27442608912,809433,142,33267.0,33933.0,1382-02-28
3061,2003-05-20,34000.0,34000.0,33506.0,33898.0,2088628313,61906,80,33933.0,33898.0,1382-02-30
3060,2003-05-21,33200.0,33790.0,32501.0,33380.0,2736425545,82777,77,33898.0,33380.0,1382-02-31
3059,2003-05-24,33368.0,33713.0,32915.0,33713.0,30592932819,909309,112,33380.0,33713.0,1382-03-03
3058,2003-05-25,34520.0,34521.0,33900.0,34000.0,23989143592,703845,174,33713.0,34000.0,1382-03-04
3057,2003-05-26,34401.0,35001.0,34215.0,35000.0,4255240199,122496,109,34000.0,35000.0,1382-03-05
3056,2003-05-27,36000.0,36501.0,35600.0,35700.0,1181578186,32691,28,35000.0,35700.0,1382-03-06
3055,2003-05-28,35700.0,36000.0,35121.0,35900.0,4949078628,138541,68,35700.0,35900.0,1382-03-07
3054,2003-05-31,35899.0,35900.0,35067.0,35067.0,1292565301,36508,29,35900.0,35067.0,1382-03-10
3053,2003-06-01,34010.0,34010.0,33314.0,33314.0,67644542,2017,9,35067.0,33314.0,1382-03-11
3052,2003-06-02,33315.0,34000.0,31650.0,33314.0,4874061484,146386,92,33314.0,33314.0,1382-03-12
3051,2003-06-03,33195.0,34000.0,33195.0,34000.0,2638711537,78113,55,33314.0,34000.0,1382-03-13
3050,2003-06-07,34000.0,34400.0,33000.0,33000.0,5986768930,176185,69,34000.0,33000.0,1382-03-17
3049,2003-06-08,33300.0,33300.0,33000.0,33000.0,542168271,16327,27,33000.0,33000.0,1382-03-18
3048,2003-06-09,32995.0,33000.0,32100.0,32999.0,3987847423,121515,91,33000.0,32999.0,1382-03-19
3047,2003-06-10,33000.0,33000.0,32500.0,32544.0,1301871900,39985,24,32999.0,32544.0,1382-03-20
3046,2003-06-11,32849.0,32849.0,31500.0,31600.0,1864141980,58393,48,32544.0,31600.0,1382-03-21
3045,2003-06-14,31000.0,31000.0,30121.0,31000.0,1824597212,59172,64,31600.0,31000.0,1382-03-24
3044,2003-06-15,30022.0,30022.0,29450.0,29450.0,152473828,5174,8,31000.0,29450.0,1382-03-25
3043,2003-06-16,28012.0,29450.0,28000.0,29450.0,2268432128,78269,61,29450.0,29450.0,1382-03-26
3042,2003-06-17,30160.0,30922.0,30160.0,30922.0,1479374700,48320,26,29450.0,30922.0,1382-03-27
3041,2003-06-18,30922.0,32468.0,30922.0,32468.0,699151634,22508,8,30922.0,32468.0,1382-03-28
3040,2003-06-21,34091.0,34091.0,34091.0,34091.0,3179735752,93272,31,32468.0,34091.0,1382-03-31
3039,2003-06-22,34091.0,34500.0,33994.0,33996.0,9081212233,264821,71,34091.0,33996.0,1382-04-01
3038,2003-06-23,33910.0,33910.0,33000.0,33000.0,1061550854,32156,25,33996.0,33000.0,1382-04-02
3037,2003-06-28,32797.0,32999.0,32797.0,32986.0,768498569,23307,9,33000.0,32986.0,1382-04-07
3036,2003-06-29,32975.0,33000.0,32000.0,32950.0,4197720294,129420,51,32986.0,32950.0,1382-04-08
3035,2003-06-30,32945.0,33000.0,32900.0,32941.0,5308948425,161017,49,32950.0,32941.0,1382-04-09
3034,2003-07-01,32900.0,32941.0,32700.0,32700.0,903991718,27508,20,32941.0,32700.0,1382-04-10
3033,2003-07-02,32965.0,32966.0,32300.0,32499.0,6298809276,192636,15,32700.0,32499.0,1382-04-11
3032,2003-07-05,32500.0,32503.0,32499.0,32503.0,697041160,21447,28,32499.0,32503.0,1382-04-14
3031,2003-07-06,32500.0,32501.0,32500.0,32501.0,357146236,10989,9,32503.0,32501.0,1382-04-15
3030,2003-07-07,32503.0,33000.0,32500.0,33000.0,1798675851,55251,36,32501.0,33000.0,1382-04-16
3029,2003-07-08,33002.0,33601.0,33002.0,33500.0,1945005000,57994,14,33000.0,33500.0,1382-04-17
3028,2003-07-09,33600.0,34400.0,33600.0,34400.0,788861200,23032,12,33500.0,34400.0,1382-04-18
3027,2003-07-12,35150.0,36120.0,35000.0,36120.0,3181083580,88269,30,34400.0,36120.0,1382-04-21
3026,2003-07-13,37002.0,37926.0,36124.0,37926.0,851180750,22476,17,36120.0,37926.0,1382-04-22
3025,2003-07-14,39817.0,39822.0,39813.0,39822.0,4287556568,107669,42,37926.0,39822.0,1382-04-23
3024,2003-07-15,41813.0,41813.0,41813.0,41813.0,9689535555,231735,101,39822.0,41813.0,1382-04-24
3023,2003-07-16,41813.0,41813.0,40000.0,40000.0,3364581276,80807,25,41813.0,40000.0,1382-04-25
3022,2003-07-19,40000.0,40000.0,39000.0,39000.0,250436446,6385,10,40000.0,39000.0,1382-04-28
3021,2003-07-20,39000.0,39000.0,37050.0,37050.0,5050296300,131447,911,39000.0,37050.0,1382-04-29
3020,2003-07-21,37050.0,38000.0,37050.0,37800.0,4333003283,115383,42,37050.0,37800.0,1382-04-30
3019,2003-07-22,37500.0,37500.0,37000.0,37000.0,183120500,4909,9,37800.0,37000.0,1382-04-31
3018,2003-07-23,37000.0,37200.0,37000.0,37000.0,1654482130,44636,42,37000.0,37000.0,1382-05-01
3017,2003-07-26,37003.0,37123.0,37001.0,37123.0,716180310,19350,15,37000.0,37123.0,1382-05-04
3016,2003-07-27,37123.0,37350.0,37005.0,37201.0,2896332712,77930,22,37123.0,37201.0,1382-05-05
3015,2003-07-28,37000.0,38000.0,37000.0,37316.0,1590826340,42641,20,37201.0,37316.0,1382-05-06
3014,2003-07-29,38001.0,38002.0,37500.0,38001.0,4127676305,109954,15,37316.0,38001.0,1382-05-07
