,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1948,2003-12-02,45900.0,45900.0,45501.0,45647.0,25339319116,555000,653,0.0,45647.0,1382-09-11
1947,2003-12-03,47929.0,47929.0,45746.0,45746.0,47926817,1000,4,45647.0,45746.0,1382-09-12
1946,2003-12-06,48033.0,48033.0,48033.0,48033.0,4803300000,100000,242,45746.0,48033.0,1382-09-15
1945,2003-12-07,50434.0,50434.0,48033.0,48033.0,50431599,1000,2,48033.0,48033.0,1382-09-16
1944,2003-12-08,50434.0,50434.0,50434.0,50434.0,2471266000,49000,103,48033.0,50434.0,1382-09-17
1943,2003-12-09,52955.0,52955.0,52955.0,52955.0,1587855675,29985,73,50434.0,52955.0,1382-09-18
1942,2003-12-10,50319.0,55392.0,50308.0,51034.0,3868505567,75802,313,52955.0,51034.0,1382-09-19
1941,2003-12-13,50310.0,50500.0,50000.0,50246.0,3167551312,63040,107,51034.0,50246.0,1382-09-22
1940,2003-12-14,50246.0,52758.0,49000.0,51368.0,1810011088,35236,54,50246.0,51368.0,1382-09-23
1939,2003-12-15,51366.0,51367.0,51299.0,51362.0,1216781776,23690,29,51368.0,51362.0,1382-09-24
1938,2003-12-16,51362.0,51362.0,51361.0,51361.0,179560872,3496,10,51362.0,51361.0,1382-09-25
1937,2003-12-17,50998.0,50998.0,49500.0,50019.0,1071724970,21462,31,51361.0,50019.0,1382-09-26
1936,2003-12-21,50352.0,50352.0,50164.0,50164.0,504006640,10010,9,50019.0,50164.0,1382-09-30
1935,2003-12-23,50000.0,50000.0,49877.0,49969.0,1503544388,30089,44,50164.0,49969.0,1382-10-02
1934,2003-12-24,49001.0,49686.0,49000.0,49686.0,326205900,6657,12,49969.0,49686.0,1382-10-03
1933,2003-12-27,49948.0,49948.0,49800.0,49800.0,499978000,10010,12,49686.0,49800.0,1382-10-06
1932,2003-12-28,49919.0,49919.0,49500.0,49814.0,1001910745,20112,28,49800.0,49814.0,1382-10-07
1931,2003-12-29,48501.0,49369.0,48500.0,49369.0,703815050,14332,12,49814.0,49369.0,1382-10-08
1930,2003-12-30,46924.0,49000.0,46924.0,48884.0,631243616,13010,16,49369.0,48884.0,1382-10-09
1929,2003-12-31,48677.0,48960.0,46456.0,48608.0,1469336938,30228,35,48884.0,48608.0,1382-10-10
1928,2004-01-03,48589.0,48938.0,48580.0,48737.0,914551692,18754,19,48608.0,48737.0,1382-10-13
1927,2004-01-04,49000.0,49190.0,48869.0,48869.0,571793810,11670,23,48737.0,48869.0,1382-10-14
1926,2004-01-05,49600.0,50000.0,48920.0,48920.0,56404365,1130,7,48869.0,48920.0,1382-10-15
1925,2004-01-06,51000.0,51290.0,50724.0,50724.0,999330508,19586,16,48920.0,50724.0,1382-10-16
1924,2004-01-07,51295.0,51300.0,50832.0,50832.0,221043375,4309,15,50724.0,50832.0,1382-10-17
1923,2004-01-10,51289.0,52000.0,51260.0,51456.0,775447433,14975,15,50832.0,51456.0,1382-10-20
1922,2004-01-11,51457.0,51458.0,51456.0,51456.0,113102104,2198,6,51456.0,51456.0,1382-10-21
1921,2004-01-12,51456.0,51500.0,51429.0,51456.0,572762121,11131,14,51456.0,51456.0,1382-10-22
1920,2004-01-13,51195.0,51355.0,50000.0,51355.0,227451063,4465,12,51456.0,51355.0,1382-10-23
1919,2004-01-14,51190.0,51335.0,51190.0,51334.0,256829262,5010,6,51355.0,51334.0,1382-10-24
1918,2004-01-17,51295.0,51334.0,51290.0,51324.0,308310838,6010,9,51334.0,51324.0,1382-10-27
1917,2004-01-18,51324.0,51400.0,51000.0,51319.0,540609700,10535,13,51324.0,51319.0,1382-10-28
1916,2004-01-19,50002.0,51232.0,50000.0,51232.0,75512604,1510,4,51319.0,51232.0,1382-10-29
1915,2004-01-20,50001.0,51110.0,50000.0,51110.0,113013300,2260,6,51232.0,51110.0,1382-10-30
1914,2004-01-21,50011.0,51083.0,50011.0,51083.0,51016330,1010,3,51110.0,51083.0,1382-11-01
1913,2004-01-24,50999.0,51060.0,50999.0,51060.0,306509910,6010,8,51083.0,51060.0,1382-11-04
1912,2004-01-25,50110.0,51001.0,50000.0,50992.0,663006410,13015,10,51060.0,50992.0,1382-11-05
1911,2004-01-26,50992.0,51000.0,50992.0,50992.0,31106720,610,5,50992.0,50992.0,1382-11-06
1910,2004-01-27,50992.0,50992.0,50992.0,50992.0,40793600,800,1,50992.0,50992.0,1382-11-07
1909,2004-01-28,50991.0,51001.0,50991.0,50994.0,392544335,7697,11,50992.0,50994.0,1382-11-08
1908,2004-01-31,51200.0,51401.0,51074.0,51074.0,269043440,5240,7,50994.0,51074.0,1382-11-11
1907,2004-02-01,50001.0,50979.0,50001.0,50979.0,100511790,2010,2,51074.0,50979.0,1382-11-12
1906,2004-02-03,50900.0,50974.0,50889.0,50974.0,62496999,1228,6,50979.0,50974.0,1382-11-14
1905,2004-02-04,50893.0,50971.0,50893.0,50971.0,33590160,660,2,50974.0,50971.0,1382-11-15
1904,2004-02-07,50893.0,50944.0,50890.0,50944.0,390704642,7677,16,50971.0,50944.0,1382-11-18
1903,2004-02-08,50946.0,50946.0,50944.0,50944.0,84058761,1650,8,50944.0,50944.0,1382-11-19
1902,2004-02-09,50942.0,50999.0,49670.0,50916.0,56271348,1117,6,50944.0,50916.0,1382-11-20
1901,2004-02-15,50000.0,50766.0,50000.0,50766.0,186207660,3724,3,50916.0,50766.0,1382-11-26
1900,2004-02-16,50000.0,50518.0,50000.0,50518.0,368755180,7375,5,50766.0,50518.0,1382-11-27
1899,2004-02-17,50518.0,50518.0,50000.0,50366.0,339204424,6783,8,50518.0,50366.0,1382-11-28
1898,2004-02-18,50000.0,50512.0,50000.0,50384.0,257786845,5110,7,50366.0,50384.0,1382-11-29
1897,2004-02-21,50500.0,50517.0,50401.0,50401.0,154970410,3068,5,50384.0,50401.0,1382-12-02
1896,2004-02-22,50500.0,50517.0,50410.0,50410.0,93145614,1844,8,50401.0,50410.0,1382-12-03
1895,2004-02-23,50410.0,50410.0,50102.0,50409.0,561307640,11135,12,50410.0,50409.0,1382-12-04
1894,2004-02-24,50950.0,51000.0,50584.0,50584.0,366335040,7188,6,50409.0,50584.0,1382-12-05
1893,2004-02-25,51000.0,51000.0,50632.0,50632.0,135401175,2655,5,50584.0,50632.0,1382-12-06
1892,2004-03-03,50652.0,50652.0,50652.0,50652.0,25326000,500,1,50632.0,50652.0,1382-12-13
1891,2004-03-06,50101.0,50553.0,50100.0,50553.0,203414130,4060,12,50652.0,50553.0,1382-12-16
1890,2004-03-07,50555.0,50555.0,50553.0,50553.0,2426620,48,2,50553.0,50553.0,1382-12-17
1889,2004-03-08,51002.0,51007.0,50554.0,50764.0,551311490,10810,9,50553.0,50764.0,1382-12-18
1888,2004-03-09,50770.0,51003.0,50770.0,50882.0,627609464,12310,8,50764.0,50882.0,1382-12-19
1887,2004-03-10,51003.0,51500.0,50774.0,50881.0,186176705,3659,8,50882.0,50881.0,1382-12-20
1886,2004-03-13,50884.0,51000.0,50772.0,50883.0,1095754110,21534,13,50881.0,50883.0,1382-12-23
1885,2004-03-14,50884.0,50884.0,50883.0,50883.0,254928830,5010,4,50883.0,50883.0,1382-12-24
1884,2004-03-15,50883.0,50884.0,50883.0,50883.0,2123687288,41736,16,50883.0,50883.0,1382-12-25
1883,2004-03-16,51000.0,51497.0,50992.0,50992.0,1095264171,21476,10,50883.0,50992.0,1382-12-26
1882,2004-03-17,51000.0,51000.0,50992.0,50992.0,5303920,104,2,50992.0,50992.0,1382-12-27
1881,2004-03-29,50993.0,50993.0,50990.0,50992.0,53898694,1057,6,50992.0,50992.0,1383-01-10
1880,2004-03-30,50990.0,50991.0,50990.0,50991.0,17387600,341,4,50992.0,50991.0,1383-01-11
1879,2004-04-03,50990.0,51000.0,50990.0,50990.0,10206883650,200135,3,50991.0,50990.0,1383-01-15
1878,2004-04-04,50500.0,50990.0,50500.0,50983.0,174102830,3418,9,50990.0,50983.0,1383-01-16
1877,2004-04-05,50969.0,50970.0,50000.0,50966.0,68069107,1345,5,50983.0,50966.0,1383-01-17
1876,2004-04-12,50940.0,50965.0,50940.0,50965.0,22312396,438,3,50966.0,50965.0,1383-01-24
1875,2004-04-17,50920.0,50970.0,50920.0,50961.0,255220535,5010,14,50965.0,50961.0,1383-01-29
1874,2004-04-18,50970.0,50970.0,50961.0,50961.0,866400,17,2,50961.0,50961.0,1383-01-30
1873,2004-04-26,50937.0,50959.0,50937.0,50959.0,139015669,2729,8,50961.0,50959.0,1383-02-07
1872,2004-04-27,50959.0,50959.0,50959.0,50959.0,789864500,15500,2,50959.0,50959.0,1383-02-08
1871,2004-05-01,50900.0,50920.0,50900.0,50920.0,1018509200,20010,3,50959.0,50920.0,1383-02-12
1870,2004-05-04,50000.0,50901.0,50000.0,50901.0,30509010,610,5,50920.0,50901.0,1383-02-15
1869,2004-05-15,49888.0,50891.0,49888.0,50891.0,15475310,310,3,50901.0,50891.0,1383-02-26
1868,2004-05-17,48800.0,50870.0,48800.0,50870.0,15148700,310,3,50891.0,50870.0,1383-02-28
1867,2004-05-23,48327.0,50858.0,48327.0,50858.0,7419341,153,2,50870.0,50858.0,1383-03-03
1866,2004-05-25,48316.0,50845.0,48316.0,50845.0,7755850,160,2,50858.0,50845.0,1383-03-05
1865,2004-05-26,48303.0,50677.0,48303.0,50677.0,97112770,2010,2,50845.0,50677.0,1383-03-06
1864,2004-05-30,48144.0,49516.0,48144.0,49516.0,670852216,13934,13,50677.0,49516.0,1383-03-10
1863,2004-05-31,48302.0,49476.0,48302.0,49476.0,48796760,1010,2,49516.0,49476.0,1383-03-11
1862,2004-06-01,47010.0,49455.0,47010.0,49455.0,12247050,260,2,49476.0,49455.0,1383-03-12
1861,2004-06-02,48289.0,49443.0,48289.0,49443.0,14498487,300,4,49455.0,49443.0,1383-03-13
1860,2004-06-06,48272.0,49000.0,47500.0,48925.0,783267786,16160,21,49443.0,48925.0,1383-03-17
1859,2004-06-07,48500.0,48921.0,48500.0,48921.0,11692710,241,3,48925.0,48921.0,1383-03-18
1858,2004-06-12,48998.0,50963.0,48998.0,49252.0,815170780,16457,10,48921.0,49252.0,1383-03-23
1857,2004-06-13,48414.0,50961.0,48413.0,49280.0,182272818,3683,13,49252.0,49280.0,1383-03-24
1856,2004-07-18,46000.0,46000.0,46000.0,46000.0,32200000,700,1,49280.0,46000.0,1383-04-28
1855,2004-07-20,46700.0,46700.0,46011.0,46011.0,23810110,510,2,46000.0,46011.0,1383-04-30
1854,2004-07-24,47500.0,47500.0,46030.0,46030.0,18985300,400,2,46011.0,46030.0,1383-05-03
1853,2004-07-25,47850.0,47850.0,46038.0,46038.0,7637880,160,2,46030.0,46038.0,1383-05-04
1852,2004-07-27,48000.0,48000.0,46070.0,46070.0,24460700,510,3,46038.0,46070.0,1383-05-06
1851,2004-07-28,48350.0,48350.0,46085.0,46085.0,10372600,215,2,46070.0,46085.0,1383-05-07
1850,2004-07-31,48000.0,48000.0,46100.0,46100.0,12461000,260,2,46085.0,46100.0,1383-05-10
1849,2004-08-01,46101.0,46101.0,46100.0,46100.0,467925000,10150,2,46100.0,46100.0,1383-05-11
1848,2004-08-03,46099.0,46100.0,46099.0,46099.0,154892990,3360,3,46100.0,46099.0,1383-05-13
1847,2004-08-04,46800.0,48000.0,46153.0,46153.0,59736530,1260,4,46099.0,46153.0,1383-05-14
1846,2004-08-08,46130.0,46151.0,46130.0,46151.0,92952200,2015,3,46153.0,46151.0,1383-05-18
1845,2004-08-09,46000.0,46150.0,46000.0,46150.0,5383500,117,2,46151.0,46150.0,1383-05-19
1844,2004-08-11,45960.0,48000.0,45960.0,46272.0,569491184,12259,15,46150.0,46272.0,1383-05-21
1843,2004-08-18,45999.0,47000.0,45999.0,46308.0,93852001,2004,8,46272.0,46308.0,1383-05-28
1842,2004-08-31,46242.0,46307.0,46242.0,46307.0,12023720,260,6,46308.0,46307.0,1383-06-10
1841,2004-09-28,23500.0,23500.0,23500.0,23500.0,25732500,1095,6,46307.0,23500.0,1383-07-07
1840,2004-09-29,23500.0,23500.0,23000.0,23495.0,27827450,1195,8,23500.0,23495.0,1383-07-08
1839,2004-10-02,23499.0,23600.0,23495.0,23495.0,16026754,680,7,23495.0,23495.0,1383-07-11
1838,2004-10-03,23400.0,23493.0,23399.0,23493.0,22791861,974,6,23495.0,23493.0,1383-07-12
1837,2004-10-04,23491.0,23492.0,23491.0,23492.0,1221542,52,2,23493.0,23492.0,1383-07-13
1836,2004-10-11,23400.0,23488.0,23400.0,23488.0,60911080,2603,4,23492.0,23488.0,1383-07-20
1835,2004-10-20,23350.0,23487.0,23350.0,23487.0,7239870,310,3,23488.0,23487.0,1383-07-29
1834,2004-10-25,23389.0,23485.0,23389.0,23485.0,22526440,963,4,23487.0,23485.0,1383-08-04
