,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3107,2001-05-08,11000.0,11000.0,11000.0,11000.0,11000000,1000,1,0.0,11000.0,1380-02-18
3106,2001-06-02,11550.0,11550.0,11550.0,11550.0,12058200,1044,4,11000.0,11550.0,1380-03-12
3105,2001-06-03,12127.0,12127.0,12127.0,12127.0,69621107,5741,39,11550.0,12127.0,1380-03-13
3104,2001-06-12,12733.0,12733.0,12733.0,12733.0,26140849,2053,7,12127.0,12733.0,1380-03-22
3103,2001-06-16,13051.0,13051.0,13051.0,13051.0,26911162,2062,13,12733.0,13051.0,1380-03-26
3102,2001-06-17,13377.0,13377.0,13377.0,13377.0,15677844,1172,4,13051.0,13377.0,1380-03-27
3101,2001-06-18,13711.0,13711.0,13711.0,13711.0,292030589,21299,26,13377.0,13711.0,1380-03-28
3100,2001-07-03,9000.0,12305.0,9000.0,12301.0,49605300,4300,5,13711.0,12301.0,1380-04-12
3099,2001-07-14,12916.0,12916.0,12916.0,12916.0,13845952,1072,4,12301.0,12916.0,1380-04-23
3098,2001-08-27,13561.0,13561.0,13561.0,13561.0,27379659,2019,9,12916.0,13561.0,1380-06-05
3097,2001-08-28,14239.0,14239.0,14239.0,14239.0,15933441,1119,12,13561.0,14239.0,1380-06-06
3096,2001-08-29,14950.0,14950.0,14950.0,14950.0,38511200,2576,28,14239.0,14950.0,1380-06-07
3095,2001-09-01,15319.0,15323.0,15319.0,15319.0,258404672,16864,27,14950.0,15319.0,1380-06-10
3094,2001-09-02,15290.0,15330.0,15000.0,15330.0,667660998,43605,23,15319.0,15330.0,1380-06-11
3093,2001-09-03,15335.0,15340.0,15333.0,15334.0,431051411,28106,20,15330.0,15334.0,1380-06-12
3092,2001-09-04,15190.0,15200.0,15189.0,15198.0,172636074,11363,20,15334.0,15198.0,1380-06-13
3091,2001-09-05,15197.0,15250.0,15197.0,15250.0,146077094,9593,17,15198.0,15250.0,1380-06-14
3090,2001-09-08,15300.0,15301.0,15253.0,15301.0,405192849,26483,6,15250.0,15301.0,1380-06-17
3089,2001-09-09,15303.0,15308.0,15303.0,15308.0,10132152,662,5,15301.0,15308.0,1380-06-18
3088,2001-09-10,15313.0,15461.0,15313.0,15461.0,16425719,1063,2,15308.0,15461.0,1380-06-19
3087,2001-09-11,15461.0,15461.0,15461.0,15461.0,14827099,959,4,15461.0,15461.0,1380-06-20
3086,2001-09-12,15335.0,15400.0,15335.0,15400.0,781671105,50813,19,15461.0,15400.0,1380-06-21
3085,2001-09-15,15400.0,15400.0,15400.0,15400.0,4250400,276,2,15400.0,15400.0,1380-06-24
3084,2001-09-17,15400.0,15400.0,15400.0,15400.0,8793400,571,5,15400.0,15400.0,1380-06-26
3083,2001-09-18,15400.0,15400.0,15400.0,15400.0,20990200,1363,3,15400.0,15400.0,1380-06-27
3082,2001-09-19,15408.0,15408.0,15408.0,15408.0,2912112,189,3,15400.0,15408.0,1380-06-28
3081,2001-09-22,15550.0,15550.0,15550.0,15550.0,29202900,1878,15,15408.0,15550.0,1380-06-31
3080,2001-09-24,15705.0,15705.0,15705.0,15705.0,24169995,1539,11,15550.0,15705.0,1380-07-02
3079,2001-09-26,15862.0,15862.0,15862.0,15862.0,39543966,2493,3,15705.0,15862.0,1380-07-04
3078,2001-09-29,16020.0,16020.0,16020.0,16020.0,14418000,900,1,15862.0,16020.0,1380-07-07
3077,2001-09-30,16180.0,16180.0,16180.0,16180.0,18590820,1149,2,16020.0,16180.0,1380-07-08
3076,2001-10-02,16341.0,16341.0,16341.0,16341.0,15736383,963,5,16180.0,16341.0,1380-07-10
3075,2001-10-03,16504.0,16504.0,16504.0,16504.0,21240648,1287,12,16341.0,16504.0,1380-07-11
3074,2001-10-08,16669.0,16669.0,16669.0,16669.0,24353409,1461,6,16504.0,16669.0,1380-07-16
3073,2001-10-09,16835.0,16835.0,16669.0,16669.0,3171357,189,3,16669.0,16669.0,1380-07-17
3072,2001-10-10,16670.0,16672.0,16670.0,16672.0,45195712,2711,6,16669.0,16672.0,1380-07-18
3071,2001-10-13,16676.0,16676.0,16672.0,16675.0,3451353,207,3,16672.0,16675.0,1380-07-21
3070,2001-10-14,16688.0,16692.0,16680.0,16692.0,6907887,414,6,16675.0,16692.0,1380-07-22
3069,2001-10-16,16693.0,16693.0,16693.0,16693.0,2103318,126,2,16692.0,16693.0,1380-07-24
3068,2001-10-20,16777.0,16777.0,16776.0,16776.0,10267049,612,4,16693.0,16776.0,1380-07-28
3067,2001-10-22,16943.0,16943.0,16943.0,16943.0,27735691,1637,8,16776.0,16943.0,1380-07-30
3066,2001-10-23,17112.0,17112.0,17112.0,17112.0,31417632,1836,7,16943.0,17112.0,1380-08-01
3065,2001-10-27,17283.0,17283.0,17283.0,17283.0,27583668,1596,9,17112.0,17283.0,1380-08-05
3064,2001-11-03,17455.0,17455.0,17455.0,17455.0,34333985,1967,9,17283.0,17455.0,1380-08-12
3063,2001-11-17,17707.0,17767.0,17707.0,17767.0,7350894,414,4,17455.0,17767.0,1380-08-26
