,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
566,2018-10-23,701.0,701.0,701.0,748.0,1276609326,1821126,153,1226.0,701.0,1397-08-01
565,2018-10-24,822.0,822.0,822.0,790.0,931716450,1133475,111,748.0,822.0,1397-08-02
564,2018-10-27,869.0,869.0,869.0,869.0,174676821,201009,33,790.0,869.0,1397-08-05
563,2018-10-28,955.0,955.0,955.0,955.0,1057925125,1107775,95,869.0,955.0,1397-08-06
562,2018-10-29,1050.0,1050.0,1050.0,1050.0,2568807150,2446483,127,955.0,1050.0,1397-08-07
561,2018-10-31,1155.0,1250.0,1040.0,1170.0,9336003149,7977511,712,1050.0,1197.0,1397-08-09
560,2018-11-03,1130.0,1155.0,1053.0,1071.0,8207199374,7665188,747,1170.0,1053.0,1397-08-12
559,2018-11-04,1099.0,1118.0,971.0,1038.0,2462223008,2371338,345,1071.0,1027.0,1397-08-13
558,2018-11-05,1021.0,1141.0,990.0,1089.0,6274586070,5759154,607,1038.0,1141.0,1397-08-14
557,2018-11-06,1176.0,1176.0,1100.0,1163.0,7267688094,6250204,513,1089.0,1150.0,1397-08-15
556,2018-11-10,1150.0,1173.0,1055.0,1100.0,2768833397,2517628,270,1163.0,1060.0,1397-08-19
555,2018-11-11,1060.0,1060.0,1001.0,1020.0,1501868500,1472478,203,1100.0,1011.0,1397-08-20
554,2018-11-12,995.0,1080.0,995.0,1041.0,1755458958,1685886,192,1020.0,1050.0,1397-08-21
553,2018-11-13,1040.0,1070.0,1005.0,1021.0,2332935768,2286067,230,1041.0,1005.0,1397-08-22
552,2018-11-14,953.0,969.0,940.0,952.0,4253198908,4467642,316,1021.0,951.0,1397-08-23
551,2018-11-17,960.0,970.0,875.0,897.0,1017490856,1133889,188,952.0,875.0,1397-08-26
550,2018-11-18,881.0,888.0,808.0,843.0,1438019946,1705313,213,897.0,812.0,1397-08-27
549,2018-11-19,840.0,870.0,802.0,834.0,1246190188,1493788,236,843.0,814.0,1397-08-28
548,2018-11-20,842.0,907.0,800.0,849.0,1210723724,1425394,197,834.0,885.0,1397-08-29
547,2018-11-21,900.0,914.0,851.0,903.0,1160894549,1285589,201,849.0,914.0,1397-08-30
546,2018-11-24,917.0,917.0,866.0,895.0,932852858,1041877,110,903.0,875.0,1397-09-03
545,2018-11-26,823.0,855.0,806.0,813.0,1421188598,1747580,175,895.0,806.0,1397-09-05
544,2018-11-27,876.0,876.0,800.0,813.0,1662810868,2045892,240,813.0,820.0,1397-09-06
543,2018-11-28,810.0,822.0,800.0,807.0,387185238,479603,82,813.0,820.0,1397-09-07
542,2018-12-01,791.0,799.0,752.0,771.0,571043777,740417,88,807.0,770.0,1397-09-10
541,2018-12-02,800.0,830.0,800.0,817.0,612870556,749957,135,771.0,829.0,1397-09-11
540,2018-12-03,828.0,833.0,790.0,805.0,1439260715,1788871,175,817.0,800.0,1397-09-12
539,2018-12-04,814.0,819.0,782.0,790.0,512056596,648292,92,805.0,786.0,1397-09-13
538,2018-12-05,800.0,815.0,773.0,789.0,773918048,980447,159,790.0,790.0,1397-09-14
537,2018-12-08,781.0,782.0,750.0,766.0,946182637,1235534,144,789.0,770.0,1397-09-17
536,2018-12-09,755.0,842.0,755.0,831.0,4339098420,5223667,469,766.0,842.0,1397-09-18
535,2018-12-10,851.0,914.0,810.0,855.0,2684675647,3140623,344,831.0,820.0,1397-09-19
534,2018-12-12,834.0,834.0,770.0,783.0,3076051623,3929709,385,855.0,781.0,1397-09-21
533,2018-12-15,760.0,817.0,760.0,791.0,1305066617,1650493,237,783.0,786.0,1397-09-24
