,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
538,2013-11-03,3500.0,3500.0,3500.0,3500.0,3500000000,1000000,1,1000.0,3500.0,1392-08-12
537,2013-11-17,3500.0,3500.0,3500.0,3500.0,147840000,42240,1,3500.0,3500.0,1392-08-26
536,2013-12-11,3000.0,3000.0,3000.0,3000.0,330000000,110000,1,3500.0,3000.0,1392-09-20
535,2014-01-01,3600.0,3600.0,3600.0,3600.0,396000000,110000,1,3000.0,3600.0,1392-10-11
534,2014-01-13,4100.0,4100.0,4100.0,4100.0,41000000,10000,1,3600.0,4100.0,1392-10-23
533,2014-01-15,4600.0,4600.0,4600.0,4600.0,92000000,20000,2,4100.0,4600.0,1392-10-25
532,2014-01-21,4600.0,4600.0,4600.0,4600.0,115920000,25200,2,4600.0,4600.0,1392-11-01
531,2014-01-29,3500.0,4600.0,3500.0,4222.0,642952000,152272,2,4600.0,4600.0,1392-11-09
530,2014-02-01,4600.0,4600.0,4600.0,4600.0,4600000,1000,1,4222.0,4600.0,1392-11-12
529,2014-02-04,4621.0,4621.0,4600.0,4615.0,1708410160,370196,3,4600.0,4600.0,1392-11-15
528,2014-03-02,4700.0,4700.0,4700.0,4700.0,70500000,15000,1,4615.0,4700.0,1392-12-11
527,2014-04-05,4720.0,4720.0,4720.0,4720.0,363440000,77000,1,4700.0,4720.0,1393-01-16
526,2014-04-14,4722.0,4722.0,4722.0,4722.0,9197171616,1947728,1,4720.0,4722.0,1393-01-25
525,2014-06-07,5000.0,5000.0,5000.0,5000.0,1866855000,373371,1,4003.0,5000.0,1393-03-17
524,2014-06-08,5010.0,5010.0,4900.0,4936.0,177710000,36000,4,5000.0,4910.0,1393-03-18
523,2014-07-01,5321.0,5321.0,5321.0,5321.0,186235000,35000,2,4936.0,5321.0,1393-04-10
522,2014-07-06,5500.0,5500.0,5500.0,5500.0,2874960000,522720,1,5321.0,5500.0,1393-04-15
521,2014-07-22,4721.0,4721.0,4721.0,4721.0,45491556,9636,1,5500.0,4721.0,1393-04-31
520,2014-08-05,4735.0,4735.0,4721.0,4724.0,18898000,4000,3,4721.0,4721.0,1393-05-14
519,2014-08-06,4721.0,4721.0,4721.0,4721.0,18884000,4000,1,4724.0,4721.0,1393-05-15
518,2014-08-23,5000.0,5000.0,5000.0,5000.0,566500000,113300,1,4721.0,5000.0,1393-06-01
517,2014-09-16,5000.0,5000.0,5000.0,5000.0,3296360000,659272,1,5000.0,5000.0,1393-06-25
516,2014-10-08,5000.0,5000.0,5000.0,5000.0,100000000,20000,1,5000.0,5000.0,1393-07-16
515,2014-11-10,5300.0,5300.0,5300.0,5300.0,53000000,10000,1,5000.0,5300.0,1393-08-19
514,2014-12-30,5500.0,5500.0,5500.0,5500.0,55000000,10000,1,5300.0,5500.0,1393-10-09
513,2015-01-24,5350.0,5350.0,5350.0,5350.0,53500000,10000,1,5500.0,5350.0,1393-11-04
512,2015-01-27,4900.0,4900.0,4900.0,4900.0,207132800,42272,1,5350.0,4900.0,1393-11-07
511,2015-02-14,5000.0,5000.0,5000.0,5000.0,250000000,50000,2,4900.0,5000.0,1393-11-25
510,2015-03-10,4000.0,5000.0,4000.0,4500.0,450000000,100000,2,5000.0,5000.0,1393-12-19
509,2015-03-14,3850.0,3850.0,3850.0,3850.0,18803400,4884,1,4500.0,3850.0,1393-12-23
508,2015-06-09,3000.0,3000.0,3000.0,3000.0,675048000,225016,4,3100.0,3000.0,1394-03-19
507,2015-06-10,3002.0,3010.0,3002.0,3003.0,5753852220,1916094,3,3000.0,3010.0,1394-03-20
506,2015-06-13,4000.0,4000.0,4000.0,4000.0,217256000,54314,1,3003.0,4000.0,1394-03-23
505,2015-08-26,4200.0,4200.0,4200.0,4200.0,1050000000,250000,1,4000.0,4200.0,1394-06-04
504,2015-09-05,4200.0,4200.0,4200.0,4200.0,1428000,340,2,4200.0,4200.0,1394-06-14
503,2015-10-04,4000.0,4000.0,4000.0,4000.0,280000000,70000,1,4200.0,4000.0,1394-07-12
502,2015-11-24,3600.0,3600.0,3600.0,3600.0,731808000,203280,1,4000.0,3600.0,1394-09-03
501,2016-01-02,3600.0,3600.0,3600.0,3600.0,7200000,2000,1,3600.0,3600.0,1394-10-12
500,2016-01-17,3600.0,3600.0,3600.0,3600.0,79200000,22000,1,3600.0,3600.0,1394-10-27
499,2016-01-30,4500.0,4500.0,4500.0,4500.0,5880600000,1306800,1,3600.0,4500.0,1394-11-10
498,2016-03-01,4400.0,4400.0,4000.0,4000.0,1200880000,300200,3,4500.0,4400.0,1394-12-11
497,2016-04-03,4100.0,4100.0,4100.0,4100.0,63386000,15460,1,4000.0,4100.0,1395-01-15
496,2016-05-04,4300.0,4300.0,4300.0,4300.0,21500000,5000,1,4100.0,4300.0,1395-02-15
495,2016-05-10,4300.0,4300.0,4300.0,4300.0,430000,100,1,4300.0,4300.0,1395-02-21
494,2016-05-11,4110.0,4120.0,4110.0,4111.0,107036460,26036,2,4300.0,4120.0,1395-02-22
493,2016-06-11,3500.0,3500.0,3500.0,3500.0,175000000,50000,1,3541.0,3500.0,1395-03-22
492,2016-06-12,3500.0,3500.0,3500.0,3500.0,7000000,2000,1,3500.0,3500.0,1395-03-23
491,2016-06-15,3500.0,3500.0,3500.0,3500.0,612500000,175000,2,3500.0,3500.0,1395-03-26
490,2016-07-09,3000.0,3600.0,3000.0,3399.0,510816000,150272,2,3500.0,3600.0,1395-04-19
489,2016-07-24,3400.0,3400.0,3400.0,3400.0,44880000,13200,2,3399.0,3400.0,1395-05-03
488,2016-08-07,3400.0,3400.0,3400.0,3400.0,340000000,100000,2,3400.0,3400.0,1395-05-17
487,2016-08-08,3400.0,3400.0,3400.0,3400.0,166600000,49000,1,3400.0,3400.0,1395-05-18
486,2016-08-10,3500.0,3500.0,3500.0,3500.0,1400000,400,1,3400.0,3500.0,1395-05-20
485,2016-10-01,3500.0,3500.0,3500.0,3500.0,9240000,2640,1,3500.0,3500.0,1395-07-10
484,2016-10-31,4000.0,4000.0,4000.0,4000.0,103176000,25794,1,3500.0,4000.0,1395-08-10
483,2016-11-01,4000.0,4000.0,4000.0,4000.0,86580000,21645,1,4000.0,4000.0,1395-08-11
482,2016-11-05,4000.0,4000.0,4000.0,4000.0,604180000,151045,2,4000.0,4000.0,1395-08-15
481,2016-11-12,3501.0,3501.0,3501.0,3501.0,1456430004,416004,1,4000.0,3501.0,1395-08-22
480,2016-12-18,4000.0,4000.0,4000.0,4000.0,3136320000,784080,1,3501.0,4000.0,1395-09-28
479,2016-12-25,3600.0,3600.0,3600.0,3600.0,396000000,110000,1,4000.0,3600.0,1395-10-05
478,2017-01-04,3600.0,3600.0,3600.0,3600.0,396000000,110000,1,3600.0,3600.0,1395-10-15
477,2017-02-06,3700.0,3700.0,3700.0,3700.0,203500000,55000,1,3600.0,3700.0,1395-11-18
476,2017-03-07,4001.0,4001.0,4001.0,4001.0,36009000,9000,1,3700.0,4001.0,1395-12-17
475,2017-03-18,4002.0,4002.0,4002.0,4002.0,20770380,5190,2,4001.0,4002.0,1395-12-28
474,2017-08-02,4002.0,4002.0,3800.0,3661.0,353020820,92400,4,3432.0,3800.0,1396-05-11
473,2017-08-23,3900.0,3900.0,3900.0,3679.0,46800000,12000,1,3661.0,3900.0,1396-06-01
472,2017-10-04,4300.0,4300.0,4300.0,3719.0,43000000,10000,1,3679.0,4300.0,1396-07-12
471,2017-10-07,4111.0,4111.0,4105.0,3925.0,340426040,82852,5,3719.0,4106.0,1396-07-15
470,2017-10-08,4200.0,4200.0,4200.0,4200.0,617400000,147000,6,3925.0,4200.0,1396-07-16
469,2017-10-10,4200.0,4200.0,4200.0,4200.0,504000000,120000,6,4200.0,4200.0,1396-07-18
468,2017-10-25,4050.0,4050.0,4050.0,4050.0,635104800,156816,4,4200.0,4050.0,1396-08-03
467,2017-11-29,4050.0,4050.0,4050.0,4050.0,76950000,19000,2,4050.0,4050.0,1396-09-08
466,2017-12-31,4100.0,4100.0,4100.0,4100.0,45674000,11140,2,4050.0,4100.0,1396-10-10
465,2018-01-03,4051.0,4051.0,4050.0,4050.0,40505000,10000,2,4100.0,4050.0,1396-10-13
464,2018-01-06,4113.0,4113.0,4113.0,4113.0,20565000,5000,1,4050.0,4113.0,1396-10-16
463,2018-02-06,4100.0,4100.0,4100.0,4100.0,41000000,10000,1,4113.0,4100.0,1396-11-17
462,2018-04-09,4100.0,4100.0,4100.0,4100.0,3249906000,792660,16,4100.0,4100.0,1397-01-20
461,2018-09-01,2188.0,2188.0,2188.0,2188.0,10940,5,1,2188.0,2188.0,1397-06-10
460,2018-10-01,4070.0,5002.0,4070.0,2343.0,69763172,14174,4,2188.0,5002.0,1397-07-09
459,2018-10-13,5001.0,5001.0,5001.0,2364.0,10002000,2000,2,2343.0,5001.0,1397-07-21
458,2018-10-27,5000.0,5000.0,5000.0,2396.0,15000000,3000,1,2364.0,5000.0,1397-08-05
457,2018-10-31,5000.0,5000.0,5000.0,2398.0,1000000,200,1,2396.0,5000.0,1397-08-09
456,2018-11-03,5000.0,5000.0,5000.0,2402.0,1800000,360,1,2398.0,5000.0,1397-08-12
455,2018-11-05,4999.0,4999.0,4999.0,2430.0,13697260,2740,3,2402.0,4999.0,1397-08-14
454,2018-11-19,5003.0,5003.0,5003.0,3459.0,500300000,100000,6,2430.0,5003.0,1397-08-28
453,2018-11-21,5003.0,5003.0,5003.0,3567.0,87557503,17501,13,3459.0,5003.0,1397-08-30
452,2018-12-03,5000.0,5000.0,5000.0,3578.0,10000000,2000,2,3567.0,5000.0,1397-09-12
451,2018-12-08,5003.0,5003.0,5003.0,3684.0,93205890,18630,6,3578.0,5003.0,1397-09-17
450,2018-12-24,3684.0,3684.0,3684.0,3684.0,12278772,3333,4,3684.0,3684.0,1397-10-03
