,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
3160,2003-07-01,15055.0,15057.0,15000.0,15000.0,23249005000,1545820,194,15055.0,15000.0,1382-04-10
3159,2003-07-02,15013.0,15013.0,15004.0,15004.0,2747620907,183111,87,15000.0,15004.0,1382-04-11
3158,2003-07-05,15010.0,15031.0,15009.0,15030.0,4072653187,271069,134,15004.0,15030.0,1382-04-14
3157,2003-07-07,15100.0,15100.0,15100.0,15100.0,755000000,50000,33,15030.0,15100.0,1382-04-16
3156,2003-07-08,15500.0,15855.0,15300.0,15855.0,1572010000,100000,77,15100.0,15855.0,1382-04-17
3155,2003-07-09,16647.0,16647.0,16647.0,16647.0,6991740000,420000,136,15855.0,16647.0,1382-04-18
3154,2003-07-13,18881.0,18906.0,17755.0,18804.0,2573957068,136700,108,16647.0,18804.0,1382-04-22
3153,2003-07-14,19744.0,19744.0,19744.0,19744.0,130251168,6597,6,18804.0,19744.0,1382-04-23
3152,2003-07-15,20731.0,20731.0,20731.0,20731.0,2676081866,129086,182,19744.0,20731.0,1382-04-24
3151,2003-07-16,21767.0,21767.0,21767.0,21767.0,3218272717,147851,163,20731.0,21767.0,1382-04-25
3150,2003-07-19,22855.0,22855.0,21550.0,21800.0,3994007128,177094,252,21767.0,21800.0,1382-04-28
3149,2003-07-20,21802.0,21802.0,20710.0,20710.0,1603317503,75307,149,21800.0,20710.0,1382-04-29
3148,2003-07-21,20504.0,20511.0,20500.0,20506.0,2192146264,106907,107,20710.0,20506.0,1382-04-30
3147,2003-07-22,20001.0,20001.0,19800.0,19998.0,335803474,16818,38,20506.0,19998.0,1382-04-31
3146,2003-07-23,19998.0,20600.0,19800.0,19800.0,899372082,44734,70,19998.0,19800.0,1382-05-01
3145,2003-07-26,20015.0,20053.0,19790.0,19790.0,428454527,21518,52,19800.0,19790.0,1382-05-04
3144,2003-07-27,19791.0,20003.0,18801.0,18801.0,3534026861,185448,91,19790.0,18801.0,1382-05-05
3143,2003-07-28,18810.0,19741.0,18805.0,19741.0,502159637,26357,24,18801.0,19741.0,1382-05-06
3142,2003-07-29,20728.0,20728.0,19740.0,19740.0,4283526403,216293,143,19741.0,19740.0,1382-05-07
3141,2003-07-30,19740.0,19803.0,19740.0,19803.0,121376712,6140,18,19740.0,19803.0,1382-05-08
3140,2003-08-03,19807.0,19921.0,19790.0,19921.0,494524192,24976,27,19803.0,19921.0,1382-05-12
3139,2003-08-04,22021.0,22118.0,21000.0,22001.0,518176885,23507,77,19921.0,22001.0,1382-05-13
3138,2003-08-05,20007.0,21000.0,20000.0,20001.0,492986811,24566,54,22001.0,20001.0,1382-05-14
3137,2003-08-06,20001.0,20200.0,20000.0,20002.0,357840405,17762,21,20001.0,20002.0,1382-05-15
3136,2003-08-09,20061.0,20064.0,19990.0,19990.0,172103605,8600,32,20002.0,19990.0,1382-05-18
3135,2003-08-10,19989.0,19990.0,19845.0,19845.0,169621397,8516,19,19990.0,19845.0,1382-05-19
3134,2003-08-11,19845.0,19849.0,19212.0,19800.0,226795612,11467,28,19845.0,19800.0,1382-05-20
3133,2003-08-12,19820.0,19822.0,19797.0,19797.0,80103204,4042,12,19800.0,19797.0,1382-05-21
3132,2003-08-13,19768.0,19784.0,19500.0,19698.0,411138705,20871,21,19797.0,19698.0,1382-05-22
3131,2003-08-16,19704.0,19707.0,18826.0,19500.0,163235602,8305,26,19698.0,19500.0,1382-05-25
3130,2003-08-17,19201.0,19500.0,19201.0,19480.0,244406239,12546,32,19500.0,19480.0,1382-05-26
3129,2003-08-18,19480.0,19484.0,19479.0,19484.0,161178022,8273,21,19480.0,19484.0,1382-05-27
3128,2003-08-19,19484.0,21000.0,19484.0,21000.0,289852042,13954,23,19484.0,21000.0,1382-05-28
3127,2003-08-20,21000.0,21000.0,20975.0,21000.0,535048190,25486,21,21000.0,21000.0,1382-05-29
3126,2003-08-23,20900.0,21000.0,20432.0,21000.0,140135890,6752,20,21000.0,21000.0,1382-06-01
3125,2003-08-24,20396.0,21000.0,19989.0,21000.0,111754651,5564,16,21000.0,21000.0,1382-06-02
3124,2003-08-25,19950.0,21000.0,19950.0,21000.0,20769000,1041,5,21000.0,21000.0,1382-06-03
3123,2003-08-26,19950.0,21000.0,19950.0,21000.0,1849046850,92684,48,21000.0,21000.0,1382-06-04
3122,2003-08-27,19950.0,21000.0,19950.0,21000.0,30345000,1521,9,21000.0,21000.0,1382-06-05
3121,2003-08-30,19950.0,21000.0,19950.0,21000.0,36030750,1806,11,21000.0,21000.0,1382-06-08
3120,2003-08-31,19950.0,21000.0,19950.0,21000.0,21496650,1077,8,21000.0,21000.0,1382-06-09
3119,2003-09-01,19950.0,21000.0,19950.0,21000.0,10424400,522,5,21000.0,21000.0,1382-06-10
3118,2003-09-02,19950.0,21000.0,19950.0,21000.0,40050150,2007,5,21000.0,21000.0,1382-06-11
3117,2003-09-03,19950.0,21000.0,19950.0,21000.0,2663850,133,3,21000.0,21000.0,1382-06-12
3116,2003-09-06,19950.0,21000.0,19950.0,21000.0,14095200,706,3,21000.0,21000.0,1382-06-15
3115,2003-09-07,19950.0,19950.0,19950.0,19950.0,4189500,210,2,21000.0,19950.0,1382-06-16
3114,2003-09-08,18953.0,19950.0,18953.0,19950.0,30922313,1631,7,19950.0,19950.0,1382-06-17
3113,2003-09-13,18953.0,19950.0,18953.0,19950.0,5146233,271,2,19950.0,19950.0,1382-06-22
3112,2003-09-14,18953.0,19950.0,18953.0,19950.0,4388113,231,3,19950.0,19950.0,1382-06-23
3111,2003-09-15,18953.0,19950.0,18953.0,19950.0,23233066505,1171766,87,19950.0,19950.0,1382-06-24
3110,2003-09-16,19946.0,19946.0,19620.0,19680.0,22487111852,1145527,25,19950.0,19680.0,1382-06-25
3109,2003-09-17,19794.0,19794.0,19680.0,19680.0,1681350,85,2,19680.0,19680.0,1382-06-26
3108,2003-09-20,19669.0,19679.0,19669.0,19679.0,688515,35,2,19680.0,19679.0,1382-06-29
3107,2003-09-21,19618.0,19666.0,19618.0,19666.0,302776504,15429,26,19679.0,19666.0,1382-06-30
3106,2003-09-22,19569.0,19664.0,19568.0,19664.0,27429109,1401,5,19666.0,19664.0,1382-06-31
3105,2003-09-23,19493.0,19662.0,19493.0,19662.0,9533767,489,2,19664.0,19662.0,1382-07-01
3104,2003-09-27,18900.0,19658.0,18900.0,19658.0,6433580,340,3,19662.0,19658.0,1382-07-05
3103,2003-10-04,18676.0,19658.0,18676.0,19658.0,383340,20,2,19658.0,19658.0,1382-07-12
3102,2003-10-15,18676.0,19658.0,18676.0,19658.0,13568596,726,5,19658.0,19658.0,1382-07-23
