,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
260,2020-07-01,15750.0,15750.0,15750.0,15750.0,20789966956500,1319997902,4481814,1000.0,15750.0,1399-04-11
259,2020-07-04,16530.0,16530.0,16530.0,15830.0,7276555590,440203,1744,15750.0,16530.0,1399-04-14
258,2020-07-05,16620.0,16620.0,16620.0,16000.0,15605398860,938953,3517,15830.0,16620.0,1399-04-15
257,2020-07-06,16800.0,16800.0,16800.0,16490.0,45137836800,2686776,4492,16000.0,16800.0,1399-04-16
256,2020-07-07,17310.0,17310.0,17310.0,16690.0,18713685210,1081091,4153,16490.0,17310.0,1399-04-17
255,2020-07-08,17520.0,17520.0,17520.0,17130.0,40618788480,2318424,3811,16690.0,17520.0,1399-04-18
254,2020-07-11,17980.0,17980.0,17980.0,17400.0,25486703940,1417503,5292,17130.0,17980.0,1399-04-21
253,2020-07-12,18270.0,18270.0,17980.0,17650.0,23306860650,1275695,4720,17400.0,18270.0,1399-04-22
252,2020-07-13,18530.0,18530.0,18530.0,17960.0,29074125900,1569030,5839,17650.0,18530.0,1399-04-23
251,2020-07-14,18850.0,18850.0,18850.0,18160.0,18831564700,999022,3895,17960.0,18850.0,1399-04-24
250,2020-07-15,19060.0,19060.0,19060.0,19060.0,83978664960,4406016,5818,18160.0,19060.0,1399-04-25
249,2020-07-18,20010.0,20010.0,20010.0,19450.0,35739140640,1786064,6770,19060.0,20010.0,1399-04-28
248,2020-07-19,20420.0,20420.0,20420.0,19530.0,7606286640,372492,1364,19450.0,20420.0,1399-04-29
247,2020-07-22,20500.0,20500.0,20500.0,20010.0,44707732500,2180865,8193,19530.0,20500.0,1399-05-01
246,2020-07-25,21010.0,21010.0,21010.0,20690.0,62746470050,2986505,8386,20010.0,21010.0,1399-05-04
245,2020-07-26,21720.0,21720.0,21720.0,21280.0,54529471800,2510565,6384,20690.0,21720.0,1399-05-05
244,2020-07-27,22340.0,22340.0,22340.0,21830.0,51043325600,2284840,8973,21280.0,22340.0,1399-05-06
243,2020-08-03,22110.0,22110.0,22110.0,21480.0,38716533570,1751087,6420,21060.0,22110.0,1399-05-13
242,2020-08-04,22550.0,22550.0,22550.0,21960.0,44610642450,1978299,7910,21480.0,22550.0,1399-05-14
241,2020-08-05,23050.0,23050.0,23050.0,22510.0,51588020600,2238092,8285,21960.0,23050.0,1399-05-15
