,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
1975,2003-12-17,18550.0,18650.0,18100.0,18425.0,14886489833,807910,395,0.0,18425.0,1382-09-26
1974,2003-12-21,18433.0,18433.0,18425.0,18425.0,110777570,6010,12,18425.0,18425.0,1382-09-30
1973,2003-12-22,18500.0,18500.0,18432.0,18432.0,347091354,18810,23,18425.0,18432.0,1382-10-01
1972,2003-12-23,18555.0,18557.0,18441.0,18441.0,94806863,5110,14,18432.0,18441.0,1382-10-02
1971,2003-12-24,18550.0,18550.0,17519.0,18257.0,462005546,25725,52,18441.0,18257.0,1382-10-03
1970,2003-12-27,17345.0,18156.0,17345.0,18156.0,129471190,7464,21,18257.0,18156.0,1382-10-06
1969,2003-12-28,17249.0,18067.0,17249.0,18067.0,113713588,6592,14,18156.0,18067.0,1382-10-07
1968,2003-12-29,17164.0,17997.0,17164.0,17997.0,89964854,5241,11,18067.0,17997.0,1382-10-08
1967,2003-12-30,17098.0,17983.0,17098.0,17983.0,17038458,996,5,17997.0,17983.0,1382-10-09
1966,2003-12-31,17084.0,17853.0,17084.0,17853.0,166918370,9770,15,17983.0,17853.0,1382-10-10
1965,2004-01-03,16961.0,17838.0,16961.0,17838.0,18394494,1084,5,17853.0,17838.0,1382-10-13
1964,2004-01-04,16947.0,17823.0,16947.0,17823.0,19057188,1124,8,17838.0,17823.0,1382-10-14
1963,2004-01-05,16932.0,17797.0,16932.0,17797.0,33500146,1978,6,17823.0,17797.0,1382-10-15
1962,2004-01-06,16908.0,16932.0,16908.0,16908.0,1183613172,70000,57,17797.0,16908.0,1382-10-16
1961,2004-01-07,16100.0,16907.0,16063.0,16808.0,183874434,11273,22,16908.0,16808.0,1382-10-17
1960,2004-01-10,16890.0,16932.0,16814.0,16814.0,68003256,4018,9,16808.0,16814.0,1382-10-20
1959,2004-01-11,16814.0,16814.0,15974.0,15989.0,1119414740,70010,27,16814.0,15989.0,1382-10-21
1958,2004-01-12,16011.0,16049.0,15190.0,15266.0,1068820973,70010,29,15989.0,15266.0,1382-10-22
