,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
733,2018-06-03,6500.0,6500.0,6500.0,6500.0,1169941955000,179991070,109720,1000.0,6500.0,1397-03-13
732,2018-06-09,6825.0,6825.0,6825.0,6825.0,35629441575,5220431,3776,6500.0,6825.0,1397-03-19
731,2018-06-10,7000.0,7166.0,7000.0,7121.0,466455872167,65508189,40391,6825.0,7166.0,1397-03-20
730,2018-06-11,7477.0,7477.0,7477.0,7477.0,54484644782,7286966,4754,7121.0,7477.0,1397-03-21
729,2018-06-12,7850.0,7850.0,7700.0,7850.0,129857986572,16543441,6052,7477.0,7701.0,1397-03-22
728,2018-06-13,8085.0,8425.0,8000.0,8195.0,454462712485,55457027,31734,7850.0,8420.0,1397-03-23
727,2018-06-17,8550.0,8604.0,8540.0,8589.0,43603271247,5076736,2499,8195.0,8604.0,1397-03-27
726,2018-06-18,9018.0,9018.0,8750.0,9015.0,259255072867,28757339,4156,8589.0,9018.0,1397-03-28
725,2018-06-19,9465.0,9465.0,9200.0,9455.0,309081229053,32690762,6921,9015.0,9465.0,1397-03-29
724,2018-06-20,9927.0,9927.0,9927.0,9838.0,5803433397,584611,285,9455.0,9927.0,1397-03-30
723,2018-06-23,10000.0,10500.0,9980.0,10366.0,234897429672,22660585,9990,9838.0,10500.0,1397-04-02
722,2018-06-24,10730.0,10730.0,9848.0,10109.0,129374408293,12797691,6995,10366.0,9848.0,1397-04-03
721,2018-06-25,9650.0,10200.0,9604.0,9674.0,277098930173,28643907,10579,10109.0,9604.0,1397-04-04
720,2018-06-26,9641.0,9830.0,9330.0,9599.0,79001005353,8229712,4168,9674.0,9455.0,1397-04-05
719,2018-06-27,9500.0,9600.0,9120.0,9358.0,53665102046,5734647,3672,9599.0,9217.0,1397-04-06
718,2018-06-30,9201.0,9777.0,9200.0,9505.0,24691074359,2597567,2010,9358.0,9349.0,1397-04-09
717,2018-07-01,9400.0,9500.0,9108.0,9227.0,24240621396,2627205,3744,9505.0,9295.0,1397-04-10
716,2018-07-02,9280.0,9477.0,9142.0,9281.0,21995755740,2369963,2419,9227.0,9349.0,1397-04-11
715,2018-07-03,9350.0,9699.0,9310.0,9533.0,22243817033,2333294,3181,9281.0,9455.0,1397-04-12
714,2018-07-04,9501.0,9640.0,9370.0,9463.0,16935750887,1789749,3847,9533.0,9389.0,1397-04-13
713,2018-07-07,9400.0,9500.0,9250.0,9319.0,8921915004,957382,2369,9463.0,9300.0,1397-04-16
712,2018-07-08,9271.0,9400.0,9250.0,9305.0,19495460162,2095132,4351,9319.0,9250.0,1397-04-17
711,2018-07-10,9250.0,9350.0,9175.0,9274.0,20629457437,2224555,4475,9305.0,9270.0,1397-04-19
710,2018-07-11,9300.0,9379.0,9025.0,9129.0,27279725254,2988094,3714,9274.0,9030.0,1397-04-20
709,2018-07-14,9100.0,9299.0,9100.0,9199.0,9543110205,1037413,2238,9129.0,9168.0,1397-04-23
708,2018-07-15,9199.0,9500.0,9100.0,9373.0,17200812989,1835200,1870,9199.0,9329.0,1397-04-24
707,2018-07-16,9400.0,9550.0,9374.0,9476.0,11741692481,1239139,1949,9373.0,9419.0,1397-04-25
706,2018-07-17,9395.0,9499.0,9205.0,9337.0,12722842588,1362576,1069,9476.0,9360.0,1397-04-26
705,2018-07-18,9280.0,9490.0,9100.0,9296.0,14805210376,1592711,1259,9337.0,9130.0,1397-04-27
704,2018-07-21,9344.0,9350.0,9142.0,9212.0,6641920139,721027,514,9296.0,9200.0,1397-04-30
703,2018-07-22,9200.0,9672.0,9200.0,9515.0,37891352171,3982320,1438,9212.0,9672.0,1397-04-31
