,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
4095,2001-03-31,35000.0,35500.0,35000.0,35496.0,55978150,1591,6,35000.0,35496.0,1380-01-11
4094,2001-04-03,35490.0,35500.0,35490.0,35500.0,85193000,2400,6,35496.0,35500.0,1380-01-14
4093,2001-04-07,35500.0,35500.0,35500.0,35500.0,15975000,450,1,35500.0,35500.0,1380-01-18
4092,2001-04-08,35500.0,35500.0,35500.0,35500.0,261173500,7357,24,35500.0,35500.0,1380-01-19
4091,2001-04-10,35900.0,37000.0,35900.0,37000.0,223537000,6072,8,35500.0,37000.0,1380-01-21
4090,2001-04-11,37000.0,37000.0,37000.0,37000.0,1998000,54,1,37000.0,37000.0,1380-01-22
4089,2001-04-18,36988.0,37000.0,36501.0,37000.0,320988747,8703,25,37000.0,37000.0,1380-01-29
4088,2001-04-21,37001.0,37500.0,37000.0,37500.0,74651898,1997,7,37000.0,37500.0,1380-02-01
4087,2001-04-22,38003.0,38003.0,37500.0,37500.0,264745140,6980,15,37500.0,37500.0,1380-02-02
4086,2001-04-23,37502.0,37502.0,37502.0,37502.0,2700144,72,4,37500.0,37502.0,1380-02-03
4085,2001-04-24,37990.0,38000.0,37990.0,38000.0,80093200,2108,7,37502.0,38000.0,1380-02-04
4084,2001-04-25,38001.0,38001.0,38001.0,38001.0,3800100,100,1,38000.0,38001.0,1380-02-05
4083,2001-04-28,38015.0,38050.0,38015.0,38050.0,34812250,915,2,38001.0,38050.0,1380-02-08
4082,2001-04-30,38634.0,38637.0,38200.0,38200.0,721041396,18718,32,38050.0,38200.0,1380-02-10
4081,2001-05-01,38204.0,38221.0,37100.0,38221.0,10178932420,273816,1320,38200.0,38221.0,1380-02-11
4080,2001-05-02,38352.0,38500.0,38352.0,38500.0,44597968,1159,2,38221.0,38500.0,1380-02-12
4079,2001-05-12,40425.0,40425.0,20713.0,40425.0,21806795010,539570,49,38500.0,40425.0,1380-02-22
4078,2001-05-13,41435.0,41435.0,41435.0,41435.0,171292290,4134,14,40425.0,41435.0,1380-02-23
4077,2001-05-15,42470.0,42470.0,42470.0,42470.0,183470400,4320,8,41435.0,42470.0,1380-02-25
4076,2001-05-16,42894.0,42894.0,42894.0,42894.0,132070626,3079,12,42470.0,42894.0,1380-02-26
4075,2001-05-19,42887.0,43000.0,42887.0,43000.0,1019339516,23712,31,42894.0,43000.0,1380-02-29
4074,2001-05-21,42570.0,42980.0,42570.0,42570.0,92236960,2166,5,43000.0,42570.0,1380-02-31
4073,2001-05-23,42558.0,42570.0,42558.0,42570.0,255400018,6000,19,42570.0,42570.0,1380-03-02
4072,2001-05-26,42560.0,42570.0,42560.0,42570.0,127706508,3000,7,42570.0,42570.0,1380-03-05
4071,2001-05-27,42200.0,42571.0,42200.0,42570.0,228066931,5359,25,42570.0,42570.0,1380-03-06
4070,2001-05-28,42145.0,42570.0,42145.0,42570.0,178526225,4200,10,42570.0,42570.0,1380-03-07
4069,2001-05-29,42570.0,42570.0,42569.0,42570.0,395474800,9290,21,42570.0,42570.0,1380-03-08
4068,2001-05-30,42570.0,42570.0,42570.0,42570.0,559752930,13149,29,42570.0,42570.0,1380-03-09
4067,2001-06-02,42567.0,42570.0,42567.0,42570.0,225703330,5302,16,42570.0,42570.0,1380-03-12
4066,2001-06-03,42569.0,42570.0,42540.0,42570.0,6662294674,156511,59,42570.0,42570.0,1380-03-13
4065,2001-06-06,42570.0,42571.0,42570.0,42570.0,172536860,4053,14,42570.0,42570.0,1380-03-16
4064,2001-06-09,42581.0,42581.0,42581.0,42581.0,98958244,2324,16,42570.0,42581.0,1380-03-19
4063,2001-06-11,42590.0,42591.0,42570.0,42581.0,3122899850,73341,23,42581.0,42581.0,1380-03-21
4062,2001-06-12,42570.0,42580.0,42570.0,42580.0,41124280,966,4,42581.0,42580.0,1380-03-22
4061,2001-06-13,42570.0,43005.0,42570.0,43005.0,628344598,14747,50,42580.0,43005.0,1380-03-23
4060,2001-06-16,43005.0,43435.0,42995.0,43435.0,446480639,10368,36,43005.0,43435.0,1380-03-26
4059,2001-06-17,43435.0,43869.0,43426.0,43869.0,18220588273,415437,70,43435.0,43869.0,1380-03-27
4058,2001-07-10,42000.0,42000.0,42000.0,42000.0,84000000,2000,5,43869.0,42000.0,1380-04-19
4057,2001-07-11,42421.0,42421.0,42421.0,42421.0,196621335,4635,19,42000.0,42421.0,1380-04-20
4056,2001-07-14,42476.0,42476.0,42420.0,42421.0,3896156560,91767,30,42421.0,42421.0,1380-04-23
4055,2001-07-15,42417.0,42417.0,42385.0,42385.0,158980739,3749,17,42421.0,42385.0,1380-04-24
4054,2001-07-16,42299.0,42420.0,42200.0,42420.0,220063180,5198,19,42385.0,42420.0,1380-04-25
4053,2001-07-17,42424.0,42437.0,42420.0,42437.0,90363700,2130,10,42420.0,42437.0,1380-04-26
4052,2001-07-18,42502.0,42696.0,42502.0,42684.0,235049813,5518,27,42437.0,42684.0,1380-04-27
4051,2001-07-21,43000.0,43089.0,43000.0,43089.0,118175557,2747,6,42684.0,43089.0,1380-04-30
4050,2001-07-23,44000.0,44001.0,44000.0,44001.0,129360616,2940,12,43089.0,44001.0,1380-05-01
4049,2001-07-25,45101.0,45101.0,45101.0,45101.0,133228354,2954,8,44001.0,45101.0,1380-05-03
4048,2001-07-28,46228.0,46228.0,46228.0,46228.0,157683708,3411,15,45101.0,46228.0,1380-05-06
4047,2001-07-29,47383.0,47383.0,47383.0,47383.0,671369727,14169,37,46228.0,47383.0,1380-05-07
4046,2001-07-30,47383.0,47384.0,47383.0,47383.0,2105748553,44441,23,47383.0,47383.0,1380-05-08
4045,2001-07-31,47600.0,47676.0,47600.0,47676.0,262747362,5514,19,47383.0,47676.0,1380-05-09
4044,2001-08-01,47815.0,47815.0,47742.0,47810.0,146933161,3074,6,47676.0,47810.0,1380-05-10
4043,2001-08-04,47900.0,48000.0,47900.0,48000.0,184477000,3844,12,47810.0,48000.0,1380-05-13
4042,2001-08-05,48003.0,48003.0,48003.0,48003.0,10272642,214,2,48000.0,48003.0,1380-05-14
4041,2001-08-06,48500.0,48500.0,48015.0,48500.0,188195883,3899,14,48003.0,48500.0,1380-05-15
4040,2001-08-07,48501.0,48505.0,48501.0,48505.0,30460760,628,5,48500.0,48505.0,1380-05-16
4039,2001-08-08,48504.0,48516.0,48504.0,48516.0,269315040,5552,18,48505.0,48516.0,1380-05-17
4038,2001-08-11,48517.0,48519.0,48516.0,48519.0,157098543,3238,14,48516.0,48519.0,1380-05-20
4037,2001-08-12,48519.0,48551.0,48519.0,48551.0,73093853,1506,6,48519.0,48551.0,1380-05-21
4036,2001-08-13,48555.0,48557.0,48555.0,48556.0,84536331,1741,5,48551.0,48556.0,1380-05-22
4035,2001-08-14,48556.0,48556.0,48550.0,48550.0,145662000,3000,12,48556.0,48550.0,1380-05-23
4034,2001-08-15,47756.0,47756.0,47756.0,47756.0,134337628,2813,8,48550.0,47756.0,1380-05-24
4033,2001-08-18,46563.0,46563.0,46563.0,46563.0,11454498,246,1,47756.0,46563.0,1380-05-27
4032,2001-08-19,45399.0,45399.0,45399.0,45399.0,87574671,1929,4,46563.0,45399.0,1380-05-28
4031,2001-08-22,44265.0,44266.0,44265.0,44265.0,1088259130,24585,57,45399.0,44265.0,1380-05-31
4030,2001-08-25,44284.0,44292.0,44284.0,44292.0,154123004,3480,14,44265.0,44292.0,1380-06-03
4029,2001-08-26,44300.0,44500.0,44300.0,44302.0,354692947,7986,29,44292.0,44302.0,1380-06-04
4028,2001-08-27,44304.0,44323.0,44303.0,44323.0,140896181,3180,12,44302.0,44323.0,1380-06-05
4027,2001-08-28,44342.0,44347.0,44342.0,44347.0,24344003,549,3,44323.0,44347.0,1380-06-06
4026,2001-08-29,44386.0,44393.0,44386.0,44392.0,66499623,1498,5,44347.0,44392.0,1380-06-07
4025,2001-09-01,44423.0,44443.0,44419.0,44443.0,237234201,5339,13,44392.0,44443.0,1380-06-10
4024,2001-09-02,44500.0,44600.0,44500.0,44600.0,182900721,4109,11,44443.0,44600.0,1380-06-11
4023,2001-09-03,44512.0,44538.0,44512.0,44537.0,210161760,4720,13,44600.0,44537.0,1380-06-12
4022,2001-09-04,44542.0,44543.0,44400.0,44537.0,630341543,14158,33,44537.0,44537.0,1380-06-13
4021,2001-09-05,44537.0,44537.0,44537.0,44537.0,23470999,527,2,44537.0,44537.0,1380-06-14
4020,2001-09-08,44537.0,44537.0,44537.0,44537.0,5077218,114,1,44537.0,44537.0,1380-06-17
4019,2001-09-09,44982.0,44982.0,44566.0,44982.0,119580438,2673,5,44537.0,44982.0,1380-06-18
4018,2001-09-10,44982.0,45431.0,44982.0,45431.0,102288248,2264,6,44982.0,45431.0,1380-06-19
4017,2001-09-11,45431.0,45885.0,45431.0,45885.0,275084395,6045,11,45431.0,45885.0,1380-06-20
4016,2001-09-12,46343.0,46343.0,46343.0,46343.0,231715000,5000,5,45885.0,46343.0,1380-06-21
4015,2001-09-15,45880.0,46806.0,45880.0,46806.0,1881779381,40287,28,46343.0,46806.0,1380-06-24
4014,2001-09-16,46805.0,47274.0,46805.0,47274.0,84250013,1790,4,46806.0,47274.0,1380-06-25
4013,2001-09-17,47080.0,47746.0,47080.0,47746.0,1068892891,22535,21,47274.0,47746.0,1380-06-26
4012,2001-09-18,48223.0,48223.0,47744.0,48222.0,51808542340,1074451,32,47746.0,48222.0,1380-06-27
4011,2001-09-19,47740.0,47740.0,47740.0,47740.0,47740000,1000,1,48222.0,47740.0,1380-06-28
4010,2001-09-22,47430.0,47430.0,47263.0,47430.0,476055510,10052,15,47740.0,47430.0,1380-06-31
4009,2001-09-25,47390.0,47390.0,47350.0,47350.0,105393040,2224,5,47430.0,47350.0,1380-07-03
4008,2001-09-29,46970.0,46999.0,46967.0,46999.0,715677874,15235,19,47350.0,46999.0,1380-07-07
4007,2001-10-03,46550.0,46550.0,46550.0,46550.0,44362150,953,2,46999.0,46550.0,1380-07-11
4006,2001-10-06,46550.0,46550.0,46550.0,46550.0,2187850,47,1,46550.0,46550.0,1380-07-14
4005,2001-10-07,46250.0,46250.0,46200.0,46200.0,84697100,1833,13,46550.0,46200.0,1380-07-15
4004,2001-10-08,45738.0,45740.0,45738.0,45738.0,98474220,2153,7,46200.0,45738.0,1380-07-16
4003,2001-10-09,44595.0,44595.0,44595.0,44595.0,89190000,2000,6,45738.0,44595.0,1380-07-17
