,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
625,2014-05-06,600.0,600.0,600.0,600.0,13669200,22782,2,1000.0,600.0,1393-02-16
624,2014-06-14,620.0,620.0,620.0,620.0,9241720,14906,2,600.0,620.0,1393-03-24
623,2014-06-15,650.0,650.0,650.0,650.0,8450000,13000,1,620.0,650.0,1393-03-25
622,2014-06-29,820.0,820.0,802.0,812.0,30435000,37500,2,650.0,802.0,1393-04-08
621,2014-06-30,720.0,850.0,720.0,848.0,11185360,13188,2,812.0,850.0,1393-04-09
620,2014-07-01,950.0,950.0,950.0,950.0,12350000,13000,1,848.0,950.0,1393-04-10
619,2014-08-02,920.0,920.0,920.0,920.0,5750000,6250,2,950.0,920.0,1393-05-11
618,2014-08-03,950.0,950.0,950.0,950.0,9760300,10274,1,920.0,950.0,1393-05-12
617,2014-09-07,6500.0,6500.0,6500.0,6500.0,69062500,10625,1,950.0,6500.0,1393-06-16
616,2014-09-17,1000.0,1000.0,1000.0,1000.0,10625000,10625,1,6500.0,1000.0,1393-06-26
615,2014-10-14,1000.0,1000.0,1000.0,1000.0,684000,684,1,1000.0,1000.0,1393-07-22
614,2014-10-28,745.0,745.0,745.0,745.0,5960000,8000,1,1000.0,745.0,1393-08-06
613,2014-11-12,1800.0,1800.0,1800.0,1800.0,2961000,1645,2,745.0,1800.0,1393-08-21
612,2014-11-23,1790.0,1790.0,1790.0,1790.0,179000,100,1,1800.0,1790.0,1393-09-02
611,2014-11-29,1700.0,1700.0,1700.0,1700.0,977500,575,1,1790.0,1700.0,1393-09-08
610,2014-12-16,840.0,840.0,840.0,840.0,84000,100,1,1700.0,840.0,1393-09-25
609,2015-01-04,740.0,740.0,740.0,740.0,5358340,7241,2,840.0,740.0,1393-10-14
608,2015-02-01,950.0,950.0,950.0,950.0,950000,1000,1,740.0,950.0,1393-11-12
607,2015-02-24,760.0,760.0,760.0,760.0,5320000,7000,1,950.0,760.0,1393-12-05
606,2015-03-08,760.0,760.0,760.0,760.0,1520000,2000,1,760.0,760.0,1393-12-17
605,2015-05-18,800.0,800.0,800.0,800.0,800000,1000,1,760.0,800.0,1394-02-28
604,2015-06-17,700.0,700.0,700.0,700.0,34983200,49976,3,800.0,700.0,1394-03-27
603,2015-07-04,610.0,610.0,610.0,610.0,9150000,15000,1,700.0,610.0,1394-04-13
602,2015-07-15,700.0,700.0,700.0,700.0,70000000,100000,1,610.0,700.0,1394-04-24
601,2015-12-27,531.0,531.0,531.0,531.0,55224000,104000,2,700.0,531.0,1394-10-06
600,2016-01-02,470.0,470.0,470.0,470.0,32900000,70000,1,531.0,470.0,1394-10-12
599,2016-01-17,460.0,460.0,460.0,460.0,23000000,50000,1,470.0,460.0,1394-10-27
598,2016-01-18,450.0,450.0,450.0,450.0,67500,150,2,460.0,450.0,1394-10-28
597,2016-03-05,460.0,460.0,460.0,460.0,3991420,8677,2,450.0,460.0,1394-12-15
596,2016-10-19,300.0,300.0,300.0,300.0,15000000,50000,4,460.0,300.0,1395-07-28
595,2016-10-25,300.0,300.0,300.0,300.0,170100,567,1,300.0,300.0,1395-08-04
594,2016-11-02,300.0,300.0,295.0,300.0,224896400,750488,4,300.0,300.0,1395-08-12
593,2016-11-05,250.0,250.0,250.0,250.0,75000000,300000,1,300.0,250.0,1395-08-15
592,2016-11-06,270.0,270.0,270.0,270.0,2700000,10000,1,250.0,270.0,1395-08-16
591,2016-11-07,270.0,300.0,247.0,263.0,518743790,1968910,15,270.0,250.0,1395-08-17
590,2016-12-28,200.0,201.0,200.0,200.0,4010000,20000,2,263.0,201.0,1395-10-08
589,2017-01-29,200.0,200.0,200.0,200.0,5400000,27000,2,200.0,200.0,1395-11-10
588,2017-02-27,150.0,150.0,150.0,150.0,60000000,400000,1,200.0,150.0,1395-12-09
587,2017-03-04,150.0,150.0,150.0,150.0,8333250,55555,1,150.0,150.0,1395-12-14
586,2017-03-06,147.0,150.0,147.0,147.0,50766750,344445,4,150.0,150.0,1395-12-16
585,2017-03-07,130.0,150.0,130.0,136.0,19072755,140511,5,147.0,150.0,1395-12-17
584,2017-03-13,123.0,149.0,123.0,149.0,145448329,976226,50,136.0,149.0,1395-12-23
583,2017-05-07,163.0,163.0,163.0,163.0,3261630,20010,2,149.0,163.0,1396-02-17
582,2017-05-08,179.0,179.0,179.0,179.0,3580179,20001,2,163.0,179.0,1396-02-18
581,2017-05-22,196.0,196.0,196.0,196.0,4035640,20590,1,179.0,196.0,1396-03-01
580,2017-09-11,700.0,700.0,700.0,700.0,315770000,451100,47,196.0,700.0,1396-06-20
579,2017-09-13,700.0,705.0,700.0,700.0,1200190725,1714490,428,700.0,705.0,1396-06-22
578,2017-09-16,820.0,980.0,820.0,868.0,325011460,374245,79,700.0,980.0,1396-06-25
577,2017-09-18,1150.0,1150.0,1150.0,1150.0,294611600,256184,31,868.0,1150.0,1396-06-27
576,2017-09-20,2100.0,2100.0,2100.0,2100.0,2725989000,1298090,189,1150.0,2100.0,1396-06-29
575,2017-09-23,2100.0,2350.0,2100.0,2120.0,2355912850,1111526,159,2100.0,2350.0,1396-07-01
574,2017-09-25,2160.0,2350.0,2160.0,2295.0,686440440,299072,52,2120.0,2350.0,1396-07-03
573,2017-09-27,2295.0,2295.0,2100.0,2283.0,844765890,369968,65,2295.0,2100.0,1396-07-05
572,2017-10-02,2283.0,2283.0,1970.0,2213.0,64074000,28950,12,2283.0,1970.0,1396-07-10
571,2017-10-04,1540.0,1777.0,1540.0,1675.0,134901369,80538,17,2213.0,1777.0,1396-07-12
570,2017-10-07,2140.0,2140.0,2135.0,2139.0,1459294255,682245,87,1675.0,2135.0,1396-07-15
569,2017-10-09,2178.0,2178.0,1800.0,1924.0,178059348,92566,16,2139.0,1800.0,1396-07-17
568,2017-10-11,1650.0,1650.0,1650.0,1650.0,575546400,348816,33,1924.0,1650.0,1396-07-19
567,2017-10-14,1680.0,1680.0,1680.0,1680.0,72520560,43167,7,1650.0,1680.0,1396-07-22
566,2017-10-16,1800.0,1802.0,1800.0,1800.0,832341320,462411,64,1680.0,1802.0,1396-07-24
565,2017-10-18,1800.0,1800.0,1800.0,1800.0,274276800,152376,55,1800.0,1800.0,1396-07-26
