,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
631,2018-11-06,8500.0,8500.0,8500.0,8500.0,280500000000,33000000,263733,1000.0,8500.0,1397-08-15
630,2018-11-10,8925.0,8925.0,8925.0,8925.0,421634850,47242,406,8500.0,8925.0,1397-08-19
629,2018-11-11,9371.0,9371.0,9371.0,9371.0,482906372,51532,456,8925.0,9371.0,1397-08-20
628,2018-11-12,9839.0,9839.0,9839.0,9839.0,578218352,58768,519,9371.0,9839.0,1397-08-21
627,2018-11-13,10330.0,10330.0,10330.0,10330.0,1222824080,118376,1008,9839.0,10330.0,1397-08-22
626,2018-11-14,10846.0,10846.0,10846.0,10846.0,1814080268,167258,1416,10330.0,10846.0,1397-08-23
625,2018-11-17,11388.0,11388.0,11388.0,11388.0,5427156384,476568,3991,10846.0,11388.0,1397-08-26
624,2018-11-18,11957.0,11957.0,11957.0,11957.0,4084272060,341580,2858,11388.0,11957.0,1397-08-27
623,2018-11-19,12554.0,12554.0,12554.0,12554.0,3814131172,303818,2459,11957.0,12554.0,1397-08-28
622,2018-11-20,13181.0,13181.0,13181.0,13181.0,2251090723,170783,607,12554.0,13181.0,1397-08-29
621,2018-11-26,12522.0,12522.0,11896.0,11988.0,177622658762,14817054,103627,13181.0,12010.0,1397-09-05
620,2018-11-27,12200.0,12587.0,11389.0,12506.0,136159279915,10887478,52898,11988.0,12587.0,1397-09-06
619,2018-11-28,12690.0,12880.0,12100.0,12546.0,79631265320,6346953,23100,12506.0,12611.0,1397-09-07
618,2018-12-01,12500.0,12700.0,11919.0,12180.0,48697533471,3998304,13529,12546.0,12260.0,1397-09-10
617,2018-12-02,12250.0,12599.0,12250.0,12400.0,21115471944,1702823,6413,12180.0,12301.0,1397-09-11
616,2018-12-03,12401.0,13020.0,12210.0,12867.0,82991800894,6449893,8712,12400.0,13020.0,1397-09-12
615,2018-12-04,13100.0,13470.0,12510.0,13035.0,38194911418,2930247,6541,12867.0,13250.0,1397-09-13
614,2018-12-05,13100.0,13548.0,13035.0,13276.0,36984963101,2785786,4214,13035.0,13161.0,1397-09-14
613,2018-12-08,13060.0,13449.0,12901.0,13208.0,55044367693,4167389,4672,13276.0,13200.0,1397-09-17
612,2018-12-09,13030.0,13180.0,12548.0,12739.0,45478080042,3569887,3806,13208.0,12700.0,1397-09-18
611,2018-12-10,12700.0,12880.0,12510.0,12698.0,12856999080,1012489,2285,12739.0,12601.0,1397-09-19
610,2018-12-12,12302.0,13000.0,12302.0,12705.0,28581813640,2249607,5821,12698.0,12720.0,1397-09-21
609,2018-12-15,12395.0,12781.0,12395.0,12617.0,9176215532,727285,2185,12705.0,12700.0,1397-09-24
608,2018-12-16,12401.0,12700.0,12250.0,12454.0,20222967792,1623825,1834,12617.0,12504.0,1397-09-25
607,2018-12-17,12309.0,12600.0,12309.0,12422.0,10049680716,808993,1766,12454.0,12490.0,1397-09-26
