,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
973,2013-11-23,2500.0,2500.0,2500.0,2500.0,80000000,32000,4,1000.0,2500.0,1392-09-02
972,2013-12-09,2000.0,2000.0,2000.0,2000.0,100000,50,1,2500.0,2000.0,1392-09-18
971,2013-12-11,3500.0,3500.0,3500.0,3500.0,17500000,5000,1,2000.0,3500.0,1392-09-20
970,2014-01-21,3620.0,3620.0,3620.0,3620.0,1956957520,540596,1,3500.0,3620.0,1392-11-01
969,2014-01-22,4010.0,4010.0,4010.0,4010.0,20050000,5000,1,3620.0,4010.0,1392-11-02
968,2014-01-27,3620.0,3620.0,3620.0,3620.0,30097708080,8314284,1,4010.0,3620.0,1392-11-07
967,2014-02-03,4001.0,4001.0,4001.0,4001.0,4001000000,1000000,1,3620.0,4001.0,1392-11-14
966,2014-02-25,3700.0,3700.0,3700.0,3700.0,8817840000,2383200,1,4001.0,3700.0,1392-12-06
965,2014-03-03,3700.0,3700.0,3700.0,3700.0,17635680000,4766400,1,3700.0,3700.0,1392-12-12
964,2014-03-26,3700.0,3700.0,3700.0,3700.0,14800000,4000,1,3700.0,3700.0,1393-01-06
963,2014-04-09,3700.0,3700.0,3700.0,3700.0,62900000,17000,2,3700.0,3700.0,1393-01-20
962,2014-04-12,3700.0,3700.0,3620.0,3691.0,32110000,8700,3,3700.0,3700.0,1393-01-23
961,2014-04-13,3700.0,3700.0,3700.0,3700.0,30710000,8300,1,3691.0,3700.0,1393-01-24
960,2014-04-26,3700.0,3700.0,3700.0,3700.0,3700000,1000,1,3700.0,3700.0,1393-02-06
959,2015-11-18,1010.0,1010.0,1010.0,1010.0,30300000,30000,1,1071.0,1010.0,1394-08-27
958,2015-11-22,1050.0,1050.0,1050.0,1050.0,28493850,27137,1,1010.0,1050.0,1394-09-01
957,2015-11-28,1060.0,1060.0,1060.0,1060.0,5799260,5471,2,1050.0,1060.0,1394-09-07
956,2015-11-30,1070.0,1070.0,1070.0,1070.0,6420000,6000,1,1060.0,1070.0,1394-09-09
955,2015-12-01,1050.0,1050.0,1050.0,1050.0,2100000,2000,1,1070.0,1050.0,1394-09-10
954,2015-12-15,1080.0,1080.0,1080.0,1080.0,21600000,20000,1,1050.0,1080.0,1394-09-24
953,2015-12-21,1060.0,1083.0,1060.0,1060.0,29327200,27665,2,1080.0,1083.0,1394-09-30
952,2016-03-09,1060.0,1060.0,1060.0,1060.0,31694000,29900,1,1060.0,1060.0,1394-12-19
951,2016-06-19,1060.0,1060.0,1060.0,1060.0,6360000,6000,1,1060.0,1060.0,1395-03-30
950,2016-07-04,1060.0,1060.0,1060.0,1060.0,6360000,6000,1,1060.0,1060.0,1395-04-14
949,2016-11-05,1062.0,1062.0,1062.0,1062.0,637198938,599999,3,1060.0,1062.0,1395-08-15
948,2017-05-24,1168.0,1168.0,1168.0,1168.0,22774832,19499,1,1062.0,1168.0,1396-03-03
947,2017-05-27,1284.0,1284.0,1284.0,1284.0,44940000,35000,3,1168.0,1284.0,1396-03-06
946,2017-05-28,1410.0,1412.0,1300.0,1410.0,72361910,51336,12,1284.0,1412.0,1396-03-07
945,2017-05-29,1551.0,1551.0,1551.0,1551.0,814275000,525000,24,1410.0,1551.0,1396-03-08
944,2017-05-30,1706.0,1706.0,1706.0,1706.0,2966048188,1738598,89,1551.0,1706.0,1396-03-09
943,2017-05-31,1876.0,1876.0,1876.0,1876.0,20148240,10740,2,1706.0,1876.0,1396-03-10
942,2017-06-06,2063.0,2063.0,2063.0,2063.0,31751633,15391,6,1876.0,2063.0,1396-03-16
941,2017-06-07,2269.0,2269.0,2266.0,2269.0,1923053452,847546,82,2063.0,2269.0,1396-03-17
940,2017-06-10,2495.0,2495.0,2495.0,2495.0,600209675,240565,17,2269.0,2495.0,1396-03-20
939,2017-06-11,2744.0,2744.0,2502.0,2733.0,8219179273,3007010,260,2495.0,2744.0,1396-03-21
938,2017-06-12,2744.0,2884.0,2460.0,2492.0,2313786268,928622,137,2733.0,2460.0,1396-03-22
937,2017-06-13,2250.0,2250.0,2243.0,2243.0,740629229,330153,51,2492.0,2243.0,1396-03-23
936,2017-06-14,2243.0,2467.0,2221.0,2397.0,895951139,373776,57,2243.0,2467.0,1396-03-24
935,2017-06-17,2636.0,2636.0,2635.0,2636.0,1195298744,453454,42,2397.0,2636.0,1396-03-27
934,2017-06-18,2749.0,2899.0,2749.0,2881.0,986419299,342406,42,2636.0,2899.0,1396-03-28
933,2017-06-19,3169.0,3169.0,2701.0,3081.0,11127316353,3611094,339,2881.0,3169.0,1396-03-29
932,2017-06-20,3349.0,3349.0,2831.0,3067.0,821157760,267702,78,3081.0,3150.0,1396-03-30
931,2017-06-21,3129.0,3129.0,2761.0,2859.0,3426331078,1198623,172,3067.0,3050.0,1396-03-31
930,2017-06-24,3068.0,3144.0,2818.0,2984.0,2589038244,867630,180,2859.0,2862.0,1396-04-03
929,2017-06-25,2861.0,2861.0,2686.0,2732.0,1665063713,609514,139,2984.0,2686.0,1396-04-04
928,2017-06-28,2750.0,2760.0,2459.0,2505.0,469512430,187435,65,2732.0,2500.0,1396-04-07
927,2017-07-01,2499.0,2499.0,2255.0,2265.0,5692236908,2513360,230,2505.0,2255.0,1396-04-10
926,2017-07-02,2225.0,2225.0,2039.0,2091.0,2118396169,1013080,207,2265.0,2084.0,1396-04-11
925,2017-07-03,2109.0,2140.0,1930.0,2049.0,4625894146,2257553,202,2091.0,1930.0,1396-04-12
924,2017-07-04,1920.0,2048.0,1853.0,1940.0,2220623068,1144737,193,2049.0,1922.0,1396-04-13
923,2017-07-05,1975.0,2134.0,1850.0,2076.0,3320807399,1599831,300,1940.0,2134.0,1396-04-14
922,2017-07-08,2190.0,2236.0,2070.0,2139.0,2167212980,1012978,209,2076.0,2079.0,1396-04-17
921,2017-07-09,2130.0,2175.0,2050.0,2116.0,942374417,445332,106,2139.0,2100.0,1396-04-18
920,2017-07-10,2010.0,2098.0,1930.0,1996.0,649731455,325455,69,2116.0,1998.0,1396-04-19
919,2017-07-11,1939.0,2080.0,1938.0,2026.0,581559545,287080,62,1996.0,2060.0,1396-04-20
918,2017-07-12,2117.0,2119.0,1950.0,2022.0,715164708,353691,66,2026.0,1955.0,1396-04-21
917,2017-07-15,1947.0,2223.0,1900.0,2133.0,1715434898,804249,205,2022.0,2105.0,1396-04-24
916,2017-07-16,2219.0,2219.0,2100.0,2136.0,911669188,426856,66,2133.0,2100.0,1396-04-25
915,2017-07-17,2012.0,2160.0,2000.0,2065.0,1341529574,649593,122,2136.0,2070.0,1396-04-26
914,2017-07-18,1972.0,2070.0,1961.0,2014.0,469171462,232931,56,2065.0,1961.0,1396-04-27
913,2017-07-19,1950.0,2070.0,1813.0,1863.0,2008369741,1077871,151,2014.0,1926.0,1396-04-28
912,2017-07-22,2030.0,2030.0,1813.0,1894.0,627433399,331321,70,1863.0,1850.0,1396-04-31
911,2017-07-23,1900.0,2083.0,1900.0,2054.0,3512260024,1710077,302,1894.0,2082.0,1396-05-01
910,2017-07-24,2167.0,2167.0,1985.0,2037.0,1046997511,514011,118,2054.0,2040.0,1396-05-02
909,2017-07-25,2082.0,2082.0,1990.0,2018.0,2080816090,1031110,93,2037.0,2037.0,1396-05-03
908,2017-07-26,2035.0,2160.0,1953.0,2086.0,1944364175,932005,121,2018.0,2100.0,1396-05-04
907,2017-07-29,2100.0,2177.0,2016.0,2048.0,371630094,181423,38,2086.0,2079.0,1396-05-07
906,2017-07-30,2142.0,2142.0,2017.0,2087.0,216896498,103937,35,2048.0,2130.0,1396-05-08
905,2017-07-31,2135.0,2135.0,2010.0,2037.0,363211956,178264,63,2087.0,2070.0,1396-05-09
904,2017-08-01,2070.0,2095.0,1978.0,2025.0,980856878,484459,70,2037.0,2050.0,1396-05-10
903,2017-08-02,2050.0,2074.0,2005.0,2054.0,93536050,45545,25,2025.0,2061.0,1396-05-11
902,2017-08-06,1965.0,2060.0,1965.0,2037.0,98609932,48412,23,2054.0,1991.0,1396-05-15
901,2017-08-07,2050.0,2050.0,1944.0,1981.0,428142668,216104,72,2037.0,1999.0,1396-05-16
900,2017-08-08,1920.0,2045.0,1920.0,1981.0,153777520,77614,34,1981.0,1990.0,1396-05-17
899,2017-08-09,1924.0,2019.0,1909.0,1923.0,278549679,144841,51,1981.0,1910.0,1396-05-18
898,2017-08-12,1887.0,2000.0,1887.0,1894.0,239331173,126386,42,1923.0,1899.0,1396-05-21
897,2017-08-13,1988.0,1988.0,1870.0,1910.0,216047704,113120,35,1894.0,1935.0,1396-05-22
896,2017-08-14,1948.0,1948.0,1851.0,1913.0,115538059,60402,45,1910.0,1919.0,1396-05-23
895,2017-08-15,1939.0,1980.0,1939.0,1962.0,114448811,58325,38,1913.0,1950.0,1396-05-24
894,2017-08-16,1868.0,2038.0,1835.0,1938.0,815433184,420804,97,1962.0,2000.0,1396-05-25
893,2017-08-19,2000.0,2021.0,2000.0,2004.0,116181588,57983,23,1938.0,2000.0,1396-05-28
892,2017-08-20,2025.0,2076.0,2006.0,2064.0,932442683,451656,86,2004.0,2006.0,1396-05-29
891,2017-08-21,2066.0,2068.0,2000.0,2042.0,228328415,111838,42,2064.0,2066.0,1396-05-30
890,2017-08-22,1894.0,2066.0,1894.0,2011.0,139387400,69300,13,2042.0,2000.0,1396-05-31
889,2017-08-23,1956.0,1956.0,1950.0,1952.0,86082800,44104,3,2011.0,1950.0,1396-06-01
888,2017-08-26,1955.0,2000.0,1955.0,1995.0,146058140,73210,12,1952.0,2000.0,1396-06-04
887,2017-08-27,2041.0,2041.0,2000.0,2005.0,45616924,22753,5,1995.0,2023.0,1396-06-05
886,2017-08-28,2028.0,2037.0,1960.0,1994.0,197245067,98930,24,2005.0,1960.0,1396-06-06
885,2017-08-29,2031.0,2035.0,2000.0,2012.0,338642980,168279,23,1994.0,2000.0,1396-06-07
884,2017-08-30,2019.0,2019.0,1903.0,1995.0,100170781,50200,9,2012.0,2009.0,1396-06-08
883,2017-09-02,2013.0,2013.0,1930.0,1969.0,291925872,148279,16,1995.0,1940.0,1396-06-11
882,2017-09-03,1979.0,1979.0,1900.0,1948.0,231502510,118868,21,1969.0,1969.0,1396-06-12
881,2017-09-04,1916.0,1920.0,1891.0,1912.0,391030891,204490,21,1948.0,1920.0,1396-06-13
880,2017-09-05,1968.0,2003.0,1968.0,1998.0,246436400,123329,35,1912.0,2003.0,1396-06-14
