,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
780,2014-11-17,2800.0,2800.0,2451.0,2642.0,413723977,156596,11,1000.0,2451.0,1393-08-26
779,2014-11-23,2801.0,2801.0,2801.0,2801.0,19607000,7000,1,2642.0,2801.0,1393-09-02
778,2014-12-03,3000.0,3000.0,3000.0,3000.0,978000,326,1,2801.0,3000.0,1393-09-12
777,2014-12-09,2621.0,2621.0,2621.0,2621.0,205308172,78332,3,3000.0,2621.0,1393-09-18
776,2014-12-10,2650.0,2650.0,2630.0,2641.0,36980000,14000,2,2621.0,2630.0,1393-09-19
775,2014-12-14,2650.0,2650.0,2650.0,2650.0,26500000,10000,2,2641.0,2650.0,1393-09-23
774,2014-12-15,2632.0,2632.0,2632.0,2632.0,7896000,3000,1,2650.0,2632.0,1393-09-24
773,2014-12-17,2800.0,2800.0,2800.0,2800.0,14000000,5000,1,2632.0,2800.0,1393-09-26
772,2014-12-24,2631.0,2631.0,2631.0,2631.0,44727000,17000,3,2800.0,2631.0,1393-10-03
771,2014-12-27,2631.0,2631.0,2631.0,2631.0,219270171,83341,5,2631.0,2631.0,1393-10-06
770,2014-12-28,2631.0,2631.0,2631.0,2631.0,2631000,1000,1,2631.0,2631.0,1393-10-07
769,2014-12-30,2511.0,2511.0,2511.0,2511.0,14998203,5973,1,2631.0,2511.0,1393-10-09
768,2015-02-16,1500.0,1500.0,1500.0,1500.0,16014000,10676,1,2511.0,1500.0,1393-11-27
767,2015-05-23,1500.0,1500.0,1500.0,1500.0,952461000,634974,3,1500.0,1500.0,1394-03-02
766,2015-06-22,1500.0,1500.0,1500.0,1500.0,943683000,629122,3,1500.0,1500.0,1394-04-01
765,2015-09-06,1615.0,1615.0,1615.0,1615.0,24577070,15218,3,1500.0,1615.0,1394-06-15
764,2015-09-07,1615.0,1615.0,1615.0,1615.0,3553000,2200,1,1615.0,1615.0,1394-06-16
763,2015-09-21,1622.0,1622.0,1622.0,1622.0,17316472,10676,1,1615.0,1622.0,1394-06-30
762,2015-11-18,1312.0,1312.0,1312.0,1312.0,2624000,2000,2,1312.0,1312.0,1394-08-27
761,2016-02-28,1320.0,1320.0,1320.0,1320.0,3960000,3000,1,1288.0,1320.0,1394-12-09
760,2016-06-07,1320.0,1320.0,1320.0,1320.0,2081872320,1577176,8,1320.0,1320.0,1395-03-18
759,2016-12-11,1120.0,1120.0,1120.0,1120.0,4336640,3872,1,1120.0,1120.0,1395-09-21
758,2017-02-19,1120.0,1120.0,1120.0,1120.0,1691200,1510,1,1120.0,1120.0,1395-12-01
757,2017-02-26,1265.0,1265.0,1265.0,1265.0,3910115,3091,2,1120.0,1265.0,1395-12-08
756,2017-03-05,1250.0,1250.0,1250.0,1250.0,11952500,9562,1,1265.0,1250.0,1395-12-15
755,2017-10-11,1800.0,1800.0,1800.0,1241.0,2305800,1281,1,1200.0,1800.0,1396-07-19
754,2017-10-24,1861.0,1861.0,1861.0,1307.0,3722000,2000,1,1241.0,1861.0,1396-08-02
753,2017-11-04,5552.0,5552.0,5552.0,1648.0,8383520,1510,1,1307.0,5552.0,1396-08-13
752,2017-11-05,5700.0,10000.0,5700.0,6070.0,106219850,14010,6,1648.0,10000.0,1396-08-14
751,2017-11-06,8101.0,8102.0,8101.0,6862.0,59389712,7331,5,6070.0,8102.0,1396-08-15
750,2017-11-11,7548.0,7548.0,7548.0,7548.0,80159760,10620,2,6862.0,7548.0,1396-08-20
749,2017-11-12,8302.0,8302.0,6796.0,8211.0,2984717982,363513,91,7548.0,7600.0,1396-08-21
748,2017-11-13,7390.0,9030.0,7390.0,8435.0,3437513609,407534,120,8211.0,7620.0,1396-08-22
747,2017-11-14,7651.0,8000.0,7592.0,7594.0,2168333546,285536,71,8435.0,7592.0,1396-08-23
746,2017-11-15,6910.0,7734.0,6835.0,6982.0,446819734,63995,27,7594.0,6835.0,1396-08-24
745,2017-11-18,6400.0,7000.0,6284.0,6395.0,114922050,17970,17,6982.0,6284.0,1396-08-27
744,2017-11-20,5780.0,7000.0,5780.0,6429.0,1190375996,185165,71,6395.0,6400.0,1396-08-29
743,2017-11-21,6430.0,6927.0,6050.0,6191.0,542744743,87673,36,6429.0,6240.0,1396-08-30
742,2017-11-22,6400.0,6750.0,6400.0,6494.0,1064864142,163967,57,6191.0,6400.0,1396-09-01
741,2017-11-25,6639.0,6639.0,6103.0,6252.0,143820000,23004,20,6494.0,6300.0,1396-09-04
740,2017-11-26,6200.0,6210.0,6200.0,6210.0,3850000,620,5,6252.0,6210.0,1396-09-05
739,2017-11-28,6290.0,6300.0,5589.0,5609.0,662285669,118075,44,6210.0,5590.0,1396-09-07
738,2017-11-29,5105.0,6077.0,5105.0,5903.0,60510724,10251,17,5609.0,5980.0,1396-09-08
737,2017-12-02,6000.0,6000.0,5555.0,5922.0,241136230,40718,31,5903.0,6000.0,1396-09-11
736,2017-12-03,6099.0,6190.0,5999.0,6006.0,82066190,13663,12,5922.0,6000.0,1396-09-12
735,2017-12-04,6000.0,6000.0,6000.0,6000.0,303282000,50547,36,6006.0,6000.0,1396-09-13
734,2017-12-05,5510.0,5995.0,5510.0,5920.0,23328765,3941,11,6000.0,5705.0,1396-09-14
733,2017-12-10,5980.0,5980.0,5500.0,5526.0,92237000,16691,16,5920.0,5700.0,1396-09-19
732,2017-12-12,5500.0,5739.0,5000.0,5180.0,491036991,94788,34,5526.0,5105.0,1396-09-21
731,2017-12-13,5200.0,5250.0,5120.0,5193.0,110996140,21374,27,5180.0,5240.0,1396-09-22
730,2017-12-16,5594.0,5594.0,5000.0,5130.0,98049148,19114,17,5193.0,5020.0,1396-09-25
729,2017-12-17,5000.0,5150.0,5000.0,5092.0,21787738,4279,10,5130.0,5000.0,1396-09-26
728,2017-12-18,5100.0,5100.0,5000.0,5052.0,17478251,3460,6,5092.0,5000.0,1396-09-27
727,2017-12-19,5088.0,5090.0,5000.0,5022.0,33152713,6602,14,5052.0,5089.0,1396-09-28
726,2017-12-20,5089.0,5517.0,5000.0,5277.0,769678289,145855,69,5022.0,5399.0,1396-09-29
725,2017-12-23,5524.0,5804.0,5362.0,5520.0,873176109,158184,92,5277.0,5804.0,1396-10-02
