,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
264,2020-04-14,27000.0,27000.0,27000.0,27000.0,2025000000000,75000000,1087,1000.0,27000.0,1399-01-26
263,2020-04-15,27810.0,27810.0,27810.0,27005.0,187661880,6748,5,27000.0,27810.0,1399-01-27
262,2020-04-18,27815.0,27815.0,27815.0,27068.0,2185674885,78579,17,27005.0,27815.0,1399-01-30
261,2020-04-19,27880.0,27880.0,27880.0,27304.0,8149296120,292299,53,27068.0,27880.0,1399-01-31
260,2020-04-20,28669.0,28669.0,28669.0,28669.0,35415274404,1235316,31,27304.0,28669.0,1399-02-01
259,2020-04-21,29529.0,29529.0,29529.0,28877.0,7188244470,243430,15,28669.0,29529.0,1399-02-02
258,2020-04-22,29743.0,29743.0,29743.0,29743.0,30028949202,1009614,38,28877.0,29743.0,1399-02-03
257,2020-04-25,30635.0,30635.0,30635.0,29829.0,2960413225,96635,19,29743.0,30635.0,1399-02-06
256,2020-04-26,31320.0,31320.0,31320.0,31107.0,27055782000,863850,26,29829.0,31320.0,1399-02-07
255,2020-04-27,32040.0,32040.0,32040.0,31415.0,10653812640,332516,18,31107.0,32040.0,1399-02-08
254,2020-04-28,32357.0,32357.0,32357.0,32299.0,30580277130,945090,38,31415.0,32357.0,1399-02-09
253,2020-04-29,33267.0,33267.0,33267.0,32566.0,9238911240,277720,15,32299.0,33267.0,1399-02-10
252,2020-05-02,34194.0,34194.0,34194.0,34194.0,34606379640,1012060,37,32566.0,34194.0,1399-02-13
251,2020-05-03,35219.0,35219.0,35219.0,34353.0,5516598503,156637,21,34194.0,35219.0,1399-02-14
250,2020-05-04,35383.0,35383.0,35383.0,35383.0,35650955459,1007573,25,34353.0,35383.0,1399-02-15
249,2020-05-05,36444.0,36444.0,36444.0,36416.0,35759727456,981224,32,35383.0,36444.0,1399-02-16
248,2020-05-06,38236.0,38236.0,38236.0,38236.0,40205842248,1051518,23,36416.0,38236.0,1399-02-17
247,2020-05-09,39383.0,39383.0,39383.0,38298.0,2143341009,54423,12,38236.0,39383.0,1399-02-20
246,2020-05-10,39446.0,39446.0,39446.0,39446.0,40286988720,1021320,17,38298.0,39446.0,1399-02-21
245,2020-05-11,40629.0,40629.0,40629.0,39448.0,68094204,1676,4,39446.0,40629.0,1399-02-22
244,2020-05-12,41420.0,41420.0,41420.0,41420.0,54002070560,1303768,35,39448.0,41420.0,1399-02-23
243,2020-05-13,42662.0,42662.0,42662.0,42662.0,42986956454,1007617,24,41420.0,42662.0,1399-02-24
242,2020-05-16,43941.0,43941.0,43941.0,43941.0,44283388272,1007792,37,42662.0,43941.0,1399-02-27
241,2020-05-17,45259.0,45259.0,45259.0,45259.0,45913218845,1014455,17,43941.0,45259.0,1399-02-28
240,2020-05-18,47521.0,47521.0,47521.0,47521.0,49362438750,1038750,16,45259.0,47521.0,1399-02-29
239,2020-05-19,48946.0,48946.0,48946.0,48946.0,49327583016,1007796,27,47521.0,48946.0,1399-02-30
238,2020-05-20,50414.0,50414.0,50414.0,50414.0,254179926728,5041852,112,48946.0,50414.0,1399-02-31
237,2020-05-23,51926.0,51926.0,51926.0,51926.0,100204250426,1929751,53,50414.0,51926.0,1399-03-03
236,2020-05-26,54000.0,54000.0,49330.0,51591.0,1141663837837,22128926,1226,51926.0,49330.0,1399-03-06
235,2020-05-27,50044.0,53130.0,50044.0,50710.0,994064608838,19602984,1212,51591.0,53130.0,1399-03-07
234,2020-05-30,52231.0,52231.0,52231.0,52231.0,267494172008,5121368,272,50710.0,52231.0,1399-03-10
233,2020-05-31,50665.0,52890.0,50665.0,51089.0,115728820591,2265228,532,52231.0,50665.0,1399-03-11
232,2020-06-01,49557.0,50665.0,49557.0,49620.0,398074708497,8022507,728,51089.0,49560.0,1399-03-12
231,2020-06-02,51108.0,51108.0,51000.0,51108.0,1186403089848,23213656,663,49620.0,51108.0,1399-03-13
230,2020-06-06,52641.0,52641.0,52641.0,52641.0,131476740651,2497611,70,51108.0,52641.0,1399-03-17
229,2020-06-07,54220.0,54220.0,52646.0,54185.0,504794384943,9316196,993,52641.0,54220.0,1399-03-18
228,2020-06-08,54990.0,56894.0,54220.0,56575.0,312729931109,5527700,1285,54185.0,56894.0,1399-03-19
227,2020-06-09,58271.0,58272.0,58269.0,58272.0,302222768484,5186421,320,56575.0,58272.0,1399-03-20
226,2020-06-10,60020.0,60020.0,60020.0,60020.0,518650886020,8641301,375,58272.0,60020.0,1399-03-21
225,2020-06-13,61820.0,61820.0,61820.0,61820.0,155852856500,2521075,104,60020.0,61820.0,1399-03-24
224,2020-06-14,64911.0,64911.0,64911.0,64911.0,711626173566,10963106,250,61820.0,64911.0,1399-03-25
223,2020-06-15,66858.0,66858.0,66858.0,66858.0,405890772804,6070938,582,64911.0,66858.0,1399-03-26
222,2020-06-16,68863.0,68863.0,68863.0,68034.0,40687221509,590843,46,66858.0,68863.0,1399-03-27
221,2020-06-20,70075.0,70075.0,70075.0,70075.0,227266749475,3243193,262,68034.0,70075.0,1399-03-31
220,2020-06-21,73578.0,73578.0,71000.0,73368.0,451335715695,6151709,872,70075.0,73578.0,1399-04-01
219,2020-06-22,75567.0,75569.0,71170.0,75180.0,683301183291,9088846,2656,73368.0,75569.0,1399-04-02
218,2020-06-23,77398.0,77435.0,72925.0,74973.0,734010365986,9790272,3145,75180.0,72925.0,1399-04-03
217,2020-06-24,72724.0,75000.0,72724.0,72806.0,602414682430,8274193,1391,74973.0,72730.0,1399-04-04
216,2020-06-27,70622.0,73100.0,70622.0,70805.0,471950255539,6665480,1538,72806.0,70622.0,1399-04-07
215,2020-06-28,69000.0,72920.0,68681.0,69482.0,537327943001,7733352,1594,70805.0,68681.0,1399-04-08
214,2020-06-29,67400.0,69482.0,67398.0,67584.0,337894037166,4999585,1299,69482.0,68100.0,1399-04-09
213,2020-06-30,65615.0,69611.0,65615.0,69229.0,358944519605,5184851,1220,67584.0,67000.0,1399-04-10
212,2020-07-01,68850.0,70988.0,67250.0,69136.0,482932828610,6985254,1680,69229.0,69112.0,1399-04-11
211,2020-07-04,71000.0,71000.0,67062.0,68874.0,107263013796,1557384,1033,69136.0,67062.0,1399-04-14
210,2020-07-05,66808.0,68600.0,66808.0,66858.0,1576445171608,23578881,2044,68874.0,66808.0,1399-04-15
209,2020-07-06,66500.0,68863.0,66500.0,68361.0,487776041142,7135250,3662,66858.0,67000.0,1399-04-16
208,2020-07-07,68900.0,68900.0,66311.0,66640.0,62349811110,937432,856,68361.0,66311.0,1399-04-17
207,2020-08-04,69500.0,71585.0,69000.0,70752.0,337505316167,4770230,1145,66640.0,71585.0,1399-05-14
206,2020-08-05,72874.0,72874.0,68630.0,69213.0,333438119220,4817575,1832,70752.0,68630.0,1399-05-15
205,2020-08-09,67137.0,67137.0,67137.0,68037.0,38313743160,570680,509,69213.0,67137.0,1399-05-19
204,2020-08-10,65996.0,65996.0,65996.0,67395.0,20929971440,317140,168,68037.0,65996.0,1399-05-20
203,2020-08-11,64026.0,64026.0,64026.0,67229.0,3173832846,49571,80,67395.0,64026.0,1399-05-21
202,2020-08-12,65213.0,65213.0,65213.0,65213.0,67074048594,1028538,105,67229.0,65213.0,1399-05-22
201,2020-08-15,63257.0,63257.0,63257.0,63257.0,64197378562,1014866,57,65213.0,63257.0,1399-05-25
200,2020-08-16,61360.0,61360.0,61360.0,61360.0,62238920640,1014324,85,63257.0,61360.0,1399-05-26
199,2020-08-17,58292.0,58292.0,58292.0,58292.0,121855112392,2090426,383,61360.0,58292.0,1399-05-27
198,2020-08-18,56544.0,59990.0,56544.0,57189.0,635408993698,11110657,2443,58292.0,58450.0,1399-05-28
197,2020-08-19,57188.0,57188.0,55474.0,56598.0,29478948480,525882,385,57189.0,55474.0,1399-05-29
196,2020-08-22,55000.0,58050.0,54901.0,55265.0,79825907986,1444413,473,56598.0,54901.0,1399-06-01
195,2020-08-23,53608.0,53608.0,53608.0,55185.0,2618161112,48839,59,55265.0,53608.0,1399-06-02
194,2020-08-24,52426.0,52426.0,52426.0,52426.0,54416720072,1037972,111,55185.0,52426.0,1399-06-03
193,2020-08-25,50854.0,52426.0,50854.0,50909.0,173616643206,3410304,954,52426.0,50854.0,1399-06-04
192,2020-08-26,49401.0,52436.0,49382.0,50886.0,190412359511,3741915,1805,50909.0,52436.0,1399-06-05
191,2020-08-31,52412.0,52412.0,49360.0,51610.0,595098415553,11530761,1237,50886.0,51000.0,1399-06-10
190,2020-09-01,50062.0,51610.0,50062.0,50228.0,51842247204,1032137,247,51610.0,50062.0,1399-06-11
189,2020-09-02,48722.0,50000.0,48722.0,48728.0,74351672954,1525857,330,50228.0,48722.0,1399-06-12
188,2020-09-05,48000.0,50189.0,47267.0,47420.0,133125771799,2807384,656,48728.0,47267.0,1399-06-15
187,2020-09-06,47000.0,47000.0,45998.0,46044.0,47770897246,1037512,216,47420.0,45998.0,1399-06-16
186,2020-09-07,44663.0,44663.0,44663.0,44663.0,47015534199,1052673,97,46044.0,44663.0,1399-06-17
185,2020-09-08,43324.0,43324.0,43324.0,43324.0,44396962184,1024766,47,44663.0,43324.0,1399-06-18
184,2020-09-09,41158.0,44663.0,41158.0,42207.0,83590424643,1980477,1049,43324.0,44200.0,1399-06-19
183,2020-09-12,43473.0,43473.0,42110.0,43457.0,66095398486,1520946,404,42207.0,43230.0,1399-06-22
182,2020-09-13,43380.0,43400.0,42154.0,42220.0,45586368784,1079731,401,43457.0,42200.0,1399-06-23
181,2020-09-14,42155.0,42155.0,40954.0,41028.0,90773699264,2212476,713,42220.0,41500.0,1399-06-24
180,2020-10-18,41028.0,42258.0,41028.0,41209.0,23358088982,564886,112,41028.0,42000.0,1399-07-27
179,2020-10-19,39973.0,41140.0,39973.0,39973.0,45846021498,1146913,212,41209.0,39973.0,1399-07-28
178,2020-10-20,38774.0,38774.0,38774.0,38774.0,39873708188,1028362,61,39973.0,38774.0,1399-07-29
177,2020-10-21,37620.0,39937.0,37611.0,38229.0,153667260895,4019644,800,38774.0,39000.0,1399-07-30
176,2020-10-24,37083.0,39375.0,37083.0,39342.0,191131553558,4858259,950,38229.0,39375.0,1399-08-03
175,2020-10-26,39342.0,40522.0,39342.0,40488.0,277762944470,6860461,973,39342.0,40522.0,1399-08-05
174,2020-10-27,41702.0,41702.0,39274.0,40577.0,36896535310,909087,463,40488.0,39274.0,1399-08-06
173,2020-10-28,39360.0,39360.0,39360.0,40530.0,1527679680,38813,31,40577.0,39360.0,1399-08-07
