,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
259,2020-04-15,8600.0,8600.0,8600.0,8600.0,57619891863600,6699987426,2061657,1000.0,8600.0,1399-01-27
258,2020-04-18,9030.0,9030.0,9030.0,8889.0,84687412530,9378451,2122,8600.0,9030.0,1399-01-30
257,2020-04-19,9333.0,9333.0,9333.0,9027.0,40548235797,4344609,2796,8889.0,9333.0,1399-01-31
256,2020-04-20,9478.0,9478.0,9478.0,9269.0,71072242612,7498654,3759,9027.0,9478.0,1399-02-01
255,2020-04-21,9732.0,9732.0,9732.0,9483.0,62696434404,6442297,3290,9269.0,9732.0,1399-02-02
254,2020-04-22,9957.0,9957.0,9957.0,9722.0,70005944439,7030827,4259,9483.0,9957.0,1399-02-03
253,2020-04-25,10222.0,10222.0,10222.0,10027.0,75670624284,7402722,4047,9736.0,10222.0,1399-02-06
252,2020-04-26,10528.0,10528.0,10528.0,10480.0,117392074464,11150463,5678,10027.0,10528.0,1399-02-07
251,2020-04-27,11004.0,11004.0,11004.0,10926.0,115669437324,10511581,5664,10480.0,11004.0,1399-02-08
250,2020-04-28,11472.0,11472.0,11472.0,11472.0,179581494912,15653896,7313,10926.0,11472.0,1399-02-09
249,2020-04-29,12045.0,12045.0,12045.0,12031.0,145144875810,12050218,6238,11472.0,12045.0,1399-02-10
248,2020-05-02,12636.0,12636.0,12636.0,12636.0,128380787028,10159923,5500,12035.0,12636.0,1399-02-13
247,2020-05-03,13267.0,13267.0,13267.0,13267.0,138556408696,10443688,5132,12636.0,13267.0,1399-02-14
246,2020-05-05,13930.0,14626.0,13930.0,14465.0,2307919814364,159556314,48485,13267.0,14626.0,1399-02-16
245,2020-05-10,15188.0,15188.0,15188.0,15188.0,652551463156,42964937,19285,14465.0,15188.0,1399-02-21
244,2020-05-11,15947.0,15947.0,15947.0,15947.0,565640265417,35470011,12824,15188.0,15947.0,1399-02-22
243,2020-05-12,16744.0,16744.0,15150.0,16324.0,11868199052347,727044963,226166,15947.0,15600.0,1399-02-23
242,2020-05-13,15550.0,17140.0,15508.0,15548.0,7357795218762,473223138,180257,16324.0,15600.0,1399-02-24
241,2020-05-16,15600.0,15600.0,14771.0,14772.0,852769917483,57729745,16498,15548.0,14771.0,1399-02-27
240,2020-05-17,14034.0,15510.0,14034.0,14399.0,4392906957521,305079856,116632,14772.0,14771.0,1399-02-28
239,2020-05-18,15118.0,15118.0,15118.0,15118.0,842439695276,55724282,22446,14399.0,15118.0,1399-02-29
238,2020-05-19,15430.0,15873.0,14888.0,15273.0,5219103638097,341719786,113983,15118.0,15160.0,1399-02-30
237,2020-05-20,14870.0,16000.0,14850.0,15081.0,4587465183472,304185319,153165,15273.0,14999.0,1399-02-31
236,2020-05-23,14450.0,14800.0,14327.0,14430.0,3374834077845,233868755,82348,15081.0,14327.0,1399-03-03
235,2020-05-26,13709.0,14327.0,13709.0,13709.0,382858000000,27927529,6773,14430.0,13709.0,1399-03-06
234,2020-05-27,14394.0,14394.0,14394.0,14394.0,1171583710236,81393894,24725,13709.0,14394.0,1399-03-07
233,2020-05-30,15113.0,15113.0,15113.0,15113.0,916628854953,60651681,15565,14394.0,15113.0,1399-03-10
232,2020-05-31,15089.0,15868.0,14358.0,15023.0,2137017164439,142247680,50397,15113.0,15072.0,1399-03-11
231,2020-06-01,15500.0,15700.0,15100.0,15515.0,2873334421635,185194007,64933,15023.0,15669.0,1399-03-12
230,2020-06-02,16189.0,16290.0,15911.0,16215.0,2985642215792,184130376,60977,15515.0,16290.0,1399-03-13
229,2020-06-06,17025.0,17025.0,17025.0,17025.0,1262709246600,74167944,28005,16215.0,17025.0,1399-03-17
