,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
324,2020-03-04,19900.0,19900.0,19900.0,19900.0,676597910500,33999895,1619279,1000.0,19900.0,1398-12-14
323,2020-03-07,20895.0,20895.0,20895.0,19931.0,1642723110,78618,3801,19900.0,20895.0,1398-12-17
322,2020-03-09,20927.0,20927.0,20927.0,20681.0,39572726803,1890989,4310,19931.0,20927.0,1398-12-19
321,2020-03-10,21715.0,21715.0,21715.0,20720.0,2046356455,94237,4560,20681.0,21715.0,1398-12-20
320,2020-03-11,21756.0,21756.0,21756.0,20773.0,2819534088,129598,6294,20720.0,21756.0,1398-12-21
319,2020-03-14,21811.0,21811.0,21811.0,20888.0,5800635450,265950,7394,20773.0,21811.0,1398-12-24
318,2020-03-15,21932.0,21932.0,21932.0,20938.0,2532027468,115449,4319,20888.0,21932.0,1398-12-25
317,2020-03-16,21984.0,21984.0,21984.0,21011.0,3686628864,167696,7150,20938.0,21984.0,1398-12-26
316,2020-03-17,22061.0,22061.0,22061.0,21072.0,3070869139,139199,6684,21011.0,22061.0,1398-12-27
315,2020-03-18,22125.0,22125.0,22125.0,21144.0,3618986250,163570,7874,21072.0,22125.0,1398-12-28
314,2020-03-24,22201.0,22201.0,22201.0,21215.0,3548630041,159841,7670,21144.0,22201.0,1399-01-05
313,2020-03-25,22275.0,22275.0,22275.0,21305.0,4466538450,200518,9609,21215.0,22275.0,1399-01-06
312,2020-03-28,22370.0,22370.0,22370.0,21425.0,5929325090,265057,12596,21305.0,22370.0,1399-01-09
311,2020-03-29,22496.0,22496.0,22496.0,21560.0,6667544448,296388,13954,21425.0,22496.0,1399-01-10
310,2020-03-30,22638.0,22638.0,22638.0,21680.0,5936136360,262220,12474,21560.0,22638.0,1399-01-11
309,2020-04-04,22764.0,22764.0,22764.0,21828.0,7187733000,315750,15074,21680.0,22764.0,1399-01-16
308,2020-04-05,22919.0,22919.0,22919.0,22006.0,8628109659,376461,16635,21828.0,22919.0,1399-01-17
307,2020-04-06,23106.0,23106.0,23106.0,22274.0,12979564440,561740,26862,22006.0,23106.0,1399-01-18
306,2020-04-07,23387.0,23387.0,23387.0,22566.0,14164593807,605661,28339,22274.0,23387.0,1399-01-19
305,2020-04-08,23694.0,23694.0,23694.0,22914.0,16836150804,710566,32497,22566.0,23694.0,1399-01-20
304,2020-04-11,24059.0,24059.0,24059.0,23078.0,7527676156,312884,14611,22914.0,24059.0,1399-01-23
303,2020-04-12,24231.0,24231.0,24231.0,23218.0,6422063085,265035,12212,23078.0,24231.0,1399-01-24
302,2020-04-13,24378.0,24378.0,24378.0,23497.0,12802326102,525159,21455,23218.0,24378.0,1399-01-25
301,2020-04-14,24671.0,24671.0,24671.0,24256.0,34817047434,1411254,57518,23497.0,24671.0,1399-01-26
300,2020-04-15,25468.0,25468.0,25468.0,24621.0,16753920056,657842,31414,24256.0,25468.0,1399-01-27
299,2020-04-18,25852.0,25852.0,25852.0,24807.0,7923198516,306483,14016,24621.0,25852.0,1399-01-30
298,2020-04-19,26047.0,26047.0,26047.0,25031.0,9558623872,366976,13117,24807.0,26047.0,1399-01-31
297,2020-04-20,26282.0,26282.0,26282.0,25250.0,9324958728,354804,13877,25031.0,26282.0,1399-02-01
296,2020-04-21,26512.0,26512.0,26512.0,25401.0,6457952032,243586,11684,25250.0,26512.0,1399-02-02
295,2020-04-22,26671.0,26671.0,26671.0,25588.0,7965827570,298670,10346,25401.0,26671.0,1399-02-03
294,2020-04-25,26867.0,26867.0,26867.0,25744.0,6394749005,238015,10531,25588.0,26867.0,1399-02-06
293,2020-04-26,27031.0,27031.0,27031.0,25961.0,8899416130,329230,13105,25744.0,27031.0,1399-02-07
292,2020-04-27,27259.0,27259.0,27259.0,26213.0,10342746075,379425,15686,25961.0,27259.0,1399-02-08
