,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
478,2019-01-21,6050.0,6050.0,6050.0,6050.0,42892061850,7089597,197,3770.0,6050.0,1397-11-01
477,2019-01-23,6200.0,7000.0,6200.0,6332.0,53558614200,8458557,423,6050.0,7000.0,1397-11-03
476,2019-01-28,9000.0,9000.0,9000.0,9000.0,28272627000,3141403,124,6332.0,9000.0,1397-11-08
475,2019-01-30,9000.0,9000.0,9000.0,9000.0,55034640000,6114960,437,9000.0,9000.0,1397-11-10
474,2019-02-02,8800.0,8800.0,8460.0,8662.0,32768266160,3782998,378,9000.0,8460.0,1397-11-13
473,2019-02-04,8790.0,8790.0,8125.0,8594.0,3934028100,457771,87,8662.0,8125.0,1397-11-15
472,2019-02-06,8000.0,8499.0,8000.0,8139.0,13977751489,1717403,154,8594.0,8499.0,1397-11-17
471,2019-02-13,8680.0,9200.0,8680.0,8837.0,18777417200,2124825,238,8139.0,9200.0,1397-11-24
470,2019-02-16,10000.0,10000.0,9890.0,9992.0,45416424790,4545464,615,8837.0,9890.0,1397-11-27
469,2019-02-18,9100.0,9390.0,9100.0,9272.0,4620000340,498256,90,9992.0,9390.0,1397-11-29
468,2019-02-20,9240.0,9240.0,8881.0,9027.0,5110233580,566128,115,9272.0,8881.0,1397-12-01
467,2019-02-23,8970.0,8970.0,8495.0,8638.0,6098072255,705929,109,9027.0,8495.0,1397-12-04
466,2019-02-25,8895.0,9000.0,8895.0,8958.0,7885827345,880297,82,8638.0,9000.0,1397-12-06
465,2019-02-27,8890.0,9050.0,8890.0,8917.0,12946698840,1451948,177,8958.0,9050.0,1397-12-08
464,2019-03-02,9000.0,9711.0,9000.0,9447.0,3850268499,407575,82,8917.0,9711.0,1397-12-11
463,2019-03-04,9990.0,9990.0,9505.0,9931.0,12409998930,1249622,225,9447.0,9505.0,1397-12-13
462,2019-03-06,11000.0,12500.0,11000.0,11328.0,20670298500,1824678,314,9931.0,12500.0,1397-12-15
461,2019-03-09,13122.0,13688.0,13122.0,13295.0,17653958714,1327862,377,11328.0,13688.0,1397-12-18
460,2019-03-11,15000.0,15000.0,13989.0,14720.0,38250923070,2598632,554,13295.0,13989.0,1397-12-20
459,2019-04-24,1299.0,1398.0,1299.0,1330.0,57212824137,43010282,1955,839.0,1398.0,1398-02-04
458,2019-04-27,1420.0,1420.0,1279.0,1362.0,20218315126,14848849,807,1330.0,1279.0,1398-02-07
457,2019-04-29,1320.0,1320.0,1250.0,1285.0,21231575680,16518677,700,1362.0,1250.0,1398-02-09
456,2019-05-01,1220.0,1280.0,1220.0,1227.0,58037025360,47283306,2392,1285.0,1280.0,1398-02-11
455,2019-05-04,1309.0,1320.0,1309.0,1312.0,28059099783,21388854,1155,1227.0,1320.0,1398-02-14
454,2019-05-06,1310.0,1310.0,1240.0,1284.0,12096317960,9418247,578,1312.0,1240.0,1398-02-16
453,2019-05-08,1200.0,1226.0,1200.0,1203.0,22884237240,19025544,1169,1284.0,1226.0,1398-02-18
452,2019-05-11,1230.0,1230.0,1110.0,1201.0,13171336620,10967690,592,1203.0,1110.0,1398-02-21
451,2019-05-13,1150.0,1150.0,1150.0,1150.0,16253322600,14133324,859,1201.0,1150.0,1398-02-23
450,2019-05-15,1200.0,1200.0,1100.0,1129.0,14295055500,12665632,583,1150.0,1100.0,1398-02-25
449,2019-05-18,1080.0,1170.0,1080.0,1120.0,19744380630,17621068,732,1129.0,1170.0,1398-02-28
448,2019-05-20,1200.0,1278.0,1200.0,1229.0,26567186628,21617403,968,1120.0,1278.0,1398-02-30
447,2019-05-22,1380.0,1380.0,1349.0,1369.0,25834166840,18875444,1026,1229.0,1349.0,1398-03-01
446,2019-05-25,1299.0,1340.0,1299.0,1322.0,14836577536,11220805,554,1369.0,1340.0,1398-03-04
445,2019-05-29,1360.0,1410.0,1360.0,1381.0,14150364140,10246349,534,1322.0,1410.0,1398-03-08
444,2019-06-01,1450.0,1450.0,1440.0,1447.0,12398859560,8568851,561,1381.0,1440.0,1398-03-11
443,2019-06-03,1399.0,1399.0,1329.0,1358.0,14779040905,10878995,460,1447.0,1329.0,1398-03-13
442,2019-06-08,1250.0,1250.0,1210.0,1228.0,6531466640,5319108,345,1358.0,1210.0,1398-03-18
441,2019-06-10,1348.0,1350.0,1348.0,1348.0,25561933452,18957899,854,1228.0,1350.0,1398-03-20
440,2019-06-12,1348.0,1348.0,1250.0,1295.0,11567431088,8935464,422,1348.0,1250.0,1398-03-22
439,2019-06-15,1161.0,1162.0,1161.0,1162.0,9977495242,8589222,351,1295.0,1162.0,1398-03-25
438,2019-06-17,1219.0,1220.0,1219.0,1219.0,23432003397,19220670,989,1162.0,1220.0,1398-03-27
437,2019-06-19,1210.0,1210.0,1190.0,1208.0,8239053870,6821507,417,1219.0,1190.0,1398-03-29
436,2019-06-22,1140.0,1185.0,1140.0,1150.0,9379342155,8155952,501,1208.0,1185.0,1398-04-01
435,2019-06-24,1210.0,1239.0,1210.0,1216.0,10526787531,8653765,509,1150.0,1239.0,1398-04-03
434,2019-06-26,1250.0,1250.0,1201.0,1237.0,7408433795,5988479,368,1216.0,1201.0,1398-04-05
433,2019-07-01,1250.0,1250.0,1210.0,1238.0,13539190540,10935974,595,1237.0,1210.0,1398-04-10
432,2019-07-03,1231.0,1255.0,1231.0,1234.0,13401569207,10862705,668,1238.0,1255.0,1398-04-12
431,2019-07-06,1249.0,1251.0,1249.0,1249.0,15038392191,12036701,760,1234.0,1251.0,1398-04-15
430,2019-07-08,1260.0,1270.0,1260.0,1262.0,10117190430,8016480,512,1249.0,1270.0,1398-04-17
429,2019-07-10,1310.0,1400.0,1310.0,1360.0,14476000860,10646937,567,1262.0,1400.0,1398-04-19
428,2019-08-07,1625.0,1729.0,1625.0,1690.0,23386069655,13834663,692,1360.0,1729.0,1398-05-16
427,2019-08-10,1900.0,2000.0,1900.0,1916.0,35549613300,18555342,1265,1690.0,2000.0,1398-05-19
426,2019-09-25,1859.0,1859.0,1859.0,1859.0,835748771,449569,43,1916.0,1859.0,1398-07-03
425,2019-09-28,1804.0,1804.0,1804.0,1804.0,1052047700,583175,78,1859.0,1804.0,1398-07-06
424,2019-09-29,1750.0,1750.0,1750.0,1750.0,9249359000,5285348,313,1804.0,1750.0,1398-07-07
423,2019-09-30,1698.0,1770.0,1698.0,1700.0,81082740956,47703601,2739,1750.0,1698.0,1398-07-08
422,2019-10-01,1697.0,1697.0,1649.0,1655.0,30486578932,18422166,1435,1700.0,1649.0,1398-07-09
421,2019-10-02,1606.0,1606.0,1606.0,1606.0,4451716368,2771928,198,1655.0,1606.0,1398-07-10
420,2019-10-05,1558.0,1654.0,1558.0,1611.0,33262691272,20641165,1537,1606.0,1600.0,1398-07-13
419,2019-10-06,1649.0,1659.0,1612.0,1657.0,9128494333,5510582,399,1611.0,1659.0,1398-07-14
418,2019-10-07,1706.0,1706.0,1706.0,1706.0,1203008078,705163,78,1657.0,1706.0,1398-07-15
417,2019-10-08,1757.0,1757.0,1655.0,1733.0,33951991023,19588917,1302,1706.0,1750.0,1398-07-16
416,2019-10-09,1778.0,1784.0,1701.0,1775.0,10023237933,5645821,556,1733.0,1784.0,1398-07-17
415,2019-10-12,1828.0,1828.0,1828.0,1828.0,709980576,388392,60,1775.0,1828.0,1398-07-20
414,2019-10-13,1882.0,1882.0,1882.0,1882.0,9851562368,5234624,299,1828.0,1882.0,1398-07-21
413,2019-10-14,1938.0,1938.0,1827.0,1914.0,28317498992,14798545,1142,1882.0,1938.0,1398-07-22
412,2019-10-15,1861.0,1952.0,1857.0,1878.0,12549896252,6682215,590,1914.0,1857.0,1398-07-23
411,2019-10-16,1822.0,1822.0,1822.0,1822.0,2210714590,1213345,122,1878.0,1822.0,1398-07-24
410,2019-10-20,1768.0,1768.0,1768.0,1768.0,272148240,153930,22,1822.0,1768.0,1398-07-28
409,2019-10-21,1715.0,1715.0,1664.0,1678.0,457276401,272520,52,1768.0,1664.0,1398-07-29
408,2019-10-22,1631.0,1720.0,1628.0,1637.0,13303247070,8128702,747,1678.0,1628.0,1398-07-30
407,2019-10-23,1588.0,1630.0,1588.0,1588.0,5920317709,3727767,348,1637.0,1588.0,1398-08-01
406,2019-10-26,1575.0,1635.0,1551.0,1612.0,5146781236,3192697,272,1588.0,1635.0,1398-08-04
405,2019-10-28,1660.0,1660.0,1660.0,1660.0,2044333160,1231526,82,1612.0,1660.0,1398-08-06
404,2019-10-30,1709.0,1709.0,1700.0,1709.0,3199567520,1872280,147,1660.0,1709.0,1398-08-08
403,2019-11-02,1789.0,1794.0,1633.0,1747.0,10275262055,5882630,678,1709.0,1725.0,1398-08-11
402,2019-11-03,1749.0,1789.0,1695.0,1740.0,5421799511,3115634,390,1747.0,1715.0,1398-08-12
401,2019-11-04,1700.0,1759.0,1688.0,1691.0,3103229455,1835067,248,1740.0,1688.0,1398-08-13
400,2019-11-05,1642.0,1684.0,1641.0,1657.0,13939047884,8410283,619,1691.0,1657.0,1398-08-14
399,2019-11-09,1670.0,1699.0,1633.0,1664.0,10899224745,6548793,519,1657.0,1670.0,1398-08-18
398,2019-11-10,1694.0,1694.0,1615.0,1641.0,12248815556,7466452,580,1664.0,1659.0,1398-08-19
397,2019-11-11,1658.0,1658.0,1592.0,1609.0,6070612270,3772544,425,1641.0,1630.0,1398-08-20
396,2019-11-12,1645.0,1657.0,1585.0,1641.0,6158457354,3752073,369,1609.0,1657.0,1398-08-21
395,2019-11-13,1679.0,1679.0,1602.0,1619.0,4767347686,2944370,348,1641.0,1628.0,1398-08-22
394,2019-11-16,1667.0,1667.0,1580.0,1614.0,5387861746,3337944,385,1619.0,1586.0,1398-08-25
393,2019-11-17,1566.0,1566.0,1566.0,1566.0,676275534,431849,52,1614.0,1566.0,1398-08-26
392,2019-11-18,1532.0,1606.0,1520.0,1557.0,8427931701,5411575,486,1566.0,1597.0,1398-08-27
391,2019-11-19,1590.0,1603.0,1566.0,1597.0,5467017138,3422526,325,1557.0,1603.0,1398-08-28
390,2019-11-20,1613.0,1639.0,1570.0,1594.0,4913813832,3082339,412,1597.0,1598.0,1398-08-29
389,2019-11-23,1600.0,1600.0,1547.0,1570.0,8297358000,5286612,505,1594.0,1571.0,1398-09-02
388,2019-11-24,1587.0,1610.0,1534.0,1573.0,8705295794,5532922,481,1570.0,1596.0,1398-09-03
387,2019-11-25,1589.0,1620.0,1555.0,1603.0,12037546969,7510928,796,1573.0,1555.0,1398-09-04
386,2019-11-26,1602.0,1643.0,1562.0,1613.0,11086429966,6874462,623,1603.0,1638.0,1398-09-05
385,2019-11-27,1643.0,1661.0,1603.0,1645.0,10659959101,6478629,518,1613.0,1661.0,1398-09-06
384,2019-11-30,1669.0,1694.0,1669.0,1693.0,9563534715,5650082,665,1645.0,1694.0,1398-09-09
383,2019-12-01,1705.0,1705.0,1643.0,1647.0,10076288414,6118201,724,1693.0,1643.0,1398-09-10
