,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
431,2019-08-26,2100.0,2100.0,2100.0,2100.0,92993987100,44282851,1465,1446.0,2100.0,1398-06-04
430,2019-08-28,1930.0,1930.0,1810.0,1890.0,103820997860,54934334,3245,2100.0,1810.0,1398-06-06
429,2019-08-31,1700.0,1700.0,1631.0,1681.0,61424857612,36533831,2300,1890.0,1631.0,1398-06-09
428,2019-09-02,1631.0,1631.0,1631.0,1631.0,107053845878,65636938,3805,1681.0,1631.0,1398-06-11
427,2019-09-04,1679.0,1679.0,1679.0,1679.0,27810341486,16563634,1063,1631.0,1679.0,1398-06-13
426,2019-09-16,1779.0,1779.0,1779.0,1779.0,8824073049,4960131,205,1679.0,1779.0,1398-06-25
425,2019-09-17,1832.0,1832.0,1726.0,1773.0,70424331144,39715519,3734,1779.0,1726.0,1398-06-26
424,2019-09-18,1780.0,1780.0,1726.0,1731.0,10497147244,6065149,470,1773.0,1726.0,1398-06-27
423,2019-09-21,1726.0,1726.0,1726.0,1726.0,5517654362,3196787,240,1731.0,1726.0,1398-06-30
422,2019-09-22,1726.0,1726.0,1726.0,1726.0,5469697452,3169002,255,1726.0,1726.0,1398-06-31
421,2019-09-23,1830.0,1830.0,1730.0,1773.0,53283049453,30058296,2177,1726.0,1772.0,1398-07-01
420,2019-09-24,1750.0,1771.0,1719.0,1732.0,33262870456,19209898,1572,1773.0,1719.0,1398-07-02
419,2019-09-25,1682.0,1729.0,1681.0,1683.0,9471908819,5628691,571,1732.0,1681.0,1398-07-03
418,2019-09-28,1633.0,1671.0,1633.0,1645.0,53126994698,32303159,2819,1683.0,1642.0,1398-07-06
417,2019-09-29,1645.0,1694.0,1612.0,1676.0,39930431697,23827471,2102,1645.0,1694.0,1398-07-07
416,2019-09-30,1705.0,1726.0,1676.0,1717.0,43112551534,25110601,2100,1676.0,1676.0,1398-07-08
