,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
592,2018-01-22,528.0,528.0,528.0,528.0,4840593120,9167790,275,484.0,528.0,1396-11-02
591,2018-01-24,530.0,561.0,530.0,542.0,22037299066,40640742,1801,528.0,561.0,1396-11-04
590,2018-01-27,600.0,600.0,570.0,594.0,43082148600,72499849,3548,542.0,570.0,1396-11-07
589,2018-01-29,580.0,580.0,540.0,551.0,6408219740,11640025,499,594.0,540.0,1396-11-09
588,2018-01-31,532.0,532.0,520.0,529.0,14972920720,28299265,1318,551.0,520.0,1396-11-11
587,2018-02-03,501.0,515.0,501.0,505.0,10426666446,20648516,992,529.0,515.0,1396-11-14
586,2018-02-05,520.0,525.0,520.0,521.0,14406748395,27678420,1591,505.0,525.0,1396-11-16
585,2018-02-07,527.0,527.0,510.0,525.0,7573940181,14431941,932,521.0,510.0,1396-11-18
584,2018-02-10,500.0,500.0,500.0,500.0,7389983000,14779966,810,525.0,500.0,1396-11-21
583,2018-02-12,500.0,505.0,500.0,500.0,8523089930,17029231,925,500.0,505.0,1396-11-23
582,2018-02-14,500.0,505.0,500.0,504.0,22054887600,43741065,1180,500.0,505.0,1396-11-25
581,2018-02-17,520.0,520.0,500.0,503.0,24055142860,47820145,1272,504.0,500.0,1396-11-28
580,2018-02-19,500.0,500.0,500.0,500.0,8425826500,16851653,897,503.0,500.0,1396-11-30
579,2018-02-21,500.0,500.0,496.0,499.0,1833288540,3673204,222,500.0,496.0,1396-12-02
578,2018-02-24,497.0,497.0,485.0,492.0,2812205849,5719381,292,499.0,485.0,1396-12-05
577,2018-02-26,480.0,500.0,480.0,486.0,17667140200,36369859,1634,492.0,500.0,1396-12-07
576,2018-02-28,511.0,530.0,511.0,514.0,28508620045,55501550,2502,486.0,530.0,1396-12-09
575,2018-03-03,550.0,550.0,520.0,529.0,30470251060,57559237,1679,514.0,520.0,1396-12-12
574,2018-03-05,523.0,529.0,523.0,524.0,26379727333,50368939,1423,529.0,529.0,1396-12-14
573,2018-03-07,529.0,529.0,509.0,517.0,4089623938,7916442,317,524.0,509.0,1396-12-16
572,2018-03-10,505.0,505.0,505.0,505.0,11419952840,22613768,992,517.0,505.0,1396-12-19
571,2018-03-12,500.0,500.0,470.0,487.0,3564595930,7321337,342,505.0,470.0,1396-12-21
570,2018-03-14,469.0,474.0,469.0,471.0,5023555083,10672487,484,487.0,474.0,1396-12-23
569,2018-03-17,471.0,475.0,471.0,471.0,4886684815,10365305,492,471.0,475.0,1396-12-26
568,2018-03-19,480.0,492.0,480.0,481.0,9783460212,20359600,1108,471.0,492.0,1396-12-28
567,2018-03-26,493.0,493.0,493.0,493.0,5137298119,10420483,589,481.0,493.0,1397-01-06
566,2018-03-28,490.0,490.0,483.0,484.0,2638268976,5446259,188,493.0,483.0,1397-01-08
565,2018-04-04,484.0,484.0,470.0,478.0,4420020012,9237384,444,484.0,470.0,1397-01-15
564,2018-04-07,485.0,485.0,461.0,467.0,3772266814,8069990,355,478.0,461.0,1397-01-18
563,2018-04-09,449.0,449.0,426.0,443.0,3016302269,6811699,402,467.0,426.0,1397-01-20
562,2018-04-11,445.0,445.0,399.0,414.0,3078982198,7437272,284,443.0,399.0,1397-01-22
561,2018-04-16,410.0,410.0,400.0,405.0,4051868210,9995148,431,414.0,400.0,1397-01-27
560,2018-05-26,480.0,480.0,480.0,480.0,1716397920,3575829,120,405.0,480.0,1397-03-05
559,2018-05-28,500.0,500.0,450.0,483.0,7319928500,15154358,610,480.0,450.0,1397-03-07
558,2018-05-30,440.0,454.0,440.0,443.0,12303957606,27803913,1171,483.0,454.0,1397-03-09
557,2018-06-02,450.0,450.0,438.0,449.0,9794223318,21816401,1161,443.0,438.0,1397-03-12
556,2018-06-09,420.0,421.0,420.0,420.0,13140587199,31280617,1511,449.0,421.0,1397-03-19
555,2018-06-11,429.0,429.0,415.0,423.0,2286248343,5399433,264,420.0,415.0,1397-03-21
554,2018-06-13,401.0,430.0,401.0,414.0,10672054873,25787930,880,423.0,430.0,1397-03-23
553,2018-06-18,482.0,482.0,447.0,478.0,25387003435,53055440,2434,414.0,447.0,1397-03-28
552,2018-06-20,458.0,458.0,435.0,449.0,6450341665,14375959,554,478.0,435.0,1397-03-30
551,2018-06-23,450.0,452.0,450.0,450.0,11913841562,26451263,1329,449.0,452.0,1397-04-02
