,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
420,2019-09-04,10000.0,10000.0,10000.0,10000.0,116000000000,11600000,613,1000.0,10000.0,1398-06-13
419,2019-09-16,10600.0,10600.0,10600.0,10600.0,3254995000,307075,13,10000.0,10600.0,1398-06-25
418,2019-09-17,10918.0,10918.0,10918.0,10918.0,612860094,56133,7,10600.0,10918.0,1398-06-26
417,2019-09-18,10918.0,10918.0,10306.0,10803.0,39506280229,3656959,552,10918.0,10680.0,1398-06-27
416,2019-09-21,10887.0,10918.0,10282.0,10637.0,20861514609,1961214,403,10803.0,10918.0,1398-06-30
415,2019-09-22,10917.0,10918.0,10702.0,10912.0,9086618773,832720,149,10637.0,10918.0,1398-06-31
414,2019-09-23,10918.0,11573.0,10918.0,11421.0,176630018,15466,11,10912.0,11573.0,1398-07-01
413,2019-09-24,11920.0,11920.0,11580.0,11918.0,24387598470,2046207,177,11421.0,11920.0,1398-07-02
412,2019-09-25,12275.0,12275.0,12111.0,12275.0,8855426430,721431,84,11918.0,12275.0,1398-07-03
411,2019-09-28,12643.0,12643.0,12643.0,12643.0,26676730,2110,4,12275.0,12643.0,1398-07-06
410,2019-09-29,13022.0,13022.0,12890.0,13016.0,21898349253,1682395,284,12643.0,13022.0,1398-07-07
409,2019-09-30,13406.0,13406.0,13406.0,13406.0,48275006,3601,5,13016.0,13406.0,1398-07-08
408,2019-10-01,13808.0,13808.0,13808.0,13808.0,5168734832,374329,24,13406.0,13808.0,1398-07-09
407,2019-10-02,14200.0,14222.0,13850.0,14199.0,5409408417,380983,80,13808.0,14222.0,1398-07-10
406,2019-10-05,14624.0,14624.0,14624.0,14624.0,3753907680,256695,34,14199.0,14624.0,1398-07-13
405,2019-10-06,15062.0,15062.0,15050.0,15062.0,28504151724,1892506,206,14624.0,15062.0,1398-07-14
404,2019-10-07,15513.0,15513.0,15513.0,15513.0,11495133,741,3,15062.0,15513.0,1398-07-15
403,2019-10-08,15978.0,15978.0,15048.0,15816.0,34322445339,2170156,397,15513.0,15978.0,1398-07-16
402,2019-10-09,15510.0,16290.0,15510.0,16236.0,5821886685,358571,151,15816.0,16290.0,1398-07-17
401,2019-10-12,16719.0,16723.0,16510.0,16718.0,15308966206,915728,277,16236.0,16723.0,1398-07-20
400,2019-10-13,17155.0,17155.0,16217.0,16315.0,17236682739,1056509,309,16718.0,16217.0,1398-07-21
399,2019-10-14,15826.0,15826.0,15826.0,15826.0,345671492,21842,30,16315.0,15826.0,1398-07-22
398,2019-10-15,15352.0,15352.0,15352.0,15352.0,144032464,9382,5,15826.0,15352.0,1398-07-23
397,2019-10-16,14892.0,14892.0,14892.0,14892.0,286939056,19268,9,15352.0,14892.0,1398-07-24
396,2019-10-20,14148.0,14148.0,14148.0,14148.0,71801100,5075,2,14892.0,14148.0,1398-07-28
395,2019-10-21,13724.0,14295.0,13724.0,13741.0,21095959057,1535215,194,14148.0,13970.0,1398-07-29
394,2019-10-22,14153.0,14153.0,13329.0,13732.0,5134309577,373887,106,13741.0,13408.0,1398-07-30
393,2019-10-23,14001.0,14143.0,13400.0,13803.0,7718953606,559215,192,13732.0,13900.0,1398-08-01
392,2019-10-26,14148.0,14200.0,13400.0,13788.0,6603568294,478951,100,13803.0,14150.0,1398-08-04
391,2019-10-28,14200.0,14201.0,13375.0,13562.0,13608814350,1003456,309,13788.0,13375.0,1398-08-06
390,2019-10-30,13850.0,13968.0,13180.0,13695.0,17670118878,1290284,522,13562.0,13706.0,1398-08-08
389,2019-11-02,13703.0,13850.0,13285.0,13472.0,4377790955,324962,153,13695.0,13598.0,1398-08-11
388,2019-11-03,13610.0,13670.0,13201.0,13505.0,2989624025,221378,92,13472.0,13402.0,1398-08-12
387,2019-11-04,13300.0,13519.0,13100.0,13166.0,2671046879,202870,92,13505.0,13102.0,1398-08-13
386,2019-11-05,13079.0,13499.0,13000.0,13321.0,1536996298,115378,46,13166.0,13200.0,1398-08-14
385,2019-11-09,13000.0,13520.0,12972.0,13187.0,1057574827,80196,43,13321.0,13100.0,1398-08-18
384,2019-11-10,13100.0,13380.0,12792.0,12944.0,5185913265,400637,146,13187.0,13094.0,1398-08-19
383,2019-11-11,13328.0,13332.0,12855.0,13313.0,22032386389,1654966,470,12944.0,13332.0,1398-08-20
382,2019-11-12,13649.0,13712.0,13401.0,13709.0,12864946917,938406,295,13313.0,13712.0,1398-08-21
381,2019-11-13,14120.0,14120.0,13298.0,13769.0,3347784077,243147,175,13709.0,13298.0,1398-08-22
380,2019-11-16,13601.0,13696.0,13356.0,13365.0,3411569585,255256,113,13769.0,13356.0,1398-08-25
379,2019-11-17,12965.0,12965.0,12965.0,12965.0,179656005,13857,20,13365.0,12965.0,1398-08-26
378,2019-11-18,12577.0,12901.0,12577.0,12584.0,3457327556,274732,133,12965.0,12580.0,1398-08-27
377,2019-11-19,12699.0,12961.0,12404.0,12740.0,8361539409,656306,132,12584.0,12500.0,1398-08-28
376,2019-11-20,13122.0,13122.0,12980.0,13092.0,6219447331,475064,270,12740.0,13003.0,1398-08-29
375,2019-11-23,13484.0,13484.0,12904.0,13174.0,7051973145,535278,276,13092.0,13097.0,1398-09-02
374,2019-11-24,13200.0,13260.0,12901.0,13052.0,10023821456,767981,359,13174.0,13174.0,1398-09-03
373,2019-11-25,13181.0,13443.0,13180.0,13380.0,9940033953,742881,300,13052.0,13443.0,1398-09-04
372,2019-11-26,13781.0,13781.0,13333.0,13453.0,6232442674,463290,268,13380.0,13350.0,1398-09-05
371,2019-11-27,13700.0,13700.0,13100.0,13452.0,5600548014,416344,262,13453.0,13455.0,1398-09-06
370,2019-11-30,13855.0,13855.0,13780.0,13853.0,14154132723,1021722,311,13452.0,13855.0,1398-09-09
369,2019-12-01,14266.0,14267.0,13999.0,14179.0,10360199068,730674,329,13853.0,14264.0,1398-09-10
368,2019-12-02,14603.0,14604.0,13754.0,14530.0,15734761004,1082916,491,14179.0,14604.0,1398-09-11
367,2019-12-03,14965.0,14965.0,14323.0,14901.0,13764010171,923701,380,14530.0,14950.0,1398-09-12
366,2019-12-04,15343.0,15343.0,14715.0,15026.0,9057845824,602799,374,14901.0,14780.0,1398-09-13
365,2019-12-07,15250.0,15296.0,14576.0,14643.0,13743194746,938573,492,15026.0,14782.0,1398-09-16
364,2019-12-08,14656.0,14997.0,14250.0,14543.0,8880915922,610670,404,14643.0,14470.0,1398-09-17
363,2019-12-09,14202.0,14979.0,14202.0,14930.0,18693924066,1252125,441,14543.0,14979.0,1398-09-18
362,2019-12-10,15377.0,15377.0,14800.0,15135.0,8950682414,591378,372,14930.0,14800.0,1398-09-19
361,2019-12-11,14681.0,15300.0,14681.0,14826.0,6677461387,450383,270,15135.0,14685.0,1398-09-20
360,2019-12-14,15150.0,15270.0,14695.0,15226.0,18542817886,1217879,377,14826.0,15270.0,1398-09-23
359,2019-12-15,15682.0,15682.0,14930.0,15243.0,8252021159,541363,423,15226.0,15180.0,1398-09-24
358,2019-12-16,15299.0,15700.0,14819.0,15368.0,21712361761,1412855,445,15243.0,15700.0,1398-09-25
357,2019-12-17,15800.0,15800.0,15401.0,15684.0,8009577592,510688,360,15368.0,15450.0,1398-09-26
356,2019-12-18,16096.0,16096.0,15215.0,15329.0,7677284113,500823,368,15684.0,15576.0,1398-09-27
355,2019-12-21,15779.0,15779.0,15007.0,15387.0,7475327391,485811,208,15329.0,15449.0,1398-09-30
354,2019-12-22,15848.0,15848.0,15000.0,15277.0,7222085319,472757,300,15387.0,15300.0,1398-10-01
